nbaplayer	foxsports	weight
425	425	425	85
0000	1	195&nbsp;&nbsp;
0001	1	265&nbsp;&nbsp;
0002	1	200&nbsp;&nbsp;
0003	1	195&nbsp;&nbsp;
0004	1	220&nbsp;&nbsp;
0005	1	245&nbsp;&nbsp;
0006	1	240&nbsp;&nbsp;
0007	1	275&nbsp;&nbsp;
0008	1	240&nbsp;&nbsp;
0009	1	240&nbsp;&nbsp;
0010	1	225&nbsp;&nbsp;
0011	1	180&nbsp;&nbsp;
0012	1	260&nbsp;&nbsp;
0013	1	225&nbsp;&nbsp;
0014	1	240&nbsp;&nbsp;
0015	1	180&nbsp;&nbsp;
0016	1	233&nbsp;&nbsp;
0017	1	270&nbsp;&nbsp;
0018	1	212&nbsp;&nbsp;
0019	1	205&nbsp;&nbsp;
0020	1	245&nbsp;&nbsp;
0021	1	280&nbsp;&nbsp;
0022	1	215&nbsp;&nbsp;
0023	1	215&nbsp;&nbsp;
0024	1	190&nbsp;&nbsp;
0025	1	235&nbsp;&nbsp;
0026	1	250&nbsp;&nbsp;
0027	1	235&nbsp;&nbsp;
0028	1	225&nbsp;&nbsp;
0029	1	220&nbsp;&nbsp;
0030	1	245&nbsp;&nbsp;
0031	1	200&nbsp;&nbsp;
0032	1	235&nbsp;&nbsp;
0033	1	190&nbsp;&nbsp;
0034	1	265&nbsp;&nbsp;
0035	1	235&nbsp;&nbsp;
0036	1	190&nbsp;&nbsp;
0037	1	250&nbsp;&nbsp;
0038	1	260&nbsp;&nbsp;
0039	1	250&nbsp;&nbsp;
0040	1	215&nbsp;&nbsp;
0041	1	255&nbsp;&nbsp;
0042	1	218&nbsp;&nbsp;
0043	1	308&nbsp;&nbsp;
0044	1	220&nbsp;&nbsp;
0045	1	255&nbsp;&nbsp;
0046	1	240&nbsp;&nbsp;
0047	1	250&nbsp;&nbsp;
0048	1	220&nbsp;&nbsp;
0049	1	190&nbsp;&nbsp;
0050	1	240&nbsp;&nbsp;
0051	1	265&nbsp;&nbsp;
0052	1	230&nbsp;&nbsp;
0053	1	190&nbsp;&nbsp;
0054	1	255&nbsp;&nbsp;
0055	1	215&nbsp;&nbsp;
0056	1	190&nbsp;&nbsp;
0057	1	228&nbsp;&nbsp;
0058	1	190&nbsp;&nbsp;
0059	1	215&nbsp;&nbsp;
0060	1	235&nbsp;&nbsp;
0061	1	260&nbsp;&nbsp;
0062	1	240&nbsp;&nbsp;
0063	1	190&nbsp;&nbsp;
0064	1	210&nbsp;&nbsp;
0065	1	250&nbsp;&nbsp;
0066	1	250&nbsp;&nbsp;
0067	1	235&nbsp;&nbsp;
0068	1	275&nbsp;&nbsp;
0069	1	235&nbsp;&nbsp;
0070	1	195&nbsp;&nbsp;
0071	1	210&nbsp;&nbsp;
0072	1	255&nbsp;&nbsp;
0073	1	215&nbsp;&nbsp;
0074	1	266&nbsp;&nbsp;
0075	1	227&nbsp;&nbsp;
0076	1	220&nbsp;&nbsp;
0077	1	225&nbsp;&nbsp;
0078	1	212&nbsp;&nbsp;
0079	1	165&nbsp;&nbsp;
0080	1	232&nbsp;&nbsp;
0081	1	190&nbsp;&nbsp;
0082	1	235&nbsp;&nbsp;
0083	1	230&nbsp;&nbsp;
0084	1	175&nbsp;&nbsp;
0085	1	210&nbsp;&nbsp;
0086	1	200&nbsp;&nbsp;
0087	1	225&nbsp;&nbsp;
0088	1	192&nbsp;&nbsp;
0089	1	242&nbsp;&nbsp;
0090	1	240&nbsp;&nbsp;
0091	1	235&nbsp;&nbsp;
0092	1	205&nbsp;&nbsp;
0093	1	210&nbsp;&nbsp;
0094	1	240&nbsp;&nbsp;
0095	1	260&nbsp;&nbsp;
0096	1	190&nbsp;&nbsp;
0097	1	260&nbsp;&nbsp;
0098	1	225&nbsp;&nbsp;
0099	1	195&nbsp;&nbsp;
0100	1	185&nbsp;&nbsp;
0101	1	205&nbsp;&nbsp;
0102	1	200&nbsp;&nbsp;
0103	1	193&nbsp;&nbsp;
0104	1	231&nbsp;&nbsp;
0105	1	260&nbsp;&nbsp;
0106	1	223&nbsp;&nbsp;
0107	1	253&nbsp;&nbsp;
0108	1	215&nbsp;&nbsp;
0109	1	205&nbsp;&nbsp;
0110	1	240&nbsp;&nbsp;
0111	1	232&nbsp;&nbsp;
0112	1	240&nbsp;&nbsp;
0113	1	213&nbsp;&nbsp;
0114	1	235&nbsp;&nbsp;
0115	1	160&nbsp;&nbsp;
0116	1	230&nbsp;&nbsp;
0117	1	165&nbsp;&nbsp;
0118	1	250&nbsp;&nbsp;
0119	1	210&nbsp;&nbsp;
0120	1	228&nbsp;&nbsp;
0121	1	250&nbsp;&nbsp;
0122	1	278&nbsp;&nbsp;
0123	1	210&nbsp;&nbsp;
0124	1	245&nbsp;&nbsp;
0125	1	240&nbsp;&nbsp;
0126	1	217&nbsp;&nbsp;
0127	1	181&nbsp;&nbsp;
0128	1	210&nbsp;&nbsp;
0129	1	210&nbsp;&nbsp;
0130	1	260&nbsp;&nbsp;
0131	1	135&nbsp;&nbsp;
0132	1	255&nbsp;&nbsp;
0133	1	230&nbsp;&nbsp;
0134	1	195&nbsp;&nbsp;
0135	1	210&nbsp;&nbsp;
0136	1	250&nbsp;&nbsp;
0137	1	235&nbsp;&nbsp;
0138	1	169&nbsp;&nbsp;
0139	1	225&nbsp;&nbsp;
0140	1	230&nbsp;&nbsp;
0141	1	215&nbsp;&nbsp;
0142	1	207&nbsp;&nbsp;
0143	1	235&nbsp;&nbsp;
0144	1	265&nbsp;&nbsp;
0145	1	205&nbsp;&nbsp;
0146	1	195&nbsp;&nbsp;
0147	1	200&nbsp;&nbsp;
0148	1	295&nbsp;&nbsp;
0149	1	240&nbsp;&nbsp;
0150	1	253&nbsp;&nbsp;
0151	1	246&nbsp;&nbsp;
0152	1	268&nbsp;&nbsp;
0153	1	325&nbsp;&nbsp;
0154	1	275&nbsp;&nbsp;
0155	1	235&nbsp;&nbsp;
0156	1	180&nbsp;&nbsp;
0157	1	186&nbsp;&nbsp;
0158	1	220&nbsp;&nbsp;
0159	1	195&nbsp;&nbsp;
0160	1	180&nbsp;&nbsp;
0161	1	246&nbsp;&nbsp;
0162	1	215&nbsp;&nbsp;
0163	1	190&nbsp;&nbsp;
0164	1	235&nbsp;&nbsp;
0165	1	220&nbsp;&nbsp;
0166	1	265&nbsp;&nbsp;
0167	1	210&nbsp;&nbsp;
0168	1	245&nbsp;&nbsp;
0169	1	207&nbsp;&nbsp;
0170	1	247&nbsp;&nbsp;
0171	1	193&nbsp;&nbsp;
0172	1	225&nbsp;&nbsp;
0173	1	205&nbsp;&nbsp;
0174	1	220&nbsp;&nbsp;
0175	1	215&nbsp;&nbsp;
0176	1	225&nbsp;&nbsp;
0177	1	295&nbsp;&nbsp;
0178	1	185&nbsp;&nbsp;
0179	1	205&nbsp;&nbsp;
0180	1	210&nbsp;&nbsp;
0181	1	225&nbsp;&nbsp;
0182	1	205&nbsp;&nbsp;
0183	1	250&nbsp;&nbsp;
0184	1	225&nbsp;&nbsp;
0185	1	195&nbsp;&nbsp;
0186	1	240&nbsp;&nbsp;
0187	1	247&nbsp;&nbsp;
0188	1	230&nbsp;&nbsp;
0189	1	225&nbsp;&nbsp;
0190	1	240&nbsp;&nbsp;
0191	1	230&nbsp;&nbsp;
0192	1	254&nbsp;&nbsp;
0193	1	245&nbsp;&nbsp;
0194	1	180&nbsp;&nbsp;
0195	1	207&nbsp;&nbsp;
0196	1	215&nbsp;&nbsp;
0197	1	208&nbsp;&nbsp;
0198	1	225&nbsp;&nbsp;
0199	1	248&nbsp;&nbsp;
0200	1	245&nbsp;&nbsp;
0201	1	210&nbsp;&nbsp;
0202	1	175&nbsp;&nbsp;
0203	1	220&nbsp;&nbsp;
0204	1	250&nbsp;&nbsp;
0205	1	202&nbsp;&nbsp;
0206	1	250&nbsp;&nbsp;
0207	1	200&nbsp;&nbsp;
0208	1	210&nbsp;&nbsp;
0209	1	215&nbsp;&nbsp;
0210	1	220&nbsp;&nbsp;
0211	1	268&nbsp;&nbsp;
0212	1	245&nbsp;&nbsp;
0213	1	210&nbsp;&nbsp;
0214	1	245&nbsp;&nbsp;
0215	1	229&nbsp;&nbsp;
0216	1	205&nbsp;&nbsp;
0217	1	235&nbsp;&nbsp;
0218	1	243&nbsp;&nbsp;
0219	1	225&nbsp;&nbsp;
0220	1	200&nbsp;&nbsp;
0221	1	240&nbsp;&nbsp;
0222	1	205&nbsp;&nbsp;
0223	1	185&nbsp;&nbsp;
0224	1	180&nbsp;&nbsp;
0225	1	245&nbsp;&nbsp;
0226	1	250&nbsp;&nbsp;
0227	1	200&nbsp;&nbsp;
0228	1	235&nbsp;&nbsp;
0229	1	240&nbsp;&nbsp;
0230	1	220&nbsp;&nbsp;
0231	1	210&nbsp;&nbsp;
0232	1	215&nbsp;&nbsp;
0233	1	195&nbsp;&nbsp;
0234	1	215&nbsp;&nbsp;
0235	1	249&nbsp;&nbsp;
0236	1	250&nbsp;&nbsp;
0237	1	215&nbsp;&nbsp;
0238	1	213&nbsp;&nbsp;
0239	1	240&nbsp;&nbsp;
0240	1	220&nbsp;&nbsp;
0241	1	251&nbsp;&nbsp;
0242	1	265&nbsp;&nbsp;
0243	1	256&nbsp;&nbsp;
0244	1	265&nbsp;&nbsp;
0245	1	205&nbsp;&nbsp;
0246	1	260&nbsp;&nbsp;
0247	1	226&nbsp;&nbsp;
0248	1	172&nbsp;&nbsp;
0249	1	210&nbsp;&nbsp;
0250	1	205&nbsp;&nbsp;
0251	1	285&nbsp;&nbsp;
0252	1	275&nbsp;&nbsp;
0253	1	215&nbsp;&nbsp;
0254	1	210&nbsp;&nbsp;
0255	1	250&nbsp;&nbsp;
0256	1	230&nbsp;&nbsp;
0257	1	235&nbsp;&nbsp;
0258	1	205&nbsp;&nbsp;
0259	1	235&nbsp;&nbsp;
0260	1	245&nbsp;&nbsp;
0261	1	225&nbsp;&nbsp;
0262	1	190&nbsp;&nbsp;
0263	1	225&nbsp;&nbsp;
0264	1	245&nbsp;&nbsp;
0265	1	225&nbsp;&nbsp;
0266	1	234&nbsp;&nbsp;
0267	1	255&nbsp;&nbsp;
0268	1	178&nbsp;&nbsp;
0269	1	225&nbsp;&nbsp;
0270	1	220&nbsp;&nbsp;
0271	1	219&nbsp;&nbsp;
