nbaplayer	msnca	height
434	434	434	20
0000	1	6-2
0001	1	7-0
0002	1	6-5
0003	1	6-4
0004	1	6-5
0005	1	6-10
0006	1	6-7
0007	1	6-11
0008	1	6-9
0009	1	6-9
0010	1	6-7
0011	1	6-2
0012	1	6-10
0013	1	6-6
0014	1	6-9
0015	1	6-5
0016	1	6-2
0017	1	6-6
0018	1	6-9
0019	1	7-0
0020	1	6-11
0021	1	6-8
0022	1	6-11
0023	1	7-1
0024	1	6-10
0025	1	6-7
0026	1	5-9
0027	1	6-1
0028	1	6-5
0029	1	6-3
0030	1	6-11
0031	1	6-8
0032	1	6-2
0033	1	6-5
0034	1	7-0
0035	1	6-3
0036	1	6-3
0037	1	7-0
0038	1	6-9
0039	1	6-10
0040	1	6-0
0041	1	6-6
0042	1	7-0
0043	1	6-4
0044	1	6-9
0045	1	7-0
0046	1	6-5
0047	1	6-9
0048	1	6-7
0049	1	6-9
0050	1	6-9
0051	1	6-9
0052	1	6-7
0053	1	5-11
0054	1	6-11
0055	1	6-3
0056	1	6-9
0057	1	6-9
0058	1	6-2
0059	1	6-5
0060	1	6-2
0061	1	6-7
0062	1	6-5
0063	1	6-9
0064	1	7-0
0065	1	6-9
0066	1	6-8
0067	1	6-6
0068	1	6-8
0069	1	6-9
0070	1	6-3
0071	1	6-11
0072	1	6-9
0073	1	6-1
0074	1	7-0
0075	1	6-0
0076	1	6-2
0077	1	6-7
0078	1	6-8
0079	1	7-1
0080	1	7-0
0081	1	6-4
0082	1	6-4
0083	1	6-11
0084	1	6-7
0085	1	6-10
0086	1	7-0
0087	1	6-5
0088	1	6-2
0089	1	6-5
0090	1	6-10
0091	1	6-8
0092	1	6-8
0093	1	6-3
0094	1	6-2
0095	1	6-10
0096	1	6-7
0097	1	6-9
0098	1	6-11
0099	1	5-11
0100	1	6-9
0101	1	6-6
0102	1	6-9
0103	1	6-0
0104	1	6-11
0105	1	6-3
0106	1	6-7
0107	1	6-10
0108	1	6-7
0109	1	6-8
0110	1	6-11
0111	1	6-9
0112	1	6-5
0113	1	6-8
0114	1	6-11
0115	1	6-9
0116	1	6-5
0117	1	6-10
0118	1	6-7
0119	1	6-9
0120	1	6-3
0121	1	7-0
0122	1	6-7
0123	1	6-3
0124	1	6-3
0125	1	6-11
0126	1	6-9
0127	1	6-3
0128	1	6-10
0129	1	6-10
0130	1	6-6
0131	1	6-10
0132	1	6-9
0133	1	6-8
0134	1	6-0
0135	1	6-7
0136	1	6-6
0137	1	6-10
0138	1	6-11
0139	1	6-5
0140	1	6-0
0141	1	6-7
0142	1	7-0
0143	1	7-6
0144	1	6-9
0145	1	6-9
0146	1	6-0
0147	1	6-4
0148	1	6-0
0149	1	6-9
0150	1	6-0
0151	1	6-11
0152	1	6-8
0153	1	6-9
0154	1	6-9
0155	1	7-2
0156	1	6-6
0157	1	6-10
0158	1	6-10
0159	1	6-8
0160	1	6-2
0161	1	6-6
0162	1	6-5
0163	1	6-9
0164	1	6-1
0165	1	6-7
0166	1	6-11
0167	1	6-9
0168	1	6-3
0169	1	6-4
0170	1	6-7
0171	1	6-3
0172	1	6-10
0173	1	6-11
0174	1	7-0
0175	1	6-7
0176	1	6-4
0177	1	6-7
0178	1	6-7
0179	1	6-3
0180	1	6-4
0181	1	6-6
0182	1	7-0
0183	1	6-9
0184	1	6-9
