nbaplayer	msnca	weight
434	434	434	86
0000	1	195
0001	1	265
0002	1	200
0003	1	195
0004	1	220
0005	1	245
0006	1	240
0007	1	275
0008	1	240
0009	1	240
0010	1	225
0011	1	180
0012	1	260
0013	1	225
0014	1	240
0015	1	205
0016	1	195
0017	1	200
0018	1	295
0019	1	240
0020	1	253
0021	1	246
0022	1	268
0023	1	325
0024	1	275
0025	1	235
0026	1	180
0027	1	186
0028	1	220
0029	1	195
0030	1	245
0031	1	210
0032	1	205
0033	1	200
0034	1	270
0035	1	201
0036	1	200
0037	1	255
0038	1	235
0039	1	255
0040	1	175
0041	1	225
0042	1	240
0043	1	205
0044	1	240
0045	1	255
0046	1	215
0047	1	266
0048	1	227
0049	1	220
0050	1	225
0051	1	245
0052	1	212
0053	1	165
0054	1	232
0055	1	190
0056	1	235
0057	1	230
0058	1	175
0059	1	210
0060	1	200
0061	1	225
0062	1	192
0063	1	242
0064	1	240
0065	1	235
0066	1	205
0067	1	210
0068	1	240
0069	1	260
0070	1	190
0071	1	260
0072	1	225
0073	1	195
0074	1	262
0075	1	175
0076	1	182
0077	1	228
0078	1	241
0079	1	235
0080	1	263
0081	1	215
0082	1	210
0083	1	230
0084	1	228
0085	1	220
0086	1	245
0087	1	218
0088	1	180
0089	1	215
0090	1	230
0091	1	238
0092	1	210
0093	1	202
0094	1	195
0095	1	245
0096	1	220
0097	1	250
0098	1	250
0099	1	195
0100	1	240
0101	1	220
0102	1	250
0103	1	185
0104	1	205
0105	1	200
0106	1	193
0107	1	231
0108	1	260
0109	1	223
0110	1	253
0111	1	215
0112	1	205
0113	1	240
0114	1	232
0115	1	240
0116	1	213
0117	1	235
0118	1	243
0119	1	225
0120	1	200
0121	1	240
0122	1	205
0123	1	185
0124	1	180
0125	1	245
0126	1	250
0127	1	200
0128	1	235
0129	1	240
0130	1	210
0131	1	220
0132	1	210
0133	1	220
0134	1	161
0135	1	218
0136	1	238
0137	1	235
0138	1	240
0139	1	200
0140	1	205
0141	1	185
0142	1	261
0143	1	310
0144	1	235
0145	1	245
0146	1	175
0147	1	210
0148	1	160
0149	1	230
0150	1	165
0151	1	250
0152	1	210
0153	1	228
0154	1	250
0155	1	278
0156	1	210
0157	1	245
0158	1	240
0159	1	217
0160	1	181
0161	1	210
0162	1	210
0163	1	215
0164	1	195
0165	1	215
0166	1	249
0167	1	250
0168	1	215
0169	1	213
0170	1	240
0171	1	220
0172	1	251
0173	1	265
0174	1	256
0175	1	265
0176	1	205
0177	1	260
0178	1	226
0179	1	172
0180	1	210
0181	1	205
0182	1	285
0183	1	275
0184	1	215
0185	1	210
0186	1	250
0187	1	230
0188	1	235
0189	1	205
0190	1	235
0191	1	245
0192	1	200
0193	1	235
0194	1	190
0195	1	265
0196	1	235
0197	1	190
0198	1	250
0199	1	260
0200	1	250
0201	1	215
0202	1	255
0203	1	218
0204	1	308
0205	1	220
0206	1	260
0207	1	135
0208	1	255
0209	1	230
0210	1	195
0211	1	210
0212	1	250
0213	1	235
0214	1	169
0215	1	225
0216	1	230
0217	1	215
0218	1	207
0219	1	235
0220	1	265
0221	1	230
0222	1	188
0223	1	200
0224	1	195
0225	1	195
0226	1	225
0227	1	215
0228	1	275
0229	1	260
0230	1	275
0231	1	290
0232	1	175
0233	1	170
0234	1	240
0235	1	230
0236	1	180
0237	1	246
0238	1	215
0239	1	190
0240	1	235
0241	1	220
0242	1	265
0243	1	210
0244	1	245
0245	1	207
0246	1	247
0247	1	193
0248	1	225
0249	1	205
0250	1	220
0251	1	215
0252	1	225
0253	1	295
0254	1	185
0255	1	205
0256	1	210
0257	1	225
0258	1	205
0259	1	250
0260	1	225
0261	1	195
0262	1	240
0263	1	247
0264	1	230
0265	1	225
0266	1	255
0267	1	240
0268	1	250
0269	1	220
0270	1	190
0271	1	240
0272	1	265
0273	1	230
0274	1	190
0275	1	255
0276	1	215
0277	1	190
0278	1	228
0279	1	190
0280	1	240
0281	1	230
