nbaplayer	nba	height
434	434	434	20
0000	1	6-2&nbsp;/&nbsp;1.88
0001	1	7-0&nbsp;/&nbsp;2.13
0002	1	6-5&nbsp;/&nbsp;1.96
0003	1	6-4&nbsp;/&nbsp;1.93
0004	1	6-5&nbsp;/&nbsp;1.96
0005	1	6-10&nbsp;/&nbsp;2.08
0006	1	6-7&nbsp;/&nbsp;2.01
0007	1	6-11&nbsp;/&nbsp;2.11
0008	1	6-9&nbsp;/&nbsp;2.06
0009	1	6-9&nbsp;/&nbsp;2.06
0010	1	6-7&nbsp;/&nbsp;2.01
0011	1	6-2&nbsp;/&nbsp;1.88
0012	1	6-10&nbsp;/&nbsp;2.08
0013	1	6-6&nbsp;/&nbsp;1.98
0014	1	6-9&nbsp;/&nbsp;2.06
0015	1	7-0&nbsp;/&nbsp;2.13
0016	1	5-5&nbsp;/&nbsp;1.65
0017	1	6-7&nbsp;/&nbsp;2.01
0018	1	6-6&nbsp;/&nbsp;1.98
0019	1	6-3&nbsp;/&nbsp;1.91
0020	1	6-7&nbsp;/&nbsp;2.01
0021	1	6-10&nbsp;/&nbsp;2.08
0022	1	6-10&nbsp;/&nbsp;2.08
0023	1	6-1&nbsp;/&nbsp;1.85
0024	1	6-6&nbsp;/&nbsp;1.98
0025	1	6-8&nbsp;/&nbsp;2.03
0026	1	6-6&nbsp;/&nbsp;1.98
0027	1	6-6&nbsp;/&nbsp;1.98
0028	1	6-11&nbsp;/&nbsp;2.11
0029	1	6-9&nbsp;/&nbsp;2.06
0030	1	7-0&nbsp;/&nbsp;2.13
0031	1	6-0&nbsp;/&nbsp;1.83
0032	1	6-0&nbsp;/&nbsp;1.83
0033	1	6-7&nbsp;/&nbsp;2.01
0034	1	6-8&nbsp;/&nbsp;2.03
0035	1	7-1&nbsp;/&nbsp;2.16
0036	1	7-0&nbsp;/&nbsp;2.13
0037	1	6-5&nbsp;/&nbsp;1.96
0038	1	6-4&nbsp;/&nbsp;1.93
0039	1	6-11&nbsp;/&nbsp;2.11
0040	1	6-7&nbsp;/&nbsp;2.01
0041	1	6-10&nbsp;/&nbsp;2.08
0042	1	7-0&nbsp;/&nbsp;2.13
0043	1	6-5&nbsp;/&nbsp;1.96
0044	1	6-2&nbsp;/&nbsp;1.88
0045	1	6-11&nbsp;/&nbsp;2.11
0046	1	6-10&nbsp;/&nbsp;2.08
0047	1	6-5&nbsp;/&nbsp;1.96
0048	1	6-9&nbsp;/&nbsp;2.06
0049	1	6-9&nbsp;/&nbsp;2.06
0050	1	6-5&nbsp;/&nbsp;1.96
0051	1	6-10&nbsp;/&nbsp;2.08
0052	1	6-4&nbsp;/&nbsp;1.93
0053	1	7-0&nbsp;/&nbsp;2.13
0054	1	6-3&nbsp;/&nbsp;1.91
0055	1	7-0&nbsp;/&nbsp;2.13
0056	1	6-7&nbsp;/&nbsp;2.01
0057	1	6-7&nbsp;/&nbsp;2.01
0058	1	6-3&nbsp;/&nbsp;1.91
0059	1	6-9&nbsp;/&nbsp;2.06
0060	1	6-5&nbsp;/&nbsp;1.96
0061	1	6-10&nbsp;/&nbsp;2.08
0062	1	6-8&nbsp;/&nbsp;2.03
0063	1	6-8&nbsp;/&nbsp;2.03
0064	1	6-3&nbsp;/&nbsp;1.91
0065	1	6-2&nbsp;/&nbsp;1.88
0066	1	6-10&nbsp;/&nbsp;2.08
0067	1	6-7&nbsp;/&nbsp;2.01
0068	1	6-9&nbsp;/&nbsp;2.06
0069	1	5-11&nbsp;/&nbsp;1.80
0070	1	6-9&nbsp;/&nbsp;2.06
0071	1	6-11&nbsp;/&nbsp;2.11
0072	1	6-6&nbsp;/&nbsp;1.98
