nbaplayer	nba	weight
434	434	434	82
0000	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0001	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0002	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0003	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0004	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0005	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0006	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0007	1	275 lbs.&nbsp;/&nbsp;124.7 kg.
0008	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0009	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0010	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0011	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0012	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0013	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0014	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0015	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0016	1	133 lbs.&nbsp;/&nbsp;60.3 kg.
0017	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0018	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0019	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0020	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0021	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0022	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0023	1	169 lbs.&nbsp;/&nbsp;76.7 kg.
0024	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0025	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0026	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0027	1	207 lbs.&nbsp;/&nbsp;93.9 kg.
0028	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0029	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0030	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0031	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0032	1	170 lbs.&nbsp;/&nbsp;77.1 kg.
0033	1	228 lbs.&nbsp;/&nbsp;103.4 kg.
0034	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0035	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0036	1	263 lbs.&nbsp;/&nbsp;119.3 kg.
0037	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0038	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0039	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0040	1	228 lbs.&nbsp;/&nbsp;103.4 kg.
0041	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0042	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0043	1	218 lbs.&nbsp;/&nbsp;98.9 kg.
0044	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0045	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0046	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0047	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0048	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0049	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0050	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0051	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0052	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0053	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0054	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0055	1	275 lbs.&nbsp;/&nbsp;124.7 kg.
0056	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0057	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0058	1	187 lbs.&nbsp;/&nbsp;84.8 kg.
0059	1	251 lbs.&nbsp;/&nbsp;113.9 kg.
0060	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0061	1	228 lbs.&nbsp;/&nbsp;103.4 kg.
0062	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0063	1	208 lbs.&nbsp;/&nbsp;94.3 kg.
0064	1	202 lbs.&nbsp;/&nbsp;91.6 kg.
0065	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0066	1	261 lbs.&nbsp;/&nbsp;118.4 kg.
0067	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0068	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0069	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0070	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0071	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0072	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0073	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0074	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0075	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0076	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0077	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0078	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0079	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0080	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0081	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0082	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0083	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0084	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0085	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0086	1	228 lbs.&nbsp;/&nbsp;103.4 kg.
0087	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0088	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0089	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0090	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0091	1	193 lbs.&nbsp;/&nbsp;87.5 kg.
0092	1	231 lbs.&nbsp;/&nbsp;104.8 kg.
0093	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0094	1	223 lbs.&nbsp;/&nbsp;101.2 kg.
0095	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0096	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0097	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0098	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0099	1	232 lbs.&nbsp;/&nbsp;105.2 kg.
0100	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0101	1	213 lbs.&nbsp;/&nbsp;96.6 kg.
0102	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0103	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0104	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0105	1	254 lbs.&nbsp;/&nbsp;115.2 kg.
0106	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0107	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
