nbaplayer	si	height
515	515	515	20
0000	1	&nbsp;6'11"
0001	1	&nbsp;6'10"
0002	1	&nbsp;6'9"
0003	1	&nbsp;7'1"
0004	1	&nbsp;6'4"
0005	1	&nbsp;6'6"
0006	1	&nbsp;6'0"
0007	1	&nbsp;6'8"
0008	1	&nbsp;6'4"
0009	1	&nbsp;6'7"
0010	1	&nbsp;6'11"
0011	1	&nbsp;6'9"
0012	1	&nbsp;6'10"
0013	1	&nbsp;6'7"
0014	1	&nbsp;6'1"
0015	1	&nbsp;6'8"
0016	1	&nbsp;6'5"
0017	1	&nbsp;6'2"
0018	1	&nbsp;6'6"
0019	1	&nbsp;6'9"
0020	1	&nbsp;7'0"
0021	1	&nbsp;6'7"
0022	1	&nbsp;6'8"
0023	1	&nbsp;6'11"
0024	1	&nbsp;6'8"
0025	1	&nbsp;6'2"
0026	1	&nbsp;6'8"
0027	1	&nbsp;7'1"
0028	1	&nbsp;6'11"
0029	1	&nbsp;6'10"
0030	1	&nbsp;6'7"
0031	1	&nbsp;5'9"
0032	1	&nbsp;6'1"
0033	1	&nbsp;6'5"
0034	1	&nbsp;6'3"
0035	1	&nbsp;6'0"
0036	1	&nbsp;6'8"
0037	1	&nbsp;6'11"
0038	1	&nbsp;6'6"
0039	1	&nbsp;5'11"
0040	1	&nbsp;6'5"
0041	1	&nbsp;6'8"
0042	1	&nbsp;7'0"
0043	1	&nbsp;6'5"
0044	1	&nbsp;6'5"
0045	1	&nbsp;6'8"
0046	1	&nbsp;6'7"
0047	1	&nbsp;6'9"
0048	1	&nbsp;6'10"
0049	1	&nbsp;6'8"
0050	1	&nbsp;6'10"
0051	1	&nbsp;6'7"
0052	1	&nbsp;6'2"
0053	1	&nbsp;7'0"
0054	1	&nbsp;6'4"
0055	1	&nbsp;6'5"
0056	1	&nbsp;6'5"
0057	1	&nbsp;6'10"
0058	1	&nbsp;6'7"
0059	1	&nbsp;6'11"
0060	1	&nbsp;6'11"
0061	1	&nbsp;6'9"
0062	1	&nbsp;6'9"
0063	1	&nbsp;6'7"
0064	1	&nbsp;6'2"
0065	1	&nbsp;6'10"
0066	1	&nbsp;6'6"
0067	1	&nbsp;6'9"
0068	1	&nbsp;6'2"
0069	1	&nbsp;6'9"
0070	1	&nbsp;6'2"
0071	1	&nbsp;6'1"
0072	1	&nbsp;6'10"
0073	1	&nbsp;6'7"
0074	1	&nbsp;6'1"
0075	1	&nbsp;6'11"
0076	1	&nbsp;6'7"
0077	1	&nbsp;6'3"
0078	1	&nbsp;6'8"
0079	1	&nbsp;6'1"
0080	1	&nbsp;6'9"
0081	1	&nbsp;7'3"
0082	1	&nbsp;6'8"
0083	1	&nbsp;6'8"
0084	1	&nbsp;6'11"
0085	1	&nbsp;6'8"
0086	1	&nbsp;6'10"
0087	1	&nbsp;6'10"
0088	1	&nbsp;6'4"
0089	1	&nbsp;6'10"
0090	1	&nbsp;6'10"
0091	1	&nbsp;6'8"
0092	1	&nbsp;6'6"
0093	1	&nbsp;6'1"
0094	1	&nbsp;6'11"
0095	1	&nbsp;6'11"
0096	1	&nbsp;6'3"
0097	1	&nbsp;6'10"
0098	1	&nbsp;6'0"
0099	1	&nbsp;6'10"
0100	1	&nbsp;6'6"
0101	1	&nbsp;6'4"
0102	1	&nbsp;6'6"
0103	1	&nbsp;6'1"
0104	1	&nbsp;6'4"
0105	1	&nbsp;6'11"
0106	1	&nbsp;6'11"
0107	1	&nbsp;6'8"
0108	1	&nbsp;6'6"
0109	1	&nbsp;6'6"
0110	1	&nbsp;6'4"
0111	1	&nbsp;6'7"
0112	1	&nbsp;7'0"
0113	1	&nbsp;6'7"
0114	1	&nbsp;7'0"
0115	1	&nbsp;6'8"
0116	1	&nbsp;7'0"
0117	1	&nbsp;6'9"
0118	1	&nbsp;6'8"
0119	1	&nbsp;6'4"
0120	1	&nbsp;6'7"
0121	1	&nbsp;6'5"
0122	1	&nbsp;7'0"
0123	1	&nbsp;6'9"
0124	1	&nbsp;7'1"
0125	1	&nbsp;6'9"
0126	1	&nbsp;6'5"
0127	1	&nbsp;6'10"
0128	1	&nbsp;6'9"
0129	1	&nbsp;6'6"
0130	1	&nbsp;6'8"
0131	1	&nbsp;6'11"
0132	1	&nbsp;6'2"
0133	1	&nbsp;6'1"
0134	1	&nbsp;6'3"
0135	1	&nbsp;6'5"
0136	1	&nbsp;6'10"
0137	1	&nbsp;6'8"
0138	1	&nbsp;6'8"
0139	1	&nbsp;6'3"
0140	1	&nbsp;6'2"
0141	1	&nbsp;6'10"
0142	1	&nbsp;6'7"
0143	1	&nbsp;6'9"
0144	1	&nbsp;6'11"
0145	1	&nbsp;5'11"
0146	1	&nbsp;6'9"
0147	1	&nbsp;6'10"
0148	1	&nbsp;6'6"
0149	1	&nbsp;6'9"
0150	1	&nbsp;6'11"
0151	1	&nbsp;6'10"
0152	1	&nbsp;6'5"
0153	1	&nbsp;6'9"
0154	1	&nbsp;6'9"
0155	1	&nbsp;6'5"
0156	1	&nbsp;6'10"
0157	1	&nbsp;6'4"
0158	1	&nbsp;7'0"
0159	1	&nbsp;6'3"
0160	1	&nbsp;7'0"
0161	1	&nbsp;6'2"
0162	1	&nbsp;6'7"
0163	1	&nbsp;6'7"
0164	1	&nbsp;6'3"
0165	1	&nbsp;6'9"
0166	1	&nbsp;6'10"
0167	1	&nbsp;6'9"
0168	1	&nbsp;6'4"
0169	1	&nbsp;6'0"
0170	1	&nbsp;6'1"
0171	1	&nbsp;6'6"
0172	1	&nbsp;6'10"
0173	1	&nbsp;6'7"
0174	1	&nbsp;7'0"
0175	1	&nbsp;6'10"
0176	1	&nbsp;7'0"
0177	1	&nbsp;6'7"
0178	1	&nbsp;7'0"
0179	1	&nbsp;6'11"
0180	1	&nbsp;6'2"
0181	1	&nbsp;6'0"
0182	1	&nbsp;6'9"
0183	1	&nbsp;6'7"
0184	1	&nbsp;6'11"
0185	1	&nbsp;6'9"
0186	1	&nbsp;6'8"
0187	1	&nbsp;6'11"
0188	1	&nbsp;6'8"
0189	1	&nbsp;6'1"
0190	1	&nbsp;6'6"
0191	1	&nbsp;7'0"
0192	1	&nbsp;6'3"
0193	1	&nbsp;6'10"
0194	1	&nbsp;6'5"
0195	1	&nbsp;6'2"
0196	1	&nbsp;6'0"
0197	1	&nbsp;7'0"
0198	1	&nbsp;6'9"
0199	1	&nbsp;7'1"
0200	1	&nbsp;6'6"
0201	1	&nbsp;6'9"
0202	1	&nbsp;6'5"
0203	1	&nbsp;6'5"
0204	1	&nbsp;7'0"
0205	1	&nbsp;6'8"
0206	1	&nbsp;6'11"
0207	1	&nbsp;6'2"
0208	1	&nbsp;6'1"
0209	1	&nbsp;6'7"
0210	1	&nbsp;6'10"
0211	1	&nbsp;7'0"
0212	1	&nbsp;6'5"
0213	1	&nbsp;7'1"
0214	1	&nbsp;6'11"
0215	1	&nbsp;6'4"
0216	1	&nbsp;6'3"
0217	1	&nbsp;6'10"
0218	1	&nbsp;6'10"
0219	1	&nbsp;6'6"
0220	1	&nbsp;6'9"
0221	1	&nbsp;6'9"
0222	1	&nbsp;6'1"
0223	1	&nbsp;6'2"
0224	1	&nbsp;6'7"
0225	1	&nbsp;6'11"
0226	1	&nbsp;6'9"
0227	1	&nbsp;6'3"
0228	1	&nbsp;6'4"
0229	1	&nbsp;6'7"
0230	1	&nbsp;6'3"
0231	1	&nbsp;6'10"
0232	1	&nbsp;6'11"
0233	1	&nbsp;7'0"
0234	1	&nbsp;6'7"
0235	1	&nbsp;6'11"
0236	1	&nbsp;6'4"
0237	1	&nbsp;6'9"
0238	1	&nbsp;6'11"
0239	1	&nbsp;6'5"
0240	1	&nbsp;6'11"
