nbaplayer	si	name
515	515	515	515
0000	1	Tony Battie
0001	1	Craig Brackins
0002	1	Elton Brand
0003	1	Spencer Hawes
0004	1	Jrue Holiday
0005	1	Andre Iguodala
0006	1	Allen Iverson
0007	1	Jason Kapono
0008	1	Jodie Meeks
0009	1	Andres Nocioni
0010	1	Trent Plaisted
0011	1	Darius Songaila
0012	1	Marreese Speights
0013	1	Evan Turner
0014	1	Louis Williams
0015	1	Thaddeus Young
0016	1	Ray Allen
0017	1	Avery Bradley
0018	1	Marquis Daniels
0019	1	Glen Davis
0020	1	Semih Erden
0021	1	Michael Finley
0022	1	Tony Gaffney
0023	1	Kevin Garnett
0024	1	Luke Harangody
0025	1	Oliver Lafayette
0026	1	Stephane Lasme
0027	1	Shaquille O'Neal
0028	1	Jermaine O'Neal
0029	1	Kendrick Perkins
0030	1	Paul Pierce
0031	1	Nate Robinson
0032	1	Rajon Rondo
0033	1	Von Wafer
0034	1	Delonte West
0035	1	D.J. Augustin
0036	1	Derrick Brown
0037	1	Kwame Brown
0038	1	Matt Carroll
0039	1	Sherron Collins
0040	1	Javaris Crittenton
0041	1	Boris Diaw
0042	1	DeSagana Diop
0043	1	Gerald Henderson
0044	1	Larry Hughes
0045	1	Stephen Jackson
0046	1	Shaun Livingston
0047	1	Dominic McGuire
0048	1	Nazr Mohammed
0049	1	Eduardo Najera
0050	1	Tyrus Thomas
0051	1	Gerald Wallace
0052	1	Mike Bibby
0053	1	Jason Collins
0054	1	Jordan Crawford
0055	1	Jamal Crawford
0056	1	Maurice Evans
0057	1	Al Horford
0058	1	Joe Johnson
0059	1	Randolph Morris
0060	1	Zaza Pachulia
0061	1	Josh Powell
0062	1	Josh Smith
0063	1	Pape Sy
0064	1	Jeff Teague
0065	1	Etan Thomas
0066	1	Damien Wilkins
0067	1	Marvin Williams
0068	1	Rafer Alston
0069	1	Joel Anthony
0070	1	Carlos Arroyo
0071	1	Patrick Beverley
0072	1	Chris Bosh
0073	1	Da'Sean Butler
0074	1	Mario Chalmers
0075	1	Erick Dampier
0076	1	Yakhouba Diawara
0077	1	Kenny Hasbrouck
0078	1	Udonis Haslem
0079	1	Eddie House
0080	1	Juwan Howard
0081	1	Zydrunas Ilgauskas
0082	1	LeBron James
0083	1	James Jones
0084	1	Jamaal Magloire
0085	1	Mike Miller
0086	1	Dexter Pittman
0087	1	Shavlik Randolph
0088	1	Dwyane Wade
0089	1	Malik Allen
0090	1	Ryan Anderson
0091	1	Brandon Bass
0092	1	Vince Carter
0093	1	Chris Duhon
0094	1	Marcin Gortat
0095	1	Dwight Howard
0096	1	Anthony Johnson
0097	1	Rashard Lewis
0098	1	Jameer Nelson
0099	1	Daniel Orton
0100	1	Mickael Pietrus
0101	1	J.J. Redick
0102	1	Quentin Richardson
0103	1	Jason Williams
0104	1	Gilbert Arenas
0105	1	Hilton Armstrong
0106	1	Andray Blatche
0107	1	Trevor Booker
0108	1	Mardy Collins
0109	1	Alonzo Gee
0110	1	Kirk Hinrich
0111	1	Josh Howard
0112	1	Yi Jianlian
0113	1	Cartier Martin
0114	1	JaVale McGee
0115	1	Adam Morrison
0116	1	Hamady N'diaye
0117	1	Kevin Seraphin
0118	1	Al Thornton
0119	1	John Wall
0120	1	Nick Young
0121	1	Raja Bell
0122	1	Francisco Elson
0123	1	Jeremy Evans
0124	1	Kyrylo Fesenko
0125	1	Gordon Hayward
0126	1	Othyus Jeffers
0127	1	Al Jefferson
0128	1	Andrei Kirilenko
0129	1	C.J. Miles
0130	1	Paul Millsap
0131	1	Mehmet Okur
0132	1	Ronnie Price
0133	1	Earl Watson
0134	1	Deron Williams
0135	1	Arron Afflalo
0136	1	Chris Andersen
0137	1	Carmelo Anthony
0138	1	Renaldo Balkman
0139	1	Chauncey Billups
0140	1	Anthony Carter
0141	1	Melvin Ely
0142	1	Gary Forbes
0143	1	Al Harrington
0144	1	Nene Hilario
0145	1	Ty Lawson
0146	1	Kenyon Martin
0147	1	Courtney Sims
0148	1	J.R. Smith
0149	1	Shelden Williams
0150	1	Cole Aldrich
0151	1	Nick Collison
0152	1	Daequan Cook
0153	1	Kevin Durant
0154	1	Jeff Green
0155	1	James Harden
0156	1	Serge Ibaka
0157	1	Royal Ivey
0158	1	Nenad Krstic
0159	1	Eric Maynor
0160	1	Byron Mullens
0161	1	Kevin Ollie
0162	1	Morris Peterson
0163	1	Thabo Sefolosha
0164	1	Russell Westbrook
