nbaplayer	si	team
515	515	515	30
0000	1	76ers
0001	1	76ers
0002	1	76ers
0003	1	76ers
0004	1	76ers
0005	1	76ers
0006	1	76ers
0007	1	76ers
0008	1	76ers
0009	1	76ers
0010	1	Pistons
0011	1	76ers
0012	1	76ers
0013	1	76ers
0014	1	76ers
0015	1	76ers
0016	1	Celtics
0017	1	Celtics
0018	1	Celtics
0019	1	Celtics
0020	1	Celtics
0021	1	Celtics
0022	1	Celtics
0023	1	Celtics
0024	1	Celtics
0025	1	Celtics
0026	1	Heat
0027	1	Celtics
0028	1	Celtics
0029	1	Celtics
0030	1	Celtics
0031	1	Celtics
0032	1	Celtics
0033	1	Celtics
0034	1	Celtics
0035	1	Bobcats
0036	1	Bobcats
0037	1	Bobcats
0038	1	Bobcats
0039	1	Bobcats
0040	1	Wizards
0041	1	Bobcats
0042	1	Bobcats
0043	1	Bobcats
0044	1	Bobcats
0045	1	Bobcats
0046	1	Bobcats
0047	1	Bobcats
0048	1	Bobcats
0049	1	Bobcats
0050	1	Bobcats
0051	1	Bobcats
0052	1	Hawks
0053	1	Hawks
0054	1	Hawks
0055	1	Hawks
0056	1	Hawks
0057	1	Hawks
0058	1	Hawks
0059	1	Hawks
0060	1	Hawks
0061	1	Hawks
0062	1	Hawks
0063	1	Hawks
0064	1	Hawks
0065	1	Hawks
0066	1	Hawks
0067	1	Hawks
0068	1	Heat
0069	1	Heat
0070	1	Heat
0071	1	Heat
0072	1	Heat
0073	1	Heat
0074	1	Heat
0075	1	Heat
0076	1	Heat
0077	1	Heat
0078	1	Heat
0079	1	Heat
0080	1	Heat
0081	1	Heat
0082	1	Heat
0083	1	Heat
0084	1	Heat
0085	1	Heat
0086	1	Heat
0087	1	Heat
0088	1	Heat
0089	1	Magic
0090	1	Magic
0091	1	Magic
0092	1	Magic
0093	1	Magic
0094	1	Magic
0095	1	Magic
0096	1	Magic
0097	1	Magic
0098	1	Magic
0099	1	Magic
0100	1	Magic
0101	1	Magic
0102	1	Magic
0103	1	Magic
0104	1	Wizards
0105	1	Wizards
0106	1	Wizards
0107	1	Wizards
0108	1	Clippers
0109	1	Wizards
0110	1	Wizards
0111	1	Wizards
0112	1	Wizards
0113	1	Wizards
0114	1	Wizards
0115	1	Lakers
0116	1	Wizards
0117	1	Wizards
0118	1	Wizards
0119	1	Wizards
0120	1	Wizards
0121	1	Jazz
0122	1	Jazz
0123	1	Jazz
0124	1	Jazz
0125	1	Jazz
0126	1	Jazz
0127	1	Jazz
0128	1	Jazz
0129	1	Jazz
0130	1	Jazz
0131	1	Jazz
0132	1	Jazz
0133	1	Jazz
0134	1	Jazz
0135	1	Nuggets
0136	1	Nuggets
0137	1	Nuggets
0138	1	Nuggets
0139	1	Nuggets
0140	1	Nuggets
0141	1	Nuggets
0142	1	Nuggets
0143	1	Nuggets
0144	1	Nuggets
0145	1	Nuggets
0146	1	Nuggets
0147	1	Hawks
0148	1	Nuggets
0149	1	Nuggets
0150	1	Thunder
0151	1	Thunder
0152	1	Thunder
0153	1	Thunder
0154	1	Thunder
0155	1	Thunder
0156	1	Thunder
0157	1	Thunder
0158	1	Thunder
0159	1	Thunder
0160	1	Thunder
0161	1	Thunder
0162	1	Thunder
0163	1	Thunder
0164	1	Thunder
0165	1	Thunder
0166	1	Timberwolves
0167	1	Timberwolves
0168	1	Timberwolves
0169	1	Timberwolves
0170	1	Timberwolves
0171	1	Timberwolves
0172	1	Timberwolves
0173	1	Timberwolves
0174	1	Timberwolves
0175	1	Timberwolves
0176	1	Timberwolves
0177	1	Timberwolves
0178	1	Timberwolves
0179	1	Timberwolves
0180	1	Timberwolves
0181	1	Timberwolves
0182	1	Timberwolves
0183	1	Timberwolves
0184	1	Trail Blazers
0185	1	Trail Blazers
0186	1	Trail Blazers
0187	1	Trail Blazers
0188	1	Trail Blazers
0189	1	Trail Blazers
0190	1	Trail Blazers
0191	1	Bulls
0192	1	Trail Blazers
0193	1	Trail Blazers
0194	1	Trail Blazers
0195	1	Trail Blazers
0196	1	Trail Blazers
0197	1	Trail Blazers
0198	1	Trail Blazers
0199	1	Trail Blazers
0200	1	Trail Blazers
0201	1	Suns
0202	1	Trail Blazers
0203	1	Knicks
0204	1	Knicks
0205	1	Knicks
0206	1	Knicks
0207	1	Knicks
0208	1	Knicks
0209	1	Knicks
0210	1	Knicks
0211	1	Knicks
0212	1	Knicks
0213	1	Knicks
0214	1	Knicks
0215	1	Knicks
0216	1	Knicks
0217	1	Knicks
0218	1	Knicks
0219	1	Knicks
0220	1	Knicks
0221	1	Clippers
0222	1	Clippers
0223	1	Clippers
0224	1	Clippers
0225	1	Clippers
0226	1	Clippers
0227	1	Clippers
0228	1	Clippers
0229	1	Clippers
0230	1	Clippers
0231	1	Clippers
