nbaplayer	si	weight
515	515	515	93
0000	1	&nbsp;240
0001	1	&nbsp;230
0002	1	&nbsp;254
0003	1	&nbsp;245
0004	1	&nbsp;180
0005	1	&nbsp;207
0006	1	&nbsp;165
0007	1	&nbsp;215
0008	1	&nbsp;208
0009	1	&nbsp;225
0010	1	&nbsp;245
0011	1	&nbsp;248
0012	1	&nbsp;245
0013	1	&nbsp;210
0014	1	&nbsp;175
0015	1	&nbsp;220
0016	1	&nbsp;205
0017	1	&nbsp;195
0018	1	&nbsp;200
0019	1	&nbsp;295
0020	1	&nbsp;240
0021	1	&nbsp;225
0022	1	&nbsp;205
0023	1	&nbsp;253
0024	1	&nbsp;246
0025	1	&nbsp;190
0026	1	&nbsp;220
0027	1	&nbsp;325
0028	1	&nbsp;268
0029	1	&nbsp;278
0030	1	&nbsp;235
0031	1	&nbsp;180
0032	1	&nbsp;186
0033	1	&nbsp;220
0034	1	&nbsp;195
0035	1	&nbsp;180
0036	1	&nbsp;233
0037	1	&nbsp;270
0038	1	&nbsp;212
0039	1	&nbsp;205
0040	1	&nbsp;200
0041	1	&nbsp;245
0042	1	&nbsp;280
0043	1	&nbsp;215
0044	1	&nbsp;185
0045	1	&nbsp;215
0046	1	&nbsp;190
0047	1	&nbsp;235
0048	1	&nbsp;250
0049	1	&nbsp;235
0050	1	&nbsp;225
0051	1	&nbsp;220
0052	1	&nbsp;195
0053	1	&nbsp;265
0054	1	&nbsp;195
0055	1	&nbsp;200
0056	1	&nbsp;220
0057	1	&nbsp;245
0058	1	&nbsp;240
0059	1	&nbsp;260
0060	1	&nbsp;275
0061	1	&nbsp;240
0062	1	&nbsp;240
0063	1	&nbsp;210
0064	1	&nbsp;180
0065	1	&nbsp;260
0066	1	&nbsp;225
0067	1	&nbsp;240
0068	1	&nbsp;175
0069	1	&nbsp;245
0070	1	&nbsp;200
0071	1	&nbsp;180
0072	1	&nbsp;235
0073	1	&nbsp;230
0074	1	&nbsp;190
0075	1	&nbsp;265
0076	1	&nbsp;225
0077	1	&nbsp;194
0078	1	&nbsp;235
0079	1	&nbsp;190
0080	1	&nbsp;250
0081	1	&nbsp;260
0082	1	&nbsp;250
0083	1	&nbsp;215
0084	1	&nbsp;255
0085	1	&nbsp;218
0086	1	&nbsp;290
0087	1	&nbsp;236
0088	1	&nbsp;220
0089	1	&nbsp;255
0090	1	&nbsp;240
0091	1	&nbsp;250
0092	1	&nbsp;220
0093	1	&nbsp;190
0094	1	&nbsp;240
0095	1	&nbsp;265
0096	1	&nbsp;195
0097	1	&nbsp;230
0098	1	&nbsp;190
0099	1	&nbsp;255
0100	1	&nbsp;215
0101	1	&nbsp;190
0102	1	&nbsp;228
0103	1	&nbsp;190
0104	1	&nbsp;215
0105	1	&nbsp;235
0106	1	&nbsp;260
0107	1	&nbsp;240
0108	1	&nbsp;220
0109	1	&nbsp;219
0110	1	&nbsp;190
0111	1	&nbsp;210
0112	1	&nbsp;250
0113	1	&nbsp;220
0114	1	&nbsp;250
0115	1	&nbsp;205
0116	1	&nbsp;235
0117	1	&nbsp;275
0118	1	&nbsp;235
0119	1	&nbsp;195
0120	1	&nbsp;210
0121	1	&nbsp;205
0122	1	&nbsp;240
0123	1	&nbsp;196
0124	1	&nbsp;280
0125	1	&nbsp;207
0126	1	&nbsp;210
0127	1	&nbsp;280
0128	1	&nbsp;235
0129	1	&nbsp;232
0130	1	&nbsp;250
0131	1	&nbsp;273
0132	1	&nbsp;187
0133	1	&nbsp;185
0134	1	&nbsp;207
0135	1	&nbsp;215
0136	1	&nbsp;230
0137	1	&nbsp;238
0138	1	&nbsp;210
0139	1	&nbsp;202
0140	1	&nbsp;195
0141	1	&nbsp;245
0142	1	&nbsp;220
0143	1	&nbsp;250
0144	1	&nbsp;250
0145	1	&nbsp;195
0146	1	&nbsp;230
0147	1	&nbsp;245
0148	1	&nbsp;220
0149	1	&nbsp;250
0150	1	&nbsp;245
0151	1	&nbsp;255
0152	1	&nbsp;210
0153	1	&nbsp;230
0154	1	&nbsp;235
0155	1	&nbsp;220
0156	1	&nbsp;240
0157	1	&nbsp;215
0158	1	&nbsp;240
0159	1	&nbsp;170
0160	1	&nbsp;275
0161	1	&nbsp;195
0162	1	&nbsp;220
0163	1	&nbsp;215
0164	1	&nbsp;190
0165	1	&nbsp;251
0166	1	&nbsp;230
0167	1	&nbsp;188
0168	1	&nbsp;200
0169	1	&nbsp;190
0170	1	&nbsp;195
0171	1	&nbsp;225
0172	1	&nbsp;285
0173	1	&nbsp;215
0174	1	&nbsp;275
0175	1	&nbsp;260
0176	1	&nbsp;275
0177	1	&nbsp;235
0178	1	&nbsp;245
0179	1	&nbsp;290
0180	1	&nbsp;175
0181	1	&nbsp;170
0182	1	&nbsp;240
0183	1	&nbsp;235
0184	1	&nbsp;246
0185	1	&nbsp;217
0186	1	&nbsp;210
0187	1	&nbsp;235
0188	1	&nbsp;227
0189	1	&nbsp;175
0190	1	&nbsp;179
0191	1	&nbsp;245
0192	1	&nbsp;195
0193	1	&nbsp;250
0194	1	&nbsp;200
0195	1	&nbsp;200
0196	1	&nbsp;185
0197	1	&nbsp;285
0198	1	&nbsp;240
0199	1	&nbsp;259
0200	1	&nbsp;211
0201	1	&nbsp;220
0202	1	&nbsp;180
0203	1	&nbsp;220
0204	1	&nbsp;235
0205	1	&nbsp;225
0206	1	&nbsp;300
0207	1	&nbsp;185
0208	1	&nbsp;205
0209	1	&nbsp;210
0210	1	&nbsp;225
0211	1	&nbsp;251
0212	1	&nbsp;205
0213	1	&nbsp;250
0214	1	&nbsp;225
0215	1	&nbsp;195
0216	1	&nbsp;176
0217	1	&nbsp;240
0218	1	&nbsp;247
0219	1	&nbsp;230
0220	1	&nbsp;225
0221	1	&nbsp;215
0222	1	&nbsp;195
0223	1	&nbsp;175
0224	1	&nbsp;215
0225	1	&nbsp;249
0226	1	&nbsp;250
0227	1	&nbsp;215
0228	1	&nbsp;213
0229	1	&nbsp;240
0230	1	&nbsp;220
0231	1	&nbsp;251
0232	1	&nbsp;265
0233	1	&nbsp;256
0234	1	&nbsp;265
0235	1	&nbsp;255
0236	1	&nbsp;205
0237	1	&nbsp;225
0238	1	&nbsp;270
0239	1	&nbsp;207
0240	1	&nbsp;250
0241	1	&nbsp;220
0242	1	&nbsp;195
0243	1	&nbsp;215
0244	1	&nbsp;226
0245	1	&nbsp;185
0246	1	&nbsp;253
0247	1	&nbsp;175
0248	1	&nbsp;248
0249	1	&nbsp;230
0250	1	&nbsp;250
0251	1	&nbsp;205
0252	1	&nbsp;235
0253	1	&nbsp;260
0254	1	&nbsp;226
0255	1	&nbsp;172
0256	1	&nbsp;210
0257	1	&nbsp;205
0258	1	&nbsp;285
0259	1	&nbsp;275
0260	1	&nbsp;215
0261	1	&nbsp;210
0262	1	&nbsp;250
0263	1	&nbsp;218
0264	1	&nbsp;230
0265	1	&nbsp;235
0266	1	&nbsp;205
0267	1	&nbsp;235
0268	1	&nbsp;160
0269	1	&nbsp;245
0270	1	&nbsp;210
0271	1	&nbsp;225
0272	1	&nbsp;190
0273	1	&nbsp;225
0274	1	&nbsp;245
0275	1	&nbsp;225
0276	1	&nbsp;251
0277	1	&nbsp;234
0278	1	&nbsp;255
0279	1	&nbsp;178
0280	1	&nbsp;225
0281	1	&nbsp;304
0282	1	&nbsp;220
0283	1	&nbsp;219
0284	1	&nbsp;243
0285	1	&nbsp;225
0286	1	&nbsp;200
0287	1	&nbsp;240
0288	1	&nbsp;205
0289	1	&nbsp;185
0290	1	&nbsp;180
0291	1	&nbsp;190
0292	1	&nbsp;245
0293	1	&nbsp;235
0294	1	&nbsp;240
