nbaplayer	slam	height
423	423	423	20
0000	1	6'5"
0001	1	6'2"
0002	1	6'6"
0003	1	6'9"
0004	1	7'0"
0005	1	6'11"
0006	1	6'8"
0007	1	6'11"
0008	1	7'1"
0009	1	6'10"
0010	1	6'7"
0011	1	5'9"
0012	1	6'1"
0013	1	6'5"
0014	1	6'3"
0015	1	6'2"
0016	1	6'10"
0017	1	6'6"
0018	1	6'3"
0019	1	6'9"
0020	1	6'7"
0021	1	7'0"
0022	1	6'5"
0023	1	6'11"
0024	1	6'9"
0025	1	7'0"
0026	1	6'6"
0027	1	6'10"
0028	1	6'3"
0029	1	6'6"
0030	1	6'2"
0031	1	7'0"
0032	1	6'5"
0033	1	6'4"
0034	1	6'5"
0035	1	6'10"
0036	1	6'7"
0037	1	6'11"
0038	1	6'9"
0039	1	6'9"
0040	1	6'7"
0041	1	6'2"
0042	1	6'10"
0043	1	6'6"
0044	1	6'9"
0045	1	6'0"
0046	1	6'8"
0047	1	6'11"
0048	1	6'6"
0049	1	5'11"
0050	1	6'8"
0051	1	7'0"
0052	1	6'4"
0053	1	6'8"
0054	1	6'7"
0055	1	6'9"
0056	1	6'10"
0057	1	6'8"
0058	1	6'10"
0059	1	6'7"
0060	1	6'9"
0061	1	6'2"
0062	1	6'11"
0063	1	6'2"
0064	1	6'11"
0065	1	6'8"
0066	1	6'1"
0067	1	6'9"
0068	1	7'3"
0069	1	6'8"
0070	1	6'8"
0071	1	6'11"
0072	1	6'8"
0073	1	6'4"
0074	1	6'10"
0075	1	6'10"
0076	1	6'8"
0077	1	6'6"
0078	1	6'1"
0079	1	6'11"
0080	1	6'11"
0081	1	6'10"
0082	1	6'0"
0083	1	6'6"
0084	1	6'4"
0085	1	6'6"
0086	1	6'1"
0087	1	6'4"
0088	1	6'11"
0089	1	6'11"
0090	1	6'8"
0091	1	6'6"
0092	1	6'4"
0093	1	6'7"
0094	1	7'0"
0095	1	6'7"
0096	1	7'0"
0097	1	7'0"
0098	1	6'9"
0099	1	6'8"
0100	1	6'4"
0101	1	6'7"
0102	1	6'5"
0103	1	6'10"
0104	1	6'8"
0105	1	6'8"
