nbaplayer	slam	name
423	423	423	423
0000	1	Ray Allen
0001	1	Avery Bradley
0002	1	Marquis Daniels
0003	1	Glen Davis
0004	1	Semih Erden
0005	1	Kevin Garnett
0006	1	Luke Harangody
0007	1	Jermaine O&#039;Neal
0008	1	Shaquille O&#039;Neal
0009	1	Kendrick Perkins
0010	1	Paul Pierce
0011	1	Nate Robinson
0012	1	Rajon Rondo
0013	1	Von Wafer
0014	1	Delonte West
0015	1	Jordan Farmar
0016	1	Derrick Favors
0017	1	Stephen Graham
0018	1	Devin Harris
0019	1	Kris Humphries
0020	1	Damion James
0021	1	Brook Lopez
0022	1	Anthony Morrow
0023	1	Troy Murphy
0024	1	Travis Outlaw
0025	1	Johan Petro
0026	1	Quinton Ross
0027	1	Joe Smith
0028	1	Ben Uzoh
0029	1	Terrence Williams
0030	1	Mike Bibby
0031	1	Jason Collins
0032	1	Jamal Crawford
0033	1	Jordan Crawford
0034	1	Maurice Evans
0035	1	Al Horford
0036	1	Joe Johnson
0037	1	Zaza Pachulia
0038	1	Josh Powell
0039	1	Josh Smith
0040	1	Pape Sy
0041	1	Jeff Teague
0042	1	Etan Thomas
0043	1	Damien Wilkins
0044	1	Marvin Williams
0045	1	D.J. Augustin
0046	1	Derrick Brown
0047	1	Kwame Brown
0048	1	Matt Carroll
0049	1	Sherron Collins
0050	1	Boris Diaw
0051	1	DeSagana Diop
0052	1	Gerald Henderson
0053	1	Stephen Jackson
0054	1	Shaun Livingston
0055	1	Dominic McGuire
0056	1	Nazr Mohammed
0057	1	Eduardo Najera
0058	1	Tyrus Thomas
0059	1	Gerald Wallace
0060	1	Joel Anthony
0061	1	Carlos Arroyo
0062	1	Chris Bosh
0063	1	Mario Chalmers
0064	1	Erick Dampier
0065	1	Udonis Haslem
0066	1	Eddie House
0067	1	Juwan Howard
0068	1	Zydrunas Ilgauskas
0069	1	LeBron James
0070	1	James Jones
0071	1	Jamaal Magloire
0072	1	Mike Miller
0073	1	Dwyane Wade
0074	1	Malik Allen
0075	1	Ryan Anderson
0076	1	Brandon Bass
0077	1	Vince Carter
0078	1	Chris Duhon
0079	1	Marcin Gortat
0080	1	Dwight Howard
0081	1	Rashard Lewis
0082	1	Jameer Nelson
0083	1	Mickael Pietrus
0084	1	J.J. Redick
0085	1	Quentin Richardson
0086	1	Jason Williams
0087	1	Gilbert Arenas
0088	1	Hilton Armstrong
0089	1	Andray Blatche
0090	1	Trevor Booker
0091	1	Alonzo Gee
0092	1	Kirk Hinrich
0093	1	Josh Howard
0094	1	Yi Jianlian
0095	1	Cartier Martin
0096	1	JaVale McGee
0097	1	Hamady Ndiaye
0098	1	Kevin Seraphin
0099	1	Al Thornton
0100	1	John Wall
0101	1	Nick Young
0102	1	Arron Afflalo
0103	1	Chris Andersen
0104	1	Carmelo Anthony
0105	1	Renaldo Balkman
0106	1	Chauncey Billups
0107	1	Anthony Carter
0108	1	Melvin Ely
0109	1	Gary Forbes
0110	1	Al Harrington
0111	1	Ty Lawson
0112	1	Kenyon Martin
0113	1	Nene
0114	1	J.R. Smith
0115	1	Shelden Williams
0116	1	Michael Beasley
0117	1	Corey Brewer
0118	1	Wayne Ellington
0119	1	Sundiata Gaines
0120	1	Lazar Hayward
0121	1	Wesley Johnson
0122	1	Kosta Koufos
0123	1	Kevin Love
0124	1	Darko Milicic
0125	1	Nikloa Pekovic
0126	1	Luke Ridnour
0127	1	Sebastian Telfair
0128	1	Anthony Tolliver
0129	1	Martell Webster
0130	1	Nick Collison
0131	1	Daequan Cook
0132	1	Kevin Durant
0133	1	Jeff Green
0134	1	James Harden
0135	1	Serge Ibaka
0136	1	Royal Ivey
0137	1	Nenad Krstic
0138	1	Eric Maynor
0139	1	Byron Mullens
0140	1	Morris Peterson
0141	1	Thabo Sefolosha
0142	1	Russell Westbrook
0143	1	D.J. White
0144	1	LaMarcus Aldridge
0145	1	Luke Babbitt
0146	1	Nicolas Batum
0147	1	Marcus Camby
0148	1	Dante Cunningham
