nbaplayer	usatoday	height
436	436	436	20
0000	1	Height: 6'10'&nbsp;
0001	1	Height: 6'9'&nbsp;
0002	1	Height: 7'0'&nbsp;
0003	1	Height: 7'1'&nbsp;
0004	1	Height: 6'11'&nbsp;
0005	1	Height: 6'8'&nbsp;
0006	1	Height: 6'11'&nbsp;
0007	1	Height: 6'5'&nbsp;
0008	1	Height: 6'2'&nbsp;
0009	1	Height: 6'6'&nbsp;
0010	1	Height: 6'3'&nbsp;
0011	1	Height: 5'9'&nbsp;
0012	1	Height: 6'5'&nbsp;
0013	1	Height: 6'1'&nbsp;
0014	1	Height: 6'7'&nbsp;
0015	1	Height: 6'11'&nbsp;
0016	1	Height: 7'0'&nbsp;
0017	1	Height: 6'9'&nbsp;
0018	1	Height: 6'9'&nbsp;
0019	1	Height: 6'9'&nbsp;
0020	1	Height: 6'9'&nbsp;
0021	1	Height: 6'9'&nbsp;
0022	1	Height: 6'9'&nbsp;
0023	1	Height: 5'11'&nbsp;
0024	1	Height: 6'7'&nbsp;
0025	1	Height: 6'5'&nbsp;
0026	1	Height: 6'7'&nbsp;
0027	1	Height: 6'2'&nbsp;
0028	1	Height: 6'3'&nbsp;
0029	1	Height: 6'10'&nbsp;
0030	1	Height: 6'10'&nbsp;
0031	1	Height: 7'2'&nbsp;
0032	1	Height: 6'11'&nbsp;
0033	1	Height: 6'9'&nbsp;
0034	1	Height: 6'8'&nbsp;
0035	1	Height: 6'9'&nbsp;
0036	1	Height: 6'0'&nbsp;
0037	1	Height: 6'2'&nbsp;
0038	1	Height: 6'6'&nbsp;
0039	1	Height: 6'9'&nbsp;
0040	1	Height: 6'0'&nbsp;
0041	1	Height: 6'6'&nbsp;
0042	1	Height: 6'5'&nbsp;
0043	1	Height: 6'8'&nbsp;
0044	1	Height: 6'11'&nbsp;
0045	1	Height: 6'11'&nbsp;
0046	1	Height: 6'10'&nbsp;
0047	1	Height: 6'10'&nbsp;
0048	1	Height: 6'8'&nbsp;
0049	1	Height: 6'10'&nbsp;
0050	1	Height: 6'10'&nbsp;
0051	1	Height: 6'6'&nbsp;
0052	1	Height: 6'0'&nbsp;
0053	1	Height: 6'1'&nbsp;
0054	1	Height: 6'4'&nbsp;
0055	1	Height: 6'6'&nbsp;
0056	1	Height: 6'6'&nbsp;
0057	1	Height: 6'1'&nbsp;
0058	1	Height: 7'0'&nbsp;
0059	1	Height: 6'8'&nbsp;
0060	1	Height: 7'1'&nbsp;
0061	1	Height: 6'10'&nbsp;
0062	1	Height: 6'8'&nbsp;
0063	1	Height: 6'9'&nbsp;
0064	1	Height: 6'8'&nbsp;
0065	1	Height: 6'2'&nbsp;
0066	1	Height: 6'3'&nbsp;
0067	1	Height: 6'8'&nbsp;
0068	1	Height: 6'3'&nbsp;
0069	1	Height: 6'3'&nbsp;
0070	1	Height: 6'10'&nbsp;
0071	1	Height: 6'6'&nbsp;
0072	1	Height: 6'7'&nbsp;
0073	1	Height: 7'0'&nbsp;
0074	1	Height: 6'10'&nbsp;
0075	1	Height: 6'7'&nbsp;
0076	1	Height: 6'9'&nbsp;
0077	1	Height: 6'6'&nbsp;
0078	1	Height: 6'11'&nbsp;
0079	1	Height: 6'7'&nbsp;
0080	1	Height: 6'9'&nbsp;
0081	1	Height: 6'8'&nbsp;
0082	1	Height: 6'7'&nbsp;
0083	1	Height: 6'1'&nbsp;
0084	1	Height: 6'6'&nbsp;
0085	1	Height: 6'6'&nbsp;
0086	1	Height: 6'3'&nbsp;
0087	1	Height: 5'5'&nbsp;
0088	1	Height: 6'6'&nbsp;
0089	1	Height: 6'11'&nbsp;
0090	1	Height: 6'11'&nbsp;
0091	1	Height: 7'0'&nbsp;
0092	1	Height: 6'9'&nbsp;
0093	1	Height: 7'0'&nbsp;
0094	1	Height: 6'6'&nbsp;
0095	1	Height: 6'8'&nbsp;
0096	1	Height: 7'0'&nbsp;
0097	1	Height: 6'8'&nbsp;
0098	1	Height: 6'7'&nbsp;
0099	1	Height: 6'7'&nbsp;
0100	1	Height: 6'6'&nbsp;
0101	1	Height: 6'4'&nbsp;
0102	1	Height: 6'4'&nbsp;
0103	1	Height: 6'7'&nbsp;
0104	1	Height: 6'4'&nbsp;
0105	1	Height: 7'1'&nbsp;
0106	1	Height: 7'0'&nbsp;
0107	1	Height: 6'11'&nbsp;
0108	1	Height: 7'0'&nbsp;
0109	1	Height: 6'10'&nbsp;
0110	1	Height: 7'0'&nbsp;
0111	1	Height: 6'7'&nbsp;
0112	1	Height: 6'8'&nbsp;
0113	1	Height: 6'2'&nbsp;
0114	1	Height: 6'5'&nbsp;
0115	1	Height: 6'0'&nbsp;
0116	1	Height: 6'7'&nbsp;
0117	1	Height: 6'2'&nbsp;
0118	1	Height: 6'4'&nbsp;
0119	1	Height: 6'4'&nbsp;
0120	1	Height: 6'10'&nbsp;
0121	1	Height: 6'11'&nbsp;
0122	1	Height: 6'10'&nbsp;
0123	1	Height: 6'8'&nbsp;
0124	1	Height: 6'9'&nbsp;
0125	1	Height: 6'8'&nbsp;
0126	1	Height: 6'7'&nbsp;
0127	1	Height: 6'9'&nbsp;
0128	1	Height: 6'9'&nbsp;
0129	1	Height: 6'2'&nbsp;
0130	1	Height: 6'3'&nbsp;
0131	1	Height: 6'5'&nbsp;
0132	1	Height: 5'11'&nbsp;
0133	1	Height: 6'6'&nbsp;
0134	1	Height: 6'11'&nbsp;
0135	1	Height: 7'0'&nbsp;
0136	1	Height: 6'9'&nbsp;
0137	1	Height: 6'9'&nbsp;
0138	1	Height: 6'10'&nbsp;
0139	1	Height: 6'10'&nbsp;
0140	1	Height: 6'7'&nbsp;
0141	1	Height: 6'10'&nbsp;
0142	1	Height: 6'3'&nbsp;
0143	1	Height: 6'3'&nbsp;
0144	1	Height: 6'3'&nbsp;
0145	1	Height: 6'6'&nbsp;
0146	1	Height: 6'3'&nbsp;
0147	1	Height: 6'7'&nbsp;
0148	1	Height: 6'9'&nbsp;
0149	1	Height: 7'6'&nbsp;
0150	1	Height: 6'9'&nbsp;
0151	1	Height: 6'6'&nbsp;
0152	1	Height: 6'10'&nbsp;
0153	1	Height: 7'0'&nbsp;
0154	1	Height: 6'8'&nbsp;
0155	1	Height: 6'4'&nbsp;
0156	1	Height: 6'7'&nbsp;
0157	1	Height: 6'0'&nbsp;
0158	1	Height: 6'0'&nbsp;
0159	1	Height: 6'0'&nbsp;
0160	1	Height: 6'5'&nbsp;
0161	1	Height: 6'7'&nbsp;
0162	1	Height: 6'11'&nbsp;
0163	1	Height: 6'10'&nbsp;
0164	1	Height: 7'0'&nbsp;
0165	1	Height: 6'11'&nbsp;
0166	1	Height: 6'9'&nbsp;
0167	1	Height: 7'0'&nbsp;
0168	1	Height: 6'6'&nbsp;
0169	1	Height: 6'10'&nbsp;
0170	1	Height: 6'0'&nbsp;
0171	1	Height: 6'4'&nbsp;
0172	1	Height: 6'1'&nbsp;
0173	1	Height: 6'7'&nbsp;
0174	1	Height: 6'2'&nbsp;
0175	1	Height: 6'0'&nbsp;
0176	1	Height: 6'7'&nbsp;
