nbaplayer	usatoday	name
436	436	436	436
0000	1	Kendrick Perkins
0001	1	Glen Davis
0002	1	Semih Erden
0003	1	Shaquille O'Neal
0004	1	Jermaine O'Neal
0005	1	Luke Harangody
0006	1	Kevin Garnett
0007	1	Ray Allen
0008	1	Avery Bradley
0009	1	Marquis Daniels
0010	1	Delonte West
0011	1	Nate Robinson
0012	1	Von Wafer
0013	1	Rajon Rondo
0014	1	Paul Pierce
0015	1	Joakim Noah
0016	1	Omer Asik
0017	1	Kurt Thomas
0018	1	Brian Scalabrine
0019	1	Carlos Boozer
0020	1	James Johnson
0021	1	Taj Gibson
0022	1	Luol Deng
0023	1	John Lucas
0024	1	Ronnie Brewer
0025	1	Keith Bogans
0026	1	Kyle Korver
0027	1	C.J. Watson
0028	1	Derrick Rose
0029	1	Solomon Jones
0030	1	Josh McRoberts
0031	1	Roy Hibbert
0032	1	Jeff Foster
0033	1	Danny Granger
0034	1	Paul George
0035	1	Tyler Hansbrough
0036	1	Darren Collison
0037	1	A.J. Price
0038	1	Brandon Rush
0039	1	Mike Dunleavy
0040	1	T.J. Ford
0041	1	Dahntay Jones
0042	1	Lance Stephenson
0043	1	James Posey
0044	1	Dwight Howard
0045	1	Marcin Gortat
0046	1	Daniel Orton
0047	1	Rashard Lewis
0048	1	Brandon Bass
0049	1	Ryan Anderson
0050	1	Malik Allen
0051	1	Mickael Pietrus
0052	1	Jameer Nelson
0053	1	Chris Duhon
0054	1	J.J. Redick
0055	1	Quentin Richardson
0056	1	Vince Carter
0057	1	Jason Williams
0058	1	Andrea Bargnani
0059	1	Joey Dorsey
0060	1	Solomon Alabi
0061	1	Ed Davis
0062	1	Julian Wright
0063	1	Amir Johnson
0064	1	Reggie Evans
0065	1	Marcus Banks
0066	1	Leandro Barbosa
0067	1	Linas Kleiza
0068	1	Jose Calderon
0069	1	Jerryd Bayless
0070	1	Peja Stojakovic
0071	1	Sonny Weems
0072	1	DeMar DeRozan
0073	1	Andrew Bogut
0074	1	Drew Gooden
0075	1	Jon Brockman
0076	1	Brian Skinner
0077	1	Corey Maggette
0078	1	Larry Sanders
0079	1	Darington Hobson
0080	1	Ersan Ilyasova
0081	1	Luc Richard Mbah a Moute
0082	1	Chris Douglas-Roberts
0083	1	Brandon Jennings
0084	1	John Salmons
0085	1	Carlos Delfino
0086	1	Keyon Dooling
0087	1	Earl Boykins
0088	1	Michael Redd
0089	1	Andray Blatche
0090	1	Hilton Armstrong
0091	1	JaVale McGee
0092	1	Kevin Seraphin
0093	1	Hamady N'diaye
0094	1	Kevin Palmer
0095	1	Trevor Booker
0096	1	Yi Jianlian
0097	1	Al Thornton
0098	1	Nick Young
0099	1	Cartier Martin
0100	1	Alonzo Gee
0101	1	John Wall
0102	1	Kirk Hinrich
0103	1	Josh Howard
0104	1	Gilbert Arenas
0105	1	Tyson Chandler
0106	1	Brendan Haywood
0107	1	Ian Mahinmi
0108	1	Alexis Ajinca
0109	1	Steve Novak
0110	1	Dirk Nowitzki
0111	1	Shawn Marion
0112	1	Brian Cardinal
0113	1	Jason Terry
0114	1	DeShawn Stevenson
0115	1	Jose Juan Barea
0116	1	Caron Butler
0117	1	Roddy Beaubois
0118	1	Dominique Jones
0119	1	Jason Kidd
0120	1	Chris Andersen
0121	1	Nene Hilario
0122	1	Melvin Ely
0123	1	Carmelo Anthony
0124	1	Shelden Williams
0125	1	Renaldo Balkman
0126	1	Gary Forbes
0127	1	Al Harrington
0128	1	Kenyon Martin
0129	1	Anthony Carter
0130	1	Chauncey Billups
0131	1	Arron Afflalo
0132	1	Ty Lawson
0133	1	J.R. Smith
0134	1	Dan Gadzuric
0135	1	Andris Biedrins
0136	1	David Lee
0137	1	Louis Amundson
0138	1	Brandan Wright
0139	1	Ekpe Udoh
0140	1	Jeff Adrien
0141	1	Vladimir Radmanovic
0142	1	Jeremy Lin
0143	1	Charlie Bell
0144	1	Stephen Curry
0145	1	Reggie Williams
0146	1	Monta Ellis
0147	1	Rodney Carney
0148	1	Dorell Wright
0149	1	Yao Ming
0150	1	Luis Scola
0151	1	Chuck Hayes
0152	1	Jordan Hill
0153	1	Brad Miller
0154	1	Shane Battier
0155	1	Jermaine Taylor
0156	1	Chase Budinger
0157	1	Ishmael Smith
0158	1	Kyle Lowry
0159	1	Aaron Brooks
0160	1	Courtney Lee
0161	1	Kevin Martin
0162	1	Jared Jeffries
