nbaplayer	usatoday	team
436	436	436	30
0000	1	Boston&nbsp;Celtics
0001	1	Boston&nbsp;Celtics
0002	1	Boston&nbsp;Celtics
0003	1	Boston&nbsp;Celtics
0004	1	Boston&nbsp;Celtics
0005	1	Boston&nbsp;Celtics
0006	1	Boston&nbsp;Celtics
0007	1	Boston&nbsp;Celtics
0008	1	Boston&nbsp;Celtics
0009	1	Boston&nbsp;Celtics
0010	1	Boston&nbsp;Celtics
0011	1	Boston&nbsp;Celtics
0012	1	Boston&nbsp;Celtics
0013	1	Boston&nbsp;Celtics
0014	1	Boston&nbsp;Celtics
0015	1	Chicago&nbsp;Bulls
0016	1	Chicago&nbsp;Bulls
0017	1	Chicago&nbsp;Bulls
0018	1	Chicago&nbsp;Bulls
0019	1	Chicago&nbsp;Bulls
0020	1	Chicago&nbsp;Bulls
0021	1	Chicago&nbsp;Bulls
0022	1	Chicago&nbsp;Bulls
0023	1	Chicago&nbsp;Bulls
0024	1	Chicago&nbsp;Bulls
0025	1	Chicago&nbsp;Bulls
0026	1	Chicago&nbsp;Bulls
0027	1	Chicago&nbsp;Bulls
0028	1	Chicago&nbsp;Bulls
0029	1	Indiana&nbsp;Pacers
0030	1	Indiana&nbsp;Pacers
0031	1	Indiana&nbsp;Pacers
0032	1	Indiana&nbsp;Pacers
0033	1	Indiana&nbsp;Pacers
0034	1	Indiana&nbsp;Pacers
0035	1	Indiana&nbsp;Pacers
0036	1	Indiana&nbsp;Pacers
0037	1	Indiana&nbsp;Pacers
0038	1	Indiana&nbsp;Pacers
0039	1	Indiana&nbsp;Pacers
0040	1	Indiana&nbsp;Pacers
0041	1	Indiana&nbsp;Pacers
0042	1	Indiana&nbsp;Pacers
0043	1	Indiana&nbsp;Pacers
0044	1	Orlando&nbsp;Magic
0045	1	Orlando&nbsp;Magic
0046	1	Orlando&nbsp;Magic
0047	1	Orlando&nbsp;Magic
0048	1	Orlando&nbsp;Magic
0049	1	Orlando&nbsp;Magic
0050	1	Orlando&nbsp;Magic
0051	1	Orlando&nbsp;Magic
0052	1	Orlando&nbsp;Magic
0053	1	Orlando&nbsp;Magic
0054	1	Orlando&nbsp;Magic
0055	1	Orlando&nbsp;Magic
0056	1	Orlando&nbsp;Magic
0057	1	Orlando&nbsp;Magic
0058	1	Toronto&nbsp;Raptors
0059	1	Toronto&nbsp;Raptors
0060	1	Toronto&nbsp;Raptors
0061	1	Toronto&nbsp;Raptors
0062	1	Toronto&nbsp;Raptors
0063	1	Toronto&nbsp;Raptors
0064	1	Toronto&nbsp;Raptors
0065	1	Toronto&nbsp;Raptors
0066	1	Toronto&nbsp;Raptors
0067	1	Toronto&nbsp;Raptors
0068	1	Toronto&nbsp;Raptors
0069	1	Toronto&nbsp;Raptors
0070	1	Toronto&nbsp;Raptors
0071	1	Toronto&nbsp;Raptors
0072	1	Toronto&nbsp;Raptors
0073	1	Milwaukee&nbsp;Bucks
0074	1	Milwaukee&nbsp;Bucks
0075	1	Milwaukee&nbsp;Bucks
0076	1	Milwaukee&nbsp;Bucks
0077	1	Milwaukee&nbsp;Bucks
0078	1	Milwaukee&nbsp;Bucks
0079	1	Milwaukee&nbsp;Bucks
0080	1	Milwaukee&nbsp;Bucks
0081	1	Milwaukee&nbsp;Bucks
0082	1	Milwaukee&nbsp;Bucks
0083	1	Milwaukee&nbsp;Bucks
0084	1	Milwaukee&nbsp;Bucks
0085	1	Milwaukee&nbsp;Bucks
0086	1	Milwaukee&nbsp;Bucks
0087	1	Milwaukee&nbsp;Bucks
0088	1	Milwaukee&nbsp;Bucks
0089	1	Washington&nbsp;Wizards
0090	1	Washington&nbsp;Wizards
0091	1	Washington&nbsp;Wizards
0092	1	Washington&nbsp;Wizards
0093	1	Washington&nbsp;Wizards
0094	1	Washington&nbsp;Wizards
