nbaplayer	wiki	height
420	420	420	21
0000	1	6&#160;ft&#160;5&#160;in (1.96 m)
0001	1	6&#160;ft&#160;3&#160;in (1.91 m)
0002	1	6&#160;ft&#160;6&#160;in (1.98 m)
0003	1	6&#160;ft&#160;9&#160;in (2.06 m)
0004	1	7&#160;ft&#160;0&#160;in (2.13 m)
0005	1	6&#160;ft&#160;11&#160;in (2.11 m)
0006	1	6&#160;ft&#160;7&#160;in (2.01 m)
0007	1	6&#160;ft&#160;11&#160;in (2.11 m)
0008	1	7&#160;ft&#160;1&#160;in (2.16 m)
0009	1	6&#160;ft&#160;10&#160;in (2.08 m)
0010	1	6&#160;ft&#160;7&#160;in (2.01 m)
0011	1	5&#160;ft&#160;9&#160;in (1.75 m)
0012	1	6&#160;ft&#160;1&#160;in (1.85 m)
0013	1	6&#160;ft&#160;5&#160;in (1.96 m)
0014	1	6&#160;ft&#160;3&#160;in (1.91 m)
0015	1	6&#160;ft&#160;2&#160;in (1.88 m)
0016	1	6&#160;ft&#160;10&#160;in (2.08 m)
0017	1	6&#160;ft&#160;6&#160;in (1.98 m)
0018	1	6&#160;ft&#160;3&#160;in (1.91 m)
0019	1	6&#160;ft&#160;9&#160;in (2.06 m)
0020	1	6&#160;ft&#160;7&#160;in (2.01 m)
0021	1	7&#160;ft&#160;0&#160;in (2.13 m)
0022	1	6&#160;ft&#160;5&#160;in (1.96 m)
0023	1	6&#160;ft&#160;11&#160;in (2.11 m)
0024	1	6&#160;ft&#160;9&#160;in (2.06 m)
0025	1	7&#160;ft&#160;0&#160;in (2.13 m)
0026	1	6&#160;ft&#160;6&#160;in (1.98 m)
0027	1	6&#160;ft&#160;10&#160;in (2.08 m)
0028	1	6&#160;ft&#160;6&#160;in (1.98 m)
0029	1	6&#160;ft&#160;5&#160;in (1.96 m)
0030	1	6&#160;ft&#160;8&#160;in (2.03 m)
0031	1	7&#160;ft&#160;0&#160;in (2.13 m)
0032	1	6&#160;ft&#160;2&#160;in (1.88 m)
0033	1	6&#160;ft&#160;1&#160;in (1.85 m)
0034	1	6&#160;ft&#160;7&#160;in (2.01 m)
0035	1	6&#160;ft&#160;10&#160;in (2.08 m)
0036	1	7&#160;ft&#160;1&#160;in (2.16 m)
0037	1	6&#160;ft&#160;11&#160;in (2.11 m)
0038	1	6&#160;ft&#160;5&#160;in (1.96 m)
0039	1	6&#160;ft&#160;10&#160;in (2.08 m)
0040	1	6&#160;ft&#160;10&#160;in (2.08 m)
0041	1	6&#160;ft&#160;6&#160;in (1.98 m)
0042	1	6&#160;ft&#160;9&#160;in (2.06 m)
0043	1	6&#160;ft&#160;11&#160;in (2.11 m)
0044	1	6&#160;ft&#160;9&#160;in (2.06 m)
0045	1	7&#160;ft&#160;1&#160;in (2.16 m)
0046	1	6&#160;ft&#160;4&#160;in (1.93 m)
0047	1	6&#160;ft&#160;6&#160;in (1.98 m)
0048	1	6&#160;ft&#160;8&#160;in (2.03 m)
0049	1	6&#160;ft&#160;4&#160;in (1.93 m)
0050	1	6&#160;ft&#160;7&#160;in (2.01 m)
0051	1	6&#160;ft&#160;9&#160;in (2.06 m)
0052	1	6&#160;ft&#160;10&#160;in (2.08 m)
0053	1	6&#160;ft&#160;7&#160;in (2.01 m)
0054	1	6&#160;ft&#160;2&#160;in (1.88 m)
0055	1	6&#160;ft&#160;8&#160;in (2.03 m)
0056	1	6&#160;ft&#160;3&#160;in (1.91 m)
0057	1	7&#160;ft&#160;0&#160;in (2.13 m)
0058	1	6&#160;ft&#160;3&#160;in (1.91 m)
0059	1	6&#160;ft&#160;3&#160;in (1.91 m)
0060	1	6&#160;ft&#160;10&#160;in (2.08 m)
0061	1	6&#160;ft&#160;7&#160;in (2.01 m)
0062	1	6&#160;ft&#160;8&#160;in (2.03 m)
0063	1	6&#160;ft&#160;8&#160;in (2.03 m)
0064	1	6&#160;ft&#160;9&#160;in (2.06 m)
0065	1	6&#160;ft&#160;8&#160;in (2.03 m)
0066	1	6&#160;ft&#160;10&#160;in (2.08 m)
0067	1	6&#160;ft&#160;6&#160;in (1.98 m)
0068	1	6&#160;ft&#160;8&#160;in (2.03 m)
0069	1	6&#160;ft&#160;3&#160;in (1.91 m)
0070	1	7&#160;ft&#160;0&#160;in (2.13 m)
0071	1	6&#160;ft&#160;9&#160;in (2.06 m)
0072	1	6&#160;ft&#160;5&#160;in (1.96 m)
0073	1	6&#160;ft&#160;9&#160;in (2.06 m)
0074	1	6&#160;ft&#160;7&#160;in (2.01 m)
0075	1	6&#160;ft&#160;11&#160;in (2.11 m)
0076	1	6&#160;ft&#160;0&#160;in (1.83 m)
0077	1	6&#160;ft&#160;9&#160;in (2.06 m)
0078	1	6&#160;ft&#160;9&#160;in (2.06 m)
0079	1	6&#160;ft&#160;9&#160;in (2.06 m)
0080	1	6&#160;ft&#160;7&#160;in (2.01 m)
0081	1	6&#160;ft&#160;2&#160;in (1.88 m)
0082	1	6&#160;ft&#160;9&#160;in (2.06 m)
0083	1	6&#160;ft&#160;2&#160;in (1.88 m)
0084	1	6&#160;ft&#160;7&#160;in (2.01 m)
0085	1	6&#160;ft&#160;5&#160;in (1.96 m)
0086	1	6&#160;ft&#160;9&#160;in (2.06 m)
0087	1	7&#160;ft&#160;0&#160;in (2.13 m)
0088	1	6&#160;ft&#160;9&#160;in (2.06 m)
0089	1	6&#160;ft&#160;8&#160;in (2.03 m)
0090	1	6&#160;ft&#160;6&#160;in (1.98 m)
0091	1	6&#160;ft&#160;9&#160;in (2.06 m)
0092	1	6&#160;ft&#160;3&#160;in (1.91 m)
0093	1	6&#160;ft&#160;11&#160;in (2.11 m)
0094	1	6&#160;ft&#160;9&#160;in (2.06 m)
0095	1	6&#160;ft&#160;1&#160;in (1.85 m)
0096	1	6&#160;ft&#160;0&#160;in (1.83 m)
0097	1	6&#160;ft&#160;11&#160;in (2.11 m)
0098	1	6&#160;ft&#160;3&#160;in (1.91 m)
0099	1	6&#160;ft&#160;7&#160;in (2.01 m)
0100	1	6&#160;ft&#160;10&#160;in (2.08 m)
0101	1	6&#160;ft&#160;7&#160;in (2.01 m)
0102	1	6&#160;ft&#160;8&#160;in (2.03 m)
0103	1	6&#160;ft&#160;11&#160;in (2.11 m)
0104	1	6&#160;ft&#160;9&#160;in (2.06 m)
0105	1	6&#160;ft&#160;5&#160;in (1.96 m)
0106	1	6&#160;ft&#160;8&#160;in (2.03 m)
0107	1	6&#160;ft&#160;11&#160;in (2.11 m)
0108	1	6&#160;ft&#160;9&#160;in (2.06 m)
0109	1	6&#160;ft&#160;5&#160;in (1.96 m)
0110	1	6&#160;ft&#160;10&#160;in (2.08 m)
0111	1	6&#160;ft&#160;0&#160;in (1.83 m)
0112	1	6&#160;ft&#160;0&#160;in (1.83 m)
0113	1	6&#160;ft&#160;11&#160;in (2.11 m)
0114	1	6&#160;ft&#160;8&#160;in (2.03 m)
0115	1	6&#160;ft&#160;8&#160;in (2.03 m)
0116	1	6&#160;ft&#160;9&#160;in (2.06 m)
0117	1	7&#160;ft&#160;2&#160;in (2.18 m)
0118	1	6&#160;ft&#160;6&#160;in (1.98 m)
0119	1	6&#160;ft&#160;10&#160;in (2.08 m)
0120	1	6&#160;ft&#160;10&#160;in (2.08 m)
0121	1	6&#160;ft&#160;8&#160;in (2.03 m)
0122	1	6&#160;ft&#160;2&#160;in (1.88 m)
0123	1	6&#160;ft&#160;6&#160;in (1.98 m)
0124	1	6&#160;ft&#160;5&#160;in (1.96 m)
0125	1	7&#160;ft&#160;0&#160;in (2.13 m)
0126	1	5&#160;ft&#160;5&#160;in (1.65 m)
0127	1	6&#160;ft&#160;7&#160;in (2.01 m)
0128	1	6&#160;ft&#160;6&#160;in (1.98 m)
0129	1	6&#160;ft&#160;3&#160;in (1.91 m)
0130	1	6&#160;ft&#160;7&#160;in (2.01 m)
0131	1	6&#160;ft&#160;10&#160;in (2.08 m)
0132	1	6&#160;ft&#160;10&#160;in (2.08 m)
0133	1	6&#160;ft&#160;1&#160;in (1.85 m)
0134	1	6&#160;ft&#160;6&#160;in (1.98 m)
0135	1	6&#160;ft&#160;8&#160;in (2.03 m)
0136	1	6&#160;ft&#160;6&#160;in (1.98 m)
0137	1	6&#160;ft&#160;6&#160;in (1.98 m)
0138	1	6&#160;ft&#160;11&#160;in (2.11 m)
0139	1	6&#160;ft&#160;9&#160;in (2.06 m)
0140	1	6&#160;ft&#160;2&#160;in (1.88 m)
0141	1	7&#160;ft&#160;0&#160;in (2.13 m)
0142	1	6&#160;ft&#160;5&#160;in (1.96 m)
0143	1	6&#160;ft&#160;4&#160;in (1.93 m)
0144	1	6&#160;ft&#160;10&#160;in (2.08 m)
0145	1	6&#160;ft&#160;7&#160;in (2.01 m)
0146	1	6&#160;ft&#160;11&#160;in (2.11 m)
0147	1	6&#160;ft&#160;9&#160;in (2.06 m)
0148	1	6&#160;ft&#160;9&#160;in (2.06 m)
0149	1	6&#160;ft&#160;7&#160;in (2.01 m)
0150	1	6&#160;ft&#160;2&#160;in (1.88 m)
0151	1	6&#160;ft&#160;10&#160;in (2.08 m)
0152	1	6&#160;ft&#160;9&#160;in (2.06 m)
0153	1	6&#160;ft&#160;6&#160;in (1.98 m)
0154	1	6&#160;ft&#160;0&#160;in (1.83 m)
0155	1	6&#160;ft&#160;8&#160;in (2.03 m)
0156	1	6&#160;ft&#160;11&#160;in (2.11 m)
0157	1	6&#160;ft&#160;6&#160;in (1.98 m)
0158	1	5&#160;ft&#160;11&#160;in (1.80 m)
0159	1	6&#160;ft&#160;8&#160;in (2.03 m)
0160	1	7&#160;ft&#160;0&#160;in (2.13 m)
0161	1	6&#160;ft&#160;8&#160;in (2.03 m)
0162	1	6&#160;ft&#160;7&#160;in (2.01 m)
0163	1	6&#160;ft&#160;8&#160;in (2.03 m)
0164	1	6&#160;ft&#160;10&#160;in (2.08 m)
0165	1	6&#160;ft&#160;8&#160;in (2.03 m)
0166	1	6&#160;ft&#160;10&#160;in (2.08 m)
0167	1	6&#160;ft&#160;7&#160;in (2.01 m)
0168	1	6&#160;ft&#160;9&#160;in (2.06 m)
0169	1	6&#160;ft&#160;2&#160;in (1.88 m)
0170	1	6&#160;ft&#160;11&#160;in (2.11 m)
0171	1	6&#160;ft&#160;1&#160;in (1.85 m)
0172	1	6&#160;ft&#160;11&#160;in (2.11 m)
0173	1	6&#160;ft&#160;8&#160;in (2.03 m)
0174	1	6&#160;ft&#160;1&#160;in (1.85 m)
0175	1	6&#160;ft&#160;9&#160;in (2.06 m)
0176	1	7&#160;ft&#160;3&#160;in (2.21 m)
0177	1	6&#160;ft&#160;8&#160;in (2.03 m)
0178	1	6&#160;ft&#160;8&#160;in (2.03 m)
0179	1	6&#160;ft&#160;11&#160;in (2.11 m)
0180	1	6&#160;ft&#160;8&#160;in (2.03 m)
0181	1	6&#160;ft&#160;11&#160;in (2.11 m)
0182	1	6&#160;ft&#160;4&#160;in (1.93 m)
0183	1	6&#160;ft&#160;6&#160;in (1.98 m)
0184	1	6&#160;ft&#160;4&#160;in (1.93 m)
0185	1	6&#160;ft&#160;10&#160;in (2.08 m)
0186	1	6&#160;ft&#160;11&#160;in (2.11 m)
0187	1	6&#160;ft&#160;11&#160;in (2.11 m)
0188	1	6&#160;ft&#160;0&#160;in (1.83 m)
0189	1	6&#160;ft&#160;6&#160;in (1.98 m)
0190	1	6&#160;ft&#160;6&#160;in (1.98 m)
0191	1	6&#160;ft&#160;10&#160;in (2.08 m)
0192	1	6&#160;ft&#160;1&#160;in (1.85 m)
0193	1	6&#160;ft&#160;8&#160;in (2.03 m)
0194	1	6&#160;ft&#160;10&#160;in (2.08 m)
0195	1	6&#160;ft&#160;10&#160;in (2.08 m)
0196	1	6&#160;ft&#160;1&#160;in (1.85 m)
0197	1	6&#160;ft&#160;4&#160;in (1.93 m)
0198	1	6&#160;ft&#160;11&#160;in (2.11 m)
0199	1	6&#160;ft&#160;11&#160;in (2.11 m)
0200	1	6&#160;ft&#160;7&#160;in (2.01 m)
0201	1	6&#160;ft&#160;6&#160;in (1.98 m)
0202	1	6&#160;ft&#160;4&#160;in (1.93 m)
0203	1	6&#160;ft&#160;7&#160;in (2.01 m)
0204	1	6&#160;ft&#160;7&#160;in (2.01 m)
0205	1	7&#160;ft&#160;0&#160;in (2.13 m)
0206	1	7&#160;ft&#160;0&#160;in (2.13 m)
0207	1	6&#160;ft&#160;9&#160;in (2.06 m)
0208	1	6&#160;ft&#160;8&#160;in (2.03 m)
0209	1	6&#160;ft&#160;4&#160;in (1.93 m)
0210	1	7&#160;ft&#160;0&#160;in (2.13 m)
0211	1	6&#160;ft&#160;7&#160;in (2.01 m)
0212	1	7&#160;ft&#160;0&#160;in (2.13 m)
0213	1	6&#160;ft&#160;0&#160;in (1.83 m)
0214	1	6&#160;ft&#160;7&#160;in (2.01 m)
0215	1	6&#160;ft&#160;8&#160;in (2.03 m)
0216	1	7&#160;ft&#160;1&#160;in (2.16 m)
0217	1	7&#160;ft&#160;0&#160;in (2.13 m)
0218	1	6&#160;ft&#160;4&#160;in (1.93 m)
0219	1	6&#160;ft&#160;11&#160;in (2.11 m)
0220	1	6&#160;ft&#160;7&#160;in (2.01 m)
0221	1	6&#160;ft&#160;10&#160;in (2.08 m)
0222	1	7&#160;ft&#160;0&#160;in (2.13 m)
0223	1	6&#160;ft&#160;5&#160;in (1.96 m)
0224	1	6&#160;ft&#160;2&#160;in (1.88 m)
0225	1	6&#160;ft&#160;8&#160;in (2.03 m)
0226	1	6&#160;ft&#160;0&#160;in (1.83 m)
0227	1	6&#160;ft&#160;7&#160;in (2.01 m)
0228	1	6&#160;ft&#160;6&#160;in (1.98 m)
0229	1	6&#160;ft&#160;10&#160;in (2.08 m)
0230	1	6&#160;ft&#160;11&#160;in (2.11 m)
0231	1	6&#160;ft&#160;5&#160;in (1.96 m)
0232	1	6&#160;ft&#160;0&#160;in (1.83 m)
0233	1	6&#160;ft&#160;7&#160;in (2.01 m)
0234	1	7&#160;ft&#160;0&#160;in (2.13 m)
