nbaplayer	wiki	name
420	420	420	420
0000	1	Ray Allen
0001	1	Avery Bradley
0002	1	Marquis Daniels
0003	1	Glen Davis
0004	1	Semih Erden
0005	1	Kevin Garnett
0006	1	Luke Harangody
0007	1	Jermaine O'Neal
0008	1	Shaquille O'Neal
0009	1	Kendrick Perkins
0010	1	Paul Pierce
0011	1	Nate Robinson
0012	1	Rajon Rondo
0013	1	Von Wafer
0014	1	Delonte West
0015	1	Jordan Farmar
0016	1	Derrick Favors
0017	1	Stephen Graham
0018	1	Devin Harris
0019	1	Kris Humphries
0020	1	Damion James
0021	1	Brook Lopez
0022	1	Anthony Morrow
0023	1	Troy Murphy
0024	1	Travis Outlaw
0025	1	Johan Petro
0026	1	Quinton Ross
0027	1	Joe Smith
0028	1	Terrence Williams
0029	1	Kelenna Azubuike
0030	1	Wilson Chandler
0031	1	Eddy Curry
0032	1	Toney Douglas
0033	1	Raymond Felton
0034	1	Landry Fields
0035	1	Danilo Gallinari
0036	1	Timofey Mozgov
0037	1	Anthony Randolph
0038	1	Andy Rautins
0039	1	Amar'e Stoudemire
0040	1	Ronny Turiaf
0041	1	Bill Walker
0042	1	Shawne Williams
0043	1	Tony Battie
0044	1	Elton Brand
0045	1	Spencer Hawes
0046	1	Jrue Holiday
0047	1	Andre Iguodala
0048	1	Jason Kapono
0049	1	Jodie Meeks
0050	1	Andrés Nocioni
0051	1	Darius Songaila
0052	1	Marreese Speights
0053	1	Evan Turner
0054	1	Lou Williams
0055	1	Thaddeus Young
0056	1	Leandro Barbosa
0057	1	Andrea Bargnani
0058	1	Jerryd Bayless
0059	1	José Calderón
0060	1	Ed Davis
0061	1	DeMar DeRozan
0062	1	Joey Dorsey
0063	1	Reggie Evans
0064	1	Amir Johnson
0065	1	Linas Kleiza
0066	1	Predrag Stojaković
0067	1	Sonny Weems
0068	1	Julian Wright
0069	1	Derrick Rose
0070	1	Ömer Aşık
0071	1	Carlos Boozer
0072	1	Keith Bogans
0073	1	Luol Deng
0074	1	Ronnie Brewer
0075	1	Joakim Noah
0076	1	John Lucas III
0077	1	James Johnson
0078	1	Taj Gibson
0079	1	Brian Scalabrine
0080	1	Kyle Korver
0081	1	C.J. Watson
0082	1	Kurt Thomas
0083	1	Daniel Gibson
0084	1	Joey Graham
0085	1	Manny Harris
0086	1	J. J. Hickson
0087	1	Ryan Hollins
0088	1	Antawn Jamison
0089	1	Jamario Moon
0090	1	Anthony Parker
0091	1	Samardo Samuels
0092	1	Ramon Sessions
0093	1	Anderson Varejão
0094	1	Jawad Williams
0095	1	Maurice Williams
0096	1	Will Bynum
0097	1	Austin Daye
0098	1	Ben Gordon
0099	1	Richard Hamilton
0100	1	Jonas Jerebko
