nbaplayer	wiki	weight
420	420	420	83
0000	1	205&#160;lb (93 kg)
0001	1	180&#160;lb (82 kg)
0002	1	200&#160;lb (91 kg)
0003	1	289&#160;lb (131 kg)
0004	1	240&#160;lb (109 kg)
0005	1	253&#160;lb (115 kg)
0006	1	251&#160;lb (114 kg)
0007	1	255&#160;lb (116 kg)
0008	1	325&#160;lb (147 kg)
0009	1	280&#160;lb (127 kg)
0010	1	235&#160;lb (107 kg)
0011	1	180&#160;lb (82 kg)
0012	1	171&#160;lb (78 kg)
0013	1	209&#160;lb (95 kg)
0014	1	180&#160;lb (82 kg)
0015	1	180&#160;lb (82 kg)
0016	1	246&#160;lb (112 kg)
0017	1	215&#160;lb (98 kg)
0018	1	190&#160;lb (86 kg)
0019	1	235&#160;lb (107 kg)
0020	1	230&#160;lb (104 kg)
0021	1	265&#160;lb (120 kg)
0022	1	210&#160;lb (95 kg)
0023	1	245&#160;lb (111 kg)
0024	1	207&#160;lb (94 kg)
0025	1	247&#160;lb (112 kg)
0026	1	193&#160;lb (88 kg)
0027	1	225&#160;lb (102 kg)
0028	1	220&#160;lb (100 kg)
0029	1	220&#160;lb (100 kg)
0030	1	220&#160;lb (100 kg)
0031	1	295&#160;lb (134 kg)
0032	1	185&#160;lb (84 kg)
0033	1	198&#160;lb (90 kg)
0034	1	210&#160;lb (95 kg)
0035	1	225&#160;lb (102 kg)
0036	1	270&#160;lb (122 kg)
0037	1	225&#160;lb (102 kg)
0038	1	205&#160;lb (93 kg)
0039	1	249&#160;lb (113 kg)
0040	1	250&#160;lb (113 kg)
0041	1	220&#160;lb (100 kg)
0042	1	225&#160;lb (102 kg)
0043	1	240&#160;lb (109 kg)
0044	1	254&#160;lb (115 kg)
0045	1	245&#160;lb (111 kg)
0046	1	180&#160;lb (82 kg)
0047	1	207&#160;lb (94 kg)
0048	1	215&#160;lb (98 kg)
0049	1	208&#160;lb (94 kg)
0050	1	225&#160;lb (102 kg)
0051	1	248&#160;lb (112 kg)
0052	1	250&#160;lb (113 kg)
0053	1	210&#160;lb (95 kg)
0054	1	175&#160;lb (79 kg)
0055	1	220&#160;lb (100 kg)
0056	1	202&#160;lb (92 kg)
0057	1	250&#160;lb (113 kg)
0058	1	200&#160;lb (91 kg)
0059	1	210&#160;lb (95 kg)
0060	1	215&#160;lb (98 kg)
0061	1	220&#160;lb (100 kg)
0062	1	268&#160;lb (122 kg)
0063	1	245&#160;lb (111 kg)
0064	1	210&#160;lb (95 kg)
0065	1	245&#160;lb (111 kg)
0066	1	229&#160;lb (104 kg)
0067	1	203&#160;lb (92 kg)
0068	1	225&#160;lb (102 kg)
0069	1	190&#160;lb (86 kg)
0070	1	255&#160;lb (116 kg)
0071	1	266&#160;lb (121 kg)
