nbaplayer	yahoo	height
438	438	438	20
0000	1	6-5
0001	1	6-2
0002	1	6-2
0003	1	6-9
0004	1	6-11
0005	1	6-9
0006	1	7-0
0007	1	6-11
0008	1	6-11
0009	1	7-1
0010	1	6-7
0011	1	6-7
0012	1	6-1
0013	1	6-5
0014	1	6-3
0015	1	6-2
0016	1	6-11
0017	1	6-1
0018	1	6-6
0019	1	6-9
0020	1	6-7
0021	1	7-0
0022	1	6-5
0023	1	6-9
0024	1	7-0
0025	1	6-3
0026	1	6-7
0027	1	6-5
0028	1	6-3
0029	1	6-10
0030	1	6-11
0031	1	7-0
0032	1	6-5
0033	1	6-4
0034	1	6-10
0035	1	6-7
0036	1	6-11
0037	1	6-9
0038	1	6-11
0039	1	6-9
0040	1	6-7
0041	1	6-2
0042	1	6-10
0043	1	6-6
0044	1	6-9
0045	1	6-0
0046	1	6-11
0047	1	6-6
0048	1	6-8
0049	1	6-8
0050	1	7-0
0051	1	6-5
0052	1	6-8
0053	1	6-7
0054	1	6-9
0055	1	6-8
0056	1	7-1
0057	1	6-6
0058	1	6-10
0059	1	6-9
0060	1	6-9
0061	1	6-2
0062	1	6-10
0063	1	6-1
0064	1	6-11
0065	1	6-8
0066	1	6-1
0067	1	6-9
0068	1	7-3
0069	1	6-8
0070	1	6-8
0071	1	6-11
0072	1	6-8
0073	1	6-11
0074	1	6-4
0075	1	6-10
0076	1	6-10
0077	1	6-4
0078	1	6-8
0079	1	6-10
0080	1	6-1
0081	1	6-11
0082	1	6-0
0083	1	6-10
0084	1	6-4
0085	1	6-6
0086	1	6-6
0087	1	6-10
0088	1	6-11
0089	1	6-8
0090	1	6-4
0091	1	6-5
0092	1	6-7
0093	1	6-5
0094	1	7-0
0095	1	6-10
0096	1	7-0
0097	1	7-0
0098	1	6-7
0099	1	6-9
0100	1	6-3
0101	1	6-4
0102	1	6-7
0103	1	6-5
0104	1	6-10
0105	1	6-8
0106	1	6-10
0107	1	6-1
0108	1	6-7
0109	1	6-10
0110	1	6-9
0111	1	6-11
0112	1	7-0
0113	1	5-11
0114	1	6-9
0115	1	7-1
0116	1	6-6
0117	1	6-10
0118	1	6-4
0119	1	6-0
0120	1	6-6
0121	1	6-7
0122	1	6-10
0123	1	7-0
0124	1	6-11
0125	1	6-11
0126	1	6-2
0127	1	6-0
0128	1	6-9
0129	1	6-7
0130	1	6-11
0131	1	6-10
0132	1	6-5
0133	1	6-9
0134	1	6-5
0135	1	6-10
0136	1	6-4
0137	1	6-3
0138	1	6-10
0139	1	7-0
0140	1	6-10
0141	1	5-9
0142	1	6-7
0143	1	6-5
0144	1	6-3
0145	1	6-11
0146	1	6-9
0147	1	7-0
0148	1	6-8
0149	1	6-11
0150	1	6-6
0151	1	6-3
0152	1	6-11
0153	1	6-5
0154	1	6-2
0155	1	6-0
0156	1	7-0
0157	1	6-6
0158	1	6-7
0159	1	6-5
0160	1	6-5
0161	1	7-0
0162	1	6-9
0163	1	6-10
0164	1	7-1
0165	1	6-3
0166	1	6-9
0167	1	6-10
0168	1	6-9
0169	1	6-6
0170	1	6-8
0171	1	6-11
0172	1	6-2
0173	1	6-1
0174	1	6-8
0175	1	6-8
0176	1	6-3
0177	1	6-8
0178	1	6-2
0179	1	6-2
0180	1	6-7
0181	1	6-11
0182	1	6-5
0183	1	6-4
0184	1	6-10
0185	1	6-10
0186	1	6-6
0187	1	6-9
0188	1	6-9
0189	1	6-7
0190	1	6-9
0191	1	6-3
0192	1	7-0
0193	1	6-3
0194	1	6-3
0195	1	6-3
0196	1	6-9
0197	1	6-3
0198	1	6-10
0199	1	6-8
0200	1	6-10
0201	1	6-6
0202	1	6-9
