nbaplayer	yahoo	name
438	438	438	438
0000	1	Ray Allen
0001	1	Carlos Arroyo
0002	1	Avery Bradley
0003	1	Glen Davis
0004	1	Kevin Garnett
0005	1	Jeff Green
0006	1	Nenad Krstic
0007	1	Troy Murphy
0008	1	Jermaine O'Neal
0009	1	Shaquille O'Neal
0010	1	Sasha Pavlovic
0011	1	Paul Pierce
0012	1	Rajon Rondo
0013	1	Von Wafer
0014	1	Delonte West
0015	1	Jordan Farmar
0016	1	Dan Gadzuric
0017	1	Sundiata Gaines
0018	1	Stephen Graham
0019	1	Kris Humphries
0020	1	Damion James
0021	1	Brook Lopez
0022	1	Anthony Morrow
0023	1	Travis Outlaw
0024	1	Johan Petro
0025	1	Ben Uzoh
0026	1	Sasha Vujacic
0027	1	Mario West
0028	1	Deron Williams
0029	1	Brandan Wright
0030	1	Hilton Armstrong
0031	1	Jason Collins
0032	1	Jamal Crawford
0033	1	Kirk Hinrich
0034	1	Al Horford
0035	1	Joe Johnson
0036	1	Zaza Pachulia
0037	1	Josh Powell
0038	1	Magnum Rolle
0039	1	Josh Smith
0040	1	Pape Sy
0041	1	Jeff Teague
0042	1	Etan Thomas
0043	1	Damien Wilkins
0044	1	Marvin Williams
0045	1	D.J. Augustin
0046	1	Kwame Brown
0047	1	Matt Carroll
0048	1	Dante Cunningham
0049	1	Boris Diaw
0050	1	DeSagana Diop
0051	1	Gerald Henderson
0052	1	Stephen Jackson
0053	1	Shaun Livingston
0054	1	Dominic McGuire
0055	1	Eduardo Najera
0056	1	Joel Przybilla
0057	1	Garrett Temple
0058	1	Tyrus Thomas
0059	1	DJ White
0060	1	Joel Anthony
0061	1	Mike Bibby
0062	1	Chris Bosh
0063	1	Mario Chalmers
0064	1	Erick Dampier
0065	1	Udonis Haslem
0066	1	Eddie House
0067	1	Juwan Howard
0068	1	Zydrunas Ilgauskas
0069	1	LeBron James
0070	1	James Jones
0071	1	Jamaal Magloire
0072	1	Mike Miller
0073	1	Dexter Pittman
0074	1	Dwyane Wade
0075	1	Malik Allen
0076	1	Ryan Anderson
0077	1	Gilbert Arenas
0078	1	Brandon Bass
0079	1	Earl Clark
0080	1	Chris Duhon
0081	1	Dwight Howard
0082	1	Jameer Nelson
0083	1	Daniel Orton
0084	1	J.J. Redick
0085	1	Jason Richardson
0086	1	Quentin Richardson
0087	1	Hedo Turkoglu
0088	1	Andray Blatche
0089	1	Trevor Booker
0090	1	Jordan Crawford
0091	1	Maurice Evans
0092	1	Josh Howard
0093	1	Othyus Jeffers
0094	1	Yi Jianlian
0095	1	Rashard Lewis
0096	1	JaVale McGee
0097	1	Hamady N'diaye
0098	1	Larry Owens
0099	1	Kevin Seraphin
0100	1	Mustafa Shakur
0101	1	John Wall
0102	1	Nick Young
0103	1	Arron Afflalo
0104	1	Chris Andersen
0105	1	Wilson Chandler
0106	1	Melvin Ely
0107	1	Raymond Felton
0108	1	Gary Forbes
0109	1	Danilo Gallinari
0110	1	Al Harrington
0111	1	Nene Hilario
0112	1	Kosta Koufos
0113	1	Ty Lawson
0114	1	Kenyon Martin
0115	1	Timofey Mozgov
0116	1	J.R. Smith
0117	1	Michael Beasley
0118	1	Wayne Ellington
0119	1	Jonny Flynn
0120	1	Lazar Hayward
0121	1	Wes Johnson
0122	1	Kevin Love
0123	1	Darko Milicic
0124	1	Nikola Pekovic
0125	1	Anthony Randolph
0126	1	Luke Ridnour
0127	1	Sebastian Telfair
0128	1	Anthony Tolliver
0129	1	Martell Webster
0130	1	Cole Aldrich
0131	1	Nick Collison
0132	1	Daequan Cook
0133	1	Kevin Durant
0134	1	James Harden
0135	1	Serge Ibaka
0136	1	Royal Ivey
0137	1	Eric Maynor
0138	1	Nazr Mohammed
0139	1	Byron Mullens
0140	1	Kendrick Perkins
0141	1	Nate Robinson
0142	1	Thabo Sefolosha
0143	1	Robert Vaden
0144	1	Russell Westbrook
0145	1	LaMarcus Aldridge
0146	1	Luke Babbitt
0147	1	Earl Barron
0148	1	Nicolas Batum
0149	1	Marcus Camby
0150	1	Rudy Fernandez
0151	1	Armon Johnson
0152	1	Chris Johnson
0153	1	Wesley Matthews
0154	1	Andre Miller
0155	1	Patty Mills
0156	1	Greg Oden
0157	1	Brandon Roy
0158	1	Gerald Wallace
0159	1	Elliot Williams
0160	1	Raja Bell
0161	1	Francisco Elson
0162	1	Jeremy Evans
0163	1	Derrick Favors
0164	1	Kyrylo Fesenko
0165	1	Devin Harris
0166	1	Gordon Hayward
0167	1	Al Jefferson
0168	1	Andrei Kirilenko
0169	1	C.J. Miles
0170	1	Paul Millsap
0171	1	Mehmet Okur
0172	1	Ronnie Price
0173	1	Earl Watson
0174	1	Carmelo Anthony
0175	1	Renaldo Balkman
0176	1	Chauncey Billups
0177	1	Derrick Brown
0178	1	Anthony Carter
0179	1	Toney Douglas
0180	1	Landry Fields
0181	1	Jared Jeffries
0182	1	Roger Mason
0183	1	Andy Rautins
0184	1	Amar'e Stoudemire
0185	1	Ronny Turiaf
0186	1	Bill Walker
0187	1	Shawne Williams
0188	1	Shelden Williams
0189	1	Jeff Adrien
0190	1	Louis Amundson
0191	1	Charlie Bell
0192	1	Andris Biedrins
0193	1	Stephen Curry
0194	1	Monta Ellis
