nbaplayer	yahoo	team
438	438	438	30
0000	1	Boston Celtics
0001	1	Boston Celtics
0002	1	Boston Celtics
0003	1	Boston Celtics
0004	1	Boston Celtics
0005	1	Boston Celtics
0006	1	Boston Celtics
0007	1	Boston Celtics
0008	1	Boston Celtics
0009	1	Boston Celtics
0010	1	Boston Celtics
0011	1	Boston Celtics
0012	1	Boston Celtics
0013	1	Boston Celtics
0014	1	Boston Celtics
0015	1	New Jersey Nets
0016	1	New Jersey Nets
0017	1	New Jersey Nets
0018	1	New Jersey Nets
0019	1	New Jersey Nets
0020	1	New Jersey Nets
0021	1	New Jersey Nets
0022	1	New Jersey Nets
0023	1	New Jersey Nets
0024	1	New Jersey Nets
0025	1	New Jersey Nets
0026	1	New Jersey Nets
0027	1	New Jersey Nets
0028	1	New Jersey Nets
0029	1	New Jersey Nets
0030	1	Atlanta Hawks
0031	1	Atlanta Hawks
0032	1	Atlanta Hawks
0033	1	Atlanta Hawks
0034	1	Atlanta Hawks
0035	1	Atlanta Hawks
0036	1	Atlanta Hawks
0037	1	Atlanta Hawks
0038	1	Atlanta Hawks
0039	1	Atlanta Hawks
0040	1	Atlanta Hawks
0041	1	Atlanta Hawks
0042	1	Atlanta Hawks
0043	1	Atlanta Hawks
0044	1	Atlanta Hawks
0045	1	Charlotte Bobcats
0046	1	Charlotte Bobcats
0047	1	Charlotte Bobcats
0048	1	Charlotte Bobcats
0049	1	Charlotte Bobcats
0050	1	Charlotte Bobcats
0051	1	Charlotte Bobcats
0052	1	Charlotte Bobcats
0053	1	Charlotte Bobcats
0054	1	Charlotte Bobcats
0055	1	Charlotte Bobcats
0056	1	Charlotte Bobcats
0057	1	Charlotte Bobcats
0058	1	Charlotte Bobcats
0059	1	Charlotte Bobcats
0060	1	Miami Heat
0061	1	Miami Heat
0062	1	Miami Heat
0063	1	Miami Heat
0064	1	Miami Heat
0065	1	Miami Heat
0066	1	Miami Heat
0067	1	Miami Heat
0068	1	Miami Heat
0069	1	Miami Heat
0070	1	Miami Heat
0071	1	Miami Heat
0072	1	Miami Heat
0073	1	Miami Heat
0074	1	Miami Heat
0075	1	Orlando Magic
0076	1	Orlando Magic
0077	1	Orlando Magic
0078	1	Orlando Magic
0079	1	Orlando Magic
0080	1	Orlando Magic
0081	1	Orlando Magic
0082	1	Orlando Magic
0083	1	Orlando Magic
0084	1	Orlando Magic
0085	1	Orlando Magic
0086	1	Orlando Magic
0087	1	Orlando Magic
0088	1	Washington Wizards
0089	1	Washington Wizards
0090	1	Washington Wizards
0091	1	Washington Wizards
0092	1	Washington Wizards
0093	1	Washington Wizards
0094	1	Washington Wizards
0095	1	Washington Wizards
0096	1	Washington Wizards
0097	1	Washington Wizards
0098	1	Washington Wizards
0099	1	Washington Wizards
0100	1	Washington Wizards
0101	1	Washington Wizards
0102	1	Washington Wizards
0103	1	Denver Nuggets
0104	1	Denver Nuggets
0105	1	Denver Nuggets
0106	1	Denver Nuggets
0107	1	Denver Nuggets
0108	1	Denver Nuggets
0109	1	Denver Nuggets
0110	1	Denver Nuggets
0111	1	Denver Nuggets
0112	1	Denver Nuggets
0113	1	Denver Nuggets
0114	1	Denver Nuggets
0115	1	Denver Nuggets
0116	1	Denver Nuggets
0117	1	Minnesota Timberwolves
0118	1	Minnesota Timberwolves
0119	1	Minnesota Timberwolves
0120	1	Minnesota Timberwolves
0121	1	Minnesota Timberwolves
0122	1	Minnesota Timberwolves
0123	1	Minnesota Timberwolves
0124	1	Minnesota Timberwolves
0125	1	Minnesota Timberwolves
0126	1	Minnesota Timberwolves
0127	1	Minnesota Timberwolves
0128	1	Minnesota Timberwolves
0129	1	Minnesota Timberwolves
0130	1	Oklahoma City Thunder
0131	1	Oklahoma City Thunder
0132	1	Oklahoma City Thunder
0133	1	Oklahoma City Thunder
0134	1	Oklahoma City Thunder
0135	1	Oklahoma City Thunder
0136	1	Oklahoma City Thunder
0137	1	Oklahoma City Thunder
0138	1	Oklahoma City Thunder
0139	1	Oklahoma City Thunder
0140	1	Oklahoma City Thunder
0141	1	Oklahoma City Thunder
0142	1	Oklahoma City Thunder
0143	1	Oklahoma City Thunder
0144	1	Oklahoma City Thunder
0145	1	Portland Trail Blazers
0146	1	Portland Trail Blazers
0147	1	Portland Trail Blazers
0148	1	Portland Trail Blazers
0149	1	Portland Trail Blazers
0150	1	Portland Trail Blazers
0151	1	Portland Trail Blazers
0152	1	Portland Trail Blazers
0153	1	Portland Trail Blazers
0154	1	Portland Trail Blazers
0155	1	Portland Trail Blazers
0156	1	Portland Trail Blazers
0157	1	Portland Trail Blazers
0158	1	Portland Trail Blazers
0159	1	Portland Trail Blazers
0160	1	Utah Jazz
0161	1	Utah Jazz
0162	1	Utah Jazz
0163	1	Utah Jazz
0164	1	Utah Jazz
0165	1	Utah Jazz
0166	1	Utah Jazz
0167	1	Utah Jazz
