nbaplayer	yahoo	weight
438	438	438	85
0000	1	205
0001	1	200
0002	1	195
0003	1	295
0004	1	253
0005	1	235
0006	1	240
0007	1	245
0008	1	268
0009	1	325
0010	1	235
0011	1	235
0012	1	186
0013	1	220
0014	1	195
0015	1	180
0016	1	245
0017	1	195
0018	1	215
0019	1	235
0020	1	220
0021	1	265
0022	1	210
0023	1	207
0024	1	247
0025	1	205
0026	1	205
0027	1	210
0028	1	207
0029	1	220
0030	1	235
0031	1	265
0032	1	200
0033	1	190
0034	1	245
0035	1	240
0036	1	275
0037	1	240
0038	1	225
0039	1	240
0040	1	225
0041	1	180
0042	1	260
0043	1	225
0044	1	240
0045	1	180
0046	1	270
0047	1	212
0048	1	227
0049	1	245
0050	1	280
0051	1	215
0052	1	215
0053	1	190
0054	1	235
0055	1	235
0056	1	259
0057	1	195
0058	1	225
0059	1	251
0060	1	245
0061	1	195
0062	1	235
0063	1	190
0064	1	265
0065	1	235
0066	1	190
0067	1	250
0068	1	260
0069	1	250
0070	1	215
0071	1	255
0072	1	218
0073	1	308
0074	1	220
0075	1	255
0076	1	240
0077	1	215
0078	1	250
0079	1	225
0080	1	190
0081	1	265
0082	1	190
0083	1	255
0084	1	190
0085	1	225
0086	1	228
0087	1	220
0088	1	260
0089	1	240
0090	1	195
0091	1	220
0092	1	210
0093	1	210
0094	1	250
0095	1	230
0096	1	250
0097	1	235
0098	1	210
0099	1	275
0100	1	190
0101	1	195
0102	1	210
0103	1	215
0104	1	230
0105	1	225
0106	1	245
0107	1	205
0108	1	220
0109	1	225
0110	1	250
0111	1	250
0112	1	275
0113	1	195
0114	1	240
0115	1	250
0116	1	220
0117	1	230
0118	1	200
0119	1	195
0120	1	225
0121	1	215
0122	1	260
0123	1	275
0124	1	290
0125	1	225
0126	1	175
0127	1	170
0128	1	240
0129	1	230
0130	1	245
0131	1	255
0132	1	210
0133	1	230
0134	1	220
0135	1	240
0136	1	215
0137	1	170
0138	1	250
0139	1	275
0140	1	275
0141	1	180
0142	1	215
0143	1	205
0144	1	190
0145	1	246
0146	1	217
0147	1	245
0148	1	210
0149	1	235
0150	1	179
0151	1	195
0152	1	210
0153	1	200
0154	1	200
0155	1	185
0156	1	285
0157	1	211
0158	1	220
0159	1	183
0160	1	205
0161	1	240
0162	1	196
0163	1	246
0164	1	280
0165	1	190
0166	1	207
0167	1	280
0168	1	235
0169	1	232
0170	1	250
0171	1	265
0172	1	187
0173	1	185
0174	1	238
0175	1	210
0176	1	202
0177	1	233
0178	1	195
0179	1	185
0180	1	210
0181	1	240
0182	1	205
0183	1	195
0184	1	240
0185	1	247
0186	1	230
0187	1	225
0188	1	250
0189	1	243
0190	1	225
0191	1	200
0192	1	240
0193	1	185
0194	1	180
0195	1	202
0196	1	250
0197	1	200
0198	1	235
0199	1	235
0200	1	240
0201	1	210
0202	1	210
0203	1	260
0204	1	226
0205	1	172
0206	1	210
0207	1	205
0208	1	285
0209	1	275
0210	1	215
0211	1	210
0212	1	250
0213	1	218
0214	1	230
0215	1	235
0216	1	225
0217	1	235
0218	1	215
0219	1	195
0220	1	250
0221	1	250
0222	1	213
0223	1	240
0224	1	220
0225	1	251
0226	1	265
0227	1	256
0228	1	205
0229	1	265
0230	1	205
0231	1	195
0232	1	161
0233	1	220
0234	1	210
0235	1	190
0236	1	225
0237	1	245
0238	1	240
0239	1	225
0240	1	234
0241	1	255
0242	1	178
0243	1	215
0244	1	304
0245	1	219
0246	1	225
0247	1	270
0248	1	250
0249	1	200
0250	1	220
0251	1	195
0252	1	226
0253	1	253
0254	1	175
0255	1	210
0256	1	250
0257	1	205
0258	1	205
0259	1	235
0260	1	175
0261	1	182
0262	1	188
0263	1	228
0264	1	241
0265	1	235
0266	1	263
0267	1	215
0268	1	210
0269	1	230
0270	1	228
0271	1	245
0272	1	218
0273	1	229
0274	1	180
0275	1	225
0276	1	218
0277	1	250
0278	1	190
0279	1	238
0280	1	235
0281	1	200
0282	1	205
0283	1	185
0284	1	261
0285	1	310
0286	1	235
0287	1	245
0288	1	267
0289	1	220
0290	1	213
0291	1	235
0292	1	220
0293	1	185
0294	1	265
0295	1	230
0296	1	265
0297	1	220
0298	1	210
0299	1	240
0300	1	260
0301	1	175
0302	1	211
0303	1	220
0304	1	245
0305	1	210
0306	1	205
0307	1	200
0308	1	240
0309	1	270
0310	1	201
0311	1	200
0312	1	248
0313	1	255
0314	1	255
0315	1	175
0316	1	225
0317	1	240
0318	1	240
0319	1	215
0320	1	270
0321	1	235
0322	1	230
0323	1	255
0324	1	205
0325	1	210
0326	1	180
0327	1	230
0328	1	245
0329	1	210
0330	1	220
0331	1	185
0332	1	175
0333	1	240
0334	1	240
0335	1	230
0336	1	254
0337	1	205
0338	1	245
0339	1	180
0340	1	207
0341	1	215
0342	1	208
0343	1	225
0344	1	248
0345	1	245
0346	1	210
0347	1	175
0348	1	220
0349	1	262
0350	1	250
0351	1	202
0352	1	250
0353	1	200
0354	1	210
0355	1	215
0356	1	220
0357	1	268
0358	1	245
0359	1	210
0360	1	245
0361	1	245
0362	1	205
0363	1	235
0364	1	255
0365	1	215
0366	1	266
0367	1	227
0368	1	215
0369	1	220
0370	1	225
0371	1	212
0372	1	165
0373	1	232
0374	1	185
0375	1	190
0376	1	235
0377	1	230
0378	1	175
0379	1	215
0380	1	240
0381	1	210
0382	1	219
0383	1	200
0384	1	225
0385	1	246
0386	1	192
0387	1	242
0388	1	240
0389	1	235
0390	1	210
0391	1	260
0392	1	190
0393	1	260
0394	1	185
0395	1	205
0396	1	200
0397	1	193
0398	1	231
0399	1	260
0400	1	223
0401	1	253
0402	1	215
0403	1	205
0404	1	240
0405	1	232
0406	1	240
0407	1	213
0408	1	235
0409	1	160
0410	1	230
0411	1	165
0412	1	250
0413	1	210
0414	1	228
0415	1	250
0416	1	278
0417	1	210
0418	1	245
0419	1	240
0420	1	217
0421	1	181
0422	1	210
0423	1	210
0424	1	260
0425	1	135
0426	1	255
0427	1	230
0428	1	195
0429	1	210
0430	1	250
0431	1	235
0432	1	169
0433	1	225
0434	1	230
0435	1	215
0436	1	207
0437	1	235
