restaurant	fodors	address
2000	2000	2000	1980
0000	1	2477 Arctic Blvd., Downtown, Anchorage, AK, 99503 |
0001	1	555 W. Northern Lights Blvd., Midtown, Anchorage, AK, 99503 |
0002	1	Crow Creek Rd., Girdwood, AK, 99587 |
0003	1	737 W. 5th Ave., Downtown, Anchorage, AK, 99501 |
0004	1	6700 Jewel Lake Rd., South Anchorage, Anchorage, AK, 99502 |
0005	1	7305 Old Seward Hwy., South Anchorage, Anchorage, AK, 99518 |
0006	1	900 W. 13th Ave., Downtown, Anchorage, AK, 99501 |
0007	1	328 G St., Downtown, Anchorage, AK, 99501 |
0008	1	Mi 229.7, Parks Hwy., Denali National Park, AK, 99755
0009	1	4001 Geist Rd., Suite 2, University West, Fairbanks, AK, 99709
0010	1	Mi 1 Otto Lake Rd., off Mi 247 Parks Hwy., Denali National Park, AK, 99743
0011	1	706 2nd Ave., Downtown, Fairbanks, AK, 99701 |
0012	1	Mi 1, 313.1, Alaska Hwy., Tok, AK, 99780
0013	1	3702 Cameron St., Fairbanks, AK, 99709 |
0014	1	Mi 248.7 Parks Hwy., Denali National Park, AK, 99743
0015	1	Mi 10, Old Steese Hwy., Fox, AK, 99712
0016	1	326 Front St., Ketchikan, AK, 99901 |
0017	1	306 N. Nordic Dr., Petersburg, AK, 99833 |
0018	1	3rd Ave. between Main and State Sts., Skagway, AK, 99840 |
0019	1	1061 Salmon Lane Rd., Juneau, AK, 99811 |
0020	1	13 Sing Lee Alley, Petersburg, AK, 99833 |
0021	1	306 N. Nordic Dr., above Coastal Cold Storage, Petersburg, AK, 99833 |
0022	1	224 4th St., Juneau, AK, 99811 |
0023	1	4th Ave. between Main and State Sts., Skagway, AK, 99840 |
0024	1	200 Seward St., Juneau, AK, 99811 |
0025	1	Mi 49, Parks Hwy. at Pittman St., in the Tesoro Bldg., Wasilla, AK, 99654
0026	1	4241 Homer Spit Rd., Homer, AK, 99603 |
0027	1	43187 Kalifornsky Beach Rd., Soldotna, AK, 99669 |
0028	1	276 Olson Ln., Homer, AK, 99603 |
0029	1	Harbor Loop, Whittier, AK, 99693
0030	1	Mi 8.2, E. End Rd., Homer, AK
0031	1	300 Airport Dr., Valdez, AK, 99686
0032	1	516 E. Marine Way, Kodiak, AK |
0033	1	Mi 2.1, Copper River Hwy.99574, Cordova, AK
0034	1	44619 Sterling Hwy., Sterling, AK, 99669 |
0035	1	Mi 45, Sterling Hwy., Cooper Landing, AK, 99575
0036	1	38515 Barbara St., at Mi 82.7, Sterling Hwy., Sterling, AK, 99672
0037	1	12 Harbor Loop Dr., Whittier, AK, 99693
0038	1	Harbor Loop, Whittier, AK, 99693
0039	1	1204 Agvik St., next to Top of the World Hotel, Barrow, AK, 99723 |
0040	1	320 Tundra St., Bethel, AK, 99559 |
0041	1	573 W. Deuce of Clubs, Show Low, AZ, 85901 |
0042	1	845 E. White Mountain Blvd., Lakeside, AZ, 85929 |
0043	1	391 W. Deuce of Clubs, Show Low, AZ, 85901 |
0044	1	9 S. Main St., Taylor, AZ, 85939
0045	1	Grand Canyon Lodge, Bright Angel Point, North Rim, Grand Canyon, AZ, 86052 |
0046	1	Grand Canyon Lodge, North Rim, Grand Canyon, AZ, 86052 |
0047	1	Maswik Lodge, Desert View Dr., Grand Canyon Village, AZ, 86023 |
0048	1	200 Hill St., Jerome, AZ
0049	1	901 S. Milton Rd., University, Flagstaff, AZ, 86001 |
0050	1	396 S. Main St., Camp Verde, AZ, 86322 |
0051	1	126 W. Cottage Ave., Downtown, Flagstaff, AZ, 86001 |
0052	1	2321 W. AZ 89A, West, Sedona, AZ, 86336
0053	1	1610 W. AZ 89A, West, Sedona, AZ, 86336
0054	1	L'Auberge de Sedona, 241 AZ 89A, Uptown, Sedona, AZ, 86336
0055	1	11425 E. Cornville Rd., Cornville, AZ, 86325 |
0056	1	201 N. Cortez St., Downtown, Prescott, AZ, 86301 |
0057	1	130 W. Gurley St., Downtown, Prescott, AZ, 86303 |
0058	1	234 S. Cortez St., Downtown, Prescott, AZ, 86303 |
0059	1	250 Jordan Rd., No. 9, Uptown, Sedona, AZ, 86336 |
0060	1	644 N. Navajo Dr., Page, AZ, 86040 |
0061	1	125 S. Lake Powell Blvd., Page, AZ, 86040 |
0062	1	5 mi west of AZ 87 on AZ 264, Second Mesa, AZ, 86403
0063	1	100 Main St., AZ
0064	1	Keams Canyon Shopping Center, AZ 264, Keams Canyon, AZ, 86034
0065	1	Colorado Belle, 2100 S. Casino Dr., Laughlin, NV, 89029 |
0066	1	401 E. Andy Devine Ave., Kingman, AZ, 86401 |
0067	1	105 E. Andy Devine Ave., Kingman, AZ, 86401 |
0068	1	Golden Nugget, 2300 S. Casino Dr., Laughlin, NV, 89029 |
0069	1	1425 McCulloch Blvd., Lake Havasu City, AZ, 86403 |
0070	1	7353 E. Scottsdale Mall, Old Town, Scottsdale, AZ, 85251 |
0071	1	2119 E. Camelback Rd., Town and Country Shopping Center, Central Phoenix, Phoenix, AZ, 85016 |
0072	1	3821 N. Scottsdale Rd., Old Town, Scottsdale, AZ, 85251 |
0073	1	410 E. Thunderbird Rd., North Central Phoenix, Phoenix, AZ, 85022 |
0074	1	6920 E. Cave Creek Rd., Cave Creek, AZ, 85331 |
0075	1	2051 W. Warner Rd., Chandler, AZ, 85224 |
0076	1	902 E. Ash St., Globe, AZ, 85501 |
0077	1	6327 N. 7th St., North Central Phoenix, Phoenix, AZ, 85014 |
0078	1	Biltmore Fashion Park, 2502 E. Camelback Rd., Camelback Corridor, Phoenix, AZ, 85016 |
0079	1	4626 N. 16th St., Central Phoenix, Phoenix, AZ, 85016 |
0080	1	7133 E. Stetson Dr., Old Town, Scottsdale, AZ, 85251 |
0081	1	1919 W. Chandler Blvd., Chandler, AZ, 85224 |
0082	1	2611 N. Central Ave., at Virginia, Central Phoenix, Phoenix, AZ, 85004 |
0083	1	28 S. San Marcos Pl., Chandler, AZ, 85225 |
0084	1	1940 E. Camelback Rd., Camelback Corridor, Phoenix, AZ, 85016 |
0085	1	5012 E. Van Buren St., South Phoenix, Phoenix, AZ, 85008 |
0086	1	6738 E. Cave Creek Rd., Cave Creek, AZ, 85331 |
0087	1	800 E. Camelback Rd., Central Phoenix, Phoenix, AZ, 85014 |
0088	1	8646 S. Central Ave., South Phoenix, Phoenix, AZ, 85042 |
0089	1	534 W. McDowell Rd., Downtown Phoenix, Phoenix, AZ, 85003 |
0090	1	2108 W. Camelback Rd., West Phoenix, Phoenix, AZ, 85015 |
0091	1	550 N. Hayden Rd., South Scottsdale, Scottsdale, AZ, 85257 |
0092	1	705 N. 1st St., Suite 120, Downtown Phoenix, Phoenix, AZ, 85004 |
0093	1	5009 E. Washington, South Phoenix, Phoenix, AZ, 85034 |
0094	1	5114 N. 7th St., Central Phoenix, Phoenix, AZ, 85014 |
0095	1	5736 E. Rancho Manana Blvd., Cave Creek, AZ, 85331 |
0096	1	15034 N. Scottsdale Rd., Kierland Commons, North Scottsdale, Scottsdale, AZ, 85254 |
0097	1	2 Copper Queen Plaza, Bisbee, AZ, 85603
0098	1	319 McKeown Ave., Patagonia, AZ, 85624 |
0099	1	601 W. 4th St., Benson, AZ, 85602 |
0100	1	400 W. Naugle Ave., Patagonia, AZ, 85624 |
0101	1	Arizona Inn, 2200 E. Elm St., University, Tucson, AZ, 85710 |
0102	1	500 N. 4th Ave., at 6th St., University, Tucson, AZ, 85719 |
0103	1	621 N. 4th Ave., University, Tucson, AZ, 85719 |
0104	1	3026 N. Campbell Ave., Central, Tucson, AZ, 85716 |
0105	1	7053 N. Oracle Rd., Northwest, Tucson, AZ, 85704 |
0106	1	Hotel Congress, 311 E. Congress St., Downtown, Tucson, AZ, 85701 |
0107	1	Westward Look Resort, 245 E. Ina Rd., Northwest, Tucson, AZ, 85704 |
0108	1	4637 E. Broadway Blvd., Central, Tucson, AZ, 85712 |
0109	1	1813 S. 4th Ave., South, Tucson, AZ, 85701 |
0110	1	1138 N. Belvedere, Central, Tucson, AZ, 85712 |
0111	1	6390 E. Grant Rd., Eastside, Tucson, AZ, 85715 |
0112	1	6 Plaza Rd., Tubac, AZ, 85646 |
0113	1	4310 N. Campbell Ave., Foothills, Tucson, AZ, 85718 |
0114	1	7037 N. Oracle Rd., Northwest, Tucson, AZ, 85704 |
0115	1	2731 E. Broadway Blvd., Central, Tucson, AZ, 85716 |
0116	1	540 Main St., Napa, CA, 94559 |
0117	1	4110 Howard La., /Rte. 29, Napa, CA, 94558 |
0118	1	13670 Arnold Dr., Glen Ellen, CA, 95442 |
0119	1	121 E. Spain St., Sonoma, CA, 95476 |
0120	1	452 E. 1st St., Sonoma, CA, 95476 |
0121	1	1245 Spring St., St. Helena, CA, 94574 |
0122	1	421 W. 1st St., Sonoma, CA, 95476
0123	1	Furnace Creek Inn Resort, Hwy. 190, Furnace Creek, CA, 92328 |
0124	1	Hwy. 190, Stovepipe Wells, CA, 92328 |
0125	1	Raley's Shopping Center, 930 Tahoe Blvd., Incline Village, NV |
0126	1	1132 Ski Run Blvd., South Lake Tahoe, CA |
0127	1	Round Hill Shopping Center, off Hwy. 50, 212 Elks Point Dr., #101, Zephyr Cove, NV |
0128	1	11197 Brockway Rd., Truckee, CA |
0129	1	1785 W. Lake Blvd., Tahoe City, CA |
0130	1	The Village at Squaw Valley, 1985 Squaw Valley Rd., Olympic Valley, CA |
0131	1	907 Tahoe Blvd., Incline Village, NV |
0132	1	3330 Lake Tahoe Blvd., Lakeview Plaza, South Lake Tahoe, CA |
0133	1	8338 N. Lake Blvd., Kings Beach, CA |
0134	1	1001 Heavenly Village Way, #26, South Lake Tahoe, CA |
0135	1	7739 N. Lake Blvd., next to Safeway, Kings Beach, CA |
0136	1	120 Country Club Dr., #29, Incline Village, NV |
