restaurant	fodors	cuisine
2000	2000	2037	81
0000	1	American
0001	1	Indian
0002	1	Southern
0003	1	American
0004	1	Continental
0005	1	Mexican
0006	1	Eclectic
0007	1	American
0008	1	American
0009	1	Cafe
0010	1	American
0011	1	Italian
0012	1	Seafood
0013	1	American
0014	1	American
0015	1	American
0016	1	American
0017	1	Seafood
0018	1	Cafe
0019	1	Seafood
0020	1	American
0021	1	Pizza
0022	1	Vegetarian
0023	1	Pizza
0024	1	Mediterranean
0025	1	Cafe
0026	1	Seafood
0027	1	American
0028	1	Mediterranean
0029	1	American
0030	1	Eclectic
0031	1	American
0032	1	Seafood
0033	1	American
0034	1	American
0035	1	American
0036	1	American
0037	1	American
0038	1	Seafood
0039	1	Mexican
0040	1	Chinese
0041	1	Mexican
0042	1	Mexican
0043	1	American
0044	1	American
0045	1	American
0046	1	American
0047	1	American
0048	1	American
0049	1	American
0050	1	Mexican
0051	1	Continental
0052	1	Italian
0053	1	Continental
0054	1	French
0055	1	Continental
0056	1	American
0057	1	American
0058	1	American
0059	1	Southern
0060	1	American
0061	1	Mexican
0062	1	Southwestern
0063	1	American
0064	1	American
0065	1	American
0066	1	Mexican
0067	1	American
0068	1	Steakhouse
0069	1	American
0070	1	American
0071	1	Cajun
0072	1	American
0073	1	American
0074	1	American
0075	1	Chinese
0076	1	Mexican
0077	1	Italian
0078	1	French
0079	1	French
0080	1	Eclectic
0081	1	Vietnamese
0082	1	Steak
0083	1	Mexican
0084	1	Greek
0085	1	Southern
0086	1	American
0087	1	Spanish
0088	1	Mexican
0089	1	Cafe
0090	1	Mexican
0091	1	Seafood
0092	1	Asian
0093	1	Steak
0094	1	Latin American
0095	1	American
0096	1	French
0097	1	American
0098	1	Cafe
0099	1	American
0100	1	American
0101	1	Continental
0102	1	Greek
0103	1	American
0104	1	Cafe
0105	1	Seafood
0106	1	American
0107	1	Southwestern
0108	1	American
0109	1	Mexican
0110	1	Mexican
0111	1	American
0112	1	American
0113	1	Italian
0114	1	American
0115	1	Ethiopian
0116	1	French
0117	1	Italian
0118	1	Eclectic
0119	1	Mexican
0120	1	Portuguese
0121	1	American
0122	1	American
0123	1	American
0124	1	American
0125	1	Italian
0126	1	Eclectic
0127	1	Mexican
0128	1	American
0129	1	American
0130	1	Pizza
0131	1	Eclectic
0132	1	Eclectic
0133	1	American
0134	1	Asian
0135	1	Italian
0136	1	French
0137	1	Thai
0138	1	Italian
0139	1	Southern
0140	1	Indian
0141	1	American
0142	1	French
0143	1	Deli
0144	1	Japanese
0145	1	Latin American
0146	1	Steak
0147	1	Mexican
0148	1	Italian
0149	1	Italian
0150	1	Deli
0151	1	Caribbean
0152	1	New American
0153	1	American
0154	1	Mexican
0155	1	New American
0156	1	Brazilian
0157	1	French
0158	1	New American
0159	1	Korean
0160	1	Southern
0161	1	New American
0162	1	Chinese
0163	1	Contemporary
0164	1	French
0165	1	Seafood
0166	1	Chinese
0167	1	Japanese
0168	1	American
0169	1	American
0170	1	American
0171	1	Steak
0172	1	Japanese
0173	1	Chinese
0174	1	French
0175	1	New American
0176	1	Eclectic
0177	1	Italian
0178	1	American
0179	1	American
0180	1	New American
0181	1	Indian
0182	1	Italian
0183	1	Italian
0184	1	Asian
0185	1	Italian
0186	1	New American
0187	1	Cuban
0188	1	American
0189	1	Italian
0190	1	New American
0191	1	Continental
0192	1	Mediterranean
0193	1	American
0194	1	Mediterranean
0195	1	Mediterranean
0196	1	French
0197	1	Seafood
0198	1	Seafood
0199	1	Italian
0200	1	Italian
0201	1	American
0202	1	Mexican
0203	1	Continental
0204	1	Mediterranean
0205	1	American
0206	1	Vegetarian
0207	1	Mediterranean
0208	1	Seafood
0209	1	Seafood
0210	1	French
0211	1	American
0212	1	American
0213	1	American
0214	1	American
0215	1	New American
0216	1	International
0217	1	Mexican
0218	1	French
0219	1	French
0220	1	Mexican
0221	1	Steak
0222	1	Vegetarian
0223	1	American
0224	1	American
0225	1	Mediterranean
0226	1	American
0227	1	American
0228	1	French
0229	1	American
0230	1	American
0231	1	Italian
0232	1	American
0233	1	Caribbean
0234	1	American
0235	1	Greek
0236	1	Continental
0237	1	Mexican
0238	1	Italian
0239	1	Eclectic
0240	1	French
