restaurant	fodors	name
2000	2000	2000	1969
0000	1	Arctic Roadrunner
0001	1	Bombay Deluxe Restaurant
0002	1	Double Musky Inn
0003	1	Glacier BrewHouse
0004	1	Kincaid Grill
0005	1	Mexico in Alaska
0006	1	New Sagaya's City Market
0007	1	Sacks Caf&eacute;
0008	1	229 Parks Restaurant and Tavern
0009	1	Alaska Coffee Roasting Company
0010	1	Black Diamond Grill
0011	1	Gambardella's Pasta Bella
0012	1	Gateway Salmon Bake &amp; RV Park
0013	1	Sam's Sourdough Cafe
0014	1	Totem Inn
0015	1	Turtle Club
0016	1	Annabelle's Famous Keg and Chowder House
0017	1	Coastal Cold Storage
0018	1	Glacial Smoothies and Espresso
0019	1	Gold Creek Salmon Bake
0020	1	Helse Restaurant
0021	1	Papa Bear's Pizza
0022	1	Rainbow Foods
0023	1	Skagway Pizza Station
0024	1	Zephyr
0025	1	Cadillac Caf&eacute;
0026	1	Captain Pattie's Seafood Restaurant
0027	1	The Duck Inn
0028	1	Fat Olives Restaurant
0029	1	Frankie's Deli &amp; Caf&eacute;
0030	1	Fritz Creek General Store
0031	1	The Landing Lights Bar and Grill
0032	1	Old Powerhouse Restaurant
0033	1	Powder House Bar &amp; Restaurant
0034	1	Sal's Klondike Diner
0035	1	Sunrise Inn
0036	1	Suzie's Cafe
0037	1	Tunnel's End Caf&eacute; &amp; Espresso
0038	1	Varly's Swiftwater Seafood Caf&eacute;
0039	1	Pepe's North of the Border
0040	1	Shogun
0041	1	Licano's Mexican Food and Steakhouse
0042	1	Los Corrales
0043	1	Native New Yorker
0044	1	Trapper's Cafe
0045	1	Deli in the Pines
0046	1	Grand Cookout
0047	1	Maswik Cafeteria
0048	1	The Asylum
0049	1	Bun Huggers
0050	1	Casa Antigua
0051	1	Cottage Place
0052	1	Dahl &amp; DiLuca
0053	1	Heartline Caf&eacute;
0054	1	L'Auberge
0055	1	Manzanita Restaurant
0056	1	Murphy's
0057	1	Prescott Brewing Company
0058	1	The Rose Restaurant
0059	1	Sally's Mesquite Grill and BBQ
0060	1	Dam Bar and Grille
0061	1	Fiesta Mexicana
0062	1	Hopi Cultural Center Restaurant
0063	1	The Junction
0064	1	Keams Canyon Restaurant
0065	1	Boiler Room Brew Pub
0066	1	El Palacio of Kingman Mexican Restaurant
0067	1	Mr. D'z Route 66 Diner
0068	1	Saltgrass Steakhouse
0069	1	Shugrue's
0070	1	AZ 188
0071	1	Baby Kay's
0072	1	Bandera
0073	1	Basis
0074	1	Binkley's Restaurant
0075	1	C-Fu Gourmet
0076	1	Chalo's
0077	1	Christo's Ristorante
0078	1	Christopher's Crush
0079	1	Coup Des Tartes
0080	1	Cowboy Ciao
0081	1	Cyclo
0082	1	Durant's Fine Foods
0083	1	El Zocalo Mexican Grill
0084	1	Greekfest
0085	1	Honey Bear's BBQ
0086	1	Horny Toad Restaurant
0087	1	Lola Tapas
0088	1	Los Dos Molinos
0089	1	My Florist Caf&eacute;
0090	1	Pepe's Taco Villa
0091	1	Salt Cellar
0092	1	Sens
0093	1	Stockyards Restaurant
0094	1	Ticoz Resto-Bar
