restaurant	fodors	phone
2000	2000	2000	1988
0000	1	907/279-7311
0001	1	907/277-1200
0002	1	907/783-2822
0003	1	907/274-2739 |
0004	1	907/243-0507 |
0005	1	907/349-1528
0006	1	907/274-6173; 907/274-9797; 800/764-1001
0007	1	907/276-3546; 907/274-4022 |
0008	1	907/683-2567
0009	1	907/457-5282
0010	1	907/683-4653
0011	1	907/456-3417
0012	1	907/883-5555; 907/883-5578 Sept.-mid-May
0013	1	907/479-0523
0014	1	907/683-6500
0015	1	907/457-3883
0016	1	907/225-6009
0017	1	907/772-4177; 877/257-4746
0018	1	907/983-3223
0019	1	907/789-0052; 800/323-5757
0020	1	907/772-3444
0021	1	907/772-3727
0022	1	907/586-6476
0023	1	907/983-2200
0024	1	907/780-2221
0025	1	907/357-5533
0026	1	907/235-5135
0027	1	907/262-1849
0028	1	907/235-8488
0029	1	907/472-2477
0030	1	907/235-6753
0031	1	907/835-2001
0032	1	907/481-1088
0033	1	907/424-3529
0034	1	907/262-2220
0035	1	907/595-1222
0036	1	907/260-5751
0037	1	907/472-3000
0038	1	907/472-2550
0039	1	907/852-8200
0040	1	907/543-2272
0041	1	928/537-8220
0042	1	928/367-5585
0043	1	928/532-5100
0044	1	928/536-7758
0045	1	928/638-2611 Ext. 766
0046	1	928/638-2611
0047	1	928/638-2631
0048	1	928/639-3197
0049	1	928/779-3743
0050	1	928/567-6300
0051	1	928/774-8431
0052	1	928/282-5219
0053	1	928/282-0785
0054	1	928/282-1667
0055	1	928/634-8851
0056	1	928/445-4044
0057	1	928/771-2795
0058	1	928/777-8308
0059	1	928/282-6533
0060	1	928/645-2161
0061	1	928/645-4082
0062	1	928/734-2401
0063	1	928/674-5875; 800/327-0354
0064	1	928/738-2296
0065	1	702/298-4000; 866/352-3553
0066	1	928/718-0018
0067	1	928/718-0066
0068	1	702/298-7153
0069	1	928/453-1400
0070	1	480/994-5576
0071	1	602/955-0011
0072	1	480/994-3524
0073	1	602/843-3689
0074	1	480/437-1072
0075	1	480/899-3888
0076	1	928/425-0515
0077	1	602/264-1784
0078	1	602/522-2344
0079	1	602/212-1082 |
0080	1	480/946-3111 |
0081	1	480/963-4490
0082	1	602/264-5967 |
0083	1	480/722-0303
0084	1	602/265-2990
0085	1	602/273-9148
0086	1	480/488-9542
0087	1	602/265-4519
0088	1	602/243-9113
0089	1	602/254-0333
0090	1	602/242-0379
0091	1	480/947-1963
0092	1	602/254-6424
0093	1	602/273-7378 |
0094	1	602/200-0160
0095	1	480/488-0698
0096	1	480/603-0922
0097	1	520/432-6788
0098	1	520/394-2097
0099	1	520/586-3523
0100	1	520/394-2433
0101	1	520/325-1541 |
0102	1	520/624-6886
0103	1	520/882-7575
0104	1	520/322-9965
0105	1	520/531-8500
0106	1	520/798-1618
0107	1	520/297-1151
0108	1	520/326-2835
0109	1	520/622-5081
0110	1	520/325-9957
0111	1	520/298-2020 |
0112	1	520/398-3330
0113	1	520/795-7221
0114	1	520/219-4230 |
0115	1	520/323-9928
0116	1	707/252-8115 |
0117	1	707/224-3300
0118	1	707/996-6409
0119	1	707/996-3406
0120	1	707/938-1927 |
0121	1	707/963-2233 |
0122	1	707/996-6645
0123	1	760/786-2345
0124	1	760/786-2604
0125	1	775/831-0346
0126	1	530/544-6544
0127	1	775/586-1822
0128	1	530/587-2337
0129	1	530/583-0871
0130	1	530/584-6150
0131	1	775/832-3007
0132	1	530/542-3630
0133	1	530/546-3315
