restaurant	frommers	address
2000	2000	2000	1977
0000	1	2224 Main St, Julian, CA
0001	1	2718 B St, Julian, CA
0002	1	11820 Glacier Hwy, Juneau, AK
0003	1	200 Seward St, Juneau, AK
0004	1	12846 U.S. 1, Juno Beach, FL
0005	1	1697 W. Indiantown Rd, Jupiter, FL
0006	1	2133 S. US 1, Jupiter, FL
0007	1	34 Main St, Kalispell, MT
0008	1	138 1st Ave. W, Kalispell, MT
0009	1	25 2nd Ave. W, Kalispell, MT
0010	1	300 S. 100 East St, Kanab, UT 84741
0011	1	5410 NE Oak Ridge Rd, Kansas City, MO 64119
0012	1	101 Cleaver Blvd, Kansas City, MO 64112
0013	1	2813 Tongass Ave, Ketchikan, AK
0014	1	335 Stedman St, Ketchikan, AK
0015	1	1831 Tongass Ave, Ketchikan, AK
0016	1	700 Front Street, Key West, FL 33040
0017	1	324 Petronia St, Key West, FL 33040
0018	1	305 Petronia St, Key West, FL 33040
0019	1	600 Fleming St, Key West, FL 33040
0020	1	Zero Duval St, Key West, FL 33040
0021	1	900 Southard St, Key West, FL 33040
0022	1	700 Duval St., Key West, FL 33040
0023	1	532 Margaret St, Key West, FL 33040
0024	1	806 Caroline St, Key West, FL 33040
0025	1	213 Margaret St, Key West, FL 33040
0026	1	611 Duval St, Key West, FL
0027	1	8 Killington Rd, Killington, VT 05751
0028	1	195 Mountain Top Rd, Chittenden, VT 05737
0029	1	2 Railroad Ave, York, ME 03909
0030	1	756 York St, York, ME
0031	1	205 E. Washington Ave, La Conner, WA
0032	1	1996 Main St, Baker City, OR
0033	1	1400 W. Pinhook Rd, Lafayette, LA
0034	1	112 London Bridge Rd, Lake Havasu, AZ
0035	1	1425 McCulloch Blvd, Lake Havasu, AZ
0036	1	100 Lakeshore Dr, Page, AZ 86040
0037	1	644 N. Navajo Dr, Page, AZ 86040
0038	1	1207 Emerald Bay Rd, Lake Tahoe, CA 96150
0039	1	536 Emerald Bay Rd, Lake Tahoe, CA
0040	1	2433 Venice Dr, Lake Tahoe, CA 96150
0041	1	5000 N. Lake Blvd, Lake Tahoe, CA
0042	1	3123 Harrison Ave, Lake Tahoe, CA
0043	1	983 Tallac Ave, South Lake Tahoe, CA
0044	1	320 S. 2nd St, Laramie, WY 82070
0045	1	2355 Calle de Guadalupe, Las Cruces, NM
0046	1	2540 El Paseo Rd, Las Cruces, NM
0047	1	3131 Las Vegas Blvd. S, Las Vegas, NV
0048	1	3775 Las Vegas Blvd. S, Las Vegas, NV 89101
0049	1	2101 Texas Star Lane, Las Vegas, NV
0050	1	3355 Las Vegas Blvd. S, Las Vegas, NV
0051	1	3400 Las Vegas Blvd. S, Las Vegas, NV
0052	1	3600 Las Vegas Blvd. S, Las Vegas, NV 89109
0053	1	3355 Las Vegas Blvd. S, Las Vegas, NV
0054	1	4100 Paradise Rd, Las Vegas, NV
0055	1	3930 Las Vegas Blvd. S, Las Vegas, NV
0056	1	3200 Las Vegas Blvd. S, Las Vegas, NV
0057	1	322 W. Sahara Ave, Las Vegas, NV 89102
0058	1	129 E. Fremont St, Las Vegas, NV 89101
0059	1	3600 Las Vegas Blvd. S, Las Vegas, NV 89109
0060	1	2880 Las Vegas Blvd. S, Las Vegas, NV 89109
0061	1	3770 Las Vegas Blvd. S, Las Vegas, NV
0062	1	4115 Spring Mountain Rd, Las Vegas, NV 89102
0063	1	3799 Las Vegas Blvd. S, Las Vegas, NV 89109
0064	1	3850 Las Vegas Blvd. S, Las Vegas, NV 89109
0065	1	2000 Las Vegas Blvd S, Las Vegas, NV
0066	1	3600 Las Vegas Blvd. S, Las Vegas, NV
0067	1	3475 Las Vegas Blvd. S, Las Vegas, NV
0068	1	200 E. Fremont St, Las Vegas, NV 89101
0069	1	129 E. Fremont St, Las Vegas, NV 89101
0070	1	4275 Spring Mountain Rd, Las Vegas, NV
0071	1	6800 W. Sahara Ave, Las Vegas, NV
0072	1	3750 Las Vegas Blvd. S, Las Vegas, NV 89109
0073	1	3300 Las Vegas Blvd. S, Las Vegas, NV
0074	1	3910 S. Maryland Parkway, Las Vegas, NV
0075	1	3790 Las Vegas Blvd. S, Las Vegas, NV
0076	1	953 E. Sahara Ave, Las Vegas, NV 89104
0077	1	953 E. Sahara Ave, Las Vegas, NV 89104
0078	1	3799 Las Vegas Blvd. S, Las Vegas, NV 89109
0079	1	202 E. Fremont St, Las Vegas, NV
0080	1	2250 E. Warm Springs Rd, Las Vegas, NV
0081	1	3570 Las Vegas Blvd. S, Las Vegas, NV
0082	1	3400 Las Vegas Blvd. S, Las Vegas, NV 89109
0083	1	3950 Las Vegas Blvd. S, Las Vegas, NV
0084	1	400 E. Flamingo Rd, Las Vegas, NV 89109
0085	1	400 E. Sahara Ave, Las Vegas, NV 89104
0086	1	4455 Paradise Rd, Las Vegas, NV
0087	1	3700 W. Flamingo Rd, Las Vegas, NV
