restaurant	frommers	cuisine
2000	2000	2000	610
0000	1	American
0001	1	Italian
0002	1	Thai
0003	1	Mediterranean
0004	1	Seafood, Caribbean
0005	1	Italian
0006	1	Continental
0007	1	Burgers
0008	1	Steaks, Seafood, Eclectic
0009	1	Steak, Seafood, Eclectic
0010	1	Southwestern, Mexican
0011	1	Chicken
0012	1	Diner
0013	1	Seafood, Eclectic
0014	1	Filipino
0015	1	Mexican, Italian
0016	1	Seafood
0017	1	Bahamian
0018	1	Seafood, American, Natural
0019	1	Contemporary American
0020	1	Fusion
0021	1	Italian, American
0022	1	Floribbean
0023	1	Steak
0024	1	American
0025	1	Southwestern, Seafood
0026	1	PIZZA
0027	1	Pub Fare
0028	1	American, Continental
0029	1	TRADITIONAL AMERICAN
0030	1	SEAFOOD, FAMILY FARE
0031	1	International
0032	1	American
0033	1	Cajun
0034	1	American
0035	1	Steak, Seafood
0036	1	American, Southwestern
0037	1	American
0038	1	Diner
0039	1	American, Continental
0040	1	Seafood
0041	1	American
0042	1	Health food, Juices
0043	1	Sandwiches
0044	1	American, Microbrewery
0045	1	Continental
0046	1	Thai
0047	1	Continental
0048	1	French
0049	1	Steak, Seafood
0050	1	Italian
0051	1	Diner
0052	1	Buffet
0053	1	Bistro
0054	1	Diner
0055	1	Diner
0056	1	Eclectic
0057	1	Deli
0058	1	American
0059	1	Italian
0060	1	Buffet
0061	1	Mexican
0062	1	Sushi
0063	1	Creole
0064	1	Buffet
0065	1	Italian
0066	1	American
0067	1	Buffet
0068	1	Buffet
0069	1	Buffet
0070	1	Chinese
0071	1	American
0072	1	Japanese, Sushi
0073	1	Mexican
0074	1	Deli
0075	1	Deli
0076	1	Thai
0077	1	Thai
0078	1	Buffet
0079	1	American
0080	1	Barbecue
0081	1	Southwestern
0082	1	Buffet
0083	1	New American
0084	1	Steak, Seafood
0085	1	French
0086	1	Mexican
0087	1	Barbecue
0088	1	Italian
0089	1	Continental, Russian
0090	1	Cuban
0091	1	Buffet
0092	1	Barbecue
0093	1	International, Pacific Rim
0094	1	American
0095	1	Thai
0096	1	Steak, Seafood
0097	1	Steak
0098	1	Seafood, Steaks
0099	1	American, New Mexican
0100	1	American, Vegetarian
0101	1	German, Continental
0102	1	Italian
0103	1	Seafood
0104	1	Seafood
0105	1	Steaks, American
0106	1	ECLECTIC
0107	1	French, American
0108	1	Regional
0109	1	American
0110	1	Pub Fare, American
0111	1	Lamb, Seafood
0112	1	French, American
0113	1	American
0114	1	Californian, French
0115	1	Contemporary American
0116	1	Asian Fusion
0117	1	Steakhouse
0118	1	American, Breakfast
0119	1	Greek
0120	1	California
0121	1	Californian, Mediterranean
0122	1	Breakfast, Caribbean, Cuban
0123	1	Fusion
0124	1	French Brasserie
0125	1	Latin
0126	1	French Brasserie
0127	1	Wine Bar
0128	1	Steak
0129	1	Italian
0130	1	Mexican
0131	1	Mexican
0132	1	American, Breakfast
0133	1	Northern Italian
0134	1	Breakfast, Delicatessen
0135	1	Traditional Japanese, Sushi
0136	1	Traditional American, Breakfast
0137	1	Asian-Fusion
0138	1	French
0139	1	Steaks, Seafood
0140	1	Northern Italian
0141	1	Northern Italian
0142	1	Sushi
0143	1	Traditional Italian
0144	1	American, Continental
0145	1	Delicatessen, Breakfast
0146	1	Ethiopian
0147	1	French
0148	1	Italian
0149	1	Breakfast, Sandwiches
0150	1	Grill
0151	1	Californian, French
0152	1	Japanese, Sushi
0153	1	American
0154	1	California
0155	1	American, Diner, Breakfast
0156	1	Southern Italian
0157	1	American, Breakfast
0158	1	Thai
0159	1	Seafood
0160	1	Chinese
0161	1	Chinese
0162	1	Homestyle, Vegetarian
0163	1	Mediterranean, Eclectic
0164	1	Barbecue
0165	1	American
0166	1	Southern
0167	1	Japanese
0168	1	Diner
0169	1	Thai
0170	1	Diner, Seafood
0171	1	French Bistro
0172	1	New American
0173	1	Mediterranean
0174	1	Southern
0175	1	New American
0176	1	Southern
0177	1	American
0178	1	Italian
0179	1	New Southern
0180	1	American
0181	1	Japanese, Seafood
0182	1	American, Italian
0183	1	New American
0184	1	American, Continental
0185	1	Contemporary Southern
0186	1	Californian, New American
0187	1	Cajun
0188	1	Southern
0189	1	Continental
0190	1	Cajun
0191	1	Vietnamese, Chinese
0192	1	American, Italian
0193	1	Italian
0194	1	American
0195	1	New Southern
0196	1	Barbecue
0197	1	Pacific Rim, Seafood
0198	1	American
0199	1	North Coast Cuisine
0200	1	American
0201	1	Seafood, Italian
0202	1	Contemporary Latin
0203	1	Chinese
0204	1	Steak, American
0205	1	Irish
0206	1	Italian Chophouse
0207	1	Mexican
0208	1	Creole
0209	1	American, Health Food
0210	1	Seafood
0211	1	Indian
0212	1	Vietnamese
0213	1	Deli
0214	1	American
0215	1	Seafood
0216	1	Soul Food
0217	1	Tapas
0218	1	Chinese, Dim Sum
0219	1	Sandwiches
0220	1	Cuban
0221	1	Cuban
0222	1	Italian
0223	1	Italian
0224	1	Steakhouse
0225	1	New American
0226	1	Latin
0227	1	Pan-Asian
0228	1	American
0229	1	Italian
0230	1	Nuevo Latino
0231	1	Sandwiches
0232	1	French
0233	1	Pizza
0234	1	Brazilian
0235	1	Steakhouse
0236	1	Cuban, Spanish
0237	1	Italian
0238	1	Mexican
0239	1	Mexican
0240	1	Barbecue
0241	1	American
0242	1	Italian
0243	1	Steak, American
0244	1	Italian, Mediterranean
0245	1	Chinese
0246	1	Italian, Steak
0247	1	NEW AMERICAN
0248	1	New American
0249	1	New American, Global
0250	1	French Bistro
0251	1	Cafeteria
0252	1	Asian, Latin American
0253	1	Spanish
0254	1	American
0255	1	Eclectic
0256	1	Contemporary American
0257	1	American
0258	1	American, Southwestern
0259	1	American
0260	1	Italian, Seafood
0261	1	Italian
0262	1	American
0263	1	American
0264	1	American, Eclectic
0265	1	Atlantic Coastal
0266	1	Southern
0267	1	Seafood
0268	1	German, American
0269	1	California
0270	1	American
0271	1	Steakhouse
0272	1	World Cuisine
0273	1	American
0274	1	International, Australian
0275	1	American
0276	1	American
0277	1	Seafood
0278	1	French Bistro
0279	1	Tapas
0280	1	Mediterranean Fusion
0281	1	American
0282	1	Steak, Seafood
0283	1	Caribbean
0284	1	New American
0285	1	Barbecue
0286	1	Burgers, New American
0287	1	New American, New Southern
0288	1	New American, New Southern
0289	1	Southern
0290	1	Pizza
0291	1	Ice Cream, American
0292	1	German
0293	1	Japanese
0294	1	American, Southwestern
0295	1	American, Southern
0296	1	Steaks, Seafood
0297	1	Mexican, Ice Cream
0298	1	Pizza
0299	1	American, French
0300	1	Barbeque
0301	1	New American, New Southern
0302	1	Fusion
0303	1	American, Carribean
0304	1	Southern
0305	1	Steaks
0306	1	New American, New Southern
0307	1	Southern
0308	1	Italian
0309	1	Steaks
0310	1	American
0311	1	American
0312	1	New American, Southern
0313	1	Barbecue
0314	1	Eclectic American
0315	1	American
0316	1	Vegetarian
0317	1	Sandwiches, Burgers
0318	1	Nuevo Latino
0319	1	Creative French
0320	1	Seafood, Sandwiches
0321	1	Ice Cream, Sweets
0322	1	Creole
0323	1	Italian
0324	1	American
0325	1	Seafood
0326	1	Cajun, Creole
0327	1	Creole
0328	1	Contemporary Creole
0329	1	Cafe
0330	1	Italian
0331	1	Creole
0332	1	Coffeehouse
0333	1	Creole
0334	1	Coffee
0335	1	Contemporary Creole
0336	1	Contemporary Louisiana
0337	1	Eclectic
0338	1	Eclectic, Creole
0339	1	International
0340	1	Creole
0341	1	Coffee, Bakery, Sandwiches
0342	1	American
0343	1	American, Creole
0344	1	Seafood
0345	1	FRENCH
0346	1	Contemporary Creole
0347	1	Creole, Seafood
0348	1	Sandwiches
0349	1	Cajun, Creole
0350	1	Bakery
0351	1	Creole
0352	1	Bistro
0353	1	Bistro
0354	1	Pizza
0355	1	Creole, Italian
0356	1	Eclectic
0357	1	Sandwiches
0358	1	Asian, Bistro
0359	1	NOUVEAU SOUTHERN
0360	1	Sandwiches, Creole
0361	1	Sandwiches
0362	1	Seafood, Southern
0363	1	Creole, Seafood
0364	1	Bistro
0365	1	Seafood
0366	1	Seafood, Steak
0367	1	Coffee, Sandwiches
0368	1	Coffee
0369	1	Sweets, Ice Cream
0370	1	SANDWICHES, DESSERT
0371	1	French, Italian
0372	1	Creole
0373	1	Creole, Sandwiches
0374	1	Italian Country
0375	1	Italian Small Plates
0376	1	Middle Eastern
0377	1	Modern Greek
0378	1	Steakhouse, Bistro
0379	1	French
0380	1	Greek, Middle Eastern
0381	1	Chinese, Cantonese
0382	1	Indian
0383	1	American
0384	1	Asian
0385	1	Italian
0386	1	Indian
0387	1	American
0388	1	Italian, Pizza
0389	1	Indian
0390	1	Asian, English
0391	1	Italian, Sicilian
0392	1	Barbecue
0393	1	Cuban, Chinese
0394	1	Cuban, Chinese
0395	1	Steakhouse
0396	1	Steakhouse
0397	1	Italian
0398	1	Steakhouse
0399	1	Barbecue
0400	1	Steaks
0401	1	Jewish Deli
0402	1	Steakhouse
0403	1	Thai
0404	1	Spanish, Tapas
0405	1	Pizza, Italian
0406	1	French
0407	1	Asian
0408	1	Chinese, Seafood
0409	1	Italian
0410	1	French, Italian
0411	1	Seafood
0412	1	Contemporary American
0413	1	Mexican Seafood
0414	1	French
0415	1	Vietnamese
0416	1	Steakhouse
0417	1	American
0418	1	Japanese
0419	1	Steaks
0420	1	Indian
0421	1	American
