restaurant	frommers	name
2000	2000	2000	1965
0000	1	Julian Grille
0001	1	Romano's Dodge House
0002	1	Chan's Thai Kitchen
0003	1	Zyphyr Restaurant
0004	1	Capt. Charlie's Reef Grill
0005	1	Nick's Tomato Pie
0006	1	The Bistro
0007	1	Norm's News
0008	1	North Bay Grille
0009	1	The Knead Caf&eacute;
0010	1	Nedra's Too
0011	1	Stroud's Oak Ridge Manor
0012	1	Winstead's
0013	1	Bar Harbor Restaurant
0014	1	Diaz Cafe
0015	1	Ocean View Restaurante
0016	1	Alonzo's Oyster Bar
0017	1	Bahama Mama's Kitchen
0018	1	Blue Heaven
0019	1	Caf&eacute; Marquesa
0020	1	Hot Tin Roof
0021	1	Mangia, Mangia
0022	1	Mangoes
0023	1	Michael's
0024	1	Pepe's
0025	1	Turtle Kraals Wildlife Grill
0026	1	Upper Crust Pizza
0027	1	Charity's 1887 Saloon
0028	1	The Highland's Diing Room
0029	1	Goldenrod Restaurant
0030	1	Lobster Cove
0031	1	Nell Thorn Restaurant & Pub
0032	1	Geiser Grand
0033	1	Edie's
0034	1	Cha-Bones
0035	1	Shugrue's
0036	1	Rainbow Room
0037	1	The Dam Bar & Grille
0038	1	Ernie's Coffee Shop
0039	1	Evan's American Gourmet Caf&eacute;
0040	1	Fresh Ketch
0041	1	Gar Woods Grill & Pier
0042	1	Sprouts Natural Foods Caf&eacute;
0043	1	Yellow Sub
0044	1	Altitude Chophouse & Brewery
0045	1	Double Eagle
0046	1	Lemongrass
0047	1	Alex
0048	1	Andre's
0049	1	Austin's Steakhouse
0050	1	B&amp;B Ristorante
0051	1	BLT Burger
0052	1	Bellagio Buffet
0053	1	Bouchon
0054	1	Bougainvillea
0055	1	Burger Bar
0056	1	Cafe Ba Ba Reeba
0057	1	Capriotti's
0058	1	Carson Street Cafe
0059	1	Circo
0060	1	Circus Circus Buffet
0061	1	Diablo's Cantina
0062	1	Dragon Sushi
0063	1	Emeril's New Orleans Fish House
0064	1	Excalibur's Roundtable Buffet
0065	1	Fellini's
0066	1	Fix
0067	1	Flavors at Harrah's
0068	1	Fremont Paradise Buffet
0069	1	Golden Nugget Buffet
0070	1	Harbor Palace
0071	1	Hash House a Go Go
0072	1	Hyakumi
0073	1	Isla
0074	1	Jason's Deli
0075	1	Jody Maroni's Sausage Kingdom
0076	1	Komol
0077	1	Lotus of Siam
0078	1	MGM Grand Buffet
0079	1	Magnolia's Veranda
0080	1	Memphis Championship Barbecue
0081	1	Mesa Grill
0082	1	Mirage Cravings Buffet
0083	1	Mix
0084	1	Morton's Steakhouse
0085	1	Pamplemousse
0086	1	Pink Taco
0087	1	RUB
0088	1	Rao's
0089	1	Red Square
0090	1	Rincon Criollo
0091	1	Rio's Carnival World Buffet
0092	1	Salt Lick
0093	1	Second Street Grill
0094	1	Table 10
0095	1	Thai Spice
0096	1	The Palm
0097	1	The Range Steakhouse
0098	1	Blackjack's Grill
0099	1	Plaza Hotel's Landmark Grill
0100	1	Columbine Cafe
0101	1	Cafe Mozart Restaurant
0102	1	Visconti's of Leavenworth
0103	1	Gilligan's
0104	1	Striper Bites Bistro
0105	1	Harry's Place
0106	1	Bistro on Main
0107	1	Cafe Michel
0108	1	Southern Inn
0109	1	Otis Caf&eacute;
0110	1	Clement Room Grille/Woodstock Station
0111	1	Grand Hotel
0112	1	Second Street Bistro
0113	1	The Bluebird
0114	1	The Sky Room
0115	1	Animal
0116	1	Beacon
0117	1	Boa Steakhouse
0118	1	Bread &amp; Porridge
0119	1	Caf&eacute; Santorini
0120	1	Cafe Del Rey
0121	1	Campanile
0122	1	Cha Cha Cha
0123	1	Chinois on Main
0124	1	Church &amp; State
0125	1	Ciudad
0126	1	Comme Ca
0127	1	Corkbar
0128	1	Cut
0129	1	Drago Centro
0130	1	El Cholo
0131	1	El Coyote Cafe
0132	1	Fred 62
0133	1	Il Pastaio
0134	1	Jerry's Famous Deli
0135	1	Katana Robata &amp; Sushi Bar
0136	1	Kate Mantilini
0137	1	Koi
0138	1	La Cachette
0139	1	Lawry's The Prime Rib
0140	1	Locanda Veneta
0141	1	Locanda del Lago
0142	1	Luckyfish
0143	1	Miceli's
0144	1	Musso &amp; Frank Grill
0145	1	Nate 'n Al Delicatessen
0146	1	Nyala Ethiopian Cuisine
0147	1	Ortolan
0148	1	Osteria Mozza
0149	1	Philippe The Original
0150	1	Pink's Hot Dogs
0151	1	Pinot Bistro
0152	1	R23
0153	1	Saddle Ranch Chop House
0154	1	Spago Beverly Hills
0155	1	Swingers
0156	1	Tanino Ristorante and Bar
0157	1	The Original Pantry
0158	1	Toi on Sunset
0159	1	Water Grill
0160	1	Yang Chow Restaurant
0161	1	Yujean Kang's Gourmet Chinese Cuisine
0162	1	The Peaks Cafe
0163	1	Caf&eacute; J
0164	1	Texas Caf&eacute; and Bar
0165	1	The Den
0166	1	Old Colonial Restaurant
0167	1	Shogun
0168	1	Chez Vachon
0169	1	Lakorn Thai
0170	1	Driftwood Restaurant
0171	1	Bleu
0172	1	Restaurant Heather
0173	1	Trevi Caf&eacute; and Wine Bar
0174	1	Alcenia's
0175	1	Beauty Shop
0176	1	Blue Plate Cafe
0177	1	Caf&eacute; 1912
0178	1	Caf&eacute; Toscana
0179	1	Circa
0180	1	D'Bo's Buffalo Wings 'N' Things
0181	1	Do Sushi Bar and Lounge
0182	1	Elfo's Restaurant
0183	1	Erling Jensen-The Restaurant
0184	1	Grill 83
0185	1	McEwen's on Monroe
0186	1	Napa Caf&eacute;
0187	1	Owen Brennan's Restaurant
0188	1	Patrick's Steaks and Spirits
0189	1	Paulette's
0190	1	Pearl's Oyster House
0191	1	Saigon Le
0192	1	Spaghetti Warehouse
0193	1	Spindini
0194	1	The Arcade Restaurant
0195	1	The Grove Grill
0196	1	The Rendezvous Restaurant
0197	1	Tsunami
0198	1	Bay View Caf&eacute;
0199	1	The 955 Ukiah Street Restaurant
0200	1	Barton G. The Restaurant
0201	1	Big Fish
0202	1	Chispa
0203	1	Christine Lee's
0204	1	Christy's
0205	1	Clarke's
0206	1	DeVito South Beach
0207	1	El Toro Taco Family Restaurant
0208	1	Emeril's Miami Beach
0209	1	Granny Feelgood's
0210	1	Grillfish
0211	1	House of India
0212	1	Hy-Vong
0213	1	Jerry's Famous Deli
0214	1	Joe Allen
0215	1	Joe's Seafood
0216	1	Jumbo's
0217	1	Karma Car Wash
0218	1	Kon Chau
0219	1	La Sandwicherie
0220	1	Larios on the Beach
0221	1	Latin American Cafeteria
0222	1	Laurenzo's Caf&eacute;
0223	1	Macaluso's
0224	1	Michael Mina's Bourbon Steak
0225	1	Michael's Genuine Food and Drink
0226	1	Michy's
0227	1	Nemo
0228	1	Nexxt Caf&eacute;
0229	1	Oggi Caffe
0230	1	Ola
0231	1	Paninoteca
0232	1	Pascal's on Ponce
0233	1	Piola
0234	1	Porcao
0235	1	Prime One Twelve
0236	1	Puerto Sagua
0237	1	Quattro
0238	1	Rosa Mexicano
0239	1	San Loco Tacos
0240	1	Shorty's
0241	1	Soyka Restaurant & Caf&eacute;
0242	1	Spiga
0243	1	The Forge Restaurant
0244	1	Timo
0245	1	Tropical Chinese
0246	1	Tuscan Steak
0247	1	Swift House Inn
0248	1	The Storm Cafe
0249	1	Tully and Marie's
0250	1	Barbette
0251	1	Caf&eacute; Latt&eacute;
0252	1	Chino Latino
0253	1	Solera
0254	1	St. Paul Grill
0255	1	Red Bird
0256	1	Center Cafe
0257	1	Eddie McStiff's
0258	1	Moab Diner & Ice Cream Shoppe
0259	1	Bubba Gump Shrimp Co. Restaurant & Market
0260	1	Cafe Fina
0261	1	Paradiso Trattoria
0262	1	Rosine's
0263	1	Tarpy's Roadhouse
0264	1	Main Street Grill & Bar
0265	1	Bistro by the Sea
0266	1	Mrs. Willis' Restaurant
0267	1	The Crab Shack
0268	1	Hofbrau
0269	1	Windows on the Water
0270	1	Buffalo Run Restaurant
0271	1	Jack's Grill
0272	1	Lily's
0273	1	Dick's Last Resort
0274	1	Greg Norman's Australian Grill
0275	1	Hard Rock Cafe
0276	1	Sea Captain's House
0277	1	Umi Pacific Grill
0278	1	Bistro Jeanty
0279	1	ZuZu
0280	1	Bistro 821
0281	1	Cheeburger Cheeburger
0282	1	Chop's City Grill
0283	1	Yabba Island Grill
0284	1	Acorn
0285	1	Bar-B-Cutie
0286	1	Blackstone Restaurant & Brewery
0287	1	Bound'ry
0288	1	Capitol Grille
0289	1	Cock of the Walk
0290	1	DaVinci's Gourmet Pizza
0291	1	Elliston Place Soda Shop
0292	1	Gerst Haus
0293	1	Goten
0294	1	Green Hills Grille
0295	1	Harper's
0296	1	Jimmy Kelly's
0297	1	Las Paletas
0298	1	Mafiaoza's
0299	1	Margot Caf&eacute; & Bar
0300	1	Mary's Old Fashioned Bar-B-Q
0301	1	Midtown Caf&eacute;
0302	1	Mirror
0303	1	Rainforest Caf&eacute;
0304	1	South Street
0305	1	Stock-Yard Restaurant
0306	1	Sunset Grill
0307	1	Swett's Restaurant
0308	1	The Old Spaghetti Factory
0309	1	The Palm Restaurant
0310	1	The Yellow Porch
0311	1	Tin Angel
0312	1	Watermark
0313	1	Whitt's Barbecue
0314	1	Chelsea
0315	1	The Arsenal at Old New Castle
0316	1	Claire's Corner Copia
0317	1	Louis' Lunch
0318	1	Pacifico
0319	1	Union League Caf&eacute;
0320	1	Acme Oyster House
0321	1	Angelo Brocato's Ice Cream & Confectionary
0322	1	Antoine's
0323	1	Bistro Italia
0324	1	Bluebird Cafe
0325	1	Bourbon House Seafood
0326	1	Brigtsen's
0327	1	Broussard's
0328	1	Caf&eacute; Adelaide
0329	1	Caf&eacute; Beignet
0330	1	Cafe Giovanni
0331	1	Clancy's
0332	1	Clover Grill
0333	1	Court of Two Sisters
0334	1	Croissant D'Or
0335	1	Cuv&eacute;e
0336	1	Dante's Kitchen
0337	1	Delachaise
0338	1	Dick &amp; Jenny's
0339	1	Dominique's
0340	1	Elizabeth's
0341	1	EnVie
0342	1	Ernst Caf&eacute;
0343	1	Feelings Cafe D'Aunoy
0344	1	Franky & Johnny's
0345	1	Gautreau's
0346	1	Iris
0347	1	Joey K's
0348	1	Johnny's Po' Boys
0349	1	K-Paul's Louisiana Kitchen
0350	1	La Boulangerie
0351	1	La Peniche Restaurant
0352	1	La Petite Grocery
0353	1	LaC&ocirc;te Brasserie
0354	1	Louisiana Pizza Kitchen
0355	1	Mandina's
0356	1	Marigny Brasserie
0357	1	Martin Wine Cellar and Delicatessen
0358	1	Meauxbar Bistro
0359	1	MiLa
0360	1	Mother's
0361	1	Parkway Bakery and Tavern
0362	1	R&O's
0363	1	Ralph & Kacoo's
0364	1	Ralph's on the Park
0365	1	Red Fish Grill
0366	1	Rib Room
0367	1	Royal Blend Coffee & Tea House
0368	1	Rue de la Course
0369	1	Sucr&eacute;
0370	1	The Cake Caf&eacute;
0371	1	Tommy's Cuisine
0372	1	Tujague's
0373	1	Ye Olde College Inn
0374	1	'Cesca
0375	1	'inoteca
0376	1	Afghan Kebab House
0377	1	Anthos
0378	1	BLT Steak
0379	1	Bar Breton
0380	1	Barbounia
0381	1	Big Wong King
0382	1	Bombay Talkie
0383	1	Bubby's Pie Company
0384	1	Buddakan
0385	1	Carmine's
0386	1	Chola
0387	1	Clinton St. Baking Company
0388	1	Covo Trattoria &amp; Pizzeria
0389	1	D&eacute;vi
0390	1	Double Crown
0391	1	Ferdinando's Focacceria
0392	1	Fette Sau
0393	1	Flor de Mayo
0394	1	Flor de Mayo
0395	1	Frankie &amp; Johnnie's
0396	1	Frankie &amp; Johnnie's
0397	1	Frankie's Spuntino 457
0398	1	Harry's Steaks & Caf&eacute;
0399	1	Hill Country
0400	1	Jackson Avenue Steakhouse
0401	1	Katz's Delicatessen
0402	1	Keens Steakhouse
0403	1	Kittichai
0404	1	La Nacional
0405	1	La Pizza Fresca Ristorante
0406	1	Marseille
0407	1	Momofuku Noodle Bar
0408	1	New York Noodletown
0409	1	Nick's Family-Style Restaurant and Pizzeria
0410	1	Nizza
0411	1	Ocean Grill
0412	1	Ouest
0413	1	Pampano
0414	1	Paradou
0415	1	Pho Viet Huong
0416	1	Primehouse
0417	1	Rouge Tomate
0418	1	Sapporo
0419	1	Strip House
0420	1	Tamarind
0421	1	Telepan
0422	1	Thalassa
0423	1	The Libertine
0424	1	The Parlor Steakhouse
0425	1	Wondee Siam
0426	1	Mo's
0427	1	Panache
0428	1	Saffron Salmon
0429	1	Black Pearl
0430	1	Caf&eacute; Zelda
0431	1	Clarke Cooke House
0432	1	Scales & Shells
0433	1	Tucker's Bistro
0434	1	The Green Onion
0435	1	Moat Mountain Smoke House and Brewing Co
0436	1	&Agrave; C&ocirc;t&eacute;
0437	1	Bay Wolf
0438	1	Oliveto Cafe &amp; Restaurant
0439	1	Dumser's
0440	1	Fager's Island
0441	1	Fractured Prune
0442	1	Fresco's
0443	1	Galaxy 66 Bar & Grille
0444	1	Phillips Crabhouse
0445	1	Phillips Seafood House
0446	1	Restaurant 213
0447	1	Jeremiah's
0448	1	Rickenbacker's Bistro
0449	1	The Greenery
0450	1	98 Provence
0451	1	Amore Breakfast
0452	1	Boccali's
0453	1	The Oak Pit
0454	1	Budd Bay Caf&eacute;
0455	1	Cielo Blu
0456	1	McMenamins Spar Caf&eacute;
0457	1	Artist Point
0458	1	B-Line Diner
0459	1	Bahama Breeze
0460	1	Bice
0461	1	Boatwright's Dining Hall
0462	1	Boma
0463	1	Cape May Caf&eacute;
0464	1	Dux
0465	1	FishBones
0466	1	Hard Rock Cafe
0467	1	Hemingway's
0468	1	House of Blues
0469	1	Jiko--The Cooking Place
0470	1	Ming Court
0471	1	Pacino's Italian Ristorante
0472	1	Pastamore Ristorante
0473	1	Planet Hollywood
0474	1	Ran-Getsu of Tokyo
0475	1	Rolando's
0476	1	Romano's Macaroni Grill
0477	1	Roy's Restaurant
0478	1	Siam Orchid
0479	1	Spoodles
0480	1	The Palm
0481	1	Victoria & Albert's
0482	1	Cap't Cass Rock Harbor Seafood
0483	1	Cottage Street Bakery
0484	1	Joe's Beach Road Bar & Grille
0485	1	Mahoney's Atlantic Bar & Grill
0486	1	Bon Ton Restaurant
0487	1	Joe Rombi's
0488	1	Peppers Mexicali Caf&eacute;
0489	1	The Fishwife at Asilomar Beach
0490	1	Amici
0491	1	Bice Restaurant
0492	1	Echo
0493	1	Rosa Mexicano
0494	1	The Strip House
0495	1	Palmie
0496	1	Sammy's Woodfired Pizza
0497	1	The Purple Palm
0498	1	Tommy Bahama's Tropical Cafe
0499	1	Billy's Oyster Bar and Crab House
0500	1	Boar's Head Restaurant
0501	1	Captain Anderson's Restaurant & Waterfront Seafood Market
0502	1	350 Main
0503	1	Cafe Terigo
0504	1	Glitretind Restaurant
0505	1	Grappa Italian Restaurant
0506	1	Jean Louis
0507	1	Wasatch Brew Pub
0508	1	Zoom
0509	1	Bistro Laurent
0510	1	McPhee's Grill
0511	1	Canela
0512	1	Velvet Elvis Pizza Company
0513	1	Pendleton House
0514	1	Skopelos on the Bay
0515	1	Peterborough Diner
0516	1	Twelve Pine
0517	1	10 Arts
0518	1	Alma de Cuba
0519	1	Amada
0520	1	Beau Monde
0521	1	Bindi
0522	1	Buddakan
0523	1	Butcher & Singer
0524	1	Caribou Cafe
0525	1	City Tavern
0526	1	Continental
0527	1	Distrito
0528	1	Farmacia
0529	1	Fork
0530	1	Fountain Restaurant
0531	1	Friday Saturday Sunday
0532	1	Gayle
0533	1	Jake's
0534	1	Le Bec-Fin
0535	1	Los Catrines & Tequila's
0536	1	Marathon Grill
0537	1	Marra's
0538	1	Monk's Caf&eacute;
0539	1	Morimoto
0540	1	New Delhi
0541	1	Osteria
0542	1	Paradiso
0543	1	Parc
0544	1	Penne
0545	1	Positano Coast
0546	1	Rouge
0547	1	Southwark
0548	1	Susanna Foo
0549	1	Tangerine
0550	1	The Prime Rib
0551	1	Vetri
0552	1	Victor Cafe
0553	1	Vietnam
0554	1	Water Works Restaurant and Lounge
0555	1	White Dog Caf&eacute;
0556	1	Winnie's Le Bus
0557	1	Zahav
0558	1	Zocalo
0559	1	5 & Diner
0560	1	Alice Cooper'stown
0561	1	Bourbon Steak
0562	1	Caf&eacute; Bink
0563	1	Carlsbad Tavern
0564	1	Carolina's
0565	1	El Paso Barbeque Company
0566	1	Food Bar
0567	1	Grazie
0568	1	Guedo's Cantina Grille
0569	1	Kai
0570	1	LON'S at the hermosa
0571	1	La Grande Orange Pizzeria
0572	1	Los Sombreros
0573	1	Pane Bianco
0574	1	Quiessence
0575	1	Razz's Restaurant
0576	1	Stanley's Homemade Polish Sausage Co
0577	1	Ted's Hot Dogs
0578	1	The Farm at South Mountain/The Farm Kitchen & Morning Glory Caf&eacute;
0579	1	Veneto Trattoria Italiana
0580	1	Vincent's Market Bistro
