restaurant	gayot	name
2000	2000	2000	1805
0000	1	Einstein Bros Bagels
0001	1	The Melting Pot
0002	1	Orchard Market & Café
0003	1	Einstein Bros Bagels
0004	1	Ledo Pizza
0005	1	Double T Diner
0006	1	El Cafetal
0007	1	Sunset Grill & Tap
0008	1	flora
0009	1	La Casita Mexicana
0010	1	Naked Fish
0011	1	Addis Red Sea
0012	1	Audubon Circle Bar
0013	1	Avila
0014	1	IHOP
0015	1	Roggie's
0016	1	Anna's Taqueria
0017	1	Baja Betty's
0018	1	Dorado Tacos & Cemitas
0019	1	Khao Sarn
0020	1	Rani Indian Bistro
0021	1	Uno Chicago Grill
0022	1	Café Mami
0023	1	Cambridge, 1.
0024	1	Figs
0025	1	Paolo's Trattoria
0026	1	Aquitaine Bis
0027	1	Charley's Eating & Drinking Saloon
0028	1	Finagle-A-Bagel
0029	1	Oishii
0030	1	Uno Chicago Grill
0031	1	The Red Pheasant
0032	1	Restaurante Cesaria
0033	1	224 Boston Street
0034	1	Legal Sea Foods
0035	1	Amanda's Feel Good Fresh Food
0036	1	Barney's Gourmet Hamburgers
0037	1	Beckett's Irish Pub & Restaurant
0038	1	Breads of India
0039	1	Café Fanny
0040	1	Café Gratitude
0041	1	Café Rouge
0042	1	Casa Latina
0043	1	César
0044	1	Cheese Steak Shop
0045	1	Naked Fish
0046	1	Embargo
0047	1	Doyle's Café
0048	1	Upper Crust
0049	1	Barney Greengrass
0050	1	The Belvedere
0051	1	Camden House
0052	1	Sel de la Terre
0053	1	Quince
0054	1	Bertucci's
0055	1	Cabot’s Ice Cream & Restaurant
0056	1	Outback Steakhouse
0057	1	Outback Steakhouse
0058	1	Uncle Pete's Hickory Ribs
0059	1	Uno Chicago Grill
0060	1	Dalí Restaurant & Tapas Bar
0061	1	Highland Kitchen
0062	1	Johnny D's Uptown
0063	1	Sagra
0064	1	Vienna Restaurant & Historic Inn
0065	1	Il Capriccio Ristorante e Bar
0066	1	Lumière
0067	1	Sierra Mar
0068	1	Back Eddy
0069	1	99 Restaurant & Pub
0070	1	Prickly Pear Café
0071	1	Bistro Bourdeau
0072	1	Beverly Hills Grill
0073	1	Cameron's Steak House
0074	1	Forest Grill
0075	1	The Original Pancake House
0076	1	Sy Thai
0077	1	Deli Unique Bloomfield Hills
0078	1	Northern Lakes Seafood Company
0079	1	Common Grill
0080	1	Big Fish
0081	1	The Grill
0082	1	Miller's
0083	1	Antonio’s Cucina Italiana
0084	1	Bourbon Steak
0085	1	Elwood Bar & Grill
0086	1	The Blue Moon Bar & Grille
0087	1	Antonio's Farmington Hills
0088	1	California Pizza Kitchen
0089	1	Blue Nile
0090	1	Nami Sushi Bar
0091	1	Bobarino's
0092	1	Cambridge House
0093	1	The Chop House
0094	1	Gilly’s
0095	1	The Hill
0096	1	Blue Pointe
0097	1	Da Edoardo Ristorante & Trattoria
0098	1	Crews Inn
0099	1	Fortune Buffet
0100	1	Thang Long
0101	1	TAPS Fish House & Brewery
0102	1	Pita Café
0103	1	Compari's on the Park
0104	1	La Bistecca
0105	1	Sean O'Callaghan's Irish Pub
0106	1	Inn Season Café
0107	1	Little Tree Sushi Bar
0108	1	Memphis Smoke
0109	1	Peking House
0110	1	Siam Spicy
0111	1	Ristorante Piccirilli
0112	1	Bacco
0113	1	The Original Pancake House
0114	1	A-RU
0115	1	Seoul Garden
0116	1	Little Daddy's Parthenon
0117	1	Mon Jin Lau
0118	1	Picano's
0119	1	Old Stone Bar & Grill
0120	1	Eurasian Grill
0121	1	The Lark
0122	1	Bruegger's Bagel Bakery
0123	1	Caribou Coffee Company
0124	1	Napa Valley Grille
0125	1	Campiello
0126	1	Green Mill
0127	1	Bistro Provence
0128	1	The Buchanan Arms
0129	1	Burbank Bar & Grille
0130	1	Daily Grill
0131	1	Gindi Thai
0132	1	Lucas Trattoria
0133	1	Big Bowl
0134	1	Bruegger's Bagel Bakery
0135	1	D'Amico & Sons
0136	1	Applebee's Neighborhood Bar & Grill
0137	1	Buca di Beppo
0138	1	Arezzo Ristorante
0139	1	Barbette
0140	1	Barrio Tequila Bar
0141	1	Be'wiched Sandwiches & Deli
0142	1	Black Sheep Coal Fired Pizza
0143	1	Brasa Premium Rotisserie
0144	1	Brit's Pub
0145	1	Kincaid's Bayhouse
0146	1	Max's Restaurant & Bar
0147	1	Applebee's Neighborhood Bar & Grill
0148	1	Applebee's Neighborhood Bar & Grill
0149	1	Famous Dave's
0150	1	Keys
0151	1	Caribou Coffee Company
0152	1	Applebee's Neighborhood Bar & Grill
0153	1	Bruegger's Bagel Bakery
0154	1	Buca di Beppo
0155	1	Caribou Coffee Company
0156	1	Caribou Coffee Company
0157	1	D'Amico & Sons
0158	1	Bruegger's Bagel Bakery
0159	1	Sunsets on Wayzata Bay
0160	1	Famous Dave's
0161	1	City Grocery
0162	1	Imo's Pizza
0163	1	The Pasta House Co.
0164	1	Krieger's
0165	1	Saint Louis Bread Co.
0166	1	Annie Gunn's
0167	1	Saint Louis Bread Co.
0168	1	Cardwell's in Clayton
0169	1	Chez Leon
0170	1	Companion Bakehouse
0171	1	J. Buck's
0172	1	Bristol Seafood Grill
0173	1	California Pizza Kitchen
0174	1	The Pasta House Co.
0175	1	Café Sebastienne
0176	1	Chaz on the Plaza
0177	1	d'Bronx
0178	1	Em Chamas Brazilian Grill
0179	1	Racanelli's
0180	1	Bandana's
0181	1	Imo's Pizza
0182	1	Monarch
0183	1	Ottavio's Italian Restaurant
0184	1	Safire
0185	1	California Pizza Kitchen
0186	1	An American Place
0187	1	Anthonino's Taverna
0188	1	Atomic Cowboy
0189	1	Banh Mi So #1- Saigon Gourmet
0190	1	Broadway Oyster Bar
0191	1	Fitz's American Grill & Bottling Works
0192	1	Racanelli's Cucina
0193	1	The Tea Cozy
0194	1	Big Sky Café
0195	1	Cyrano's
0196	1	Dvin Restaurant
0197	1	Racanelli's
0198	1	Steak 'n Shake
0199	1	Saint Louis Bread Co.
0200	1	Chevy's Fresh Mex
0201	1	China Spice
0202	1	Applebee's Neighborhood Grill & Bar
0203	1	Applebee's Neighborhood Grill & Bar
0204	1	B&B Ristorante
0205	1	The Hickory Pit Steakhouse
0206	1	San Lorenzo
0207	1	Waverly's Steak House
0208	1	19 Kitchen Bar
0209	1	Opal Eurasian Cuisine & Ultra Lounge
0210	1	Newick’s Lobster House
0211	1	Epoch Restaurant & Bar
0212	1	Jillian's
0213	1	Damian's on the River
0214	1	Jumpin' Jay's Fish Café
0215	1	Angeloni's II
0216	1	The Grenville Restaurant
0217	1	Klein's Fish Market Waterside Café
0218	1	La Nonna Piancone's Café
0219	1	International House of Pancakes (IHOP)
0220	1	Bellefleur Restaurant
0221	1	BlueFire Grill
0222	1	Tip Top Meats
0223	1	Bella La Pizzeria
0224	1	Blue Water Seafood Company
0225	1	The River Palm Terrace
0226	1	California Market Restaurant
0227	1	Carmel Bakery
0228	1	Cépages Deli & Wine Lounge
0229	1	Clubhouse Restaurant
0230	1	Bahr's Landing
0231	1	Amanda's
0232	1	The Brass Rail
0233	1	The Dining Room at Anthony David's
0234	1	Lua
0235	1	Casa Dante
0236	1	Vu Restaurant
0237	1	Cake Bake & Roll
0238	1	McLoone’s Pier House
0239	1	Mahogany Grille
0240	1	Bertucci's
0241	1	Joe's Peking Duck House
0242	1	Corkscrew Café
0243	1	The Village Fish House
0244	1	Navesink Fishery
0245	1	The Famished Frog
0246	1	Bertucci's
0247	1	South City Grill
0248	1	Christopher's Restaurant & Bar
0249	1	Due Mari Pesce e Vinoteca
0250	1	The Frog & the Peach
0251	1	Panico's
0252	1	Gar Woods
0253	1	Milford Oyster House
0254	1	California Pizza Kitchen
0255	1	Chakra
0256	1	The Ferry House
0257	1	Salt Creek Grille
0258	1	Tre Piani
0259	1	Varka Fishhouse
0260	1	Restaurant Nicholas
0261	1	Village Green
0262	1	David Burke Fromagerie
0263	1	Salt Creek Grille
0264	1	Tootie's Texas Barbeque
0265	1	The Sergeantsville Inn
0266	1	Island Palm Grill
0267	1	Elena Wu
0268	1	Chart House
0269	1	Harbor Bar & Brasserie
0270	1	Giumarello's
0271	1	Groff’s Restaurant
0272	1	Cecilia’s Café
0273	1	Flying Star Café
0274	1	India Palace
0275	1	India Palace
0276	1	Atomic Grill
0277	1	Aztec Café
0278	1	La Boca
0279	1	The Compound Restaurant
0280	1	Counter Culture
0281	1	Coyote Café
0282	1	Del Charro Saloon
0283	1	Doc Martin's Restaurant
0284	1	Albany Pump Station/C.H. Evans Brewing Co.
0285	1	DeJohn's
0286	1	East Japan Hibachi, Sushi & Bar
0287	1	Thai House Restaurant
0288	1	BareBurger
0289	1	Café Triskell
0290	1	Pomme Cafe
0291	1	718 Restaurant
0292	1	The Eatery at Tullulah's
0293	1	Pier 25A
0294	1	Almond Bar & Restaurant
0295	1	Townline BBQ
0296	1	Dominick's
0297	1	Sammy's Shrimp Box
0298	1	Traditional Irish Bakery
0299	1	A Bistro
0300	1	Alma
0301	1	BAM Café
0302	1	Fat Bob's
0303	1	Gramma Mora's
0304	1	India Gate
0305	1	Left Bank
0306	1	Oliver's Restaurant
0307	1	Asa Ransom House
0308	1	Romano's Macaroni Grill
0309	1	Pollo Campero
0310	1	Salvatore's Italian Gardens
0311	1	Rick's on Main
0312	1	Tantalus
0313	1	Bostwick's On The Harbor
0314	1	Fresno
0315	1	Rowdy Hall
0316	1	Chao Zhou Restaurant
0317	1	Kum Gang San
0318	1	Sala
0319	1	Nick's Pizza
0320	1	Hunan Palace
0321	1	Jonathan's Restaurant
0322	1	Bistro M Restaurant
0323	1	Pollo Campero
0324	1	Panama Hatties
0325	1	The Red Hat
0326	1	Delhi Palace
0327	1	O Lavrador
0328	1	Island
0329	1	Rizzo's
0330	1	Water's Edge
0331	1	Waterfront Crab House
0332	1	BC Café
0333	1	Café Harvard Square
0334	1	Casablanca
0335	1	Walter's
0336	1	The Fish Cellar
0337	1	40 Carrots
0338	1	A Voce Columbus
0339	1	Accademia di Vino
0340	1	Adriatic Italian Restaurant
0341	1	Afghan Kebab House
0342	1	Against the Grain
0343	1	Agave
0344	1	Pollo Campero
0345	1	London Lennie's
0346	1	DJ's Bistro
0347	1	Hot Basil Café
0348	1	Frankie & Johnnie's Steakhouse
0349	1	Morgan's Fish House
0350	1	La Panetière Restaurant
0351	1	SeaSide Johnnies
0352	1	The American Hotel
0353	1	The Paradise Café
0354	1	Sen
0355	1	The Big Apple Restaurant & Lounge
0356	1	Circus Cafe
0357	1	Blackwood American Grill
0358	1	Sandy's Roti Shop
0359	1	Bella Vita City Grill
0360	1	Historic Old Bermuda Inn
0361	1	Lum Chin
0362	1	Blue
0363	1	Shogun
0364	1	Tandoori's
0365	1	El Sitio
0366	1	MooTime Creamery
0367	1	Primavera
0368	1	Sheerwater
0369	1	Il Palio
0370	1	Bill Spoon's Barbecue
0371	1	BLT Steak
0372	1	Brazas Brazilian Grill
0373	1	Bubba's Barbecue
0374	1	The Capital Grille
0375	1	Common House Neighborhood Restaurant & Bar
0376	1	Frank Manzetti's Tavern
0377	1	Outer Banks Seafood Co.
0378	1	Fairview
0379	1	Magnolia Grill
0380	1	Nasher Museum Café
0381	1	Pop's Restaurant: A Durham Trattoria
0382	1	Rue Cler
0383	1	Chilli Peppers Restaurant & Bar
0384	1	The Kill Devil Grill
0385	1	A.G. Ferrari Foods
0386	1	Ciao Bella Café
0387	1	Adrianna's
0388	1	Carmen's Cuban Café
0389	1	Coquette Brasserie
0390	1	Aladdin's Eatery
0391	1	Café Rio
0392	1	Leatherby's Café Rouge
0393	1	Maggiano's Little Italy
0394	1	Bar Symon
0395	1	Corky & Lenny's
0396	1	Hunan by the Falls
0397	1	Yours Truly
0398	1	Beluga
0399	1	BlackFinn Restaurant & Saloon
0400	1	The Celestial
0401	1	Graeter's
0402	1	The Baricelli Inn
0403	1	Blue Point Grille
0404	1	Cleveland ChopHouse & Brewery
0405	1	Dante
0406	1	Millie’s Restaurant & Bakery
0407	1	Brennan's Colony
0408	1	Mad Greek
0409	1	Tommy's
0410	1	Cap City Fine Diner & Bar
0411	1	Cap City Fine Diner & Bar
0412	1	Chipotle Mexican Grill
0413	1	The Clarmont
0414	1	Fleming&#39;s Prime Steakhouse & Wine Bar
0415	1	Hyde Park Prime Steakhouse
0416	1	Harry Buffalo
0417	1	Pier W
0418	1	BottleRock
0419	1	George Petrelli's Steakhouse
0420	1	Gyenari
0421	1	Industry Café & Jazz
0422	1	Kaizuka
0423	1	The Claddagh Irish Pub
0424	1	Outback Steakhouse
0425	1	Fisher's Tavern
0426	1	T.G.I. Friday's
0427	1	Eddie Merlot's
0428	1	Romano's Macaroni Grill
0429	1	Cafe Torre
0430	1	Fisher's Café & Pub
0431	1	Tartine Bistro
0432	1	Romano's Macaroni Grill
0433	1	Geraci's
0434	1	Curry House
0435	1	Hyde Park Prime Steakhouse
0436	1	Saucy Bistro
0437	1	The Worthington Inn
0438	1	Café NOVA
0439	1	The Deep Fork Grill
0440	1	Dot Wo
0441	1	Gopuram
0442	1	Cannons Seafood Grill
0443	1	ENO
0444	1	Harpoon Henry's Seafood Restaurant
0445	1	Hennessey's Tavern
0446	1	St. Regis Pool Bar & Grill
0447	1	The Dundee Bistro
0448	1	Riccardo's Ristorante
0449	1	Acadia: A New Orleans Bistro
0450	1	Al-Amir
0451	1	Basta's Trattoria
0452	1	Bernie's Southern Bistro
0453	1	Forbes Mill Steakhouse
0454	1	Lee's Hoagie House
0455	1	Chili's
0456	1	The Mustard Seed
0457	1	Strings Italian Café
0458	1	Sudwerk Restaurant & Brewery
0459	1	Vivo
0460	1	Lee's Hoagie House
0461	1	Park Grille Steak & Chophouse
0462	1	Blue Bell Inn
0463	1	Tavern on the Hill
0464	1	Lautrec
0465	1	Lamberti's Cucina
0466	1	Market Restaurant + Bar
0467	1	Sbicca
0468	1	Outback Steakhouse
0469	1	Gingerbread Man
0470	1	Passage to India
0471	1	Red Lobster
0472	1	Lee's Hoagie House
0473	1	International House of Pancakes (IHOP)
0474	1	Mission Lakes Country Club Restaurant
0475	1	The Olive Garden
0476	1	Kildare's
0477	1	Red Lobster
0478	1	Norms
0479	1	Ginza
0480	1	Lee's Hoagie House
0481	1	Lee's Hoagie House
0482	1	Audrey Claire
0483	1	Azalea
0484	1	Bassetts Ice Cream
0485	1	Bella Trattoria
0486	1	Bistro 19
0487	1	The Café at the Frick
