restaurant	opentable	cuisine
2000	2000	2000	630
0000	1	: Contemporary Mexican, Mexican / Southwestern
0001	1	: Seafood, Californian
0002	1	: Southern, American
0003	1	: Steak, Steakhouse
0004	1	: Steakhouse, Californian
0005	1	: Mexican, Contemporary Mexican, Latin American
0006	1	: French
0007	1	: Steakhouse, Seafood
0008	1	: Steakhouse
0009	1	: Contemporary American
0010	1	: French
0011	1	: Italian
0012	1	: Steakhouse
0013	1	: Contemporary French, French
0014	1	: Italian
0015	1	: Mexican, Southwest
0016	1	: Steakhouse, Seafood
0017	1	: Steak, Seafood
0018	1	: Cuban, Fusion / Eclectic, Latin / Spanish
0019	1	: Italian, Seafood
0020	1	: Contemporary American, Comfort Food
0021	1	: Italian
0022	1	: Asian, Sushi, Chinese
0023	1	: Barbecue, American
0024	1	: Seafood, Steakhouse
0025	1	: Indian, Vegetarian
0026	1	: Steak, Seafood, American
0027	1	: Asian, American
0028	1	: Mexican, Latin / Spanish
0029	1	: Steakhouse, Seafood, American
0030	1	: French, Steak, Seafood
0031	1	: Asian
0032	1	: American
0033	1	: Continental
0034	1	: Seafood, Asian, Contemporary American
0035	1	: Brazilian Steakhouse, Caribbean
0036	1	: Italian
0037	1	: Sushi, Brazilian
0038	1	: Steak, Seafood
0039	1	: Comfort Food, Contemporary American
0040	1	: Steakhouse, Seafood
0041	1	: Italian
0042	1	: Steakhouse, American
0043	1	: Italian
0044	1	: Fusion / Eclectic, French
0045	1	: Seafood, Steak, Mediterranean
0046	1	: Tapas / Small Plates
0047	1	: American, Seafood, Steak
0048	1	: American, Seafood
0049	1	: American
0050	1	: Contemporary American, Global, International
0051	1	: Asian, Sushi
0052	1	: American, Northwest, European
0053	1	: Northwest, Italian
0054	1	: Contemporary American, Northwest
0055	1	: Contemporary American, French, Northwest
0056	1	: French
0057	1	: Northwest, Organic
0058	1	: Seafood
0059	1	: Italian
0060	1	: Northwest
0061	1	: Seafood, Steak, American
0062	1	: Seafood, Cajun, Steakhouse
0063	1	: Northwest, Steak, Seafood
0064	1	: Northwest, American, European
0065	1	: American, Comfort Food
0066	1	: American, Steakhouse, Prime Rib
0067	1	: Steak, Seafood
0068	1	: Northwest, Organic
0069	1	: Italian, Organic
0070	1	: Thai, Asian
0071	1	: Thai, Asian
0072	1	: Italian
0073	1	: American, French
0074	1	: Italian, American
