restaurant	opentable	name
2000	2000	2000	1998
0000	1	Agave - Las Vegas
0001	1	Aquaknox
0002	1	B.B. King's Blues Club - Las Vegas
0003	1	Binion's Ranch Steakhouse
0004	1	BOA Steakhouse
0005	1	Border Grill - Las Vegas
0006	1	Bouchon at The Venetian
0007	1	Charcoal Room
0008	1	Delmonico Steakhouse
0009	1	DJT
0010	1	Eiffel Tower
0011	1	Enoteca San Marco
0012	1	Flame Steakhouse - El Cortez Hotel & Casino
0013	1	Fleur de Lys - Las Vegas
0014	1	Gaetano's Ristorante
0015	1	Garduno's
0016	1	Golden Steer Steakhouse
0017	1	Hank's Fine Steaks & Martinis
0018	1	Havana Grill
0019	1	La Scala
0020	1	Lagasse's Stadium - Palazzo Resort Hotel Casino
0021	1	Lavo
0022	1	Little Buddha Restaurant Sushi Bar & Lounge
0023	1	Lucille's Smokehouse Bar-B-Que
0024	1	Mastro's Ocean Club - Las Vegas
0025	1	Mint Indian Bistro
0026	1	Morton's The Steakhouse - Las Vegas
0027	1	MOzen - Mandarin Oriental Las Vegas
0028	1	Mundo Restaurant
0029	1	The Palm - Las Vegas
0030	1	Pamplemousse
0031	1	Pool Cafe - Mandarin Oriental Las Vegas
0032	1	Postrio - Las Vegas
0033	1	Red Square - Las Vegas
0034	1	Roy's Las Vegas - Flamingo
0035	1	rumjungle
0036	1	Siena Italian Trattoria
0037	1	SUSHISAMBA strip
0038	1	The Tillerman
0039	1	Todd English P.U.B.
0040	1	Waverly's Steak House - Cannery Casino & Hotel
0041	1	Wolfgang Puck Pizzeria & Cucina
0042	1	Austin's Restaurant
0043	1	Bianca's An Italian Eatery
0044	1	Chef Warren's
0045	1	Caffe Phoenix
0046	1	Cameo 1900
0047	1	Carlton's at the Ocean Club
0048	1	East - Blockade Runner Beach Resort
0049	1	The Lifesaving Station - Sanderling Resort
0050	1	Press 102
0051	1	Yo Sake Downtown Sushi Lounge
0052	1	23Hoyt
0053	1	Aquariva
0054	1	Bistro 921 - The Hilton, Portland
