restaurant	pickarestaurant	address
2000	2000	4000	2036
0000	2	&nbsp;4300 Lemmon Avenue	&nbsp;Dallas, TX 75219
0001	2	&nbsp;2045 North Hwy 360	&nbsp;Arlington, TX 76018
0002	2	&nbsp;12270 Inwood	&nbsp;Dallas, TX 75244
0003	2	&nbsp;6800 Snider Plaza	&nbsp;Dallas, TX 75205
0004	2	&nbsp;415 West 12Th Street	&nbsp;Dallas, TX 75208
0005	2	&nbsp;915 West Centerville Road	&nbsp;Garland, TX 75041
0006	2	&nbsp;1336 North Galloway	&nbsp;Mesquite, TX 75149
0007	2	&nbsp;703 Mckinney Avenue #101	&nbsp;Dallas, TX 75202
0008	2	&nbsp;4511 Mckinney Avenue	&nbsp;Dallas, TX 75205
0009	2	&nbsp;4005 Preston Road	&nbsp;Plano, TX 75093
0010	2	&nbsp;4343 West NW Hwy #138	&nbsp;Dallas, TX 75220
0011	2	&nbsp;15101 Addison Road	&nbsp;Addison, TX 75001
0012	2	&nbsp;3770 Realty Road	&nbsp;Addison, TX 75001
0013	2	&nbsp;5001 Belt Line Road	&nbsp;Addison, TX 75240
0014	2	&nbsp;12300 Inwood Rd., #116	&nbsp;Addison, TX 75001
0015	2	&nbsp;4980 Belt Line Road	&nbsp;Addison, TX 75240
0016	2	&nbsp;5100 Belt Line	&nbsp;Addison, TX 75001
0017	2	&nbsp;3714 Belt Line Road	&nbsp;Addison, TX 75001
0018	2	&nbsp;3712 Belt Line Road	&nbsp;Addison, TX 75001
0019	2	&nbsp;5064 Addison Circle	&nbsp;Addison, TX 75001
0020	2	&nbsp;3825 Belt Line Road	&nbsp;Addison, TX 75001
0021	2	&nbsp;4180 Belt Line Road	&nbsp;Addison, TX 75001
0022	2	&nbsp;4980 Belt Line Road	&nbsp;Addison, TX 75240
0023	2	&nbsp;14275 Midway Road #335	&nbsp;Addison, TX 75001
0024	2	&nbsp;5080 Spectrum Drive	&nbsp;Addison, TX 75001
0025	2	&nbsp;15201 Midway Road	&nbsp;Addison, TX 75001
0026	2	&nbsp;5100 Belt Line Road	&nbsp;Addison, TX 75240
0027	2	&nbsp;4985 Addison Circle	&nbsp;Addison, TX 75001
0028	2	&nbsp;3711 Belt Line Road	&nbsp;Addison, TX 75001
0029	2	&nbsp;371 Belt Line Road	&nbsp;Addison, TX 75001
0030	2	&nbsp;3771 Belt Line Road	&nbsp;Addison, TX 75001
0031	2	&nbsp;3885 Belt Line Road	&nbsp;Addison, TX 75001
0032	2	&nbsp;4100 Belt Line Road	&nbsp;Addison, TX 75001
0033	2	&nbsp;15305 Dallas Parkway	&nbsp;Addison, TX 75001
0034	2	&nbsp;15615 Quorum Drive	&nbsp;Addison, TX 75001
0035	2	&nbsp;4995 Addison Circle	&nbsp;Addison, TX 75001
0036	2	&nbsp;14951 Midway Road	&nbsp;Addison, TX 75001
0037	2	&nbsp;4203 Lindberg	&nbsp;Addison, TX 75001
0038	2	&nbsp;806 South Allen Heights Drive	&nbsp;Allen, TX 75002
0039	2	&nbsp;109 North Central Expressway	&nbsp;Allen, TX 75013
0040	2	&nbsp;1505 West Mcdermott Drive	&nbsp;Allen, TX 75013
0041	2	&nbsp;2025 West Mcdermott Drive	&nbsp;Allen, TX 75013
0042	2	&nbsp;711 Central Expressway South	&nbsp;Allen, TX 75013
0043	2	&nbsp;601 West Mcdermott Drive	&nbsp;Allen, TX 75013
0044	2	&nbsp;302 East Main Street	&nbsp;Allen, TX 75002
0045	2	&nbsp;204 Central Expressway South	&nbsp;Allen, TX 75013
0046	2	&nbsp;105 North Greenville Avenue	&nbsp;Allen, TX 75002
0047	2	&nbsp;802 West Mcdermott Drive	&nbsp;Allen, TX 75013
0048	2	&nbsp;821 South Macarthur Boulevard	&nbsp;Coppell, TX 75019
0049	2	&nbsp;240 North Denton Tap Road	&nbsp;Coppell, TX 75019
0050	2	&nbsp;110 Southwestern Boulevard	&nbsp;Coppell, TX 75019
0051	2	&nbsp;820 South Macarthur Boulevard #112	&nbsp;Coppell, TX 75019
0052	2	&nbsp;780 South Macarthur Boulevard #170	&nbsp;Coppell, TX 75019
0053	2	&nbsp;625 East Parkway	&nbsp;Coppell, TX 75019
0054	2	&nbsp;600 East Sandy Lake Road	&nbsp;Coppell, TX 75019
0055	2	&nbsp;1941 East Hwy 31	&nbsp;Corsicana, TX
0056	2	&nbsp;715 East 5th Avenue	&nbsp;Corsicana, TX
0057	2	&nbsp;3699 Mckinney Avenue Suite C-325	&nbsp;Dalas, TX 75204
0058	2	&nbsp;9825 North Centeral Expressway @ Wlanut Hill	&nbsp;Dallas, TX 75230
0059	2	&nbsp;1820 West Mockingbird Lane	&nbsp;Dallas, TX 75235
0060	2	&nbsp;12101 Greenville Avenue	&nbsp;Dallas, TX
0061	2	&nbsp;3427 Trinity Mills Road	&nbsp;Dallas, TX 75252
0062	2	&nbsp;5552 East Grand Avenue	&nbsp;Dallas, TX
0063	2	&nbsp;2120 Mckinney Avenue	&nbsp;Dallas, TX 75201
0064	2	&nbsp;4315 South Buckner Boulevard	&nbsp;Dallas, TX 75227
0065	2	&nbsp;12829 Preston Road	&nbsp;Dallas, TX 75230
0066	2	&nbsp;5565 Red Bird Center Drive	&nbsp;Dallas, TX 75237
0067	2	&nbsp;11276 Harry Hines Blvd.	&nbsp;Dallas, TX 75229
0068	2	&nbsp;5301 Belt Line Road	&nbsp;Dallas, TX 75240
0069	2	&nbsp;9440 Garland Road #112	&nbsp;Dallas, TX 75218
0070	2	&nbsp;18110 Midway Road #134	&nbsp;Dallas, TX 75287
0071	2	&nbsp;5010 Greenville Avenue	&nbsp;Dallas, TX 75206
0072	2	&nbsp;2800 Routh Street	&nbsp;Dallas, TX 75201
0073	2	&nbsp;2525 Wycliff Avenue	&nbsp;Dallas, TX 75219
0074	2	&nbsp;3939 Belt Line Road	&nbsp;Dallas, TX 75244
0075	2	&nbsp;3100 Grand Avenue	&nbsp;Dallas, TX 75215
0076	2	&nbsp;2019 North Lamar Street	&nbsp;Dallas, TX 75202
0077	2	&nbsp;5331 East Mockingbird #160	&nbsp;Dallas, TX 75206
0078	2	&nbsp;1701 North Market Street	&nbsp;Dallas, TX 75202
0079	2	&nbsp;1230 River Bend Drive #101	&nbsp;Dallas, TX 75247
0080	2	&nbsp;10319 Finnell Street	&nbsp;Dallas, TX 75220
0081	2	&nbsp;2120 Mckinney Ave	&nbsp;Dallas, TX 75201
0082	2	&nbsp;5617 West Lovers Lane	&nbsp;Dallas, TX 75209
0083	2	&nbsp;18111 Preston Road	&nbsp;Dallas, TX 75252
0084	2	&nbsp;6041 Berkshire Lane	&nbsp;Dallas, TX 75225
0085	2	&nbsp;2929 North Henderson Avenue	&nbsp;Dallas, TX 75206
0086	2	&nbsp;7804 Forest Lane	&nbsp;Dallas, TX 75230
0087	2	&nbsp;6107 Greenville Avenue	&nbsp;Dallas, TX 75206
0088	2	&nbsp;1906 Greenville Avenue	&nbsp;Dallas, TX 75206
0089	2	&nbsp;3333 West Camp Wisdom Road	&nbsp;Dallas, TX 75237
0090	2	&nbsp;535 Regal Row	&nbsp;Dallas, TX 75247
0091	2	&nbsp;100 Highland Park Village	&nbsp;Dallas, TX 75205
0092	2	&nbsp;18484 Preston Road	&nbsp;Dallas, TX 75252
0093	2	&nbsp;2538 South 2nd Avenue	&nbsp;Dallas, TX 75210
0094	2	&nbsp;1231 East Red Bird Lane	&nbsp;Dallas, TX 75241
0095	2	&nbsp;4535 Belt Line Road	&nbsp;Dallas, TX 75244
0096	2	&nbsp;3912 Cedar Springs Road	&nbsp;Dallas, TX 75219
0097	2	&nbsp;10601 Church Road	&nbsp;Dallas, TX 75238
0098	2	&nbsp;7402 Greenville Avenue	&nbsp;Dallas, TX 75231
0099	2	&nbsp;11810 Preston Road	&nbsp;Dallas, TX 75230
0100	2	&nbsp;6333 East Mockingbird Lane #107	&nbsp;Dallas, TX 75214
0101	2	&nbsp;4024 Cedar Springs Road	&nbsp;Dallas, TX 75219
0102	2	&nbsp;1625 South Buckner Boulevard	&nbsp;Dallas, TX 75217
0103	2	&nbsp;2300 North Stemmons Freeway	&nbsp;Dallas, TX 75258
0104	2	&nbsp;4906 Maple Avenue	&nbsp;Dallas, TX 75235
0105	2	&nbsp;1606 Patterson Street	&nbsp;Dallas, TX
0106	2	&nbsp;6401 Hillcrest Avenue	&nbsp;Dallas, TX 75205
0107	2	&nbsp;909 Elm Street	&nbsp;Dallas, TX 75202
0108	2	&nbsp;5181 Keller Springs Road #104	&nbsp;Dallas, TX 75248
0109	2	&nbsp;2425 South Cockrell Hill Road	&nbsp;Dallas, TX 75211
0110	2	&nbsp;14725 Preston Road	&nbsp;Dallas, TX
0111	2	&nbsp;8137 Forest Lane	&nbsp;Dallas, TX
