restaurant	pickarestaurant	cuisine
2000	2000	2000	97
0000	1	STEAKHOUSE
0001	1	AMERICAN
0002	1	TEX-MEX
0003	1	SEAFOOD
0004	1	MEXICAN
0005	1	PIZZA
0006	1	CHINESE
0007	1	SEAFOOD
0008	1	FUSION
0009	1	STEAKHOUSE
0010	1	FRENCH
0011	1	BRAZILIAN
0012	1	MEXICAN
0013	1	SEAFOOD
0014	1	THAI
0015	1	BAR
0016	1	ENGLISH
0017	1	COFFEE SHOP
0018	1	MEXICAN
0019	1	CHINESE
0020	1	BURGER
0021	1	AMERICAN
0022	1	BAR
0023	1	AMERICAN
0024	1	SUSHI
0025	1	ECLECTIC
0026	1	SPANISH
0027	1	ITALIAN
0028	1	BAKERY
0029	1	MEXICAN
0030	1	MEXICAN
0031	1	BAR
0032	1	DELI
0033	1	CHINESE
0034	1	VEGETARIAN
0035	1	SUSHI
0036	1	SEAFOOD
0037	1	BAKERY
0038	1	SALAD BAR
0039	1	AMERICAN
0040	1	PIZZA
0041	1	FAST FOOD
0042	1	BAR
0043	1	FAST FOOD
0044	1	BURGER
0045	1	PIZZA
0046	1	CAFE
0047	1	AMERICAN
0048	1	FAST FOOD
0049	1	ICE CREAM
0050	1	BURGER
0051	1	CHICKEN
0052	1	PIZZA
0053	1	ICE CREAM
0054	1	PIZZA
0055	1	AMERICAN
0056	1	CAFE
0057	1	BURGERS
0058	1	AMERICAN
0059	1	BREWERY
0060	1	CATERERS
0061	1	DELI
0062	1	BREWERY
0063	1	ITALIAN
0064	1	BARBECUE
0065	1	SUSHI
0066	1	SUBS
0067	1	KOREAN
0068	1	JAPANESE
0069	1	COFFEE SHOP
0070	1	ITALIAN
0071	1	ASIAN
0072	1	ECLECTIC
0073	1	PIZZA
0074	1	SALAD BAR
0075	1	INDIAN
0076	1	BAR
0077	1	SEAFOOD
0078	1	MEXICAN
0079	1	SNACK FOOD
0080	1	SUBS
0081	1	MEDITERRANEAN
0082	1	MEDITERRANEAN
0083	1	DELI
0084	1	DELI
0085	1	ITALIAN
0086	1	DELI
0087	1	DELI
0088	1	CHINESE
0089	1	DELI
0090	1	MEXICAN
0091	1	COFFEE SHOP
0092	1	CHINESE
0093	1	SEAFOOD
0094	1	SEAFOOD
0095	1	AMERICAN
0096	1	BAR
0097	1	DESSERT
0098	1	PIZZA
0099	1	SANDWICH SHOP
0100	1	COFFEE SHOP
0101	1	SANDWICH SHOP
0102	1	BARBECUE
0103	1	ITALIAN
0104	1	CATERERS
0105	1	SNACK FOOD
0106	1	DELI
0107	1	SNACK FOOD
0108	1	BAR
0109	1	DESSERT
0110	1	GRILL
0111	1	BARBECUE
0112	1	ICE CREAM
0113	1	DESSERT
0114	1	BARBECUE
0115	1	BARBECUE
0116	1	BARBECUE
0117	1	BARBECUE
0118	1	BARBECUE
0119	1	BARBECUE
0120	1	BURGER
0121	1	SALAD BAR
0122	1	SOUL FOOD
0123	1	BURGER
0124	1	BURGER
0125	1	BARBECUE
0126	1	SALAD BAR
0127	1	BURGER
0128	1	COFFEE SHOP
0129	1	COFFEE SHOP
0130	1	SNACK FOOD
0131	1	SALAD BAR
0132	1	PIZZA
0133	1	PIZZA
0134	1	CATERERS
0135	1	CAFE
0136	1	CAFE
0137	1	BREWERY
0138	1	SUBS
0139	1	BAR
0140	1	BAR
0141	1	DELI
0142	1	PIZZA
0143	1	BARBECUE
0144	1	MEXICAN
0145	1	MEXICAN
0146	1	BAR
0147	1	STEAKHOUSE
0148	1	PIZZA
0149	1	DESSERT
0150	1	MEXICAN
0151	1	DESSERT
0152	1	SUSHI
0153	1	BAR
0154	1	PACIFIC RIM
0155	1	BAR
0156	1	DELI
0157	1	SPORTS BAR
0158	1	BREAKFAST
0159	1	PIZZA
0160	1	ITALIAN
0161	1	CAFE
0162	1	BAR
0163	1	HAWAIIAN
0164	1	GRILL
0165	1	PIZZA
0166	1	DESSERT
0167	1	CATERERS
0168	1	CHINESE
0169	1	MEXICAN
0170	1	MEXICAN
0171	1	CHINESE
0172	1	ITALIAN
0173	1	ITALIAN
0174	1	MEXICAN
0175	1	PIZZA
0176	1	BAKERY
0177	1	BAKERY
0178	1	BAR
0179	1	DESSERT
0180	1	DESSERT
0181	1	SUBS
0182	1	TACO - BURRITOS
0183	1	DESSERT
0184	1	DESSERT
0185	1	SEAFOOD
0186	1	CATERERS
0187	1	SEAFOOD
0188	1	SEAFOOD
0189	1	ITALIAN
0190	1	AMERICAN
0191	1	DELI
0192	1	CAFE
0193	1	SNACK FOOD
0194	1	HAWAIIAN
0195	1	BURGERS
0196	1	CHINESE
0197	1	BAR
0198	1	BARBECUE
0199	1	CHINESE
0200	1	MEXICAN
0201	1	CHINESE
0202	1	AMERICAN
0203	1	MEXICAN
0204	1	CAFE
0205	1	MEXICAN
0206	1	MEXICAN
0207	1	COFFEE SHOP
0208	1	CHINESE
0209	1	MEXICAN
0210	1	KOREAN
0211	1	CAFE
0212	1	CONTINENTAL
0213	1	CAFE
0214	1	MEXICAN
0215	1	AMERICAN
0216	1	GRILL
0217	1	MEXICAN
0218	1	MEXICAN
