restaurant	pickarestaurant	phone
2000	2000	2000	1992
0000	1	214-528-9446
0001	1	817-649-3000
0002	1	972-991-8148
0003	1	214-373-4099
0004	1	214-941-4304
0005	1	972-613-0800
0006	1	972-288-3886
0007	1	214-954-0220
0008	1	214-559-3111
0009	1	972-943-3372
0010	1	214-357-5621
0011	1	972-385-1000
0012	1	972-241-8200
0013	1	972-503-3079
0014	1	972-629-0229
0015	1	972-726-7383
0016	1	972-726-6100
0017	1	972-406-8289
0018	1	972-243-6001
0019	1	972-233-9362
0020	1	972-406-9766
0021	1	972-503-2337
0022	1	972-404-8501
0023	1	972-663-8300
0024	1	972-233-3939
0025	1	972-490-4085
0026	1	972-233-8553
0027	1	972-458-1010
0028	1	972-247-9300
0029	1	972-243-9009
0030	1	972-243-9088
0031	1	972-241-9909
0032	1	972-233-8100
0033	1	972-364-2000
0034	1	972-385-7721
0035	1	972-490-8888
0036	1	972-701-9622
0037	1	972-934-8730
0038	1	972-495-8451
0039	1	214-547-9010
0040	1	214-547-1515
0041	1	972-359-7570
0042	1	972-396-8670
0043	1	972-396-0363
0044	1	972-727-3328
0045	1	972-396-7825
0046	1	214-495-0200
0047	1	214-495-8220
0048	1	972-393-3850
0049	1	972-304-5258
0050	1	972-393-1347
0051	1	972-393-0415
0052	1	972-304-1060
0053	1	972-471-2240
0054	1	972-393-3566
0055	1	903-872-3919
0056	1	903-872-6933
0057	1	214-443-9998
0058	1	214-750-9021
0059	1	214-631-4442
0060	1	214-690-9500
0061	1	972-820-0726
0062	1	214-824-2279
0063	1	214-220-0070
0064	1	214-381-6111
0065	1	972-233-2313
0066	1	214-333-4500
0067	1	972-241-9006
0068	1	972-404-1311
0069	1	214-328-3401
0070	1	972-250-2830
0071	1	214-265-1925
0072	1	214-871-7377
0073	1	214-522-1828
0074	1	972-247-7784
0075	1	214-309-3798
0076	1	214-720-0170
0077	1	214-823-8444
0078	1	214-744-1420
0079	1	214-638-7574
0080	1	214-358-5300
0081	1	214-744-0820
0082	1	214-357-2080
0083	1	972-931-5544
0084	1	214-363-8835
0085	1	214-826-7804
0086	1	214-369-2867
0087	1	214-361-9155
0088	1	214-824-9733
0089	1	972-296-0089
0090	1	214-634-7839
0091	1	214-528-0121
0092	1	972-964-6936
0093	1	214-421-1995
0094	1	214-372-6565
0095	1	972-386-3831
0096	1	214-522-9611
0097	1	214-553-0510
0098	1	214-373-0500
0099	1	972-726-7659
0100	1	214-823-7006
0101	1	214-521-7659
0102	1	214-391-4482
0103	1	214-638-1619
0104	1	214-521-4741
0105	1	214-922-8100
0106	1	214-528-8418
