restaurant	restaurantica	name
2000	2000	2000	1880
0000	1	Ajs Ribs A Go Go
0001	1	Southside Grill Restaurant
0002	1	Kinley's Restaurant & Bar
0003	1	Pepe's North of the Border
0004	1	Ken.'s Restaurant
0005	1	Northern Lights Restaurant
0006	1	Arctic Sun Cafe
0007	1	Casa 24 Hrs
0008	1	Corina's
0009	1	Datu's Place
0010	1	Diane's Cafe
0011	1	Front Street Cafe
0012	1	Midnight Express WayThai 2 GO
0013	1	Call of the Wild
0014	1	Mahoney's
0015	1	Bear Mountain Espresso
0016	1	Copper Center Lodge
0017	1	O K Restaurant
0018	1	Cordova Cafe
0019	1	Alaskan Steakhouse & Motel
0020	1	Atap
0021	1	Big D Bar
0022	1	Windmill Grille
0023	1	Peking Chinese Restaurant
0024	1	Soapy Smiths Pioneer Restaurant
0025	1	Dennys
0026	1	Food Court
0027	1	J J's Restaurant
0028	1	Seven Glaciers Restaurant
0029	1	Sakura
0030	1	Chair 5
0031	1	Hitchin' Post
0032	1	Bamboo Room
0033	1	Chilkat Restaurant & Bakery
0034	1	Fort Seward Lodge & Restaurant
0035	1	Fat Olives Restaurant
0036	1	Fort Richardson
0037	1	Libby's
0038	1	All American Cheese Steaks
0039	1	Chans Thai Kitchen
0040	1	Seongs Sushi Bar & Chinese Take Out
0041	1	Jovanys
0042	1	Gold Room
0043	1	Nugget Inn
0044	1	Louie's Steak & Seafood
0045	1	Old Town Village Restaurant
0046	1	Thai Lotus
0047	1	1st City Saloon
0048	1	Anchor Inn Lounge
0049	1	Chicos Mexican Restaurant
0050	1	Old Power House Restaurant
0051	1	B & B Bar
0052	1	Big Als Take & Bake
0053	1	el Chicano Mexican Restaurant & Cantina
0054	1	Sue's Bed & Breakfast
0055	1	Fireweed Roadhouse
0056	1	Kasee Kaf
0057	1	Monderosa Bar
0058	1	Inlet View Lodge
0059	1	Kourtneys Koffee
0060	1	Thai Cuisine Restaurant
0061	1	12 Mile Road House
0062	1	Worldwinds
0063	1	Lisianski Inlet Cafe
0064	1	Joan Mei
0065	1	Midway Lodge
0066	1	Morning Moose Calf E
0067	1	Peking Restaurant
0068	1	Pit The South
0069	1	Rays Waterfront
0070	1	Yukon Bar
0071	1	Yukon Bar
0072	1	Apollo Restaurant
0073	1	Victorias
0074	1	Channel Club
0075	1	Elbow Room
0076	1	Ernies Old Time Saloon
0077	1	Kennys Wok & Teriyaki
0078	1	Kruzoff Expresso
0079	1	Red Onion Saloon
0080	1	Alaska Gourmet Cafe
0081	1	Sabrosa
0082	1	Corner Cafe
0083	1	Glacial Smoothies
0084	1	Acapulcos
0085	1	Harry's Family Restaurant
0086	1	Peninsula Steak House
0087	1	Teriyaki Express
0088	1	The Grind
0089	1	Bjs
0090	1	Suzies Cafe
0091	1	Sackett's Roadhouse Grill
0092	1	Cafe Michele
0093	1	Mc Kinley Deli
0094	1	Swiss-Alaska Inn
0095	1	Cups & Cones
0096	1	Klondike Coffee
0097	1	Motor Mocha
0098	1	Northern Treats
0099	1	International Cabana
0100	1	Souurdough Cafe
0101	1	Alaska Halibut House
0102	1	Pipeline Club
0103	1	Sea Moor Fish Seafood & Chop
0104	1	Burning Bush Cafe
0105	1	Evangelos Restaurant
0106	1	Happy Family Restaurant
0107	1	Kfc/ A&W
0108	1	Chepos Fiesta Restaurant
0109	1	Hobo Bay Trading
0110	1	Sheep Creek Lodge
0111	1	Pioneer Lodge
0112	1	J & Ws Fast Foods
0113	1	Jitterbugs Espresso to Go
0114	1	Marine Bar
0115	1	Northward Lounge
0116	1	Shady Lady Brig Bar
0117	1	Zaks Cafe
0118	1	Ruby Tuesday Restaurant
0119	1	Bamboo Garden
0120	1	Sol Azteca
0121	1	Yum-Yum Tree
0122	1	The Food Basket
0123	1	Wilson's Barbecue
0124	1	Holcomb's Country Cafe
0125	1	Gloria's
0126	1	Sonic Restaurant
0127	1	JR's Sports Bar & Grill
0128	1	Capt. D's Seafood Restaurant
0129	1	Beef 'O' Brady's
0130	1	Huddle House
0131	1	Strutts
0132	1	Carpenetti's Pizza
0133	1	Mata's Greek Pizza & Grinders
0134	1	Classic On Noble
0135	1	Sierra's Mexicanisimo
0136	1	Panda III Chinese Food
0137	1	Peppers Cafe
0138	1	Mr Crite's Bar-B-Q
0139	1	LawLers Barbecue Express Iii
0140	1	Applebee's Neighborhood Grill
0141	1	Capt. D's Seafood Restaurant
0142	1	David's Catfish House
0143	1	Gold's Bar-B-Q & Grill
0144	1	Huddle House
0145	1	Jalisco Mexican Restaurant
0146	1	Mikata Japanese Steak House
