restaurant	tripadvisor	cuisine
2000	1849	1849	571
0000	0	<NULL>
0001	1	Cuisines: French, Seafood
0002	0	<NULL>
0003	0	<NULL>
0004	1	Cuisines: American, English, Steakhouse
0005	0	<NULL>
0006	0	<NULL>
0007	0	<NULL>
0008	1	Cuisines: Pizza
0009	1	Cuisines: Asian
0010	1	Cuisines: Steakhouse
0011	1	Cuisines: American, Fusion, Vegan, Vegetarian
0012	1	Cuisines: American
0013	1	Cuisines: American, Bar, Hamburgers
0014	1	Cuisines: Italian, Spanish, French, Eclectic, International
0015	1	Cuisines: American, Contemporary
0016	1	Cuisines: American, Vegan, Vegetarian
0017	1	Cuisines: Barbecue, American
0018	1	Cuisines: American, Bakery, Coffee Shop, Dessert, Family Fare, Ice Cream
0019	1	Cuisines: Italian
0020	1	Cuisines: Steakhouse
0021	1	Cuisines: Coffee Shop
0022	1	Cuisines: American, Seafood, Steakhouse
0023	1	Cuisines: Barbecue, Seafood, Steakhouse
0024	0	<NULL>
0025	1	Cuisines: Bakery
0026	0	<NULL>
0027	1	Cuisines: Contemporary, Seafood
0028	1	Cuisines: Hawaiian, Polynesian
0029	1	Cuisines: Japanese, Sushi
0030	1	Cuisines: Hawaiian, French, Fusion
0031	1	Cuisines: Seafood
0032	0	<NULL>
0033	1	Cuisines: Steakhouse
0034	1	Cuisines: Mexican
0035	1	Cuisines: Thai
0036	0	<NULL>
0037	0	<NULL>
0038	1	Cuisines: French
0039	0	<NULL>
0040	1	Cuisines: American, Eclectic, Italian
0041	1	Cuisines: Steakhouse
0042	1	Cuisines: American
0043	0	<NULL>
0044	1	Cuisines: Lebanese
0045	1	Cuisines: Japanese
0046	1	Cuisines: Barbecue, American, Hamburgers, Steakhouse
0047	1	Cuisines: American
0048	1	Cuisines: Thai
0049	1	Cuisines: Hamburgers
0050	1	Cuisines: Coffee Shop
0051	1	Cuisines: Thai
0052	1	Cuisines: Mexican
0053	1	Cuisines: Delicatessen
0054	1	Cuisines: Dessert
0055	0	<NULL>
0056	1	Cuisines: American
0057	0	<NULL>
0058	1	Cuisines: Greek, American
0059	1	Cuisines: American, Barbecue, Seafood, Steakhouse
0060	0	<NULL>
0061	1	Cuisines: American, Bar, Hamburgers, Grill, Pub
0062	1	Cuisines: Italian, Contemporary, Mediterranean
0063	1	Cuisines: Delicatessen
0064	1	Cuisines: Barbecue, American
0065	1	Cuisines: American
0066	1	Cuisines: Steakhouse
0067	1	Cuisines: American, Italian, Seafood
0068	1	Cuisines: Barbecue, American
0069	1	Cuisines: American, Delicatessen, Diner
0070	1	Cuisines: Seafood, American
0071	1	Cuisines: Italian
0072	1	Cuisines: Japanese
0073	0	<NULL>
0074	1	Cuisines: Thai
0075	1	Cuisines: Vegetarian
0076	1	Cuisines: Asian
0077	1	Cuisines: French
0078	1	Cuisines: American
0079	1	Cuisines: American
0080	1	Cuisines: American, Seafood
0081	1	Cuisines: Italian
0082	0	<NULL>
0083	0	<NULL>
0084	1	Cuisines: Italian
0085	0	<NULL>
0086	1	Cuisines: Barbecue
0087	1	Cuisines: Italian
0088	1	Cuisines: Barbecue
0089	1	Cuisines: Mexican
0090	1	Cuisines: Tapas
0091	1	Cuisines: French, American, Swiss
0092	1	Cuisines: Pizza
0093	1	Cuisines: Mexican
0094	1	Cuisines: Mexican
0095	1	Cuisines: Steakhouse
0096	1	Cuisines: Japanese, Sushi
0097	1	Cuisines: Pizza
0098	1	Cuisines: American, Delicatessen
0099	1	Cuisines: Italian
0100	0	<NULL>
0101	1	Cuisines: Asian
0102	1	Cuisines: Bar, British
0103	1	Cuisines: Café, Sandwiches
0104	1	Cuisines: Middle Eastern
0105	1	Cuisines: Chinese
0106	1	Cuisines: Mexican
0107	1	Cuisines: Japanese
0108	1	Cuisines: Delicatessen
0109	1	Cuisines: Pizza, Delicatessen
0110	0	<NULL>
0111	1	Cuisines: Indian, International
0112	1	Cuisines: Coffee Shop
0113	0	<NULL>
0114	1	Cuisines: Pizza
0115	1	Cuisines: Chinese
0116	0	<NULL>
0117	1	Cuisines: Pizza
0118	1	Cuisines: Pizza, Sandwiches
0119	0	<NULL>
0120	0	<NULL>
0121	0	<NULL>
0122	0	<NULL>
0123	1	Cuisines: Barbecue, Italian, Seafood, Steakhouse
0124	0	<NULL>
0125	1	Cuisines: American
0126	1	Cuisines: American
0127	1	Cuisines: French
0128	1	Cuisines: Pizza
0129	0	<NULL>
0130	1	Cuisines: Steakhouse, Seafood
0131	1	Cuisines: American
0132	1	Cuisines: Italian
0133	0	<NULL>
0134	0	<NULL>
0135	1	Cuisines: Chinese
0136	0	<NULL>
0137	1	Cuisines: Mexican
0138	1	Cuisines: Soups
0139	1	Cuisines: Bakery
0140	0	<NULL>
0141	1	Cuisines: Barbecue
0142	1	Cuisines: Mexican
0143	1	Cuisines: Café, Coffee Shop
0144	1	Cuisines: American, Seafood, Steakhouse
0145	1	Cuisines: Brazilian, South American, Steakhouse
0146	0	<NULL>
0147	1	Cuisines: American
0148	1	Cuisines: American
0149	1	Cuisines: Italian
0150	1	Cuisines: Contemporary, Portuguese, Spanish, Tapas
0151	1	Cuisines: Pizza
0152	1	Cuisines: Italian, Delicatessen
0153	0	<NULL>
0154	1	Cuisines: Mexican
0155	0	<NULL>
0156	1	Cuisines: Greek
0157	1	Cuisines: Italian, Pizza
0158	1	Cuisines: Sushi
0159	1	Cuisines: Pizza, Italian
0160	1	Cuisines: Mexican, Fast Food
0161	1	Cuisines: Seafood
0162	1	Cuisines: Italian
0163	1	Cuisines: Thai
0164	1	Cuisines: American, Steakhouse
0165	1	Cuisines: American, Mexican
0166	0	<NULL>
0167	0	<NULL>
0168	1	Cuisines: Italian
0169	1	Cuisines: Delicatessen, Pizza
0170	1	Cuisines: Chinese
0171	1	Cuisines: American
0172	0	<NULL>
0173	1	Cuisines: Greek
0174	0	<NULL>
0175	1	Cuisines: American
0176	1	Cuisines: Mexican
0177	1	Cuisines: American, Asian, Contemporary, Dessert, Healthy
0178	0	<NULL>
0179	1	Cuisines: Irish
0180	1	Cuisines: Burmese, Indian, Japanese
0181	1	Cuisines: Hawaiian
0182	1	Cuisines: Hawaiian
0183	1	Cuisines: Continental, European
0184	1	Cuisines: Sushi
0185	1	Cuisines: Thai
0186	1	Cuisines: American
0187	0	<NULL>
0188	1	Cuisines: Mexican
0189	1	Cuisines: Japanese
0190	1	Cuisines: Barbecue, American, Steakhouse
0191	1	Cuisines: French
0192	0	<NULL>
0193	1	Cuisines: Dessert, Ice Cream
0194	1	Cuisines: American
0195	1	Cuisines: Seafood, American
0196	1	Cuisines: American, Delicatessen, Steakhouse
0197	1	Cuisines: American
0198	1	Cuisines: Steakhouse
0199	1	Cuisines: Pizza
0200	0	<NULL>
0201	1	Cuisines: Barbecue
0202	0	<NULL>
0203	1	Cuisines: Healthy, American, Hamburgers, Seafood, Vegetarian
0204	1	Cuisines: Italian
0205	1	Cuisines: American
0206	1	Cuisines: Hamburgers, American, Coffee Shop, Diner
0207	1	Cuisines: Italian
0208	1	Cuisines: Thai
0209	1	Cuisines: American, Bakery, Nepali, Grill
0210	0	<NULL>
0211	1	Cuisines: American
0212	1	Cuisines: Mexican
0213	1	Cuisines: American, Coffee Shop, Diner
0214	1	Cuisines: Indian
0215	1	Cuisines: Seafood, American, Contemporary
0216	0	<NULL>
0217	1	Cuisines: Irish, American, British, Seafood
0218	1	Cuisines: American, Pub
0219	1	Cuisines: Family Fare
0220	0	<NULL>
0221	0	<NULL>
0222	1	Cuisines: Delicatessen
0223	0	<NULL>
0224	1	Cuisines: American
0225	0	<NULL>
0226	1	Cuisines: American
0227	0	<NULL>
0228	0	<NULL>
0229	1	Cuisines: Pizza
0230	1	Cuisines: Chinese
0231	1	Cuisines: Chinese
0232	1	Cuisines: American
0233	1	Cuisines: American
0234	1	Cuisines: American
0235	0	<NULL>
0236	1	Cuisines: Fast Food, Delicatessen, Soups
0237	1	Cuisines: Mexican
0238	0	<NULL>
0239	1	Cuisines: Indian
0240	1	Cuisines: Seafood, American, Wine Bar
0241	1	Cuisines: Italian
0242	1	Cuisines: Mexican
0243	1	Cuisines: Sushi, Japanese
0244	0	<NULL>
0245	1	Cuisines: Bakery, Dessert
0246	1	Cuisines: Dessert, Delicatessen
0247	1	Cuisines: Ice Cream
0248	1	Cuisines: Sushi, Japanese
0249	1	Cuisines: Delicatessen, Italian, Pizza
0250	1	Cuisines: American, Californian
0251	1	Cuisines: Thai
0252	1	Cuisines: Mexican
0253	1	Cuisines: Mexican
0254	1	Cuisines: Pizza
0255	1	Cuisines: Steakhouse
0256	1	Cuisines: Japanese
0257	0	<NULL>
0258	1	Cuisines: Seafood, Steakhouse
0259	1	Cuisines: Steakhouse
0260	1	Cuisines: American, Hamburgers, Steakhouse
0261	1	Cuisines: Delicatessen
0262	1	Cuisines: American, Cajun & Creole, Caribbean, Continental
0263	1	Cuisines: Italian
0264	0	<NULL>
0265	0	<NULL>
0266	1	Cuisines: Mexican
0267	1	Cuisines: American
0268	1	Cuisines: Mexican
0269	1	Cuisines: Seafood
0270	1	Cuisines: American
0271	0	<NULL>
0272	1	Cuisines: Contemporary
0273	0	<NULL>
0274	1	Cuisines: Thai
0275	0	<NULL>
0276	0	<NULL>
0277	1	Cuisines: American, Seafood
0278	1	Cuisines: Chinese
0279	1	Cuisines: Pizza
0280	1	Cuisines: Middle Eastern, Mediterranean, Delicatessen
0281	1	Cuisines: American
0282	1	Cuisines: Chinese, Bakery
0283	1	Cuisines: Mexican
0284	1	Cuisines: Thai
0285	1	Cuisines: American, Cajun & Creole, Fast Food
0286	0	<NULL>
