restaurant	tripadvisor	name
2000	2000	2000	1899
0000	1	Basso56
0001	1	Le Bernardin
0002	1	Trattoria Trecolori
0003	1	The Meatball Shop
0004	1	Keens Steakhouse
0005	1	Daniel
0006	1	53rd &amp; 6th Halal
0007	1	Sushi Yasuda
0008	1	Lombardi&#39;s
0009	1	Buddakan New York
0010	1	Del Frisco&#39;s Double Eagle Steak House
0011	1	M. Henry
0012	1	Yolk
0013	1	Kuma&#39;s Corner
0014	1	Avec
0015	1	MK The Restaurant
0016	1	Green Zebra
0017	1	Smoque BBQ
0018	1	Molly&#39;s Cupcakes
0019	1	Volare
0020	1	Benny&#39;s Chop House
0021	1	Intelligentsia Coffee
0022	1	Shaw&#39;s Crab House
0023	1	Gibsons Bar &amp; Steakhouse
0024	1	Grass Skirt Grill
0025	1	Leonard&#39;s Bakery
0026	1	Alan Wong&#39;s Restaurant
0027	1	Orchids
0028	1	ONO Hawaiian Foods
0029	1	Sushi Sasabune
0030	1	La Mer
0031	1	Duke&#39;s Restaurant &amp; Canoe Club
0032	1	Keneke&#39;s
0033	1	Ruth&#39;s Chris Steak House - Waikiki
0034	1	Toloache
0035	1	Land
0036	1	Pearl Oyster Bar
0037	1	Basilica
0038	1	Bouley
0039	1	Mariella Pizza
0040	1	Babbo
0041	1	Benjamin Steakhouse
0042	1	Gotham Bar &amp; Grill
0043	1	Scotty&#39;s Diner
0044	1	ilili
0045	1	Shiki
0046	1	Earl&#39;s Rib Palace
0047	1	T.G.I. Friday&#39;s
0048	1	Thai Sayarm Restaurant
0049	1	Irma&#39;s Burger Shack
0050	1	Starbucks
0051	1	Sala Thai
0052	1	Casa Juanito
0053	1	City Bites
0054	1	Bodensee Premium Frozen Cstrd
0055	1	Buffalo Chophouse
0056	1	Jim&#39;s Steakout
0057	1	Red Robin Gourmet Burgers
0058	1	Towne Restaurant
0059	1	Harry&#39;s Harbour Place Grille
0060	1	Rich&#39;s Bakery Outlet Store
0061	1	Vizzy&#39;s
0062	1	Just Pasta
0063	1	Schlotzsky&#39;s Deli
0064	1	Golden Rule Bar-B-Q
0065	1	Ruby Tuesday
0066	1	Shula&#39;s Steak House
0067	1	Lovoy&#39;s Italian Restaurant
0068	1	Costa&#39;s Famous Bar-B-Que
0069	1	Bert&#39;s On the Bluff
0070	1	John&#39;s Restaurant
0071	1	Olive Garden
0072	1	Ichiban Japanese Steak House
0073	1	Copper Grill - Birmingham
0074	1	Thai Emerald
0075	1	Fresh Mint
0076	1	Pei Wei Asian Diner
0077	1	Zinc Bistro
0078	1	Breakfast Club &amp; Barrista Bar
0079	1	Kashman&#39;s Place
0080	1	Tommy Bahama&#39;s Tropical Cafe
0081	1	Tutti Santi (by Nina) Scottsdale
0082	1	Billy&#39;s On the Square
0083	1	Lola&#39;s At The Bowery
0084	1	Carrabba&#39;s Italian Grill
0085	1	Zooks Coney Island
0086	1	Rib Crib
0087	1	More Than Noodles
0088	1	Knotty Pine Barbeque
0089	1	El Guapo&#39;s Cantina
0090	1	Underground
0091	1	The Melting Pot
0092	1	Fuhgeddaboudit Pizza
0093	1	Chubby&#39;s Tacos
0094	1	El Rodeo Mexican Restaurant
0095	1	Sullivan&#39;s Steakhouse - Raleigh
0096	1	Sono Japanese Restaurant
0097	1	Pizza Italia
0098	1	Side Street Restaurant
0099	1	Cafe Tiramisu
0100	1	Cappuccino&#39;s
0101	1	Wok Hay
0102	1	Irish Times Pub
0103	1	Tropical Smoothie Cafe
0104	1	Falafel Hut
0105	1	Golden Wok Chinese Restaurant
0106	1	Senor Taco
0107	1	Fuji Japanese Grill
0108	1	Pimento&#39;s Cafe &amp; Market
0109	1	Mancino&#39;s Pizza &amp; Grinders
0110	1	Soup Kitchen
0111	1	TAJ Fine Indian Dining
0112	1	De Colores Espresso
0113	1	Parkside Grill
0114	1	Flippers Pizza
0115	1	Great China Super Buffet
0116	1	P G&#39;s Wings &amp; More
0117	1	Westgate Pizza Hut
0118	1	Upper Crust Pizza
0119	1	Sharks
0120	1	Beef &#39;o&#39; Bradys Family Sports
0121	1	Fox &amp; Hounds Pub
0122	1	Duffy&#39;s Diner
0123	1	Tropical Acres Restaurant
0124	1	Charcuterie Too
0125	1	Blue Martini
0126	1	Fishtails
0127	1	Grandma&#39;s Ice Cream &amp; French Cafe
0128	1	Umberto&#39;s Restaurant &amp; Pizza
0129	1	Brew Urban Cafe
0130	1	Chuck&#39;s Steak House
0131	1	Shuck N Dive
0132	1	Anthony&#39;s Runway 84
0133	1	Golden House
0134	1	Vagabond Cafe
0135	1	Peking Palace
0136	1	Granite City
0137	1	On The Border
0138	1	Artichoke Catering
0139	1	Krispy Kreme Doughnuts
0140	1	Whiskey Creek Steakhouse
0141	1	Two Brothers BBQ
0142	1	Amigo&#39;s Cafe &amp; Club
0143	1	Intelligentsia Coffee
0144	1	Ruth&#39;s Chris Steak House
0145	1	Fogo de Chao
0146	1	Vosges Haut-Chocolat
0147	1	Portillo&#39;s Hot Dogs
0148	1	Bongo Room
0149	1	Rosebud on Rush
0150	1	Cafe Ba-Ba-Reeba!
0151	1	Lou Malnati&#39;s Pizzeria
0152	1	Anthony&#39;s Italian Deli
0153	1	Dearman&#39;s Hamburger &amp; Ice CRM
0154	1	Ahuua&#39;s Mexican Restaurant
0155	1	C C&#39;s Gourmet Coffee House
0156	1	Roman Lebanese Greek Market
0157	1	DE Angelo&#39;s Pizzeria Co
0158	1	Hello Sushi
0159	1	Mama MIA Pizzeria
0160	1	Chipotle Mexican Grill
0161	1	Pismo&#39;s Coastal Grill
0162	1	Olive Garden
0163	1	Star of SIAM Thai Cuisine
0164	1	Tahoe Joe&#39;s Famous Steakhouse
0165	1	Al&#39;s Cafe
0166	1	Ruben&#39;s Bakery
0167	1	Los Manjares Restaurant
0168	1	Olive Garden
0169	1	Nikos Pasta Pizza &amp; Deli
0170	1	Panda West Chinese Restaurant
0171	1	Sunshine&#39;s Coffee Shop
0172	1	Eva&#39;s European Sweets
0173	1	Pita Pit
0174	1	Fortune Hawaii
0175	1	Aina Gourmet Market at Honua Kai Resort
0176	1	Fred&#39;s Mexican Cafe
0177	1	David Paul&#39;s Island Grill
0178	1	Honolulu Coffee Co
0179	1	The Dog and Duck Irish Pub
0180	1	Spice and Rice
0181	1	Da Kitchen
0182	1	Grand Dining Room
0183	1	Sea House Restaurant
0184	1	Genki Sushi
0185	1	Thai Chef Restaurant
0186	1	Cafe 808
0187	1	Soup&#39;s On
0188	1	El Meson Restaurante Mexicano
0189	1	Ichiban Japanese Steak House
0190	1	Porker&#39;s BBQ
0191	1	P F Chang&#39;s China Bistro
0192	1	Caffeine
0193	1	Ben &amp; Jerry&#39;s
0194	1	Zarzour&#39;s
0195	1	Red Lobster
0196	1	T.G.I. Friday&#39;s
0197	1	Ankar&#39;s Restaurant
0198	1	Johnny&#39;s Italian Steakhouse
0199	1	Dante Pizzeria Napoletana
0200	1	Taste of Thailand
0201	1	Famous Dave&#39;s Bar-B-Que
0202	1	Whole Foods
0203	1	Fabulous Fern&#39;s Bar &amp; Grill
0204	1	Buca di Beppo
0205	1	Downtowner Woodfire Grill
0206	1	Andy&#39;s Garage
0207	1	La Grolla
0208	1	Krua Thailand
0209	1	Highland Cafe and Bakery
0210	1	John&#39;s Pizza Cafe
0211	1	Patrick McGovern&#39;s Pub
0212	1	Me Gusta - Robert Street
0213	1	Uptowner Cafe
0214	1	Nirlep Indian Restaurant
0215	1	Vickery&#39;s Bar &amp; Grill Downtown
0216	1	Capital Japan Incorporated
0217	1	Tommy Condon Restaurant
0218	1	Moe&#39;s Crosstown Tavern
0219	1	Sweetwater Cafe
0220	1	Bertha&#39;s Kitchen
0221	1	Onion
0222	1	Our Daily Bread Deli
0223	1	Rusty Moose Bar and Grill
0224	1	Sawtooth Grill Legendary Burgers
0225	1	Heroes &amp; Legends
0226	1	MA Barkers Cafe
0227	1	Empyrean
0228	1	Palm Court
0229	1	Boston&#39;s The Gourmet Pizza
0230	1	Peking North
0231	1	Chan&#39;s Dragon Inn
0232	1	Roosevelt&#39;s House Of Chicken &amp; Waffles
0233	1	Cliff Bells
0234	1	Fender&#39;s Tavern
0235	1	Clique Restaurant
0236	1	Subway
0237	1	El Rancho Restaurant
0238	1	Sweet Lorraine&#39;s Cafe &amp; Bar
0239	1	Sizz&#39;l-n-Spice
0240	1	Water Grill
0241	1	Pizzeria Mozza
0242	1	El Tepeyac
0243	1	Sushi Nozawa
0244	1	Gjelina
0245	1	Sweet Lady Jane
0246	1	Beard Papa&#39;s
0247	1	Scoops
0248	1	Shintaro
0249	1	Il Tramezzino
0250	1	Roscoe&#39;s House of Chicken &amp; Waffles
0251	1	Thai Patio
0252	1	Tlapazola Grill
0253	1	Micasa Too
0254	1	Pizza Baron
0255	1	Peppermill
0256	1	Sushi Pier II
0257	1	The Breakaway
0258	1	St George &amp; The Dragon
0259	1	The Grill at Ritz-Carlton, Naples
0260	1	Lindburgers Restaurant
0261	1	Larry&#39;s Lunchbox Delicatessen
0262	1	Sweet Mama&#39;s Island Cuisine
0263	1	Amore Ristorante
0264	1	Cheeburger Cheeburger - 5th Ave S
0265	1	First Watch Restaurant - Granada Shoppes
0266	1	Bajio
0267	1	Cibao Grille
0268	1	Two Senoritas
0269	1	Madfish Grill
0270	1	Hemingway&#39;s Retreat Restaurant &amp; Bar
0271	1	Old Packinghouse Cafe
0272	1	Libby&#39;s Cafe &amp; Bar
0273	1	Sweetberries
0274	1	Bangkok Restaurant
0275	1	Hillview Grill
0276	1	Word of Mouth
0277	1	Phillippi Creek Village Restaurant &amp; Oyster Bar
0278	1	New Main Moon Buffet Inn Incorporated
0279	1	Lou-Bea&#39;s Pizzaria
0280	1	BFS Mediterranean Restaurant
0281	1	T.G.I. Friday&#39;s
0282	1	Hong Kong Bakery
0283	1	Pancho&#39;s Mexican Buffet
0284	1	Bangkok Thai Restaurant
0285	1	Popeye&#39;s Chicken &amp; Biscuits
0286	1	Cabernet Cafe
0287	1	The Wine Bar and Bistro On Lark
0288	1	Underground Pub
0289	1	Sim&#39;s Bar-b-que
0290	1	Colton&#39;s Steak House &amp; Grill
0291	1	H B&#39;s Drive In
0292	1	Pot au Feu
0293	1	Olga&#39;s Cup &amp; Saucer
0294	1	Reflections Cafe
0295	1	classic cafe
0296	1	Waterman Grille
0297	1	Gourmet House
0298	1	Tacos El Ganadero
0299	1	Great Lakes Shipping Co.
0300	1	Johnny Carino&#39;s Italian Kitchen
0301	1	Noto&#39;s Old World Italian
0302	1	Walker Roadhouse
0303	1	Electric Cheetah
0304	1	Real Food Cafe
0305	1	Wei Wei Palace
0306	1	Flatbread Community Oven
0307	1	Red Robin
0308	1	Pat&#39;s Thai Kitchen
0309	1	Romano&#39;s Macaroni Grill
0310	1	Fuddruckers
0311	1	Johnny Carino&#39;s Italian Kitchen
0312	1	La Galleria Ristorante
0313	1	Applebee&#39;s
0314	1	Jillian&#39;s
0315	1	Pagarung Thai Cuisine
0316	1	Milano Restaurant Oakland
0317	1	Sabuy Sabuy
0318	1	Simply Greek
0319	1	Ichiro
0320	1	Ahn&#39;s Quarter Pound Burger
0321	1	Little Shin Shin
0322	1	Noodle Theory
0323	1	Nob Hill Cafe
0324	1	Flour + Water
0325	1	Piazza Pellegrini
0326	1	Colibri Mexican Bistro
0327	1	Pizzeria Delfina
