restaurant	tripadvisor	phone
2000	1935	1935	1932
0000	1	212-265-2610
0001	1	212 554 1515
0002	1	(212) 997-4540
0003	0	<NULL>
0004	1	(212) 947-3636
0005	1	(212) 288-0033
0006	0	<NULL>
0007	1	212-972-1001
0008	1	(212) 941-7994
0009	1	(212) 989-6699
0010	1	(212) 575-5129
0011	1	(773) 561-1600
0012	1	(312) 789-9655
0013	1	(773) 604-8769
0014	1	(312) 377-2002
0015	1	(312) 482-9179
0016	1	(312) 243-7100
0017	1	(773) 545-7427
0018	1	773-883-7220
0019	1	(312) 410-9900
0020	1	312-626-2444
0021	1	312 253 0594
0022	1	(312) 527-2722
0023	1	(312) 266-8999
0024	1	(808) 637-4852
0025	1	(808) 737-5591
0026	1	(808) 949-2526
0027	1	(808) 923-2311
0028	1	(808) 737-2275
0029	1	(808) 947-3800
0030	1	808-923-2311
0031	1	(808) 922-2268
0032	1	808-259-9811
0033	1	8084407910
0034	1	(212) 581-1818
0035	1	(212) 501-8121
0036	1	(212) 691-8211
0037	1	(212) 489-0051
0038	1	(212) 964-2525
0039	1	(212) 757-3016
0040	1	(212) 777-0303
0041	1	(212) 297-9177
0042	1	(212) 620-4020
0043	1	(212) 986-1520
0044	1	212-683-2322
0045	1	(405) 947-0400
0046	1	(405) 843-9922
0047	1	(405) 749-2515
0048	1	(405) 672-4904
0049	1	405 840-4762
0050	1	(405) 748-4443
0051	1	(405) 528-8424
0052	1	(405) 677-1401
0053	1	(405) 842-3355
0054	1	(405) 692-9866
0055	1	716-842-6900
0056	1	(716) 854-6666
0057	1	(716) 834-4100
0058	1	(716) 884-5128
0059	1	(716) 874-5400
0060	1	(716) 878-8148
0061	0	<NULL>
0062	1	(716) 881-1888
0063	1	(205) 991-0035
0064	1	(205) 520-0502
0065	1	(205) 978-5355
0066	1	(205) 444-5750
0067	1	(205) 942-9866
0068	1	(205) 252-2109
0069	1	(205) 823-1217
0070	1	(205) 322-6014
0071	1	(205) 985-4696
0072	1	(205) 822-4646
0073	1	(205) 414-1411
0074	1	(205) 995-5775
0075	1	(480) 443-2556
0076	1	(480) 365-6000
0077	1	(480) 603-0922
0078	1	(480) 222-2582
0079	1	(480) 585-6221
0080	1	480 505 3668
0081	1	(480) 951-3775
0082	1	(918) 583-8703
0083	1	(918) 592-7995
0084	1	(918) 481-9500
0085	1	(918) 582-1984
0086	1	(918) 828-0010
0087	1	(918) 299-5900
0088	1	(918) 584-0171
0089	1	918 382-RITA
0090	1	(919) 664-8704
0091	1	(919) 878-0477
0092	1	919-844-6NYC
0093	1	(919) 781-4480
0094	1	(919) 755-9697
0095	1	(919) 833-2888
0096	1	919-521-5328
0097	1	(919) 571-8555
0098	1	(919) 828-4927
0099	1	(919) 981-0305
0100	1	(865) 673-3422
0101	1	865.588.0933
0102	1	(865) 675-8800
0103	1	865-690-5505
0104	1	(865) 522-4963
0105	1	(865) 633-9618
0106	1	(865) 688-0306
0107	1	(865) 690-6163
0108	1	865-865-566-0433
0109	1	(865) 769-9005
0110	1	(865) 546-4212
0111	1	(865) 670-2878
0112	1	(865) 531-9399
0113	1	(865) 862-5358
0114	1	(407) 396-1202
0115	1	(407) 870-5500
0116	1	407-847-3441
0117	1	866 438 2507
0118	1	(407) 566-1221
0119	0	<NULL>
0120	1	(407) 239-7710
0121	1	407 847-9927
0122	1	(954) 491-3584
0123	1	(954) 761-1744
0124	1	(954) 463-9578
0125	0	<NULL>
0126	1	954-689-2344
0127	1	(954) 564-3671
0128	1	(954) 566-5226
0129	1	(954) 523-7191
0130	1	(954) 764-3333
0131	1	(954) 462-0088
0132	1	(954) 467-8484
0133	1	(316) 265-7888
0134	1	(316) 303-1110
0135	1	(316) 684-5173
0136	0	<NULL>
0137	1	(316) 636-5154
0138	1	(316) 263-9164
0139	1	(316) 618-3688
0140	1	(316) 265-0707
0141	1	(316) 691-8950
0142	1	(316) 687-5444
0143	1	(312) 920-9332
0144	1	(312) 321-2725
0145	1	(312) 932-9330
0146	1	312-644-9450
0147	1	(312) 587-8910
0148	1	(773) 489-0690
0149	1	(312) 266-6444
0150	1	(773) 935-5000
0151	1	(312) 828-9800
0152	1	(225) 272-6817
0153	1	(225) 924-1391
0154	1	(225) 752-9377
0155	1	(225) 769-8896
0156	1	(225) 928-2702
0157	1	(225) 761-4465
0158	1	(225)751-2888
0159	1	(559) 439-5303
0160	1	(559) 225-1166
0161	1	(559) 439-9463
0162	1	(559) 323-7297
0163	1	(559) 433-9085
0164	1	(559) 299-9740
0165	1	(559) 233-9226
0166	1	(559) 264-6315
0167	1	(559) 224-0085
0168	0	<NULL>
0169	1	(315) 475-7000
0170	1	(315) 474-7777
0171	1	(315) 433-0118
0172	1	(315) 487-2722
0173	1	(315) 479-0460
0174	1	(315) 446-6666
0175	1	808-662-2832
0176	1	(808) 891-8600
0177	1	8086623000
0178	1	(808) 875-6630
0179	1	808-875-9669
0180	1	808-575-2770
0181	1	808-875-7782
0182	1	1-800-888-6100 #5
0183	1	(808) 669-1500
0184	1	(808) 661-0333
0185	1	(808) 667-2814
0186	1	808-878-6874
0187	1	(423) 267-1555
0188	1	(423) 894-8726
0189	1	(423) 892-0404
0190	1	(423) 267-2726
0191	1	(423) 242-0045
0192	1	(423) 756-5911
0193	1	(423) 265-8606
0194	1	423-266-0424
0195	1	(423) 490-3488
0196	1	(423) 752-8443
0197	1	(423) 892-3606
0198	1	402-289-9210
0199	0	<NULL>
0200	1	4026919991
0201	1	(402) 333-6391
0202	1	402-393-1200
0203	1	(651) 225-9414
0204	1	(651) 772-4388
0205	1	(651) 228-9500
0206	1	(651) 917-2332
0207	1	(651) 221-1061
0208	1	(651) 224-4053
0209	1	651.698.3400
0210	1	(651) 488-1922
0211	1	651-224-5821
0212	1	(651) 227-3533
0213	1	(651) 224-6418
0214	1	(843) 763-9923
0215	1	(843) 577-5300
0216	1	(843) 766-4638
0217	1	(843) 577-3818
0218	1	843-722-3287
0219	1	(843) 723-7121
0220	1	(843) 554-6519
0221	1	(509) 747-3852
0222	1	(509) 456-3473
0223	1	(509) 747-5579
0224	1	(509) 363-1100
0225	1	(509) 747-4956
0226	1	(509) 487-0848
0227	1	(509) 456-3676
0228	1	(509) 789-6848
0229	1	(509) 467-9100
0230	1	(509) 484-4321
0231	1	(509) 747-1121
0232	1	313-832-9233
0233	1	313-961-2543
0234	1	(313) 259-9500
0235	1	(313) 259-0922
0236	1	(313) 963-8727
0237	1	(313) 843-2151
0238	1	(313) 223-3933
0239	1	(313) 963-2860
0240	1	(213) 891-0900
0241	1	323.297.0101
0242	1	(323) 267-8668
0243	1	(818) 508-7017
0244	1	310.450.1429
0245	1	(323) 653-7145
0246	0	<NULL>
0247	1	(323) 906-2649
0248	1	(323) 882-6524
0249	1	(818) 784-2244
0250	1	(323) 466-7453
0251	1	323-466-3894
0252	1	(310) 477-1577
0253	1	(775) 825-3005
0254	1	(775) 329-4481
0255	1	(775) 826-8770
0256	1	775-825-5225
0257	1	775-324-6200
0258	1	(239) 262-6546
0259	1	(239) 598-3300
0260	1	(239) 262-1127
0261	1	(239) 775-2500
0262	1	239-692-9441
0263	1	(239) 643-2201
0264	1	(239) 435-9796
0265	1	(239) 566-7395
0266	0	<NULL>
0267	1	(239) 434-6653
0268	1	(941) 351-5533
0269	1	(941) 377-3474
0270	1	(941) 388-3948
0271	1	(941) 371-9358
0272	1	9414877300
0273	1	(941) 929-7322
0274	1	941.922.0703
0275	1	941-952-0045
0276	1	(941) 925-2400
0277	1	(941) 925-4444
0278	1	(518) 458-8899
0279	1	(518) 489-2222
0280	1	518-452-6342
0281	1	(518) 489-1661
0282	1	(518) 431-6520
0283	1	(518) 482-3940
0284	1	(518) 435-1027
0285	1	(518) 454-9320
0286	1	(518) 452-5670
0287	0	<NULL>
0288	1	(501) 707-2537
0289	1	(501) 224-2057
0290	1	(501) 562-3273
0291	1	(501) 565-1930
0292	1	(401) 273-8953
0293	1	(401) 831-6666
0294	1	(401) 273-7278
0295	0	<NULL>
0296	1	401 521 9229
0297	1	(401) 621-9818
0298	1	(616) 458-5595
0299	1	616-949-9440
0300	1	(616) 363-7100
0301	1	(616) 493-6686
0302	0	<NULL>
0303	1	(616) 451-4779
0304	1	(616) 361-1808
0305	1	(616) 724-1818
0306	1	208-343-4177
0307	1	(208) 344-7471
0308	1	(208) 345-0026
0309	1	(208) 323-4445
