restaurant	urbanspoon	name
2000	2000	2000	1885
0000	1	Frontier Restaurant
0001	1	Saggio's
0002	1	Tucanos Brazilian Grill
0003	1	Dog House Drive in
0004	1	India Palace
0005	1	Namaste
0006	1	Thai Cuisine II
0007	1	Oasis Coffee &amp; Tea
0008	1	Duran Central Pharmacy
0009	1	Hurricane's
0010	1	Brasserie la Provence
0011	1	Marble Brewery
0012	1	Sushi and Sake
0013	1	Hannah &amp; Nate's
0014	1	Marcello's Chophouse
0015	1	Los Cuates
0016	1	Cervantes Restaurant &amp; Lounge
0017	1	Flying Star Cafe (Nob Hill)
0018	1	Golden Pride
0019	1	Melting Pot
0020	1	Banana Leaf
0021	1	Ginger
0022	1	Krazy Moose Subs
0023	1	Kinley's Restaurant &amp; Bar
0024	1	Charlie's Bakery
0025	1	Crush Wine Bistro &amp; Cellar
0026	1	La Hacienda Mexican
0027	1	Haute Quarter Grill
0028	1	Sara's Sandwiches
0029	1	Jitters
0030	1	Aladdin's Fine Mediterranean
0031	1	Fire Island Rustic Bakeshop
0032	1	Thai Town
0033	1	Garcia's Cantina &amp; Cafe
0034	1	Peppercini's Deli House
0035	1	Long Branch Saloon
0036	1	Straight Out of Philly
0037	1	The Chocolaterie Luxury Chocolates
0038	1	Eclipse di Luna (Dunwoody)
0039	1	Big Shanty Smokehouse
0040	1	Hearth Pizza Tavern
0041	1	Five Guys Famous Burgers and Fries
0042	1	Jim 'n Nick's Bar-B-Q (Smyrna)
0043	1	Rise 'n Dine
0044	1	Pure Taqueria
0045	1	Papi's Cuban &amp; Caribbean Grill (Midtown)
0046	1	Uncle Maddio's Pizza Joint
0047	1	South City Kitchen Midtown
0048	1	Wisteria
0049	1	Highland Bakery
0050	1	Community Q BBQ
0051	1	Bacchanalia
0052	1	Baraonda
0053	1	Surin of Thailand
0054	1	Alpine Bakery &amp; Pizzeria
0055	1	Fritti
0056	1	Alfredo's Italian
0057	1	Hut's Hamburgers
0058	1	Shady Grove
0059	1	Eastside Cafe
0060	1	Guero's Taco Bar
0061	1	Amy's Ice Cream
0062	1	Polvo's Mexican
0063	1	Lamberts Downtown Barbeque
0064	1	Stubb's Bar-B-Q
0065	1	Mother's Cafe &amp; Garden
0066	1	Cafe Java
0067	1	Maria's Taco Xpress
0068	1	Tomo Sushi
0069	1	Evangeline Cafe
0070	1	Wink
0071	1	Iron Works Barbecue
0072	1	Root Cellar Cafe
0073	1	Hip Hop Fish &amp; Chicken
0074	1	Clementine
0075	1	Iggie’s Pizza
0076	1	La Tolteca
0077	1	Thai Arroy
0078	1	Pub Dog Pizza &amp; Drafthouse (Federal Hill)
0079	1	Jeno's Steaks
0080	1	Pasta Mista
0081	1	Victoria Gastro Pub
0082	1	Annabel Lee Tavern
0083	1	Petit Louis
0084	1	Ann's Dari Creme
0085	1	Obrycki's Crab House
0086	1	Thai One on
0087	1	Red Star Bar and Grill
0088	1	Artful Gourmet Bistro
0089	1	Pachanga Grill
0090	1	Roy's Hawaiian Restaurant
0091	1	Joe Squared Pizza and Bar
0092	1	Ale Mary's
0093	1	Chimes East
0094	1	P.F. Chang's China Bistro
0095	1	Chelsea's Cafe
0096	1	Parrain's Seafood
0097	1	TJ Ribs
0098	1	Gino's
0099	1	Voo Doo BBQ &amp; Grill
0100	1	Latte e Miele
0101	1	Strands Cafe
0102	1	BJ's Restaurant and Brewhouse
0103	1	TJ Ribs (Siegen)
0104	1	Thai Kitchen
0105	1	Olive Garden
0106	1	DeAngelo's (Denham Springs)
0107	1	Yogurt Mountain
0108	1	Iguana Grill
0109	1	P.F. Chang's China Bistro (Summit Blvd.)
0110	1	Brio Tuscan Grille
0111	1	Don Pepe
0112	1	Taziki's Colonnade
