restaurant	urbanspoon	phone
2000	1994	1994	1983
0000	1	(505) 266-0550
0001	1	(505) 255-5454
0002	1	(505) 246-9900
0003	1	(505) 243-1019
0004	1	(505) 271-5009
0005	1	(505) 896-3126
0006	1	(505) 232-3200
0007	1	(505) 792-4720
0008	1	(505) 247-4141
0009	1	(505) 255-4248
0010	1	(505) 254-7644
0011	1	(505) 243-2739
0012	1	(505) 797-8000
0013	1	(505) 898-2370
0014	1	(505) 837-2467
0015	1	(505) 255-5079
0016	1	(505) 262-2253
0017	1	(505) 255-6633
0018	1	(505) 294-5767
0019	1	(505) 843-6358
0020	1	(505) 892-6119
0021	1	(907) 929-3680
0022	1	(907) 357-8774
0023	1	(907) 644-8953
0024	1	(907) 677-7777
0025	1	(907) 865-9198
0026	1	(907) 338-6109
0027	1	(907) 622-4745
0028	1	(907) 562-1344
0029	1	(907) 694-5487
0030	1	(907) 561-2373
0031	1	(907) 569-0001
0032	1	(907) 644-4433
0033	1	(907) 694-8600
0034	1	(907) 279-3354
0035	1	(907) 349-4142
0036	1	(907) 569-1515
0037	1	(678) 513-2700
0038	1	(678) 205-5862
0039	1	(770) 499-7444
0040	1	(404) 252-5378
0041	1	(770) 346-0366
0042	1	(678) 556-0011
0043	1	(404) 377-4407
0044	1	(678) 240-0023
0045	1	(404) 607-1525
0046	1	(404) 929-6700
0047	1	(404) 873-7358
0048	1	(404) 525-3363
0049	1	(404) 586-0772
0050	1	(404) 633-2080
0051	1	(404) 365-0410
0052	1	(404) 879-9962
0053	1	(404) 892-7789
0054	1	(770) 410-9883
0055	1	(404) 880-9559
0056	1	(404) 876-1380
0057	1	(512) 472-0693
0058	1	(512) 474-9991
0059	1	(512) 476-5858
0060	1	(512) 447-7688
0061	1	(512) 458-6895
0062	1	(512) 441-5446
0063	1	(512) 494-1500
0064	1	(512) 480-8341
0065	1	(512) 451-3994
0066	1	(512) 339-7677
0067	1	(512) 444-0261
0068	1	(512) 821-9472
0069	1	(512) 282-2586
0070	1	(512) 482-8868
0071	1	(512) 478-4855
0072	1	(512) 392-5158
0073	1	(410) 655-6565
0074	1	(410) 444-1497
0075	1	(410) 528-0818
0076	1	(410) 588-5975
0077	1	(410) 385-8587
0078	1	(410) 727-6077
0079	1	(410) 544-1416
0080	1	(410) 321-8855
0081	1	(410) 750-1880
0082	1	(410) 522-2929
0083	1	(410) 366-9393
