restaurant	usdiners	cuisine
2000	1999	1999	218
0000	1	Greek/Fast Food
0001	1	American/American
0002	1	Others/Others
0003	1	Others/Others
0004	1	American/American
0005	0	<NULL>
0006	1	Others/Others
0007	1	American/French
0008	1	Californian/Tuscan
0009	1	Pizza/Pizza
0010	1	Others/Others
0011	1	Others/Others
0012	1	Others/Others
0013	1	American/American
0014	1	American/American
0015	1	Others/Others
0016	1	American/American
0017	1	American
0018	1	Others/Others
0019	1	Others/Others
0020	1	Others/Others
0021	1	Eclectic / Int'l/Vegetarian
0022	1	Chinese/Thai
0023	1	Asia/American
0024	1	Others/Others
0025	1	American/Bistro
0026	1	Others/Others
0027	1	Others/Others
0028	1	Others/Others
0029	1	Others/Others
0030	1	American/American
0031	1	American/American
0032	1	American/American
0033	1	Others/Others
0034	1	Others/Others
0035	1	American/American
0036	1	American/American
0037	1	Others/Others
0038	1	Others/Others
0039	1	Others/Others
0040	1	Others/Others
0041	1	American/American
0042	1	American/Bar Grill
0043	1	Others/Others
0044	1	Others/Others
0045	1	Italian Southern/Wild Game
0046	1	American/American
0047	1	Others/Others
0048	1	Others/Others
0049	1	Others/Others
0050	1	American/American
0051	1	American/American
0052	1	Italian/American
0053	1	American/American
0054	1	Continental/Bistro
0055	1	Others/Others
0056	1	American/American
0057	1	Others/Others
0058	1	Others/Others
0059	1	American/American
0060	1	American/American
0061	1	Californian/Californian
0062	1	American/Eclectic / Int'l
0063	1	Others/Others
0064	1	Others/Others
0065	1	Others/Others
0066	1	Others/Others
0067	1	Others/Others
0068	1	Thai/Cajun & Creole
0069	1	Steak House/Seafood
0070	1	Others/Others
0071	1	Others/Others
0072	1	Others/Others
0073	1	Mediterranean/American
0074	1	Others/Others
0075	1	Pizza/Pizza
0076	1	Others/Others
0077	1	Italian/Mediterranean
0078	1	Others/Others
0079	1	Others/Others
0080	1	Others/Others
0081	1	Others/Others
0082	1	Indian
0083	1	Cajun/Southern & Soul
0084	1	Afghan
0085	1	American/Pizza
0086	1	Italian/Steak House
0087	1	Others/Others
0088	1	Others/Others
0089	1	Others/Others
0090	1	Others/Others
0091	1	American/American
0092	1	Steak House/Steak House
0093	1	American/American
0094	1	Others/Others
0095	1	Others/Others
0096	1	Others/Others
0097	1	Italian/Caterer
0098	1	Others/Others
0099	1	Others/Others
0100	1	Others/Others
0101	1	Italian Northern/Italian Northern
0102	1	American/American
0103	1	Others/Others
