restaurant	usdiners	name
2000	2000	2000	1421
0000	1	Blackwoods Gyros & Grill
0001	1	178 Club Inc
0002	1	3 Tomatoes & a Mozzarella Restaurant
0003	1	33 American Bistro
0004	1	101 Diner
0005	1	116 Crown
0006	1	168 York Street Cafe
0007	1	100 King
0008	1	1111 Mississippi
0009	1	15Th Street Pizza
0010	1	17 Hundred 90
0011	1	306 North
0012	1	'O No Bar & Grill
0013	1	12Th Ave. Grill
0014	1	1 Potato 2
0015	1	5 & Diner
0016	1	9 Beans & a Burrito
0017	1	300 East
0018	1	120 West Market Fresh Grill
0019	1	14 West Restaurant
0020	1	#1 Asian Buffet
0021	1	13 Monaghan
0022	1	$1 Chinese Rice
0023	1	Ginger Pad
0024	1	1790 Restaurant
0025	1	209 Boston
0026	1	1637 at York Harbor Inn
0027	1	#1 Chinese Food V
0028	1	50'S Drive In
0029	1	8 China Buffet
0030	1	84 East
0031	1	20.21
0032	1	1924 Main
0033	1	54Th Street Grill
0034	1	54Th Street Grill
0035	1	54Th Street Grill & Bar
0036	1	200 Restaurant
0037	1	99 Restaurant
0038	1	99 Restaurant
0039	1	99 Restaurant
0040	1	99 Restaurant
0041	1	1785 Inn
0042	1	50 Yard Line Restaurant & Grill
0043	1	5 Buck Pizza
0044	1	808
0045	1	'Cesca
0046	1	101
0047	1	1060 Restaurant
0048	1	#1 Pho
0049	1	3 Amigo's Mexican- American Restaurant & Cantina
0050	1	Firehouse Grille & Pub
0051	1	10Th Floor Grill
0052	1	1521 Cafe & Gallery
0053	1	1889 Cafe
0054	1	211 York
0055	1	22 Bowens Wine Bar
0056	1	3 Steeple Street
0057	1	84 High Street Cafe
0058	1	99 Restaurant
0059	1	La Carreta
0060	1	17
0061	1	20Nine Restaurant & Wine Bar
0062	1	2900
0063	1	529-BBQ
0064	1	3 Little Pigs BBQ
0065	1	5 Buck Pizza
0066	1	5 Buck Pizza
0067	1	$5 Pizza
0068	1	219 Thai
0069	1	21 Central Steakhouse
0070	1	1910 Sausage Co
0071	1	2 Loons Cafe
0072	1	2 Sweet
0073	1	Aladdin's Fine Mediterranean & American Cuisine
0074	1	Apple Lane Farms
0075	1	American Pie Pizza
0076	1	Apple Spice Junction
0077	1	Antonello Ristorante
0078	1	A&W Restaurant
0079	1	Aji
0080	1	Ajuua
0081	1	Akasaka
0082	1	Aatish on the Hill
0083	1	Acadiana
0084	1	Afghan Grill
0085	1	Alberto's Cafe
0086	1	Antonio's at Sand Lake
0087	1	A&W Restaurant
0088	1	A&W Restaurant
0089	1	A&W Restaurant
0090	1	Abbotts Bar & Grill
0091	1	Alan Wong's Restaurant
0092	1	A 1 Steak House
0093	1	Aunt Maude's
0094	1	Applebee's
0095	1	Applebee's
0096	1	Applebee's
0097	1	Asiago's Ristorante
0098	1	Applebee's
0099	1	Applebee's
0100	1	A & T Restaurant
0101	1	A Tavola
0102	1	A V Poppers
0103	1	A&W Restaurant
0104	1	A&W Restaurant
0105	1	Addis Ababa Ethiopian Cafe
0106	1	Applebee's
0107	1	Abuelo's Mexican Food Embassy
0108	1	Albasha
0109	1	Albasha
0110	1	Albasha Greek & Lebanese
0111	1	A&W Restaurant
0112	1	Abc Pizza House
0113	1	Aka Friscos
0114	1	A&W Restaurant
0115	1	Acropolis Restaurant
0116	1	Amato's Real Italian Food to Go
0117	1	Amore Breakfast
0118	1	A&W Restaurant
0119	1	Abacus Chinese Restaurant
0120	1	Achatz Pies
0121	1	Achatz Pies
0122	1	Applebee's
0123	1	Applebee's
0124	1	Acambaro
0125	1	Al Roubaie's
0126	1	Abner's Famous Chicken Tenders
0127	1	Abner's Famous Chicken Tenders
0128	1	Applebee's Neighborhood Grill
0129	1	A & W Family Restaurant
0130	1	A & W Family Restaurant
0131	1	Asian Mongolian BBQ
0132	1	Attitude on Food Catering & Cafe
0133	1	Applebee's
0134	1	Auntie Anne's Pretzels
0135	1	Awujoh Restaurant
0136	1	Aberdeen Diner
0137	1	Acqua Restaurante
0138	1	Andiamo
0139	1	Alfredo of Rome
0140	1	Aleo
0141	1	Angels Restaurant
0142	1	A & G Bakery
0143	1	Abdalla's Tavern
0144	1	Abuelo's Mexican Food Embassy
0145	1	Abuelo's Mexican Food Embassy
0146	1	Abuelo's Mexican Food Embassy
0147	1	Abuelo's Mexican Food Embassy
0148	1	Arby's
0149	1	Auntie Anne's Pretzels
0150	1	Al-Amir Lebanese Restaurant
0151	1	A Taste of Philly
0152	1	A1 Japanese Steakhouse
0153	1	Aquidneck Restaurant & Pizzeria
0154	1	Al-Amir
0155	1	Andolini's Pizza
0156	1	Applebee's
0157	1	Arcodoro Ristorante Italiano
0158	1	A&W Restaurant
0159	1	A&W Restaurant
0160	1	Amber Restaurant
0161	1	Angie's Restaurant
0162	1	Al's French Fries
0163	1	Asian Bistro
0164	1	Auntie Anne's Pretzels
0165	1	A & W Family Restaurant
0166	1	A&W Restaurant
0167	1	A&W Restaurant
0168	1	Ale Asylum
0169	1	Al's Pizza
0170	1	A&W Restaurant
0171	1	Armadillo
0172	1	Avanti Restaurant
0173	1	A & W Family Restaurant
0174	1	A & W Family Restaurant
0175	1	A & W Family Restaurant
0176	1	A & W Family Restaurant
0177	1	Bake Shop
0178	1	Brick Pit
0179	1	Back Yard Burgers
0180	1	Back Yard Burgers
0181	1	Back Yard Burgers
0182	1	Baskin-Robbins
0183	1	Babbo
0184	1	Brix Restaurant
0185	1	Bluewater Grill Seafood Restaurant & Oyster Bar
0186	1	Baraka
0187	1	Baja Fresh Mexican Grill
0188	1	Bar Louie
0189	1	Bara
0190	1	Bar
0191	1	Baci Vini
0192	1	Banana Cafe & Piano Bar
0193	1	Back Burner
0194	1	Brew Haha!
0195	1	Back Porch Cafe
0196	1	B Line Diner
0197	1	Back Bay Seafood
0198	1	B & D Burgers
0199	1	B & D Burgers
0200	1	B J's Restaurant
0201	1	Babs
0202	1	Bad Ass Coffee Co.
0203	1	Bali by the Sea
0204	1	Baskin-Robbins
0205	1	B-Bop's Burgers Fries Cola
0206	1	Baratta's
0207	1	Baratta's Trattoria & Pizzarea
0208	1	Bardenay Restaurant & Distillery
0209	1	Baskin-Robbins
0210	1	Baskin-Robbins
0211	1	Ba Le Bakery
