restaurant	usdiners	phone
2000	2000	2000	1995
0000	1	(501) 329-3934
0001	1	(870) 445-4949
0002	1	(480) 585-6555
0003	1	(480) 222-3366
0004	1	(760) 753-2123
0005	1	(203) 777-3116
0006	1	(203) 789-1915
0007	1	(703) 299-0076
0008	1	(314) 241-9999
0009	1	(770) 507-1478
0010	1	(912) 236-7122
0011	1	(229) 249-5333
0012	1	(808) 667-2525
0013	1	(808) 732-9469
0014	1	(712) 276-4033
0015	1	(208) 542-1950
0016	1	(208) 736-3773
0017	1	(312) 787-6100
0018	1	(317) 822-5824
0019	1	(317) 636-1414
0020	1	(502) 451-6033
0021	1	(504) 942-1345
0022	1	(617) 442-8958
0023	1	(781) 221-7899
0024	1	(866) 366-1790
0025	1	(617) 536-0972
0026	1	(800) 343-3869
0027	1	(586) 756-8888
0028	1	(269) 639-1954
0029	1	(586) 778-5858
0030	1	(616) 396-8484
0031	1	(612) 253-3410
0032	1	(816) 472-1924
0033	1	(816) 229-0054
0034	1	(816) 965-5454
0035	1	(816) 587-0864
0036	1	(701) 234-9328
0037	1	(603) 224-7399
0038	1	(603) 749-9992
0039	1	(603) 355-9990
0040	1	(603) 422-9989
0041	1	(603) 356-9025
0042	1	(775) 358-8848
0043	1	(775) 351-1555
0044	1	(877) 427-7243
0045	1	(212) 787-6300
0046	1	(718) 833-1313
0047	1	(315) 476-4212
0048	1	(216) 781-1176
0049	1	(330) 263-1001
0050	1	(440) 943-4983
0051	1	(215) 923-0100
0052	1	(215) 546-1521
0053	1	(412) 431-9290
0054	1	(215) 517-5117
0055	1	(401) 841-8884
0056	1	(401) 272-3620
0057	1	(401) 596-7871
0058	1	(401) 849-9969
0059	1	(423) 246-2155
0060	1	(832) 200-8888
0061	1	(210) 798-9463
0062	1	(214) 303-0400
0063	1	(713) 989-7679
0064	1	(801) 809-0309
0065	1	(801) 545-9955
0066	1	(435) 843-8600
0067	1	(757) 877-3088
0068	1	(703) 549-1141
0069	1	(425) 822-1515
0070	1	(920) 257-2064
0071	1	(920) 699-4550
0072	1	(414) 963-0202
0073	1	(907) 561-2373
0074	1	(256) 883-3128
0075	1	(501) 753-0081
0076	1	(501) 663-7008
0077	1	(714) 751-7153
0078	1	(720) 870-3705
0079	1	(303) 442-3464
0080	1	(720) 747-0764
0081	1	(719) 272-7301
0082	1	(202) 544-0931
0083	1	(202) 408-8848
0084	1	(202) 234-5095
0085	1	(813) 341-6670
0086	1	(407) 363-9191
0087	1	(706) 571-6222
0088	1	(678) 518-4059
0089	1	(770) 474-0118
0090	1	(770) 495-7110
0091	1	(808) 949-2526
0092	1	(808) 926-1881
0093	1	(515) 233-4136
0094	1	(712) 366-1250
0095	1	(563) 583-3131
0096	1	(319) 287-4700
0097	1	(208) 336-5552
0098	1	(208) 746-8000
0099	1	(208) 637-0135
0100	1	(773) 274-0036
0101	1	(773) 276-7567
0102	1	(773) 585-5260
0103	1	(765) 643-8353
0104	1	(317) 594-9117
0105	1	(785) 856-5090
0106	1	(785) 537-0909
0107	1	(859) 971-0922
0108	1	(225) 293-1100
0109	1	(225) 677-8600
0110	1	(225) 216-1444
0111	1	(508) 427-5776
0112	1	(617) 876-4607
0113	1	(301) 698-0018
0114	1	(301) 559-6731
0115	1	(410) 675-3384
0116	1	(207) 442-9600
0117	1	(207) 646-6661
0118	1	(616) 352-9021
0119	1	(616) 530-3300
0120	1	(586) 784-4743
0121	1	(586) 566-8863
0122	1	(952) 997-3919
0123	1	(952) 435-2545
0124	1	(417) 886-1444
0125	1	(417) 883-8188
0126	1	(601) 824-8904
0127	1	(662) 891-4649
0128	1	(701) 255-0200
0129	1	(701) 280-0606
0130	1	(701) 232-0606
0131	1	(402) 991-9330
0132	1	(402) 341-3663
0133	1	(603) 742-5707
0134	1	(603) 888-0407
0135	1	(732) 246-7587
0136	1	(732) 583-2100
0137	1	(908) 707-1777
0138	1	(505) 995-9595
0139	1	(702) 919-7472
0140	1	(212) 691-8136
0141	1	(212) 980-3131
0142	1	(631) 271-3450
0143	1	(740) 537-9119
0144	1	(216) 360-9030
0145	1	(614) 337-9006
0146	1	(937) 426-3070
0147	1	(513) 336-7449
0148	1	(580) 920-0737
0149	1	(405) 292-9966
0150	1	(503) 274-0010
0151	1	(215) 247-2217
0152	1	(215) 269-1178
0153	1	(401) 849-3356
0154	1	(803) 732-0522
0155	1	(843) 225-4743
0156	1	(605) 882-8804
0157	1	(713) 621-6888
0158	1	(801) 269-8480
0159	1	(801) 501-0678
0160	1	(801) 484-3222
0161	1	(435) 752-9252
0162	1	(802) 862-9203
0163	1	(802) 878-8878
0164	1	(802) 863-4138
0165	1	(802) 388-2876
0166	1	(509) 582-8811
0167	1	(253) 852-4280
0168	1	(608) 663-3926
0169	1	(304) 599-4040
0170	1	(307) 237-8500
0171	1	(307) 778-0822
0172	1	(307) 634-3432
0173	1	(307) 347-2301
0174	1	(307) 765-2312
0175	1	(307) 864-3227
0176	1	(307) 234-2195
0177	1	(907) 783-2831
0178	1	(251) 343-0001
0179	1	(256) 236-4544
0180	1	(256) 216-5444
0181	1	(479) 621-0990
0182	1	(501) 605-0306
0183	1	(623) 566-9898
0184	1	(707) 944-2749
0185	1	(310) 318-3474
0186	1	(415) 255-0387
0187	1	(303) 367-9700
0188	1	(303) 457-5900
0189	1	(303) 820-2200
0190	1	(203) 495-8924
0191	1	(202) 464-0655
0192	1	(202) 543-5906
0193	1	(302) 239-2314
0194	1	(302) 777-4499
0195	1	(302) 227-3674
0196	1	(407) 352-4000
0197	1	(321) 723-4742
0198	1	(912) 927-8700
0199	1	(912) 231-0986
0200	1	(706) 629-3461
0201	1	(404) 541-0888
0202	1	(808) 877-5477
0203	1	(808) 941-2254
0204	1	(808) 879-4010
0205	1	(515) 963-1928
0206	1	(515) 281-3294
0207	1	(515) 243-4516
0208	1	(208) 426-0538
0209	1	(208) 524-3131
0210	1	(208) 888-7405
0211	1	(773) 561-4424
0212	1	(773) 476-3088
0213	1	(773) 262-7170
0214	1	(773) 342-7482
0215	1	(317) 883-1267
0216	1	(547) 288-4981
0217	1	(913) 268-5160
0218	1	(913) 663-4099
0219	1	(785) 537-3136
0220	1	(913) 764-0031
0221	1	(316) 618-8999
0222	1	(502) 899-7070
0223	1	(859) 442-3400
0224	1	(504) 522-2426
0225	1	(337) 480-0770
0226	1	(617) 424-5252
0227	1	(617) 624-0454
