restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
0001	3	621 North Ave. NE	(Glen Iris Dr.)	Atlanta, GA 30308
0002	2	3829 Clairmont Rd	Atlanta, GA 30341
0003	5	Park Place Shopping Ctr.	|	4505 Ashford Dunwoody Rd.	(Perimeter Ctr.)	Atlanta, GA 30346
0004	5	Belvedere	|	560 Dutch Valley Rd.	(Monroe Dr.)	Atlanta, GA 30324
0005	3	2974 Grandview Ave.	(Pharr Rd.)	Atlanta, GA 30305
0006	3	3195 Roswell Rd. NW	(Peachtree Rd.)	Atlanta, GA 30305
0007	5	Midtown Promenade	|	931 Monroe Dr. NE	(Virginia Ave.)	Atlanta, GA 30308
0008	3	490 E. Paces Ferry Rd. NE	(Maple Dr.)	Atlanta, GA 30305
0009	3	794 N. Highland Ave. NE	(bet. Greenwood & St. Charles Aves.)	Atlanta, GA 30306
0010	5	Westside Mktpl.	|	1198 Howell Mill Rd.	(bet. 14th St. & Huff Rd.)	Atlanta, GA 30318
0011	2	6690 Roswell Rd NE	Atlanta, GA 30328
0012	3	710 Peachtree St. NE	(3rd St.)	Atlanta, GA 30308
0013	3	2985 Grandview Ave.	(Pharr Rd.)	Atlanta, GA 30305
0014	5	Peachtree Ctr.	|	229 Peachtree St. NE	(Andrew Young Int'l Blvd.)	Atlanta, GA 30303
0015	5	Sovereign Bldg.	|	3344 Peachtree Rd.	(GA 400)	Atlanta, GA 30326
0016	3	1261 W. Paces Ferry Rd.	(Northside Pkwy.)	Atlanta, GA 30327
0017	3	3455 Peachtree Rd.	(Lenox Rd.)	Atlanta, GA 30326
0018	3	375 14th St.	(State St.)	Atlanta, GA 30318
0019	3	3073 Piedmont Rd. NE	(Paces Ferry Rd.)	Atlanta, GA 30305
0020	5	Brookwood Square Ctr.	|	2140 Peachtree Rd. NE	(Colonial Homes Dr.)	Atlanta, GA 30309
0021	5	Peachtree Battle Shopping Ctr.	|	2341 Peachtree Rd. NE	(Peachtree Battle Ave. NW)	Atlanta, GA 30305
0022	5	Vinings on the River	|	4199 Paces Ferry Rd. NW	(bet. Garraux Rd. & Northside Pkwy.)	Atlanta, GA 30339
0023	3	3070 Piedmont Rd. NE	(E. Paces Ferry Rd.)	Atlanta, GA 30305
0024	2	2655 Cobb Pkwy	Atlanta, GA 30339
0025	3	427 Edgewood Ave.	(bet. Blvd. NE & Jackson St. NE)	Atlanta, GA 30312
0026	3	40 Seventh St. NE	(Cypress St.)	Atlanta, GA 30308
0027	2	1715 Howell Mill Rd NW	Atlanta, GA 30318
0028	5	The Prado Plaza	|	5590 Roswell Rd.	(Lake Placid Dr.)	Atlanta, GA 30342
0029	2	2625 Piedmont Rd.	Atlanta, GA 30324
0030	5	Floataway Bldg.	|	1123 Zonolite Rd. NE	(bet. Briarcliff & Johnson Rds.)	Atlanta, GA 30306
0031	2	4849 Peachtree Rd	Atlanta, GA 30341
0032	3	1041 N. Highland Ave. NE	(Virginia Ave.)	Atlanta, GA 30306
0033	3	219 10th St. NE	(Piedmont Ave.)	Atlanta, GA 30309
0034	5	Atlantic Station	|	264 19th St.	(W. District Ave.)	Atlanta, GA 30363
0035	3	4320 Powers Ferry Rd. NW	(W. Wieuca Rd.)	Atlanta, GA 30342
0036	3	3539 Northside Pkwy. NW	(W. Paces Ferry Rd.)	Atlanta, GA 30327
0037	3	4046 Peachtree Rd. NE	(Dresden Dr. NE)	Atlanta, GA 30319
0038	3	467 N. Highland Ave. NE	(Colquitt Ave.)	Atlanta, GA 30307
0039	3	1810 Cheshire Bridge Rd. NE	(bet. Manchester & Piedmont Rds.)	Atlanta, GA 30324
0040	3	1545 Peachtree St. NE	(Spring St.)	Atlanta, GA 30309
0041	2	5819 Campbellton Rd SW	Atlanta, GA 30331
0042	2	234 Hilderbrand Dr NE	Atlanta, GA 30328
0043	2	2770 Lenox Rd NE	Atlanta, GA 30324
0044	5	Ansley Sq.	|	1510F Piedmont Ave.	(Monroe Dr.)	Atlanta, GA 30324
0045	3	1801 Howell Mill Rd.	(I-75)	Atlanta, GA 30318
0046	3	3861 Roswell Rd.	(bet. Le Brun & Piedmont Rds.)	Atlanta, GA 30342
0047	3	2225 Cheshire Bridge Rd. NE	(Woodland Ave.)	Atlanta, GA 30324
0048	3	550 Amsterdam Ave. NE	(Monroe Dr.)	Atlanta, GA 30306
0049	2	3569 Main St	Atlanta, GA 30337
0050	5	Perimeter Mall	|	4400 Ashford Dunwoody Rd.	(I-285, exit 29)	Atlanta, GA 30346
0051	2	320 Peachtree St NE	Atlanta, GA 30308
0052	3	3209 Maple Dr. NE	(Peachtree Rd.)	Atlanta, GA 30305
0053	5	Crowne Plaza Atlanta-Buckhead	|	3377 Peachtree Rd. NE	(2 blocks south of Lenox Rd.)	Atlanta, GA 30326
0054	3	999 Brady Ave.	(Marietta)	Atlanta, GA 30318
0055	3	619 Edgewood Ave.	(bet. Krog & Randolph Sts.)	Atlanta, GA 30312
0056	5	Northridge Sq.	|	8290 Roswell Rd.	(Northridge Rd.)	Atlanta, GA 30350
0057	2	3167 Peachtree Rd NE	Atlanta, GA 30305
0058	3	1000 Virginia Ave. NE	(N. Highland Ave.)	Atlanta, GA 30306
0059	3	903 Peachtree St. NE	(8th St.)	Atlanta, GA 30308
0060	5	West Paces Ferry Shopping Ctr.	|	1284 W. Paces Ferry Rd.	(Northside Pkwy.)	Atlanta, GA 30327
0061	2	650 Ponce De Leon Ave NE	Atlanta, GA 30308
0062	3	25 Irby Ave. NW	(Roswell Rd.)	Atlanta, GA 30305
0063	5	Tara Shopping Ctr.	|	2321 Cheshire Bridge Rd.	(Lavista Rd.)	Atlanta, GA 30324
0064	5	Orchard Park Shopping Ctr.	|	2090 Dunwoody Club Dr.	(Jett Ferry Rd.)	Atlanta, GA 30350
0065	5	Westin Buckhead	|	3391 Peachtree Rd. NE	(bet. GA 400 & Lenox Rd.)	Atlanta, GA 30326
0066	3	25 Andrew Young Int'l Blvd. NW	(Spring St.)	Atlanta, GA 30303
0067	3	500 Pharr Rd. NE	(Maple Dr.)	Atlanta, GA 30305
0068	3	656 N. Highland Ave. NE	(bet. North Ave. & Ponce de Leon Blvd.)	Atlanta, GA 30306
0069	2	318 E Paces Ferry Rd NE	Atlanta, GA 30305
0070	3	240 Peachtree St. NE	(bet. Andrew Young Int'l Blvd. & Harris St.)	Atlanta, GA 30303
