restaurant	zagat	cuisine
2000	1997	1997	356
0000	1	South African
0001	1	American (New)
0002	1	American
0003	1	Bakery, Dessert, Sandwiches
0004	1	Eclectic / Int'l, French (Bistro)
0005	1	French (Bistro)
0006	1	Thai
0007	1	Continental
0008	1	American (New), Dessert
0009	1	American (Traditional), Cajun
0010	1	American (New)
0011	1	Japanese
0012	1	Italian Southern, Pizza
0013	1	Mediterranean
0014	1	Steakhouse, Teppanyaki
0015	1	French (Bistro)
0016	1	Southern
0017	1	American (New)
0018	1	Barbecue, Southern
0019	1	American (New)
0020	1	Vegetarian
0021	1	American (Traditional)
0022	1	American (New)
0023	1	American (New), Bakery
0024	1	Indian
0025	1	Vegetarian
0026	1	Continental, Small Plates
0027	1	Mexican
0028	1	Hamburgers, Vegetarian
0029	1	Hamburgers
0030	1	French, Italian
0031	1	Pizza
0032	1	American (Traditional)
0033	1	Mediterranean
0034	1	Mediterranean, Small Plates
0035	1	Southern
0036	1	American (Traditional)
0037	1	American (Traditional)
0038	1	Italian
0039	1	Pizza
0040	1	Bakery
0041	1	Barbecue
0042	1	Barbecue
0043	1	Steakhouse
0044	1	Thai
0045	1	Mexican
0046	1	Chinese, Japanese
0047	1	Thai
0048	1	Pan-Latin, Tapas
0049	1	American
0050	1	Italian
0051	1	Gastropub
0052	1	Cajun, Creole
0053	1	Mediterranean, Small Plates
0054	1	American (New)
0055	1	Izakaya
0056	1	Southwestern
0057	1	Pizza
0058	1	Small Plates, Southwestern
0059	1	Noodle Shop, Pan-Asian
0060	1	Coffeeshop / Diner, Southern
0061	1	Mediterranean
0062	1	Barbecue
0063	1	American (Traditional), Coffeeshop / Diner
0064	1	Neapolitan
0065	1	Steakhouse
0066	1	Southern
0067	1	Italian Northern, Italian Southern
0068	1	Pan-Latin, Small Plates
0069	1	Thai
0070	1	Seafood
0071	1	Sushi
0072	1	American (New), Steakhouse
0073	1	Sandwiches
0074	1	American (New)
0075	1	Soul Food, Vegetarian
0076	1	Southern
0077	1	Seafood
0078	1	Lebanese, Mediterranean
0079	1	American (New)
0080	1	Indian
0081	1	Deli, Sandwiches
0082	1	Bakery, Sandwiches, Soup
0083	1	American (New)
0084	1	Seafood
0085	1	American (Traditional)
0086	1	Seafood
0087	1	Mandarin
0088	1	Italian Southern
0089	1	Pub Food
0090	1	Turkish
0091	1	Tapas
0092	1	Italian
0093	1	Italian
0094	1	Chinese
0095	1	American (New)
0096	1	Sushi
0097	1	Seafood
0098	1	Pizza
0099	1	Eclectic / Int'l
0100	1	American (Traditional), Hamburgers, Pub Food
0101	1	Coffeehouse, Health Food, Vegetarian
0102	1	Chinese
0103	1	American (New)
0104	1	Armenian
0105	1	American
0106	1	Pizza
0107	1	Steakhouse
0108	1	Pan-Asian
0109	1	Thai
0110	1	Indian
0111	1	Italian
0112	1	Pizza
0113	1	Pizza
0114	1	Pizza
0115	1	American (New)
0116	1	Italian
0117	1	French (Bistro)
0118	1	Greek
0119	1	Japanese
0120	1	New England
0121	1	American (Traditional)
0122	1	Portuguese
0123	1	Seafood
0124	1	American (New)
0125	1	Seafood
0126	1	Thai
0127	1	Thai
0128	1	Thai
0129	1	North African
0130	1	Seafood
0131	1	American New England
0132	1	Italian
0133	1	Italian
0134	1	Italian
0135	1	Italian, Pizza
0136	1	Pizza
0137	1	Italian
0138	1	American (New)
0139	1	Indian
0140	1	Hamburgers
0141	1	French (Brasserie)
0142	1	Italian
0143	1	Pub Food
0144	1	Turkish
0145	1	American (New)
0146	1	Indian
0147	1	Coffeehouse, Middle Eastern
0148	1	Eclectic / Int'l
0149	1	Steakhouse
0150	1	Pizza
0151	1	Seafood
0152	1	Mediterranean
0153	1	Eclectic / Int'l
0154	1	Italian
0155	1	Dim Sum
0156	1	American (Traditional), Dessert
0157	1	Chinese
0158	1	American (New)
0159	1	Dim Sum
0160	1	Chinese
0161	1	French (New)
0162	1	American (Traditional), Sandwiches
0163	1	American (New)
0164	1	Italian
0165	1	Tapas
0166	1	American
0167	1	Greek
0168	1	American (Traditional)
0169	1	American New England
0170	1	Indian
0171	1	Sandwiches
0172	1	Mexican
0173	1	American (New), Small Plates
0174	1	Dessert
0175	1	Tapas
0176	1	Hamburgers
0177	1	Pizza
0178	1	Hamburgers
0179	1	Japanese
0180	1	American (New)
0181	1	French (Brasserie)
0182	1	Italian, Seafood
0183	1	American (Traditional)
0184	1	American (New), Italian
0185	1	Italian
0186	1	Asian, Vegan
0187	1	American
0188	1	Italian Northern
0189	1	Indian
0190	1	Dessert
0191	1	American (New)
0192	1	Steakhouse
0193	1	Indian, Nepalese
0194	1	Thai
0195	1	Tibetan
0196	1	Italian
0197	1	Italian
0198	1	Italian, Small Plates
0199	1	Mexican
0200	1	American (New)
0201	1	Pub Food
0202	1	Mexican
0203	1	Chinese
0204	1	Cantonese, Seafood
0205	1	Japanese, Korean
0206	1	Japanese, Korean
0207	1	American (Traditional), Pub Food
0208	1	American
0209	1	Asian, Polynesian
0210	1	Tuscan
0211	1	Asian Fusion
0212	1	Italian
0213	1	Italian
0214	1	Persian
0215	1	Thai
0216	1	Mediterranean
0217	1	Seafood
0218	1	American (New)
0219	1	Italian
0220	1	Pub Food
0221	1	Pub Food
0222	1	American (New)
0223	1	American (New), Continental
0224	1	American (New)
0225	1	Italian Northern
0226	1	Pizza
0227	1	New England, Seafood
0228	1	French (New), Indian
0229	1	Continental, Italian
0230	1	Tibetan
0231	1	Indian
0232	1	Coffeeshop / Diner
0233	1	Steakhouse
0234	1	Brazilian, Steakhouse
0235	1	Japanese
0236	1	Steakhouse
0237	1	Sushi
0238	1	Taiwanese
0239	1	Nuevo Latino, Seafood
0240	1	Sushi
0241	1	Italian
0242	1	American (Traditional)
0243	1	American (Traditional)
0244	1	Seafood
0245	1	Sushi
0246	1	Mexican
0247	1	Sandwiches
0248	1	Pizza
0249	1	Italian
0250	1	French (Bistro)
0251	1	Vietnamese
0252	1	Thai
0253	1	Italian
0254	1	Barbecue
0255	1	Pizza
0256	1	American (Traditional), Pizza
0257	1	Mexican
0258	0	<NULL>
0259	1	American (New)
0260	1	American
0261	1	American
0262	1	Deli
0263	1	American (Traditional)
0264	1	Italian
0265	1	American (New)
0266	1	Middle Eastern
0267	1	American (New), Eclectic / Int'l
0268	1	American (New)
0269	1	Turkish
0270	1	American
0271	1	Italian
0272	1	Italian
0273	1	Mexican
0274	1	Middle Eastern, Vegetarian
0275	1	American (New)
0276	1	American (New)
0277	1	Mexican
0278	1	American (Traditional)
0279	1	Persian / Iranian
0280	1	Thai
0281	1	Deli
0282	1	Italian
0283	1	American (Traditional)
0284	1	American (New)
0285	1	Peruvian
0286	1	Deli, Jewish, Sandwiches
0287	1	Mexican
0288	1	Italian
0289	1	European (Modern)
0290	1	Chinese
0291	1	American (New), Eclectic / Int'l
0292	1	Italian Southern
0293	1	French (Bistro)
0294	1	American (Traditional)
0295	1	Italian
0296	1	Chinese
0297	1	German, Sandwiches
0298	1	Ice Cream
0299	1	Indian
0300	1	Mexican
0301	1	American (Traditional)
0302	1	Soul Food
0303	1	Sushi
0304	1	American (Regional)
0305	1	Asian
0306	1	Italian
0307	1	American (Traditional)
0308	1	American (New), Small Plates
0309	1	Tapas
0310	1	Sushi, Thai
0311	1	American (New)
0312	1	Cuban
0313	1	Tapas
0314	1	American (New)
0315	1	Italian, Mediterranean
0316	1	French (Bistro)
0317	1	American (New), Italian Northern
0318	1	Italian
0319	1	American (New)
0320	1	German
0321	1	French (Bistro)
0322	1	Middle Eastern
0323	1	Sushi
0324	1	American
0325	1	Pub Food
0326	1	Seafood
0327	1	Korean Barbecue
0328	1	Italian
0329	1	American
0330	1	American (New), Mediterranean
0331	1	American (New)
0332	1	Hamburgers
0333	1	American (Traditional)
0334	1	Italian
0335	1	Chicken
0336	1	Sushi
0337	1	Tuscan
0338	1	Italian
0339	1	Filipino, Nuevo Latino
0340	1	American
0341	1	Indian, Nepalese
0342	1	French (Bistro)
0343	1	Czech
0344	1	Pizza
0345	1	Mandarin, Sichuan, Sushi
0346	1	Italian
0347	1	Eclectic / Int'l
0348	1	American (Traditional), Coffeeshop / Diner
0349	1	Seafood
0350	1	American
0351	1	Italian, Mediterranean
0352	1	American (New)
0353	1	Mexican
0354	1	Mexican
0355	1	Coffeeshop / Diner, Deli
0356	1	Chinese, Seafood
0357	1	Hamburgers
0358	1	Deli
0359	1	American (New)
0360	1	Barbecue
0361	1	Hamburgers
0362	1	American (New)
0363	1	Italian
0364	1	American (Traditional)
0365	1	American (New)
0366	1	Hamburgers
0367	1	Steakhouse
0368	1	Argentinean, Steakhouse
0369	1	Fondue
0370	1	Italian
0371	1	American (New)
0372	1	Mexican
0373	1	German
0374	1	French (New), Italian
0375	1	American (New)
0376	1	Steakhouse
0377	1	Pizza
0378	1	Pizza
0379	1	American (New), Small Plates
0380	1	American (Traditional), Coffeeshop / Diner, Seafood
0381	1	American (Traditional), Pub Food
0382	1	American (New)
0383	1	American (Traditional), Steakhouse
0384	1	Steakhouse
0385	1	Italian Northern, Pizza
0386	1	American (Traditional), Hamburgers
0387	1	Cantonese, Dim Sum
0388	1	Indian, Vegetarian
0389	1	American (Traditional), French (Bistro)
0390	1	Hamburgers
0391	1	Belgian
0392	1	Hot Dogs
0393	1	American (New)
0394	1	Italian
0395	1	American (New)
0396	1	Indian
0397	1	Sushi, Thai
0398	1	Japanese
0399	1	Filipino
0400	1	French (New)
0401	1	American
0402	1	American (New), Eclectic / Int'l
0403	1	Sushi
0404	1	French: Steakhouses
0405	1	Sandwiches
0406	1	American (New), French (New)
0407	1	Italian
0408	1	Austrian, Coffeehouse
0409	1	Japanese
0410	1	Pub Food
0411	1	Asian
0412	1	Vegan
0413	1	Chinese
0414	1	Seafood
0415	1	Steakhouse
0416	1	Eclectic / Int'l
0417	1	Indian
0418	1	Korean
0419	1	Asian Fusion
0420	1	Mexican
0421	1	Mexican
0422	1	Mexican
0423	1	Mexican
0424	1	French (Bistro)
0425	1	Colombian
0426	1	Italian
0427	1	Mexican
0428	1	Mandarin, Sichuan
0429	1	Pub Food
0430	1	Chinese
0431	1	Colombian, Steakhouse
0432	1	Coffeehouse
0433	1	French (Bistro)
0434	1	French (New)
0435	1	Barbecue
0436	1	American, Hot Dogs
0437	1	American
0438	1	American (Traditional)
0439	1	Barbecue, Southern
0440	1	Pizza
0441	1	Pan-Asian, Sushi
0442	1	French (New)
0443	1	American (New)
0444	1	American (New)
0445	1	Pizza
0446	1	Vegan
0447	1	American (New)
0448	1	Dim Sum, Pan-Asian
0449	1	American (Traditional)
