restaurant	zagat	name
2000	2000	2000	1942
0000	1	10 Degrees South
0001	1	4th & Swift
0002	1	57TH FIGHTER GROUP RESTAURANT THE
0003	1	Alon's
0004	1	Amuse!
0005	1	Anis Bistro
0006	1	Annie's Thai Castle
0007	1	Après Diem
0008	1	Aria
0009	1	Atkins Park
0010	1	Bacchanalia
0011	1	Badayori Restaurant
0012	1	Baraonda
0013	1	Basil's
0014	1	Benihana
0015	1	Bistro Niko
0016	1	Blue Ridge Grill
0017	1	BluePointe
0018	1	Bobby & June's Kountry Kitchen
0019	1	Buckhead Diner
0020	1	Cafe Sunflower
0021	1	Café Lapin
0022	1	Canoe
0023	1	Corner Cafe
0024	1	Cuisine Swapna Indian
0025	1	Dynamic Dish
0026	1	Ecco
0027	1	El Amigo Mexican Restaurant
0028	1	Evos
0029	1	Fatburger
0030	1	Floataway Cafe
0031	1	Galla's Pizza Wings and Subs
0032	1	George's
0033	1	Gilbert's Mediterranean Cafe
0034	1	Grape at Atlantic Station
0035	1	Horseradish Grill
0036	1	Houston's
0037	1	Hudson Grille
0038	1	Il Localino
0039	1	Johnny's New York Style Pizza
0040	1	Joli Kobe Bakery
0041	1	Jr Crickets
0042	1	Kc Pit Bbq
0043	1	Kiku Japanese Steakhouse
0044	1	King & I
0045	1	La Parrilla
0046	1	Lee's Golden Buddha & Mo Mo Ya
0047	1	Little Bangkok
0048	1	Loca Luna
0049	1	Lunch On Main Street
0050	1	Maggiano's Little Italy
0051	1	Max Lagers Woodfired Grille & Brew
0052	1	McKinnon's Louisiane
0053	1	Milan Mediterranean Bistro & Grill
0054	1	Miller Union
0055	1	Miso Izakaya
0056	1	Moe's Southwest Grill
0057	1	Nancy's Pizzeria
0058	1	Noche
0059	1	Noodle
0060	1	OK Cafe
0061	1	Olive Bistro Midtown
0062	1	One Star Ranch
0063	1	Original Pancake House
0064	1	Oscar's Villa Capri
0065	1	Palm, The
0066	1	Pittypat’s Porch
0067	1	Pricci
0068	1	Pura Vida
0069	1	Rama 5 of Thailand
0070	1	Ray's in the City
0071	1	Rise Sushi Lounge
0072	1	Room at Twelve
0073	1	Savor
0074	1	Seasons 52
0075	1	Soul Vegetarian Restaurant
0076	1	South City Kitchen
0077	1	Steamhouse Lounge
0078	1	Sultan's
0079	1	13.5 Wine Bar
