restaurant	zagat	phone
2000	1998	1998	1994
0000	1	404-705-8870
0001	1	678-904-0160
0002	1	770-234-0057
0003	1	678-397-1781
0004	1	404-888-1890
0005	1	404-233-9889
0006	1	404-264-9546
0007	1	404-872-3333
0008	1	404-233-7673
0009	1	404-876-7249
0010	1	404-365-0410
0011	1	404-459-0040
0012	1	404-879-9962
0013	1	404-233-9755
0014	1	404-522-9627
0015	1	404-261-6456
0016	1	404-233-5030
0017	1	404-237-9070
0018	1	404-876-3872
0019	1	404-262-3336
0020	1	404-352-8859
0021	1	404-812-9171
0022	1	770-432-2663
0023	1	404-240-1978
0024	1	770-956-7589
0025	1	404-688-4344
0026	1	404-347-9555
0027	1	404-351-7656
0028	1	404-252-4022
0029	1	404-844-0444
0030	1	404-892-1414
0031	1	770-500-3184
0032	1	404-892-3648
0033	1	404-872-8012
0034	1	404-815-0090
0035	1	404-255-7277
0036	1	404-262-7130
0037	1	404-233-0313
0038	1	404-222-0650
0039	1	404-874-8304
0040	1	404-870-0640
0041	1	404-344-3767
0042	1	404-459-6497
0043	1	404-467-4544
0044	1	404-892-7743
0045	1	404-603-9091
0046	1	404-261-3777
0047	1	404-315-1530
0048	1	404-875-4494
0049	1	404-767-0470
0050	1	770-804-3313
0051	1	404-525-4400
0052	1	404-237-1313
0053	1	404-264-1111
0054	1	678-733-8550
0055	1	678-701-0128
0056	1	678-585-7573
0057	1	404-842-9997
0058	1	404-815-9155
0059	1	404-685-3010
0060	1	404-233-2888
0061	1	404-874-5336
0062	1	404-233-7644
0063	1	404-633-5677
0064	1	770-392-7940
0065	1	404-814-1955
0066	1	404-525-8228
0067	1	404-237-2941
0068	1	404-870-9797
0069	1	404-442-7522
0070	1	404-524-9224
0071	1	404-477-0947
0072	1	404-418-1250
0073	1	404-869-0070
0074	1	404-846-1552
0075	1	404-752-5194
0076	1	404-873-7358
0077	1	404-233-7980
0078	1	404-257-2220
0079	1	410-889-1064
0080	1	410-539-0944
0081	1	410-563-2666
0082	1	410-323-2396
0083	1	410-383-8600
0084	1	410-327-5795
0085	1	410-522-3940
0086	1	410-558-0202
0087	1	410-532-0022
0088	1	410-685-6727
0089	1	410-727-4799
0090	1	410-528-1222
0091	1	443-869-6871
0092	1	410-685-7733
0093	1	410-727-6876
0094	1	410-327-8888
0095	1	410-889-0952
0096	1	410-843-9804
0097	1	410-633-4040
0098	1	410-545-0444
0099	1	410-385-9946
0100	1	410-467-1000
0101	1	410-235-5777
0102	1	410-296-9000
0103	1	617-536-0290
0104	1	617-695-9333
0105	1	781-631-5550
0106	1	617-471-5555
0107	1	617-536-6300
0108	1	781-397-8788
0109	1	781-239-1350
0110	1	781-935-6060
0111	1	617-266-5088
0112	1	781-941-2625
0113	1	617-328-7827
0114	1	978-740-2771
0115	1	617-720-5570
0116	1	617-244-9881
0117	1	617-424-8577
0118	1	781-646-9266
0119	1	617-489-6333
0120	1	617-535-8888
0121	1	617-825-4300
0122	1	617-621-6991
0123	1	781-383-0900
0124	1	617-385-4300
0125	1	617-423-0550
0126	1	617-739-7270
0127	1	617-266-8884
0128	1	781-942-4595
0129	1	617-868-3951
0130	1	781-631-4236
0131	1	781-933-3333
0132	1	617-524-6060
0133	1	617-367-4999
0134	1	781-871-5789
0135	1	617-236-1030
0136	1	781-284-9472
0137	1	617-723-5939
0138	1	781-444-7001
0139	1	617-723-6001
0140	1	617-440-7361
0141	1	617-425-3240
0142	1	617-248-6800
0143	1	617-562-6000
0144	1	617-277-4466
0145	1	978-777-6633
0146	1	617-661-0683
0147	1	617-492-1557
0148	1	617-536-5700
0149	1	781-505-4130
0150	1	781-944-9898
0151	1	781-235-3737
0152	1	617-876-0999
0153	1	617-524-9217
