university	collegeboard	name
2000	2000	2000	1990
0000	1	Abilene Christian University
0001	1	Academy College
0002	1	Academy of Court Reporting and Technology
0003	1	Adams State College
0004	1	Adirondack Community College
0005	1	Adrian College
0006	1	Advanced Technology Institute
0007	1	Agnes Scott College
0008	1	Aiken Technical College
0009	1	Akron Institute of Herzing University
0010	1	Alabama Southern Community College
0011	1	Alabama State University
0012	1	Antonelli College: Hattiesburg
0013	1	Antonelli Institute of Art and Photography
0014	1	Appalachian State University
0015	1	Aquinas College
0016	1	Arapahoe Community College
0017	1	Eastern Idaho Technical College
0018	1	Eastern Illinois University
0019	1	Eastern Kentucky University
0020	1	Eastern Maine Community College
0021	1	Eastern Oregon University
0022	1	Eastern Shore Community College
0023	1	Eastern University
0024	1	Eastern Washington University
0025	1	Eastern West Virginia Community and Technical College
0026	1	Edgecombe Community College
0027	1	Edgewood College
0028	1	Edison State College
0029	1	Edmonds Community College
0030	1	El Centro College
0031	1	El Paso Community College
0032	1	Electronic Data Processing College of Puerto Rico
0033	1	Electronic Data Processing College: San Sebastian
0034	1	Elgin Community College
0035	1	Elizabeth City State University
0036	1	Elizabethtown College
0037	1	Elizabethtown Community and Technical College
0038	1	Elmira Business Institute
0039	1	Elmira Business Institute: Vestal
0040	1	Elmira College
0041	1	Embry-Riddle Aeronautical University: Worldwide Campus
0042	1	Emerson College
0043	1	Emmanuel College
0044	1	Empire College
0045	1	Emporia State University
0046	1	Erie Community College
0047	1	Erie Institute of Technology
0048	1	Erskine College
0049	1	Essex County College
0050	1	ETI Technical College of Niles
0051	1	Evangel University
0052	1	Everest College: Atlanta
0053	1	Everest College: Aurora
0054	1	Everest College: Colorado Springs
0055	1	Everest College: Dallas
0056	1	Everest College: Ontario Metro
0057	1	Everest College: Vancouver
0058	1	Everest Institute: Fort Lauderdale
0059	1	Everest Institute: Pittsburgh
0060	1	Everest Institute: Rochester
0061	1	Everest University: Largo
0062	1	Everest University: Melbourne
0063	1	Argosy University: Atlanta
0064	1	Argosy University: Chicago
0065	1	Argosy University: Dallas
0066	1	Argosy University: Hawaii
0067	1	Argosy University: Inland Empire
0068	1	Everest University: North Orlando
0069	1	Everest University: Orange Park
0070	1	Everest University: Pompano Beach
0071	1	Everest University: South Orlando
0072	1	Everglades University: Boca Raton
0073	1	Everglades University: Orlando
0074	1	Ex'pression College for Digital Arts
0075	1	Excelsior College
0076	1	Fairleigh Dickinson University: College at Florham
0077	1	Fairmont State University
0078	1	Faith Baptist Bible College and Theological Seminary
0079	1	Fashion Institute of Design and Merchandising: San Diego
0080	1	Fashion Institute of Design and Merchandising: San Francisco
0081	1	Faulkner State Community College
0082	1	Faulkner University
0083	1	Fayetteville State University
0084	1	Ferris State University
0085	1	Fisk University
0086	1	Fitchburg State University
0087	1	Five Towns College
0088	1	Flathead Valley Community College
0089	1	Florida Career College: Hialeah
0090	1	Florida Career College: Miami
0091	1	Florida Career College: Pembroke Pines
0092	1	Florida Career College: West Palm Beach
0093	1	Florida Christian College
0094	1	Florida College of Natural Health: Bradenton
0095	1	Florida College of Natural Health: Maitland
0096	1	Florida College of Natural Health: Miami
0097	1	Florida Gateway College
0098	1	Florida Gulf Coast University
0099	1	Florida International University
0100	1	Florida National College
0101	1	Florida State College at Jacksonville
0102	1	Florida State University
0103	1	Florida Technical College: Deland
0104	1	Folsom Lake College
0105	1	Fontbonne University
0106	1	Fordham University
0107	1	Forsyth Technical Community College
0108	1	Fort Belknap College
0109	1	Fort Berthold Community College
0110	1	Fort Hays State University
0111	1	Fort Peck Community College
0112	1	Fortis College: Tampa
0113	1	Fortis College: Winter Park
0114	1	Fountainhead College of Technology
0115	1	Francis Marion University
0116	1	Franciscan University of Steubenville
0117	1	Argosy University: Phoenix
0118	1	Argosy University: Sarasota
0119	1	Argosy University: Seattle
0120	1	Argosy University: Tampa
0121	1	Argosy University: Twin Cities
0122	1	Frank Phillips College
0123	1	Franklin College
0124	1	Franklin Pierce University
0125	1	Franklin University
0126	1	Fresno City College
0127	1	Fresno Pacific University
0128	1	Frostburg State University
0129	1	Fulton-Montgomery Community College
0130	1	Furman University
0131	1	Gallaudet University
0132	1	Gallipolis Career College
0133	1	Galveston College
0134	1	Gardner-Webb University
0135	1	Gaston College
0136	1	Gateway Community and Technical College
0137	1	Gateway Community College
0138	1	GateWay Community College
0139	1	Gateway Technical College
0140	1	Gavilan College
0141	1	George Washington University
0142	1	Georgetown College
0143	1	Georgetown University
0144	1	Georgia College and State University
0145	1	Georgia Health Sciences University
0146	1	Georgia Institute of Technology
0147	1	Georgia Northwestern Technical College
0148	1	Georgia Perimeter College
0149	1	Georgia Southern University
0150	1	Germanna Community College
0151	1	Gettysburg College
0152	1	Glendale Community College
0153	1	Global University
0154	1	Globe Institute of Technology
0155	1	Gloucester County College
0156	1	Goddard College
0157	1	Gogebic Community College
0158	1	Golden Gate University
0159	1	Goldey-Beacom College
0160	1	Golf Academy of America: Orlando
0161	1	Golf Academy of America: The Carolinas
0162	1	Gonzaga University
0163	1	Gordon College
0164	1	Goshen College
0165	1	Goucher College
0166	1	Governors State University
0167	1	Grace Bible College
0168	1	Grace College
0169	1	Grand Canyon University
0170	1	Grand Rapids Community College
0171	1	Grand View University
0172	1	Granite State College
0173	1	Grantham University
0174	1	Gratz College
0175	1	Arizona Automotive Institute
0176	1	Arizona Western College
0177	1	Arkansas State University
0178	1	Great Lakes Christian College
0179	1	Green Mountain College
0180	1	Greenville College
0181	1	Gretna Career College
0182	1	Grinnell College
0183	1	Grossmont College
0184	1	Guilford College
0185	1	Gulf Coast Community College
0186	1	Gwynedd-Mercy College
0187	1	Halifax Community College
0188	1	Hallmark College of Aeronautics
0189	1	Hampshire College
0190	1	Hannibal-LaGrange University
0191	1	Hanover College
0192	1	Harcum College
0193	1	Hardin-Simmons University
0194	1	Harford Community College
0195	1	Harrington College of Design
0196	1	Harris-Stowe State University
0197	1	Harrison College: Evansville
0198	1	Harrison College: Indianapolis East
0199	1	Harrison College: Lafayette
0200	1	Harrison College: Muncie
0201	1	Harrison College: Terre Haute
0202	1	Hartnell College
0203	1	Harvard College
0204	1	Harvey Mudd College
0205	1	Hawaii Pacific University
0206	1	Hazard Community and Technical College
0207	1	Heald College: Concord
0208	1	Heald College: Fresno
0209	1	Heald College: Rancho Cordova
0210	1	Heald College: Roseville
0211	1	Heald College: Salinas
0212	1	Heald College: San Francisco
0213	1	Heald College: San Jose
0214	1	Heald College: Stockton
0215	1	Heartland Community College
0216	1	Hebrew Theological College
0217	1	Heidelberg University
0218	1	Helene Fuld College of Nursing
0219	1	Hellenic College/Holy Cross
0220	1	Henderson Community College
0221	1	Henry Ford Community College
0222	1	Heritage Christian University
0223	1	Herzing University
0224	1	Herzing University
0225	1	Herzing University
0226	1	Hesser College
0227	1	Hesston College
0228	1	Arlington Baptist College
0229	1	Art Academy of Cincinnati
0230	1	Art Center College of Design
0231	1	Art Center Design College
0232	1	Art Institute of Boston at Lesley University
0233	1	Highland Community College
0234	1	Highland Community College
0235	1	Highline Community College
0236	1	Hillsborough Community College
0237	1	Hinds Community College
0238	1	Hobart and William Smith Colleges
0239	1	Hobe Sound Bible College
0240	1	Hocking College
0241	1	Hodges University
0242	1	Hollins University
0243	1	Holy Family University
0244	1	Holy Trinity Orthodox Seminary
0245	1	Hondros College
0246	1	Hood College
0247	1	Hope International University
0248	1	Horizon College of San Diego
0249	1	Houghton College
0250	1	Houston Baptist University
0251	1	Houston Community College System
0252	1	Howard College
0253	1	Howard Community College
0254	1	Howard Payne University
0255	1	Howard University
0256	1	Hudson County Community College
0257	1	Hudson Valley Community College
0258	1	Humboldt State University
0259	1	Humphreys College
0260	1	Huntington College of Health Sciences
0261	1	Huntsville Bible College
0262	1	Hussian School of Art
0263	1	Husson University
0264	1	ICPR Junior College
0265	1	Illinois Central College
0266	1	Illinois Eastern Community Colleges: Olney Central College
0267	1	Illinois Eastern Community Colleges: Wabash Valley College
0268	1	Illinois Institute of Technology
0269	1	Illinois State University
0270	1	Illinois Valley Community College
0271	1	Illinois Wesleyan University
0272	1	Imperial Valley College
0273	1	Independence Community College
0274	1	Independence University
0275	1	Indian Hills Community College
0276	1	Indiana Institute of Technology
0277	1	Indiana State University
0278	1	Indiana University Bloomington
0279	1	Indiana University Northwest
0280	1	Indiana University of Pennsylvania
0281	1	Indiana University Southeast
0282	1	Indiana University-Purdue University Indianapolis
0283	1	Indiana Wesleyan University
0284	1	Institute of American Indian Arts
0285	1	IntelliTec College
0286	1	IntelliTec College: Grand Junction
0287	1	Art Institute of California: Sacramento
0288	1	Art Institute of California: San Diego
0289	1	Art Institute of California: San Francisco
0290	1	Art Institute of California: Sunnyvale
0291	1	Inter American University of Puerto Rico: Aguadilla Campus
0292	1	Inter American University of Puerto Rico: Barranquitas Campus
0293	1	Inter American University of Puerto Rico: Guayama Campus
0294	1	Inter American University of Puerto Rico: Metropolitan Campus
0295	1	Inter American University of Puerto Rico: Ponce Campus
0296	1	International Academy of Design and Technology: Chicago
0297	1	International Academy of Design and Technology: Nashville
0298	1	International Academy of Design and Technology: Orlando
0299	1	International Academy of Design and Technology: Sacramento
0300	1	International Business College
0301	1	International College of Broadcasting
0302	1	Iowa Lakes Community College
0303	1	Iowa State University
0304	1	Iowa Wesleyan College
