university	collegeboard	type
2000	2000	2000	3
0000	1	Private
0001	1	Proprietary
0002	1	Proprietary
0003	1	Public
0004	1	Public
0005	1	Private
0006	1	Proprietary
0007	1	Private
0008	1	Public
0009	1	Proprietary
0010	1	Public
0011	1	Public
0012	1	Proprietary
0013	1	Proprietary
0014	1	Public
0015	1	Private
0016	1	Public
0017	1	Public
0018	1	Public
0019	1	Public
0020	1	Public
0021	1	Public
0022	1	Public
0023	1	Private
0024	1	Public
0025	1	Public
0026	1	Public
0027	1	Private
0028	1	Public
0029	1	Public
0030	1	Public
0031	1	Public
0032	1	Proprietary
0033	1	Proprietary
0034	1	Public
0035	1	Public
0036	1	Private
0037	1	Public
0038	1	Proprietary
0039	1	Proprietary
0040	1	Private
0041	1	Private
0042	1	Private
0043	1	Private
0044	1	Proprietary
0045	1	Public
0046	1	Public
0047	1	Proprietary
0048	1	Private
0049	1	Public
0050	1	Proprietary
0051	1	Private
0052	1	Proprietary
0053	1	Proprietary
0054	1	Proprietary
0055	1	Proprietary
0056	1	Proprietary
0057	1	Proprietary
0058	1	Proprietary
0059	1	Proprietary
0060	1	Proprietary
0061	1	Proprietary
0062	1	Proprietary
0063	1	Proprietary
0064	1	Proprietary
0065	1	Proprietary
0066	1	Proprietary
0067	1	Proprietary
0068	1	Proprietary
0069	1	Proprietary
0070	1	Proprietary
0071	1	Proprietary
0072	1	Private
0073	1	Private
0074	1	Proprietary
0075	1	Private
0076	1	Private
0077	1	Public
0078	1	Private
0079	1	Proprietary
0080	1	Proprietary
0081	1	Public
0082	1	Private
0083	1	Public
0084	1	Public
0085	1	Private
0086	1	Public
0087	1	Proprietary
0088	1	Public
0089	1	Proprietary
0090	1	Proprietary
0091	1	Proprietary
0092	1	Proprietary
0093	1	Private
0094	1	Proprietary
0095	1	Proprietary
0096	1	Proprietary
0097	1	Public
0098	1	Public
0099	1	Public
0100	1	Proprietary
0101	1	Public
0102	1	Public
0103	1	Proprietary
0104	1	Public
0105	1	Private
0106	1	Private
0107	1	Public
0108	1	Public
0109	1	Public
0110	1	Public
0111	1	Public
0112	1	Proprietary
0113	1	Proprietary
0114	1	Proprietary
0115	1	Public
0116	1	Private
0117	1	Proprietary
0118	1	Proprietary
0119	1	Proprietary
0120	1	Proprietary
0121	1	Proprietary
0122	1	Public
0123	1	Private
0124	1	Private
0125	1	Private
0126	1	Public
0127	1	Private
0128	1	Public
0129	1	Public
0130	1	Private
0131	1	Private
0132	1	Proprietary
0133	1	Public
0134	1	Private
0135	1	Public
0136	1	Public
0137	1	Public
0138	1	Public
0139	1	Public
0140	1	Public
0141	1	Private
0142	1	Private
0143	1	Private
0144	1	Public
0145	1	Public
0146	1	Public
0147	1	Public
0148	1	Public
0149	1	Public
0150	1	Public
0151	1	Private
0152	1	Public
0153	1	Private
0154	1	Proprietary
0155	1	Public
0156	1	Private
0157	1	Public
0158	1	Private
0159	1	Private
0160	1	Proprietary
0161	1	Proprietary
0162	1	Private
0163	1	Private
0164	1	Private
0165	1	Private
0166	1	Public
0167	1	Private
0168	1	Private
0169	1	Proprietary
0170	1	Public
0171	1	Private
0172	1	Public
0173	1	Proprietary
0174	1	Private
0175	1	Proprietary
0176	1	Public
0177	1	Public
0178	1	Private
0179	1	Private
0180	1	Private
0181	1	Proprietary
0182	1	Private
0183	1	Public
0184	1	Private
0185	1	Public
0186	1	Private
0187	1	Public
0188	1	Proprietary
0189	1	Private
0190	1	Private
0191	1	Private
0192	1	Private
0193	1	Private
0194	1	Public
0195	1	Proprietary
0196	1	Public
