university	collegeboard	website
2000	2000	2000	1801
0000	1	www.acu.edu
0001	1	www.academycollege.edu
0002	1	www.acr.edu
0003	1	www.adams.edu
0004	1	www.sunyacc.edu
0005	1	www.adrian.edu
0006	1	www.auto.edu
0007	1	www.agnesscott.edu
0008	1	www.atc.edu
0009	1	www.akroninstitute.com
0010	1	www.ascc.edu
0011	1	www.alasu.edu
0012	1	www.antonellicollege.edu
0013	1	www.antonelli.edu
0014	1	www.appstate.edu
0015	1	www.aquinascollege.edu
0016	1	www.arapahoe.edu
0017	1	www.eitc.edu
0018	1	www.eiu.edu
0019	1	www.eku.edu
0020	1	www.emcc.edu
0021	1	www.eou.edu
0022	1	www.es.vccs.edu
0023	1	www.eastern.edu
0024	1	www.ewu.edu
0025	1	www.eastern.wvnet.edu
0026	1	www.edgecombe.edu
0027	1	www.edgewood.edu
0028	1	www.edison.edu
0029	1	www.edcc.edu
0030	1	www.elcentrocollege.edu
0031	1	www.epcc.edu
0032	1	www.edpcollege.edu
0033	1	www.edpcollege.edu
0034	1	www.elgin.edu
0035	1	www.ecsu.edu
0036	1	www.etown.edu
0037	1	www.elizabethtown.kctcs.edu
0038	1	www.ebi-college.com
0039	1	www.ebi-college.com
0040	1	www.elmira.edu
0041	1	www.embryriddle.edu
0042	1	www.emerson.edu
0043	1	www.emmanuel.edu
0044	1	www.empcol.edu
0045	1	www.emporia.edu
0046	1	www.ecc.edu
0047	1	www.erieit.org
0048	1	www.erskine.edu
0049	1	www.essex.edu
0050	1	www.eticollege.edu
0051	1	www.evangel.edu
0052	1	www.georgia-med.com
0053	1	www.cci.edu
0054	1	www.cci.edu
0055	1	www.everest.edu
0056	1	www.everest.edu/campus/ontario_metro
0057	1	www.everest.edu
0058	1	www.everest.edu
0059	1	www.everest.edu
0060	1	www.everest.edu/campus/rochester
0061	1	www.everest.edu
0062	1	www.cci.edu
0063	1	www.argosy.edu/atlanta
0064	1	www.argosy.edu/chicago
0065	1	www.argosy.edu/dallas
0066	1	www.argosy.edu/hawaii
0067	1	www.argosy.edu/inlandempire
0068	1	www.everest.edu
0069	1	www.everest.edu
0070	1	www.everest.edu
0071	1	www.everest.edu
0072	1	www.EvergladesUniversity.edu
0073	1	www.evergladesuniversity.edu
0074	1	www.expression.edu
0075	1	www.excelsior.edu
0076	1	www.fdu.edu
0077	1	www.fairmontstate.edu
0078	1	www.faith.edu
0079	1	www.fidm.edu
0080	1	www.fidm.edu
0081	1	www.faulknerstate.edu
0082	1	www.faulkner.edu
0083	1	www.uncfsu.edu
0084	1	www.ferris.edu
0085	1	www.fisk.edu
0086	1	www.fitchburgstate.edu
0087	1	www.ftc.edu
0088	1	www.fvcc.edu
0089	1	www.careercollege.edu
0090	1	www.careercollege.edu
0091	1	www.careercollege.edu
0092	1	www.careercollege.edu
0093	1	www.fcc.edu
0094	1	www.fcnh.com
0095	1	www.fcnh.com
0096	1	www.fcnh.com
0097	1	www.fgc.edu
0098	1	www.fgcu.edu
0099	1	www.fiu.edu
0100	1	www.fnc.edu
0101	1	www.fscj.edu
0102	1	www.fsu.edu
0103	1	www.flatech.edu
0104	1	www.flc.losrios.edu
0105	1	www.fontbonne.edu
0106	1	www.fordham.edu
0107	1	www.forsythtech.edu
0108	1	www.fbcc.edu
0109	1	www.fortbertholdcc.edu
0110	1	www.fhsu.edu
0111	1	www.fpcc.edu
0112	1	www.fortis.edu
0113	1	www.centralfloridacollege.edu
0114	1	www.fountainheadcollege.edu
0115	1	www.fmarion.edu
0116	1	www.franciscan.edu
0117	1	www.argosy.edu/phoenix
0118	1	www.argosy.edu/sarasota
0119	1	www.argosy.edu/seattle
0120	1	www.argosy.edu/tampa
0121	1	www.argosy.edu/twincities
0122	1	www.fpctx.edu
0123	1	www.franklincollege.edu
0124	1	www.franklinpierce.edu
0125	1	www.franklin.edu
0126	1	www.fresnocitycollege.edu
0127	1	www.fresno.edu
0128	1	www.frostburg.edu
0129	1	www.fmcc.suny.edu
0130	1	www.furman.edu
0131	1	www.gallaudet.edu
0132	1	www.gallipoliscareercollege.com
0133	1	www.gc.edu
0134	1	www.gardner-webb.edu
0135	1	www.gaston.edu
0136	1	www.gateway.kctcs.edu
0137	1	www.gwcc.commnet.edu
0138	1	www.gatewaycc.edu
0139	1	www.gtc.edu
0140	1	www.gavilan.edu
0141	1	www.gwu.edu/explore/
0142	1	www.georgetowncollege.edu
0143	1	www.georgetown.edu
0144	1	www.gcsu.edu
0145	1	www.mcg.edu
0146	1	www.gatech.edu
0147	1	www.gntc.edu
0148	1	www.gpc.edu
0149	1	www.georgiasouthern.edu
0150	1	www.germanna.edu
0151	1	www.gettysburg.edu
0152	1	www.gccaz.edu
0153	1	www.globaluniversity.edu
0154	1	www.globe.edu
0155	1	www.gccnj.edu
0156	1	www.goddard.edu
0157	1	www.gogebic.edu
0158	1	www.ggu.edu
0159	1	www.gbc.edu
0160	1	www.golfacademy.edu
0161	1	www.golfacademy.edu
0162	1	www.gonzaga.edu
0163	1	www.gordon.edu
0164	1	www.goshen.edu
0165	1	www.goucher.edu
0166	1	www.govst.edu
0167	1	www.gbcol.edu
0168	1	www.grace.edu
0169	1	www.gcu.edu/clgbrd
0170	1	www.grcc.edu
0171	1	www.grandview.edu
0172	1	www.granite.edu
0173	1	www.grantham.edu
0174	1	www.gratz.edu
0175	1	www.aai.edu
0176	1	www.azwestern.edu
0177	1	www.astate.edu
0178	1	www.glcc.edu
0179	1	www.greenmtn.edu
0180	1	www.greenville.edu
0181	1	www.gccla.edu/
0182	1	www.grinnell.edu
0183	1	www.grossmont.edu
0184	1	www.guilford.edu
0185	1	www.gulfcoast.edu
0186	1	www.gmc.edu
0187	1	www.halifaxcc.edu/
0188	1	www.hallmarkcollege.edu
0189	1	www.hampshire.edu
0190	1	www.hlg.edu
0191	1	www.hanover.edu
0192	1	www.harcum.edu
0193	1	www.hsutx.edu
0194	1	www.harford.edu
0195	1	www.harringtoncollege.com
0196	1	www.hssu.edu
0197	1	www.harrison.edu
0198	1	www.harrison.edu
0199	1	www.harrison.edu
0200	1	www.harrison.edu
0201	1	www.harrison.edu
0202	1	www.hartnell.edu
0203	1	www.college.harvard.edu
0204	1	www.hmc.edu
0205	1	www.hpu.edu
0206	1	www.hazard.kctcs.edu
0207	1	www.heald.edu
0208	1	www.heald.edu
0209	1	www.heald.edu
0210	1	www.heald.edu
0211	1	www.heald.edu
0212	1	www.heald.edu
0213	1	www.heald.edu
0214	1	www.heald.edu
0215	1	www.heartland.edu
0216	1	www.htc.edu
0217	1	www.heidelberg.edu
0218	1	www.helenefuld.edu
0219	1	www.hchc.edu
0220	1	www.hencc.kctcs.edu
0221	1	www.hfcc.edu
0222	1	www.hcu.edu
0223	1	www.herzing.edu
0224	1	www.herzing.edu
0225	1	www.herzing.edu
0226	1	www.hesser.edu
0227	1	www.hesston.edu
0228	1	www.abconline.edu
0229	1	www.artacademy.edu
0230	1	www.artcenter.edu
0231	1	www.theartcenter.edu
0232	1	www.aiboston.edu
0233	1	www.highland.edu
0234	1	www.highlandcc.edu
0235	1	www.highline.edu
0236	1	www.hccfl.edu
0237	1	www.hindscc.edu
0238	1	www.hws.edu
0239	1	www.hsbc.edu
0240	1	www.hocking.edu
0241	1	www.hodges.edu
0242	1	www.hollins.edu
0243	1	www.holyfamily.edu
0244	1	www.hts.edu
0245	1	www.nursing.hondros.edu
0246	1	www.hood.edu
0247	1	www.hiu.edu
0248	1	www.horizoncollege.org
0249	1	www.houghton.edu
0250	1	www.hbu.edu
0251	1	www.hccs.edu
0252	1	www.howardcollege.edu
0253	1	www.howardcc.edu
0254	1	www.hputx.edu
0255	1	www.howard.edu
0256	1	www.hccc.edu
0257	1	www.hvcc.edu
0258	1	www.humboldt.edu
0259	1	www.humphreys.edu
0260	1	www.hchs.edu
0261	1	www.hbc1.edu
0262	1	www.hussianart.edu
0263	1	www.husson.edu
0264	1	www.icprjc.edu
0265	1	www.icc.edu
0266	1	www.iecc.edu/occ
0267	1	www.iecc.edu/wvc
0268	1	www.iit.edu
0269	1	www.ilstu.edu
