university	collegenavigator	name
2000	2000	2000	1914
0000	1	Alaska Bible College
0001	1	Alaska Christian College
0002	1	Alaska Pacific University
0003	1	AVTEC-Alaska's Institute of Technology
0004	1	Charter College
0005	1	Prince William Sound Community College
0006	1	University of Alaska Southeast
0007	1	Auburn University
0008	1	Bevill State Community College
0009	1	Bishop State Community College
0010	1	Blue Cliff Career College
0011	1	East Arkansas Community College
0012	1	Eastern College of Health Vocations
0013	1	Jefferson Regional Medical Center School of Nursing
0014	1	Saint Leo University
0015	1	Saint Thomas University
0016	1	Sanford-Brown Institute
0017	1	Sanford-Brown Institute
0018	1	Santa Fe College
0019	1	Seminole State College of Florida
0020	1	South Florida Bible College and Theological Seminary
0021	1	Southern Career College
0022	1	Southern Technical College
0023	1	Southwest Florida College
0024	1	St Petersburg College
0025	1	Strayer University-Baymeadows Campus
0026	1	Strayer University-Fort Lauderdale Campus
0027	1	Strayer University-Miramar Campus
0028	1	Strayer University-Orlando East Campus
0029	1	Strayer University-Sand Lake Campus
0030	1	Strayer University-Tampa East Campus
0031	1	Talmudic College of Florida
0032	1	Taylor College
0033	1	The Art Institute of Fort Lauderdale
0034	1	The Baptist College of Florida
0035	1	The University of Tampa
0036	1	The University of West Florida
0037	1	Tom P Haney Technical Center
0038	1	Ultimate Medical Academy
0039	1	United Education Institute
0040	1	Universidad Politecnica de Puerto Rico-Orlando Campus
0041	1	University of North Florida
0042	1	University of Phoenix-South Florida Campus
0043	1	University of South Florida Sarasota-Manatee
0044	1	Winter Park Tech
0045	1	Withlacoochee Technical Institute
0046	1	Yeshivah Gedolah Rabbinical College
0047	1	Albany Technical College
0048	1	Argosy University-Atlanta
0049	1	Atlanta Beauty Academy
0050	1	Atlanta Christian College
0051	1	Atlanta Technical College
0052	1	Augusta School of Massage
0053	1	Bauder College
0054	1	NorthWest Arkansas Community College
0055	1	Ouachita Technical College
0056	1	Brenau University
0057	1	Central Georgia Technical College
0058	1	Clark Atlanta University
0059	1	Darton College
0060	1	Dekalb Technical College
0061	1	East Georgia College
0062	1	Emmanuel College
0063	1	Georgia Career Institute
0064	1	Georgia College &amp; State University
0065	1	Georgia Highlands College
0066	1	Georgia Institute of Cosmetology
0067	1	Georgia Military College-Atlanta Campus
0068	1	Georgia Northwestern Technical College
0069	1	Georgia Perimeter College
0070	1	Georgia State University
0071	1	Gwinnett College
0072	1	Gwinnett College-Sandy Springs
0073	1	Interactive College of Technology
0074	1	Interactive College of Technology
0075	1	International School of Skin and Nailcare
0076	1	ITT Technical Institute-Kennesaw
0077	1	LaGrange College
0078	1	Lake Lanier School of Massage
0079	1	Luther Rice University
0080	1	Mercer University
0081	1	Michael's School of Beauty
0082	1	Middle Georgia Technical College
0083	1	Miller-Motte Technical College
0084	1	Paine College
0085	1	Reinhardt University
0086	1	Sandersville Technical College
0087	1	Savannah School of Massage Therapy Training
0088	1	Shorter University
0089	1	South Georgia College
0090	1	South Georgia Technical College
0091	1	Spelman College
0092	1	Strayer University-Morrow Campus
0093	1	The Art Institute of Atlanta
0094	1	Troy University-Southeast Region
0095	1	UEI- Morrow Campus
0096	1	University of Georgia
0097	1	University of Phoenix-Augusta Campus
0098	1	University of Phoenix-Savannah Campus
0099	1	University of West Georgia
0100	1	Phillips Community College of the University of Arkansas
0101	1	Professional Cosmetology Education Center
0102	1	Remington College-Little Rock Campus
0103	1	Southeast Arkansas College
0104	1	Southern Arkansas University Main Campus
0105	1	Westwood College-Atlanta Midtown
0106	1	Guam Community College
0107	1	Hawaii Community College
0108	1	Hawaii Institute of Hair Design
0109	1	Heisei International Institute of Massage
0110	1	Kauai Community College
0111	1	Leeward Community College
0112	1	University of Hawaii Maui College
0113	1	Windward Community College
0114	1	World Medicine Institute
0115	1	AIB College of Business
0116	1	American College of Hairstyling-Cedar Rapids
0117	1	Ashford University
0118	1	Bio-Chi Institute of Massage Therapy
0119	1	Clarke University
0120	1	Cornell College
0121	1	Ellsworth Community College
0122	1	Emmaus Bible College
0123	1	Graceland University-Lamoni
0124	1	Grand View University
0125	1	Grinnell College
0126	1	Hawkeye Community College
0127	1	Iowa Central Community College
0128	1	Iowa School of Beauty
0129	1	Iowa School of Beauty
0130	1	Iowa School of Beauty
0131	1	Iowa State University
0132	1	Iowa Wesleyan College
0133	1	ITT Technical Institute–Clive
0134	1	Morningside College
0135	1	North Iowa Area Community College
0136	1	Southwestern Community College
0137	1	The Salon Professional Academy
0138	1	University of Northern Iowa
0139	1	University of Phoenix-Little Rock Campus
0140	1	Velvatex College of Beauty Culture
0141	1	Williams Baptist College
0142	1	William Penn University
0143	1	Boise Bible College
