university	collegenavigator	phone
2000	2000	2000	1936
0000	1	(822) 320-1221
0001	1	(907) 260-7422
0002	1	(907) 561-1266
0003	1	(907) 224-3322
0004	1	(907) 277-1000
0005	1	(907) 834-1600
0006	1	(877) 465-4827
0007	1	(334) 844-4000
0008	1	(205) 387-0511
0009	1	(251) 405-7000
0010	1	(251) 473-2220
0011	1	(870) 633-4480 x208
0012	1	(501) 568-0211
0013	1	(870) 541-7850
0014	1	(352) 588-8200
0015	1	(305) 625-6000
0016	1	(954) 308-7400
0017	1	(813) 621-0072
0018	1	(352) 395-5000
0019	1	(407) 708-4722
0020	1	(954) 428-8980
0021	1	(904) 724-2229
0022	1	(407) 323-4141
0023	1	(239) 939-4766
0024	1	(727) 341-4772
0025	1	(703) 892-5100
0026	1	(954) 745-6960
0027	1	(954) 378-2400
0028	1	(703) 892-5100
0029	1	(703) 892-5100
0030	1	(813) 663-0100
0031	1	(305) 534-7050
0032	1	(352) 245-4119
0033	1	(954) 463-3000 x2122
0034	1	(850) 263-3261
0035	1	(813) 253-3333
0036	1	(850) 474-2000
0037	1	(850) 747-5500
0038	1	(727) 298-8685
0039	1	(949) 272-7200
0040	1	(407) 677-7000
0041	1	(904) 620-1000
0042	1	(954) 382-5303
0043	1	(941) 359-4200
0044	1	(407) 622-2900
0045	1	(352) 726-2430
0046	1	(305) 653-8770 x2001
0047	1	(229) 430-3500
0048	1	(770) 671-1200
0049	1	(770) 449-1740
0050	1	(404) 761-8861
0051	1	(404) 225-4601
0052	1	(706) 863-4799
0053	1	(404) 237-7573
0054	1	(479) 636-9222
0055	1	(501) 337-5000 x1100
0056	1	(770) 534-6299
0057	1	(478) 757-3400
0058	1	(404) 880-8000
0059	1	(229) 317-6000
0060	1	(404) 297-9522 x1127
0061	1	(478) 289-2000
0062	1	(706) 245-7226
0063	1	(770) 922-7653
0064	1	(478) 445-2770
0065	1	(800) 332-2406
0066	1	(706) 549-6400 x25
0067	1	(678) 379-1414
0068	1	(706) 295-6963
0069	1	(678) 891-2300
0070	1	(404) 413-2000
0071	1	(770) 381-7200
0072	1	(770) 457-2021
0073	1	(770) 960-1298
0074	1	(770) 216-2960
0075	1	(404) 843-1005 x106
0076	1	(770) 426-2300
0077	1	(706) 880-8000
0078	1	(770) 297-8080
0079	1	(770) 484-1204
0080	1	(478) 301-2700
0081	1	(706) 343-1841
0082	1	(478) 988-6800
0083	1	(706) 225-5000 x5002
0084	1	(706) 821-8200
0085	1	(770) 720-5600
0086	1	(478) 553-2050
0087	1	(912) 355-3011
0088	1	(706) 291-2121
0089	1	(912) 260-4200
0090	1	(229) 931-2394
0091	1	(404) 681-3643
0092	1	(678) 422-4100
0093	1	(770) 394-8300
0094	1	(706) 571-2406
0095	1	(678) 422-4500
0096	1	(706) 542-3000
0097	1	(706) 868-2000
0098	1	(912) 232-0531
0099	1	(678) 839-5000
0100	1	(870) 338-6474
0101	1	(870) 864-9292
0102	1	(501) 312-0007
0103	1	(870) 543-5900
0104	1	(870) 235-4000
0105	1	(404) 745-9862
0106	1	(671) 735-5700
0107	1	(808) 974-7611
0108	1	(808) 533-6596
0109	1	(808) 596-2373
0110	1	(808) 245-8311
0111	1	(808) 455-0011
0112	1	(808) 984-3267
0113	1	(808) 235-7400
0114	1	(808) 947-4788
0115	1	(515) 244-4221
0116	1	(319) 362-1488
0117	1	(563) 242-4023
0118	1	(712) 252-1157
0119	1	(563) 588-6300
0120	1	(319) 895-4000
0121	1	(800) 322-9235
0122	1	(563) 588-8000
0123	1	(641) 784-5000
0124	1	(515) 263-2800
0125	1	(641) 269-4000
0126	1	(319) 296-2320
0127	1	(515) 576-7201
0128	1	(712) 274-9733
0129	1	(515) 278-9939 x12
0130	1	(641) 752-4223
0131	1	(515) 294-5836
0132	1	(319) 385-8021
0133	1	(515) 327-5500
0134	1	(712) 274-5000
0135	1	(641) 423-1264
0136	1	(641) 782-7081 x413
0137	1	(515) 956-3781
0138	1	(319) 273-2311
0139	1	(501) 225-9337
0140	1	(501) 372-9678
0141	1	(870) 886-6741
0142	1	(641) 673-1001
0143	1	(208) 376-7731
0144	1	(208) 321-8800
0145	1	(208) 524-3000 x3371
0146	1	(208) 743-1512
0147	1	(208) 882-2923
0148	1	(208) 882-2923
0149	1	(208) 467-8011
0150	1	(208) 232-9170
0151	1	(208) 898-2000
0152	1	(312) 461-0600
0153	1	(312) 821-6300
0154	1	(877) 701-3800
0155	1	(847) 397-0300 x21
0156	1	(847) 969-4900
0157	1	(618) 473-2222
0158	1	(773) 536-4441
0159	1	(708) 388-4949
0160	1	(773) 278-4477
0161	1	(773) 221-4700
0162	1	(815) 485-3020
0163	1	(773) 324-8000
0164	1	(630) 953-3680
0165	1	(773) 907-4000
0166	1	(773) 602-5000
0167	1	(773) 291-6100
0168	1	(312) 663-1600
0169	1	(708) 771-8300
0170	1	(312) 362-8000
0171	1	(708) 366-2490
0172	1	(815) 223-7326
0173	1	(630) 617-3500
0174	1	(800) 223-3271
0175	1	(630) 920-1102
0176	1	(312) 913-1616
0177	1	(815) 459-3500
0178	1	(708) 444-4500
0179	1	(708) 430-1755
0180	1	(309) 268-8000
0181	1	(773) 458-1111
0182	1	(309) 647-4224
0183	1	(630) 472-7000
0184	1	(708) 326-3200
0185	1	(217) 224-6500
0186	1	(815) 729-9020
0187	1	(312) 944-0882
0188	1	(217) 732-3168
0189	1	(217) 786-2200
0190	1	(217) 479-7000
0191	1	(773) 947-6300
0192	1	(309) 692-4092
0193	1	(309) 427-2750
0194	1	(312) 329-4000
0195	1	(217) 243-1744
0196	1	(773) 244-6200
0197	1	(630) 620-2180
0198	1	(888) 205-2283
0199	1	(815) 939-5011
0200	1	(773) 477-4822 x301
0201	1	(217) 351-2200
0202	1	(800) 886-0500 x7351
0203	1	(773) 463-3121
0204	1	(815) 316-4800
0205	1	(815) 534-3300
0206	1	(800) 787-6456
0207	1	(800) 787-6456
0208	1	(800) 787-6456
0209	1	(800) 787-6456
0210	1	(800) 787-6456
0211	1	(618) 437-5321
0212	1	(815) 921-7821
0213	1	(312) 341-3500
0214	1	(309) 655-2201
0215	1	(847) 229-9595 x103
0216	1	(602) 216-2600
0217	1	(623) 934-7273
0218	1	(480) 603-1066
0219	1	(480) 965-9011
0220	1	(312) 939-2723
0221	1	(708) 596-2000 x5894
0222	1	(618) 453-2121
0223	1	(312) 922-9012
0224	1	(217) 525-5628
0225	1	(847) 619-3450
0226	1	(312) 427-2737
0227	1	(630) 528-3336
0228	1	(630) 528-3336
0229	1	(630) 528-3336
0230	1	(309) 779-7700
0231	1	(847) 945-8800
0232	1	(630) 968-6800
0233	1	(773) 702-1234
0234	1	(312) 996-7000
0235	1	(217) 333-1000
0236	1	(217) 753-8990
0237	1	(312) 225-6288
0238	1	(800) 438-5621
0239	1	(847) 808-8444
0240	1	(765) 724-9152
0241	1	(765) 649-9071
0242	1	(317) 272-1212
0243	1	(317) 243-4519
0244	1	(765) 289-1241
0245	1	(574) 237-0774
0246	1	(317) 924-1331
0247	1	(260) 452-2100
0248	1	(219) 864-1600
0249	1	(765) 983-1200
0250	1	(317) 773-6189
0251	1	(574) 522-0397
0252	1	(812) 476-6000
0253	1	(317) 264-5656
0254	1	(317) 873-6500
0255	1	(317) 598-9400
0256	1	(219) 980-6500
0257	1	(260) 481-6100
0258	1	(317) 274-5555
0259	1	(765) 674-6901
0260	1	(317) 813-2300
0261	1	(260) 497-6200
0262	1	(812) 265-2580
0263	1	(812) 299-1121
0264	1	(812) 232-8334
0265	1	(520) 888-5885
0266	1	(602) 433-1333
0267	1	(219) 947-8400
0268	1	(812) 288-8878
0269	1	(812) 749-4781 x404
0270	1	(317) 846-8999 x320
0271	1	(317) 846-8999 x320
0272	1	(765) 494-4600
0273	1	(800) 787-6456
0274	1	(800) 466-9744
0275	1	(765) 423-6400
0276	1	(219) 736-9999
0277	1	(765) 998-2751
0278	1	(317) 251-4600
0279	1	(260) 483-4949
0280	1	(574) 243-0500
0281	1	(317) 788-3368
0282	1	(765) 361-6100
0283	1	(620) 365-5116 x100
0284	1	(785) 776-4794
0285	1	(785) 267-7701
0286	1	(316) 681-2288
0287	1	(800) 873-4282
0288	1	(913) 491-4432
0289	1	(620) 792-2701
0290	1	(785) 227-3311 x8361
0291	1	(785) 272-0889
0292	1	(913) 667-5700
0293	1	(913) 234-0600
0294	1	(620) 252-7550
0295	1	(620) 223-2700
0296	1	(316) 295-5000
0297	1	(620) 276-7611
0298	1	(785) 749-8404
0299	1	(785) 442-6000
0300	1	(620) 331-4100
0301	1	(913) 469-8500
0302	1	(785) 532-6250
0303	1	(913) 981-8700
0304	1	(620) 431-2820 x217
0305	1	(785) 738-2276
0306	1	(316) 264-4891 x11
0307	1	(928) 453-6666
0308	1	(480) 966-3000
0309	1	(620) 229-6000
0310	1	(620) 278-2173
0311	1	(913) 682-5151
0312	1	(316) 943-5516
0313	1	(859) 858-3581
0314	1	(502) 272-8000
0315	1	(270) 685-3131
0316	1	(606) 337-3196
0317	1	(270) 926-4040
0318	1	(270) 444-9950
0319	1	(502) 491-0077
0320	1	(502) 491-0077
0321	1	(502) 491-0077
0322	1	(502) 499-0070
0323	1	(859) 272-5225
0324	1	(502) 410-6200
0325	1	(270) 827-1867
0326	1	(859) 282-8989
0327	1	(859) 246-3300
0328	1	(502) 327-7424
0329	1	(270) 821-2250
0330	1	(859) 410-2100
0331	1	(859) 846-4421
0332	1	(859) 253-0621
0333	1	(801) 302-8801 x1021
0334	1	(606) 218-5250
0335	1	(877) 629-9722
0336	1	(502) 585-9911
0337	1	(502) 456-6509
0338	1	(859) 341-5800
0339	1	(859) 233-8300
0340	1	(606) 546-1683
0341	1	(859) 257-9000
0342	1	(270) 745-0111
0343	1	(570) 429-4321 x2414
0344	1	(570) 429-4321 x2414
0345	1	(570) 429-4321 x2414
0346	1	(480) 830-5151
0347	1	(480) 860-2700
0348	1	(225) 775-1800 x7000
0349	1	(337) 233-0511
0350	1	(225) 292-5464
0351	1	(225) 387-7623
0352	1	(318) 445-2778
0353	1	(337) 269-0620
0354	1	(318) 678-6000 x6206
0355	1	(225) 359-9201
0356	1	(337) 439-5765 x1926
0357	1	(225) 752-4233
0358	1	(318) 487-7011
0359	1	(337) 457-7311
0360	1	(504) 568-4808
0361	1	(318) 797-5000
0362	1	(318) 257-2000
0363	1	(504) 865-2011
0364	1	(337) 475-5000
0365	1	(225) 926-5820
0366	1	(225) 248-1015
0367	1	(225) 757-3770
0368	1	(504) 278-6200
0369	1	(318) 797-6092
0370	1	(225) 236-3200
0371	1	(318) 671-4000
0372	1	(985) 873-8978
0373	1	(337) 491-2698
0374	1	(337) 474-0533
0375	1	(504) 865-5000
0376	1	(985) 223-1755
0377	1	(781) 794-3400
0378	1	(508) 620-5904
0379	1	(508) 849-3300
0380	1	(508) 485-9430
0381	1	(781) 235-1200
0382	1	(508) 757-7923
0383	1	(800) 342-7342
0384	1	(480) 245-7903
0385	1	(602) 238-4300
0386	1	(602) 461-7000
0387	1	(413) 644-4400
0388	1	(413) 565-1000
0389	1	(508) 791-9241
0390	1	(781) 899-5500
0391	1	(617) 262-5000
0392	1	(617) 353-2000
0393	1	(781) 736-2000
0394	1	(508) 531-1000
0395	1	(617) 228-2000
0396	1	(617) 536-2919
0397	1	(508) 362-2131
0398	1	(508) 793-7711
0399	1	(617) 333-2900
0400	1	(617) 824-8500
0401	1	(570) 429-4321 x2414
0402	1	(570) 429-4321 x2414
0403	1	(617) 868-3450
0404	1	(617) 783-9955
0405	1	(508) 620-1220
0406	1	(978) 927-2300
0407	1	(617) 731-3500
0408	1	(413) 732-7117
0409	1	(617) 243-2000
0410	1	(781) 306-6600
0411	1	(617) 776-3500
0412	1	(978) 453-3235
0413	1	(413) 788-7575
0414	1	(978) 681-0800
0415	1	(617) 327-6777
0416	1	(508) 588-9100
0417	1	(978) 656-3200
0418	1	(413) 499-8618
0419	1	(978) 921-4242
0420	1	(781) 274-8448
0421	1	(800) 838-2580 x509
0422	1	(617) 951-2350
0423	1	(617) 451-0010
0424	1	(617) 730-7000
0425	1	(508) 213-1560
0426	1	(978) 556-3000
0427	1	(617) 427-0060
0428	1	(774) 261-1500
0429	1	(978) 667-2111
0430	1	(413) 584-2700
0431	1	(334) 420-4200
0432	1	(602) 371-1188
0433	1	(602) 682-6800
0434	1	(602) 850-8000
0435	1	(520) 206-4500
0436	1	(480) 898-9898
0437	1	(978) 356-0980
0438	1	(508) 836-8864 x31
0439	1	(413) 748-3116
0440	1	(617) 585-6600
0441	1	(617) 536-6340
0442	1	(978) 934-9300
0443	1	(781) 948-2000
0444	1	(508) 856-2000
0445	1	(508) 999-8000
0446	1	(978) 934-4000
0447	1	(781) 228-4507
0448	1	(508) 759-7711 x285
0449	1	(617) 348-6359
0450	1	(413) 782-3111
0451	1	(413) 597-3131
0452	1	(508) 929-8000
0453	1	(301) 933-4660
0454	1	(410) 462-8300
0455	1	(410) 636-7929
0456	1	(410) 386-8000
0457	1	(410) 822-5400
0458	1	(301) 739-2670 x0
0459	1	(301) 736-3631
0460	1	(410) 686-4477
0461	1	(410) 848-7000
0462	1	(410) 337-5155
0463	1	(301) 447-6122
0464	1	(301) 431-6400
0465	1	(410) 252-4244
0466	1	(410) 543-6000
0467	1	(410) 486-7000
0468	1	(410) 923-4500
0469	1	(443) 840-2999
0470	1	(301) 682-7550
0471	1	(410) 778-2800
0472	1	(520) 326-1600
0473	1	(602) 275-7133
0474	1	(800) 787-6456
0475	1	(800) 787-6456
0476	1	(520) 255-0700
0477	1	(480) 858-9100 x200
0478	1	(207) 647-5968
0479	1	(207) 974-4600
0480	1	(207) 774-9413
0481	1	(207) 774-9413
0482	1	(207) 941-7000
0483	1	(207) 822-9802
0484	1	(207) 774-6126
0485	1	(207) 453-5000
0486	1	(207) 775-3052
0487	1	(207) 326-2206
0488	1	(207) 772-2591
0489	1	(207) 591-4141
0490	1	(207) 581-1110
0491	1	(207) 778-7000
0492	1	(207) 768-9400
0493	1	(207) 646-9282
0494	1	(517) 629-1000
0495	1	(989) 356-9021
0496	1	(734) 677-4430
0497	1	(231) 876-3101
0498	1	(989) 729-3300
0499	1	(810) 985-7000
0500	1	(517) 990-9595
0501	1	(248) 589-1078
0502	1	(989) 774-4000
0503	1	(616) 949-5300
0504	1	(616) 698-7111
0505	1	(269) 968-6105
0506	1	(269) 382-2835
0507	1	(989) 835-5588
0508	1	(989) 799-7800
0509	1	(248) 213-1610
0510	1	(989) 249-1878
0511	1	(313) 831-5200 x207
0512	1	(313) 562-4228
0513	1	(313) 567-5350
0514	1	(906) 932-4231 x0
0515	1	(517) 321-0242
0516	1	(616) 395-7000
0517	1	(480) 857-1138
0518	1	(734) 397-7800
0519	1	(810) 628-2500
0520	1	(248) 524-1800
0521	1	(517) 787-0800
0522	1	(269) 488-4100
0523	1	(586) 445-7999
0524	1	(734) 432-5300
0525	1	(248) 528-0303
0526	1	(734) 241-8877 x14
0527	1	(248) 476-1122 x100
0528	1	(517) 355-1855
0529	1	(906) 487-1885
0530	1	(989) 386-6622
0531	1	(734) 242-7300
0532	1	(231) 348-6602
0533	1	(231) 995-1000
0534	1	(248) 341-2000
0535	1	(269) 749-7000
0536	1	(313) 933-9393 x17
0537	1	(248) 623-9494
0538	1	(800) 787-6456
0539	1	(810) 227-0160
0540	1	(734) 459-1723
0541	1	(810) 658-1424
0542	1	(616) 977-8400
0543	1	(248) 675-3800
0544	1	(269) 660-8021
0545	1	(734) 729-9220
0546	1	(248) 398-4647
0547	1	(586) 775-6640
0548	1	(269) 387-3530
0549	1	(269) 321-8708
0550	1	(651) 631-0204 x6
0551	1	(763) 433-1100
0552	1	(763) 433-1100
0553	1	(507) 344-7000
0554	1	(651) 638-6400
0555	1	(507) 222-4000
0556	1	(218) 894-5100
0557	1	(218) 299-4100
0558	1	(520) 621-2211
0559	1	(480) 557-2000
0560	1	(928) 445-7300
0561	1	(952) 838-1860
0562	1	(952) 906-2117
0563	1	(651) 688-2145
0564	1	(218) 879-0800
0565	1	(763) 535-3000
0566	1	(612) 375-1900
0567	1	(218) 322-2300
0568	1	(651) 675-4700 x4757
0569	1	(651) 641-3456
0570	1	(218) 736-1500
0571	1	(763) 225-8000
0572	1	(612) 861-2000
0573	1	(651) 287-2180
0574	1	(320) 253-4222
0575	1	(952) 356-3600
0576	1	(651) 855-6300
0577	1	(218) 793-2800
0578	1	(218) 333-6600
0579	1	(952) 888-4777
0580	1	(218) 732-2962
0581	1	(763) 795-4720
0582	1	(651) 687-9000
0583	1	(320) 251-5600
0584	1	(800) 787-6456
0585	1	(800) 787-6456
0586	1	(800) 722-1151
0587	1	(507) 285-7210
0588	1	(507) 334-3965
0589	1	(507) 389-7200
0590	1	(507) 537-7678
0591	1	(507) 786-2222
0592	1	(612) 625-5000
0593	1	(651) 962-5000
0594	1	(218) 235-2100
0595	1	(218) 935-0417
0596	1	(660) 626-2121
0597	1	(816) 942-8400
0598	1	(213) 765-2400
0599	1	(415) 274-2200
0600	1	(510) 763-7787 x0
0601	1	(858) 748-1490 x0
