university	collegenavigator	type
2000	2000	2000	12
0000	1	4-year, Private not-for-profit
0001	1	2-year, Private not-for-profit
0002	1	4-year, Private not-for-profit
0003	1	&lt; 2-year, Public
0004	1	4-year, primarily associate's, Private for-profit
0005	1	2-year, Public
0006	1	4-year, Public
0007	1	4-year, Public
0008	1	2-year, Public
0009	1	2-year, Public
0010	1	&lt; 2-year, Private for-profit
0011	1	2-year, Public
0012	1	&lt; 2-year, Private for-profit
0013	1	2-year, Private not-for-profit
0014	1	4-year, Private not-for-profit
0015	1	4-year, Private not-for-profit
0016	1	2-year, Private for-profit
0017	1	2-year, Private for-profit
0018	1	4-year, primarily associate's, Public
0019	1	4-year, primarily associate's, Public
0020	1	4-year, primarily associate's, Private not-for-profit
0021	1	2-year, Private for-profit
0022	1	2-year, Private for-profit
0023	1	4-year, primarily associate's, Private for-profit
0024	1	4-year, primarily associate's, Public
0025	1	4-year, Private for-profit
0026	1	4-year, Private for-profit
0027	1	4-year, Private for-profit
0028	1	4-year, Private for-profit
0029	1	4-year, Private for-profit
0030	1	4-year, Private for-profit
0031	1	4-year, Private not-for-profit
0032	1	2-year, Private for-profit
0033	1	4-year, primarily associate's, Private for-profit
0034	1	4-year, Private not-for-profit
0035	1	4-year, Private not-for-profit
0036	1	4-year, Public
0037	1	2-year, Public
0038	1	2-year, Private for-profit
0039	1	&lt; 2-year, Private for-profit
0040	1	4-year, Private not-for-profit
0041	1	4-year, Public
0042	1	4-year, Private for-profit
0043	1	4-year, Public
0044	1	2-year, Public
0045	1	2-year, Public
0046	1	4-year, Private not-for-profit
0047	1	2-year, Public
0048	1	4-year, Private for-profit
0049	1	&lt; 2-year, Private for-profit
0050	1	4-year, Private not-for-profit
0051	1	2-year, Public
0052	1	&lt; 2-year, Private for-profit
0053	1	4-year, primarily associate's, Private for-profit
0054	1	2-year, Public
0055	1	2-year, Public
0056	1	4-year, Private not-for-profit
0057	1	2-year, Public
0058	1	4-year, Private not-for-profit
0059	1	2-year, Public
0060	1	2-year, Public
0061	1	2-year, Public
0062	1	4-year, Private not-for-profit
0063	1	&lt; 2-year, Private for-profit
0064	1	4-year, Public
0065	1	2-year, Public
0066	1	&lt; 2-year, Private for-profit
0067	1	2-year, Public
0068	1	2-year, Public
0069	1	2-year, Public
0070	1	4-year, Public
0071	1	2-year, Private for-profit
0072	1	&lt; 2-year, Private for-profit
0073	1	&lt; 2-year, Private for-profit
0074	1	2-year, Private for-profit
0075	1	&lt; 2-year, Private for-profit
0076	1	4-year, primarily associate's, Private for-profit
