university	collegenavigator	website
2000	2000	2000	1728
0000	1	www.akbible.edu/
0001	1	www.akcc.org
0002	1	www.alaskapacific.edu
0003	1	www.avtec.edu/
0004	1	www.chartercollege.edu
0005	1	www.pwscc.edu
0006	1	www.uas.alaska.edu
0007	1	www.auburn.edu
0008	1	www.bscc.edu
0009	1	www.bishop.edu
0010	1	www.blue.edu
0011	1	www.eacc.edu
0012	1	www.echv.com
0013	1	www.jrmc.org
0014	1	www.saintleo.edu
0015	1	www.stu.edu
0016	1	www.sbftlaud.com
0017	1	www.sbi-tampa.com
0018	1	www.sfcollege.edu
0019	1	www.seminolestate.edu/
0020	1	www.sfbc.edu
0021	1	www.southerncareercollege.edu
0022	1	www.southerntech.edu
0023	1	www.swfc.edu
0024	1	www.spcollege.edu
0025	1	http://www.strayer.edu
0026	1	http://www.strayer.edu
0027	1	http://www.strayer.edu
0028	1	http://www.strayer.edu
0029	1	http://www.strayer.edu
0030	1	http://www.strayer.edu
0031	1	www.talmudicu.edu
0032	1	taylorcollege.edu
0033	1	www.aifl.edu
0034	1	www.baptistcollege.edu
0035	1	www.ut.edu
0036	1	uwf.edu
0037	1	www.bayschools.com/htc
0038	1	www.studymedical.com
0039	1	www.uei.edu/campuses/uei/jacksonville
0040	1	www.pupr.edu/
0041	1	www.unf.edu
0042	1	www.phoenix.edu
0043	1	www.sarasota.usf.edu
0044	1	www.wpt.ocps.net
0045	1	www.wtionline.cc
0046	1	www.lecfl.com
0047	1	www.albanytech.edu
0048	1	www.argosy.edu/atlanta
0049	1	www.atlantabeautyacademy.com
0050	1	www.acc.edu
0051	1	www.atlantatech.edu/
0052	1	www.augustamassage.com
0053	1	www.bauder.edu
0054	1	www.nwacc.edu
0055	1	www.otcweb.edu
0056	1	www.brenau.edu
0057	1	www.centralgatech.edu
0058	1	www.cau.edu
0059	1	www.darton.edu
0060	1	www.dekalbtech.edu
0061	1	www.ega.edu
0062	1	www.ec.edu
0063	1	gci.edu
0064	1	www.gcsu.edu
0065	1	www.highlands.edu
0066	1	gic.edu
0067	1	fairburn.gmc.cc.ga.us/
0068	1	www.gntc.edu
0069	1	www.gpc.edu
0070	1	www.gsu.edu
0071	1	www.gwinnettcollege.edu
0072	1	www.risingspirit.edu
0073	1	www.ict-ils.edu
0074	1	www.ict-ils.edu
0075	1	www.skin-nails.com
0076	1	www.itt-tech.edu
0077	1	www.lagrange.edu
0078	1	www.apigeorgia.com
0079	1	www.lru.edu
0080	1	www.mercer.edu
0081	1	michaelsschoolofbeauty.com
0082	1	www.middlegatech.edu
0083	1	www.miller-motte.edu
0084	1	www.paine.edu
0085	1	www.reinhardt.edu
0086	1	www.sandersvilletech.edu
0087	1	www.savannahschoolofmassage.com
0088	1	www.shorter.edu
0089	1	www.sgc.edu
0090	1	www.southgatech.edu
0091	1	www.spelman.edu
0092	1	http://www.strayer.edu
0093	1	www.artinstitutes.edu/atlanta
0094	1	http://ser.troy.edu
0095	1	http://www.ueicareers.com
0096	1	www.uga.edu
0097	1	www.phoenix.edu
0098	1	www.phoenix.edu
0099	1	www.westga.edu
0100	1	www.pccua.edu
0101	1	www.professionalcosmetologyeducation.com/
0102	1	www.remingtoncollege.edu/little-rock-arkansas-technical-colleges
0103	1	www.seark.edu
0104	1	www.saumag.edu
0105	1	www.westwood.edu
0106	1	www.guamcc.edu
0107	1	hawaii.hawaii.edu
0108	1	www.hihdhawaii.net
0109	1	www.heiseicollege.com/
0110	1	kauai.hawaii.edu
0111	1	www.leeward.hawaii.edu
0112	1	maui.hawaii.edu
0113	1	windward.hawaii.edu
0114	1	www.worldmedicineinstitute.com
0115	1	www.aib.edu
0116	1	americancollegeofhair.com
0117	1	www.ashford.edu
0118	1	www.bci-ed.com/home_page.html
0119	1	www.clarke.edu
0120	1	www.cornellcollege.edu
0121	1	www.ellsworthcollege.com
0122	1	www.emmaus.edu
0123	1	www.graceland.edu
0124	1	www.grandview.edu
0125	1	www.grinnell.edu
0126	1	www.hawkeyecollege.edu
0127	1	www.iowacentral.edu
0128	1	iowaschoolofbeauty.com
0129	1	iowaschoolofbeauty.com
0130	1	iowaschoolofbeauty.com
0131	1	www.iastate.edu
0132	1	www.iwc.edu
0133	1	www.itt-tech.edu
0134	1	www.morningside.edu
0135	1	www.niacc.edu
0136	1	www.swcciowa.edu
0137	1	www.tspacademy.com
0138	1	www.uni.edu
0139	1	www.phoenix.edu/campus-locations/ar/little-rock-campus/little-rock-campus.html
0140	1	www.velvatexcollege.com
0141	1	www.wbcoll.edu
0142	1	www.wmpenn.edu
0143	1	www.boisebible.edu
0144	1	www.brownmackie.edu/
0145	1	www.eitc.edu
0146	1	www.headmastersschool.net
0147	1	mrleons.com
0148	1	mrleons.com
0149	1	www.nnu.edu
0150	1	www.theschoolofhairstyling.com
0151	1	www.phoenix.edu
0152	1	www.aaart.edu
0153	1	www.ace.edu
0154	1	www.aiuonline.edu
0155	1	americare.edu/
0156	1	www.argosy.edu/schaumburg
0157	1	www.schools.lth5.k12.il.us/beck
0158	1	www.cbcon51st.org
0159	1	cannellabeautyschools.com
0160	1	cannellabeautyschools.com
0161	1	cannellabeautyschools.com
0162	1	capri.edu
0163	1	www.ctu.edu
0164	1	www.chamberlain.edu
0165	1	www.trumancollege.edu/
0166	1	kennedyking.ccc.edu/
0167	1	oliveharvey.ccc.edu/
0168	1	www.colum.edu
0169	1	www.cuchicago.edu
0170	1	www.depaul.edu
0171	1	www.dom.edu/
0172	1	www.educatorsofbeauty.com
0173	1	public.elmhurst.edu
0174	1	www.empire.edu
0175	1	www.everest.edu/campus/burr_ridge
0176	1	www.everest.edu/campus/chicago
0177	1	www.firstinstitute.com
0178	1	www.foxcollege.edu
0179	1	www.hairpros.edu
0180	1	www.heartland.edu
0181	1	www.ishc.edu
0182	1	www.innovationsdesignacademy.com
0183	1	www.itt-tech.edu
0184	1	www.itt-tech.edu
0185	1	www.jwcc.edu
0186	1	www.jjc.edu
0187	1	www.chefs.edu/chicago
0188	1	www.lincolnchristian.edu
0189	1	www.llcc.edu
0190	1	www.mac.edu
0191	1	www.mccormick.edu
0192	1	www.midstate.edu
0193	1	www.midwesttech.edu
0194	1	www.moody.edu
0195	1	mrjohns.com
0196	1	www.northpark.edu
0197	1	www.seminary.edu
0198	1	www.northwesterncollege.edu
0199	1	www.olivet.edu
0200	1	www.pacificcollege.edu
0201	1	www.parkland.edu
0202	1	www.pivot-point.com
0203	1	www.pivot-point.com
0204	1	www.rasmussen.edu
0205	1	http://www.rasmussen.edu
0206	1	www.regencybeauty.com
0207	1	www.regencybeauty.com
0208	1	www.regencybeauty.com
0209	1	www.regencybeauty.com
0210	1	www.regencybeauty.com
0211	1	www.rlc.edu
0212	1	www.rockvalleycollege.edu
0213	1	www.roosevelt.edu
0214	1	www.sfmccon.edu/
0215	1	massage.solex.edu/
0216	1	www.argosy.edu/phoenix
0217	1	www.aai.edu
0218	1	www.azculinary.com
0219	1	www.asu.edu/
0220	1	www.soma.edu
0221	1	www.ssc.edu/
0222	1	www.siuc.edu
0223	1	www.spertus.edu
