university	collegeprowler	name
2000	2000	2000	2000
0000	1	A.B.I. School of Barbering & Cosmetology of Tribeca Inc
0001	1	Abilene Christian University
0002	1	Abraham Baldwin Agricultural College
0003	1	Academia Serrant Inc
0004	1	Academy Di Capelli - School of Cosmetology
0005	1	Academy of Careers & Technology
0006	1	Academy of Chinese Culture & Health Sciences
0007	1	Academy of Cosmetology - Austin
0008	1	Academy of Cosmetology - Charleston
0009	1	Academy of Cosmetology - Palm Bay
0010	1	Academy of Court Reporting - Akron
0011	1	Academy of Court Reporting - Clawson
0012	1	Academy of Hair Design - Wenatchee
0013	1	Academy of Hair Design Four - Pearl
0014	1	Academy of Hair Design Three - Jackson
0015	1	Academy of Hair Technology
0016	1	Academy of Health Care Professions
0017	1	Academy of Natural Therapy
0018	1	Academy of Oriental Medicine
0019	1	Academy of Vocal Arts
0020	1	Acupuncture & Massage College - Miami
0021	1	Adelante Career Institute
0022	1	Adelphi University
0023	1	Adler Graduate School
0024	1	Adult Center for Education - Zanesville
0025	1	Advanced College
0026	1	Advanced Technical Centers - Miami
0027	1	Advanced Technology Institute
0028	1	Affinity Health System Program in Radiologic Technology
0029	1	Aiken Technical College
0030	1	Air Force Institute of Technology - Graduate School of Engineering & Management
0031	1	Alabama Southern Community College
0032	1	Alaska Vocational Technical Center
0033	1	Albany BOCES - Adult Practical Nursing Program
0034	1	Albany College of Pharmacy & Health Sciences
0035	1	Albany Technical College
0036	1	Albright College
0037	1	Alcorn State University
0038	1	Alderson Broaddus College
0039	1	Alice Lloyd College
0040	1	All State Career School - Lester
0041	1	All State Career School - North Versailles
0042	1	Allegheny Wesleyan College
0043	1	Allen School - Brooklyn
0044	1	Allen School - Jamaica
0045	1	Allied College South - Fenton
0046	1	Altoona Beauty School Inc
0047	1	Alvareitas College of Cosmetology - Godfrey
0048	1	American Academy McAllister Institute of Funeral Service
0049	1	American Academy of Acupuncture & Oriental Medicine
0050	1	American Beauty Academy - Wheaton
0051	1	American Beauty School - Bronx
0052	1	American Broadcasting School - Arlington
0053	1	American Broadcasting School - Oaklahoma City
0054	1	American Career College - Anaheim
0055	1	American Career College - Berwyn
0056	1	American Career College - Los Angeles
0057	1	American College - Bryn Mawr
0058	1	American Commercial College - Abilene
0059	1	American Commercial College - Lubbock
0060	1	American Commercial College - San Angelo
0061	1	American Commercial College - Shreveport
0062	1	American Film Institute Conservatory
0063	1	American Indian OIC Inc
0064	1	American Institute - Pompano Beach
0065	1	American Institute - School of Health Careers
0066	1	American Institute of Alternative Medicine
0067	1	American Institute of Beauty
0068	1	American Institute of Massage Therapy
0069	1	American Intercontinental University - Dunwoody Campus
0070	1	American Intercontinental University - Houston
0071	1	American Intercontinental University - Los Angeles
0072	1	American Intercontinental University - Weston
0073	1	American International College
0074	1	American Jewish University
0075	1	American Pacific College
0076	1	American School of Business
0077	1	American University of Puerto Rico - Manati
0078	1	Americare School of Nursing
0079	1	AmeriTech College - Draper
0080	1	AmeriTech College - Provo
0081	1	Amridge University
0082	1	Ana Visage Institute
0083	1	Anamarc Educational Institute
0084	1	Andover College
0085	1	Andrews University
0086	1	Angelina College
0087	1	Angley College
0088	1	Anna Maria College
0089	1	Anoka - Ramsey Community College
0090	1	Anoka Technical College
0091	1	Antelope Valley Medical College
0092	1	Anthem College - Phoenix
0093	1	Antioch University PhD Program in Leadership & Change
0094	1	Antonelli Institute - Erdenheim
0095	1	Apex Academy of Hair Design Inc
0096	1	Apollo College - Boise
0097	1	Apollo College - Phoenix Inc
0098	1	Apollo College - Portland Inc
0099	1	Appalachian School of Law
0100	1	Aquinas College - Grand Rapids
0101	1	Arapahoe Community College
0102	1	Argosy University - Atlanta
0103	1	Argosy University - Dallas
0104	1	Argosy University - Denver
0105	1	Argosy University - Hawaii
0106	1	Argosy University - Los Angeles
0107	1	Argosy University - San Francisco Bay Area
0108	1	Argosy University - Sarasota
0109	1	Argosy University - Twin Cities
0110	1	Argosy University - Washington DC
0111	1	Arizona Academy of Beauty
0112	1	Arizona College of Allied Health
0113	1	Arkansas State University - Beebe
0114	1	Arkansas State University - Mountain Home
0115	1	Arlington Baptist College
0116	1	Art Academy of Cincinnati
0117	1	Art Center College of Design
0118	1	Artistic Beauty Colleges - Arvada
0119	1	Artistic Beauty Colleges - Lakewood
0120	1	Artistic Beauty Colleges - Littleton
0121	1	Artistic Beauty Colleges - Thornton
0122	1	Asbury Theological Seminary
0123	1	Asnuntuck Community College
0124	1	Associated Mennonite Biblical Seminary
0125	1	Astrodome Career Centers
0126	1	ATA Career Education
0127	1	Athens State University
0128	1	ATI Career Training Center - Dallas
0129	1	Atlanta Institute of Music
0130	1	Atlanta Metropolitan College
0131	1	Atlantic Technical Center
0132	1	Atlantic Union College
0133	1	ATS Institute of Technology
0134	1	Auburn University - Montgomery
0135	1	Augsburg College
0136	1	Augusta Area Dietetic Internship - University Hospital
0137	1	Augusta State University
0138	1	Augustana College - Rock Island
0139	1	Aurora St. Luke Medical Center School of Radiologic Technology
0140	1	Aurora St. Luke's Medical Center - School of Diagnostic Medical Sonography
0141	1	Automeca Technical College - Aguadilla
0142	1	Automeca Technical College - Bayamon
0143	1	Automotive Training Center - Exton
0144	1	Aveda Institute - Lafayette
0145	1	Averett University - Non - traditional programs
0146	1	Aviation Institute of Maintenance - Atlanta
0147	1	Aviation Institute of Maintenance - Chesapeake
0148	1	Aviation Institute of Maintenance - Houston
0149	1	Aviation Institute of Maintenance - Indianapolis
0150	1	Avila University
0151	1	Baker College Center for Graduate Studies
0152	1	Baker College Corporate Services
0153	1	Baker College of Allen Park
0154	1	Baker College of Cadillac
0155	1	Baker College of Flint
0156	1	Baker College of Muskegon
0157	1	Baltimore Studio of Hair Design
0158	1	Baptist Bible College & Graduate School
0159	1	Baptist Missionary Association Theological Seminary
0160	1	Barton College
0161	1	Bastyr University
0162	1	Baton Rouge Community College
0163	1	Baton Rouge General Medical Center - Radiologic Technology
0164	1	Bay Mills Community College
0165	1	Bay Vista College of Beauty
0166	1	Bayamon Central University
0167	1	Beacon College
0168	1	Beal College
0169	1	Beauty College of America
0170	1	Beauty School of Middletown
0171	1	Beck Area Career Center - Red Bud
0172	1	Bee Jays Academy
0173	1	Beebe Hospital School of Nursing
0174	1	Bell Business School
0175	1	Bellarmine University
0176	1	Bemidji State University
0177	1	Benedict College
0178	1	Benes International School of Beauty
0179	1	Bennett Career Institute
0180	1	Bennington College
0181	1	Berdan Institute
0182	1	Bethany Theological Seminary
0183	1	Bethel College - North Newton
0184	1	Bethel Seminary of the East
0185	1	Bethel Seminary San Diego
0186	1	Bethel University (MN)
0187	1	Bethesda Christian University
0188	1	Bethune - Cookman University
0189	1	Bevill State Community College
0190	1	Big Sandy Community & Technical College
0191	1	BIR Training Center
0192	1	Birthingway College of Midwifery
0193	1	Birthwise Midwifery School
0194	1	Bishop State Community College
0195	1	BJ's Beauty & Barber College
0196	1	Black Hills State University
0197	1	Black River Technical College
0198	1	Blaine the Beauty Career School - Hyannis
0199	1	Blaine the Beauty Career School - Malden
0200	1	Blinn College
0201	1	Bloomsburg University of Pennsylvania
0202	1	Blue Cliff College - Metairie
0203	1	Blue Hills Regional Technical School
0204	1	Blue Mountain College
0205	1	Bluefield College
0206	1	Bluefield State College
0207	1	Bluffton University
0208	1	Boise Bible College
0209	1	Boston Graduate School of Psychoanalysis Inc
0210	1	Boulder College of Massage Therapy
0211	1	Bowling Green State University - Firelands
0212	1	Bradenton Beauty & Barber Academy
0213	1	Bradford - Union Area Career Technical Center
0214	1	Bradford School - Columbus
0215	1	Bradford School - Pittsburgh
0216	1	Branford Hall Career Institute - Branford Campus
0217	1	Branford Hall Career Institute - Springfield Campus
0218	1	Branford Hall Career Institute - Windsor Campus
0219	1	Brenau University
0220	1	Brescia University
0221	1	Bridgerland Applied Technology College
0222	1	Bridges Academy of Beauty
0223	1	Bridgewater College
0224	1	Brio Academy of Cosmetology - Hartford
