university	collegeprowler	phone
2000	2000	2000	1973
0000	1	(212) 227-6353
0001	1	(325) 674-2000
0002	1	(229) 391-5001
0003	1	(787) 259-4900
0004	1	(203) 294-9496
0005	1	(304) 256-4615
0006	1	(510) 763-7787
0007	1	(512) 444-2249
0008	1	(843) 552-3241
0009	1	(321) 951-0595
0010	1	(330) 867-4030
0011	1	(248) 435-9030
0012	1	(509) 662-9082
0013	1	(601) 939-4441
0014	1	(601) 372-9800
0015	1	(864) 322-0300
0016	1	(512) 892-2835
0017	1	(970) 352-1181
0018	1	(512) 454-1188
0019	1	(215) 735-1685
0020	1	(305) 595-9500
0021	1	(818) 908-9912
0022	1	(516) 877-3000
0023	1	(612) 861-7554
0024	1	(740) 455-3111
0025	1	(562) 408-6969
0026	1	(305) 871-2820
0027	1	(757) 490-1241
0028	1	(920) 223-0136
0029	1	(803) 593-9231
0030	1	(937) 255-3636
0031	1	(251) 575-3156
0032	1	(907) 224-3322
0033	1	(518) 862-4800
0034	1	(518) 694-7200
0035	1	(229) 430-3500
0036	1	(610) 921-2381
0037	1	(601) 877-6100
0038	1	(304) 457-1700
0039	1	(606) 368-2101
0040	1	(610) 521-1818
0041	1	(412) 823-1818
0042	1	(330) 337-6403
0043	1	(718) 243-1700
0044	1	(718) 291-2200
0045	1	(636) 326-7300
0046	1	(814) 942-3141
0047	1	(618) 466-8952
0048	1	(212) 757-1190
0049	1	(651) 631-0204
0050	1	(301) 949-3000
0051	1	(718) 931-7400
0052	1	(817) 695-2474
0053	1	(405) 672-6511
0054	1	(714) 952-9066
0055	1	(708) 795-1500
0056	1	(323) 668-7555
0057	1	(610) 526-1000
0058	1	(325) 672-8495
0059	1	(806) 747-4339
0060	1	(325) 942-6797
0061	1	(318) 861-2112
0062	1	(323) 856-7600
0063	1	(612) 341-3358
0064	1	(954) 781-2468
0065	1	(954) 777-0083
0066	1	(614) 825-6255
0067	1	(727) 532-2125
0068	1	(714) 432-7879
0069	1	(404) 965-6500
0070	1	(832) 201-3600
0071	1	(310) 302-2000
0072	1	(954) 446-6100
0073	1	(413) 737-7000
0074	1	(310) 476-9777
0075	1	(818) 781-0001
0076	1	(318) 798-3333
0077	1	(787) 621-2835
0078	1	(407) 673-7406
0079	1	(801) 816-1444
0080	1	(801) 377-2900
0081	1	(334) 387-7000
0082	1	(703) 759-2200
0083	1	(915) 351-8100
0084	1	(207) 774-6126
0085	1	(800) 253-2874
0086	1	(936) 639-1301
0087	1	(386) 740-1215
0088	1	(508) 849-3300
0089	1	(763) 433-1100
0090	1	(763) 576-4700
0091	1	(661) 726-1911
0092	1	(602) 279-9700
0093	1	(937) 769-1360
0094	1	(215) 836-2222
0095	1	(765) 642-7560
0096	1	(208) 377-8080
0097	1	(602) 324-5505
0098	1	(503) 761-6100
0099	1	(276) 935-4349
0100	1	(616) 632-8900
0101	1	(303) 797-4222
0102	1	(770) 671-1200
0103	1	(214) 890-9900
0104	1	(303) 248-2700
0105	1	(808) 536-5555
0106	1	(310) 866-4000
0107	1	(510) 217-4700
0108	1	(941) 379-0404
0109	1	(651) 846-2882
0110	1	(703) 526-5800
0111	1	(520) 885-4120
0112	1	(602) 222-9300
0113	1	(501) 882-3600
0114	1	(870) 508-6100
0115	1	(817) 461-8741
0116	1	(513) 562-6262
0117	1	(626) 396-2200
0118	1	(570) 429-4321
0119	1	(570) 429-4321
0120	1	(570) 429-4321
0121	1	(570) 429-4321
0122	1	(859) 858-3581
0123	1	(860) 253-3000
0124	1	(574) 295-3726
0125	1	(713) 664-5300
0126	1	(502) 371-8330
0127	1	(256) 233-8100
0128	1	(214) 902-8191
0129	1	(770) 242-7717
0130	1	(404) 756-4000
0131	1	(754) 321-5100
0132	1	(978) 368-2000
0133	1	(440) 449-1700
0134	1	(334) 244-3000
0135	1	(612) 330-1000
0136	1	(706) 774-8897
0137	1	(706) 737-1400
0138	1	(309) 794-7000
0139	1	(414) 747-4330
0140	1	(414) 747-4360
0141	1	(787) 882-2828
0142	1	(787) 779-6161
0143	1	(610) 363-6716
0144	1	(337) 233-0511
0145	1	(800) 448-5233
0146	1	(678) 377-5600
0147	1	(757) 363-2121
0148	1	(713) 644-7777
0149	1	(317) 243-4519
0150	1	(816) 942-8400
0151	1	(810) 766-4021
0152	1	(248) 276-8260
0153	1	(313) 425-3700
0154	1	(231) 876-3101
0155	1	(810) 766-4000
0156	1	(231) 777-8800
0157	1	(410) 539-1935
0158	1	(417) 268-6060
0159	1	(903) 586-2501
0160	1	(252) 399-6300
0161	1	(425) 425-3110
0162	1	(225) 216-8000
0163	1	(225) 387-7000
0164	1	(906) 248-3354
0165	1	(619) 474-6607
0166	1	(787) 786-3030
0167	1	(352) 787-7660
0168	1	(207) 947-4591
0169	1	(404) 361-4098
0170	1	(845) 343-2171
0171	1	(618) 473-2222
0172	1	(501) 224-2442
0173	1	(302) 645-3251
0174	1	(718) 998-6060
0175	1	(502) 452-8000
0176	1	(800) 475-2001
0177	1	(803) 256-4220
0178	1	(727) 848-8415
0179	1	(202) 526-1400
0180	1	(802) 442-5401
0181	1	(973) 837-1818
0182	1	(765) 983-1800
0183	1	(316) 283-2500
0184	1	(215) 659-1000
0185	1	(619) 582-8188
0186	1	(651) 638-6400
0187	1	(714) 517-1945
0188	1	(386) 481-2000
0189	1	(205) 387-0511
0190	1	(606) 886-3863
0191	1	(773) 866-0111
0192	1	(503) 760-3131
0193	1	(207) 647-5968
0194	1	(251) 405-7000
0195	1	(253) 473-4320
0196	1	(605) 642-6011
0197	1	(870) 248-4000
0198	1	(570) 429-4321
0199	1	(570) 429-4321
0200	1	(979) 830-4000
0201	1	(570) 389-4000
0202	1	(504) 456-3141
0203	1	(781) 828-5800
0204	1	(662) 685-4771
0205	1	(276) 326-3682
0206	1	(304) 327-4000
0207	1	(419) 358-3000
0208	1	(208) 376-7731
0209	1	(617) 277-3915
0210	1	(303) 530-2100
0211	1	(419) 433-5560
0212	1	(941) 761-4400
0213	1	(904) 966-6764
0214	1	(614) 416-6200
0215	1	(412) 391-6710
0216	1	(203) 488-2525
0217	1	(413) 781-2276
0218	1	(800) 959-7599
0219	1	(770) 534-6299
0220	1	(270) 685-3131
0221	1	(435) 753-6780
0222	1	(760) 256-0515
0223	1	(540) 828-8000
0224	1	(860) 528-7178
0225	1	(203) 331-0852
0226	1	(718) 220-0400
0227	1	(972) 860-4700
0228	1	(718) 951-5000
0229	1	(718) 625-2200
0230	1	(704) 547-8600
0231	1	(330) 869-3600
0232	1	(913) 768-1900
0233	1	(219) 769-3321
0234	1	(305) 341-6600
0235	1	(219) 877-3100
0236	1	(916) 649-2400
0237	1	(417) 862-5700
