university	collegeprowler	type
2000	2000	2000	3
0000	1	Private For-Profit
0001	1	Private Non-Profit
0002	1	Public
0003	1	Private For-Profit
0004	1	Private For-Profit
0005	1	Public
0006	1	Private Non-Profit
0007	1	Private For-Profit
0008	1	Private For-Profit
0009	1	Private For-Profit
0010	1	Private For-Profit
0011	1	Private For-Profit
0012	1	Private For-Profit
0013	1	Private For-Profit
0014	1	Private For-Profit
0015	1	Private For-Profit
0016	1	Private For-Profit
0017	1	Private For-Profit
0018	1	Private For-Profit
0019	1	Private Non-Profit
0020	1	Private For-Profit
0021	1	Private For-Profit
0022	1	Private Non-Profit
0023	1	Private Non-Profit
0024	1	Public
0025	1	Private For-Profit
0026	1	Private Non-Profit
0027	1	Private For-Profit
0028	1	Private Non-Profit
0029	1	Public
0030	1	Public
0031	1	Public
0032	1	Public
0033	1	Public
0034	1	Private Non-Profit
0035	1	Public
0036	1	Private Non-Profit
0037	1	Public
0038	1	Private Non-Profit
0039	1	Private Non-Profit
0040	1	Private For-Profit
0041	1	Private For-Profit
0042	1	Private Non-Profit
0043	1	Private For-Profit
0044	1	Private For-Profit
0045	1	Private For-Profit
0046	1	Private For-Profit
0047	1	Private For-Profit
0048	1	Private Non-Profit
0049	1	Private For-Profit
0050	1	Private For-Profit
0051	1	Private For-Profit
0052	1	Private For-Profit
0053	1	Private For-Profit
0054	1	Private For-Profit
0055	1	Private For-Profit
0056	1	Private For-Profit
0057	1	Private Non-Profit
0058	1	Private For-Profit
0059	1	Private For-Profit
0060	1	Private For-Profit
0061	1	Private For-Profit
0062	1	Private Non-Profit
0063	1	Private Non-Profit
0064	1	Private For-Profit
0065	1	Private For-Profit
0066	1	Private For-Profit
0067	1	Private For-Profit
0068	1	Private For-Profit
0069	1	Private For-Profit
0070	1	Private For-Profit
0071	1	Private For-Profit
0072	1	Private For-Profit
0073	1	Private Non-Profit
0074	1	Private Non-Profit
0075	1	Private For-Profit
0076	1	Private For-Profit
0077	1	Private Non-Profit
0078	1	Private For-Profit
0079	1	Private For-Profit
0080	1	Private For-Profit
0081	1	Private Non-Profit
0082	1	Private For-Profit
0083	1	Private For-Profit
0084	1	Private For-Profit
0085	1	Private Non-Profit
0086	1	Public
0087	1	Private For-Profit
0088	1	Private Non-Profit
0089	1	Public
0090	1	Public
0091	1	Private For-Profit
0092	1	Private For-Profit
0093	1	Private Non-Profit
0094	1	Private For-Profit
0095	1	Private For-Profit
0096	1	Private For-Profit
0097	1	Private For-Profit
0098	1	Private For-Profit
0099	1	Private Non-Profit
0100	1	Private Non-Profit
0101	1	Public
0102	1	Private For-Profit
0103	1	Private For-Profit
0104	1	Private For-Profit
0105	1	Private For-Profit
0106	1	Private For-Profit
0107	1	Private For-Profit
0108	1	Private For-Profit
0109	1	Private For-Profit
0110	1	Private For-Profit
0111	1	Private For-Profit
0112	1	Private For-Profit
0113	1	Public
0114	1	Public
0115	1	Private Non-Profit
0116	1	Private Non-Profit
0117	1	Private Non-Profit
0118	1	Private For-Profit
0119	1	Private For-Profit
0120	1	Private For-Profit
0121	1	Private For-Profit
0122	1	Private Non-Profit
0123	1	Public
0124	1	Private Non-Profit
0125	1	Private For-Profit
0126	1	Private For-Profit
0127	1	Public
0128	1	Private For-Profit
0129	1	Private For-Profit
0130	1	Public
0131	1	Public
0132	1	Private Non-Profit
0133	1	Private For-Profit
0134	1	Public
0135	1	Private Non-Profit
0136	1	Private Non-Profit
0137	1	Public
0138	1	Private Non-Profit
0139	1	Private Non-Profit
0140	1	Private Non-Profit
0141	1	Private For-Profit
0142	1	Private For-Profit
0143	1	Private For-Profit
0144	1	Private For-Profit
0145	1	Private Non-Profit
0146	1	Private For-Profit
0147	1	Private For-Profit
0148	1	Private For-Profit
0149	1	Private For-Profit
0150	1	Private Non-Profit
0151	1	Private Non-Profit
0152	1	Private Non-Profit
0153	1	Private Non-Profit
0154	1	Private Non-Profit
0155	1	Private Non-Profit
0156	1	Private Non-Profit
0157	1	Private For-Profit
0158	1	Private Non-Profit
0159	1	Private Non-Profit
0160	1	Private Non-Profit
0161	1	Private Non-Profit
0162	1	Public
0163	1	Private Non-Profit
0164	1	Public
0165	1	Private For-Profit
0166	1	Private Non-Profit
0167	1	Private Non-Profit
0168	1	Private For-Profit
0169	1	Private For-Profit
0170	1	Private For-Profit
0171	1	Public
0172	1	Private For-Profit
0173	1	Private Non-Profit
0174	1	Private For-Profit
0175	1	Private Non-Profit
0176	1	Public
0177	1	Private Non-Profit
0178	1	Private For-Profit
0179	1	Private For-Profit
0180	1	Private Non-Profit
0181	1	Private For-Profit
0182	1	Private Non-Profit
0183	1	Private Non-Profit
0184	1	Private Non-Profit
0185	1	Private Non-Profit
0186	1	Private Non-Profit
0187	1	Private Non-Profit
0188	1	Private Non-Profit
0189	1	Public
0190	1	Public
0191	1	Private For-Profit
0192	1	Private Non-Profit
0193	1	Private For-Profit
0194	1	Public
0195	1	Private For-Profit
0196	1	Public
0197	1	Public
0198	1	Private For-Profit
0199	1	Private For-Profit
0200	1	Public
0201	1	Public
0202	1	Private For-Profit
0203	1	Public
0204	1	Private Non-Profit
0205	1	Private Non-Profit
0206	1	Public
0207	1	Private Non-Profit
0208	1	Private Non-Profit
0209	1	Private Non-Profit
0210	1	Private Non-Profit
0211	1	Public
0212	1	Private For-Profit
0213	1	Public
0214	1	Private For-Profit
0215	1	Private For-Profit
0216	1	Private For-Profit
0217	1	Private For-Profit
0218	1	Private For-Profit
0219	1	Private Non-Profit
0220	1	Private Non-Profit
0221	1	Public
0222	1	Private For-Profit
0223	1	Private Non-Profit
0224	1	Private For-Profit
0225	1	Private For-Profit
0226	1	Private For-Profit
0227	1	Public
0228	1	Public
0229	1	Private Non-Profit
0230	1	Private For-Profit
0231	1	Private For-Profit
0232	1	Private For-Profit
0233	1	Private For-Profit
0234	1	Private For-Profit
0235	1	Private For-Profit
0236	1	Private For-Profit
0237	1	Private For-Profit
0238	1	Private For-Profit
0239	1	Private For-Profit
0240	1	Private For-Profit
0241	1	Private For-Profit
0242	1	Private Non-Profit
0243	1	Public
0244	1	Public
0245	1	Private Non-Profit
0246	1	Public
0247	1	Private For-Profit
0248	1	Public
0249	1	Public
0250	1	Private Non-Profit
0251	1	Private Non-Profit
0252	1	Public
0253	1	Public
0254	1	Private For-Profit
0255	1	Private For-Profit
0256	1	Private For-Profit
0257	1	Private For-Profit
0258	1	Private For-Profit
0259	1	Private For-Profit
0260	1	Private For-Profit
0261	1	Private For-Profit
0262	1	Private For-Profit
0263	1	Private For-Profit
0264	1	Private For-Profit
0265	1	Private For-Profit
0266	1	Public
0267	1	Public
0268	1	Private For-Profit
0269	1	Public
0270	1	Private For-Profit
0271	1	Public
0272	1	Public
0273	1	Private For-Profit
0274	1	Private For-Profit
0275	1	Private For-Profit
0276	1	Public
0277	1	Private Non-Profit
0278	1	Public
0279	1	Public
0280	1	Private Non-Profit
0281	1	Private Non-Profit
0282	1	Private Non-Profit
0283	1	Private Non-Profit
0284	1	Private For-Profit
0285	1	Private For-Profit
0286	1	Private For-Profit
0287	1	Public
0288	1	Public
0289	1	Public
0290	1	Public
0291	1	Private Non-Profit
0292	1	Private Non-Profit
0293	1	Private Non-Profit
0294	1	Public
0295	1	Public
0296	1	Private For-Profit
0297	1	Private For-Profit
0298	1	Private For-Profit
0299	1	Private For-Profit
0300	1	Private For-Profit
0301	1	Private For-Profit
0302	1	Private Non-Profit
0303	1	Private For-Profit
0304	1	Public
0305	1	Private For-Profit
0306	1	Private Non-Profit
0307	1	Private Non-Profit
0308	1	Private Non-Profit
0309	1	Private Non-Profit
0310	1	Public
0311	1	Public
0312	1	Public
0313	1	Public
0314	1	Private Non-Profit
0315	1	Public
0316	1	Public
0317	1	Public
0318	1	Public
0319	1	Private Non-Profit
0320	1	Private For-Profit
0321	1	Private For-Profit
0322	1	Public
0323	1	Private For-Profit
0324	1	Private Non-Profit
0325	1	Public
0326	1	Private Non-Profit
0327	1	Private For-Profit
0328	1	Private For-Profit
0329	1	Private For-Profit
0330	1	Private Non-Profit
0331	1	Private Non-Profit
0332	1	Private For-Profit
0333	1	Private Non-Profit
0334	1	Public
0335	1	Public
0336	1	Private Non-Profit
0337	1	Private Non-Profit
0338	1	Private For-Profit
0339	1	Private For-Profit
0340	1	Public
0341	1	Private Non-Profit
0342	1	Private Non-Profit
0343	1	Private Non-Profit
0344	1	Public
0345	1	Private For-Profit
0346	1	Private For-Profit
0347	1	Private For-Profit
0348	1	Private Non-Profit
0349	1	Private For-Profit
0350	1	Private For-Profit
0351	1	Private For-Profit
0352	1	Private For-Profit
0353	1	Private For-Profit
0354	1	Private For-Profit
0355	1	Private For-Profit
0356	1	Private For-Profit
0357	1	Private For-Profit
0358	1	Private For-Profit
0359	1	Private For-Profit
0360	1	Private Non-Profit
0361	1	Public
0362	1	Private Non-Profit
0363	1	Public
0364	1	Private Non-Profit
0365	1	Private Non-Profit
0366	1	Private For-Profit
0367	1	Private For-Profit
0368	1	Private Non-Profit
0369	1	Private Non-Profit
0370	1	Private Non-Profit
0371	1	Public
0372	1	Private For-Profit
0373	1	Public
0374	1	Public
0375	1	Private For-Profit
0376	1	Private Non-Profit
0377	1	Public
0378	1	Private Non-Profit
0379	1	Private For-Profit
0380	1	Public
0381	1	Public
0382	1	Public
0383	1	Public
0384	1	Public
0385	1	Public
0386	1	Public
0387	1	Public
0388	1	Public
0389	1	Public
0390	1	Public
0391	1	Public
0392	1	Public
0393	1	Public
0394	1	Private Non-Profit
0395	1	Private Non-Profit
0396	1	Private For-Profit
0397	1	Private Non-Profit
0398	1	Public
0399	1	Private Non-Profit
0400	1	Private Non-Profit
0401	1	Private Non-Profit
0402	1	Private Non-Profit
0403	1	Private Non-Profit
0404	1	Private Non-Profit
0405	1	Public
0406	1	Private Non-Profit
0407	1	Private Non-Profit
0408	1	Public
0409	1	Public
0410	1	Public
0411	1	Public
0412	1	Private Non-Profit
0413	1	Private For-Profit
0414	1	Private Non-Profit
0415	1	Public
0416	1	Public
0417	1	Public
0418	1	Private Non-Profit
0419	1	Public
0420	1	Private Non-Profit
0421	1	Private Non-Profit
0422	1	Private For-Profit
0423	1	Private For-Profit
0424	1	Private For-Profit
0425	1	Private For-Profit
0426	1	Private For-Profit
0427	1	Public
0428	1	Public
0429	1	Public
0430	1	Private For-Profit
0431	1	Private Non-Profit
0432	1	Private Non-Profit
0433	1	Public
0434	1	Private Non-Profit
0435	1	Private Non-Profit
0436	1	Private Non-Profit
0437	1	Public
0438	1	Private Non-Profit
0439	1	Private Non-Profit
0440	1	Private For-Profit
0441	1	Public
0442	1	Private Non-Profit
0443	1	Private Non-Profit
0444	1	Private For-Profit
0445	1	Private Non-Profit
0446	1	Private For-Profit
0447	1	Private Non-Profit
0448	1	Private Non-Profit
0449	1	Public
0450	1	Private For-Profit
0451	1	Private For-Profit
0452	1	Private Non-Profit
0453	1	Private Non-Profit
0454	1	Private Non-Profit
0455	1	Private For-Profit
0456	1	Private For-Profit
0457	1	Private For-Profit
0458	1	Private For-Profit
0459	1	Private For-Profit
0460	1	Private Non-Profit
0461	1	Private Non-Profit
0462	1	Public
0463	1	Public
0464	1	Private Non-Profit
0465	1	Private Non-Profit
0466	1	Private Non-Profit
0467	1	Private Non-Profit
0468	1	Private For-Profit
0469	1	Public
0470	1	Private Non-Profit
0471	1	Private For-Profit
0472	1	Private For-Profit
0473	1	Private Non-Profit
0474	1	Private Non-Profit
0475	1	Private Non-Profit
0476	1	Public
0477	1	Private Non-Profit
0478	1	Private For-Profit
0479	1	Private For-Profit
0480	1	Private For-Profit
0481	1	Public
0482	1	Public
0483	1	Public
0484	1	Private For-Profit
0485	1	Private Non-Profit
0486	1	Private Non-Profit
0487	1	Private Non-Profit
0488	1	Private Non-Profit
0489	1	Private Non-Profit
0490	1	Public
0491	1	Public
0492	1	Public
0493	1	Private Non-Profit
0494	1	Public
0495	1	Private For-Profit
0496	1	Private Non-Profit
0497	1	Private For-Profit
0498	1	Private For-Profit
0499	1	Private Non-Profit
0500	1	Private Non-Profit
0501	1	Public
0502	1	Private For-Profit
0503	1	Private For-Profit
0504	1	Private For-Profit
0505	1	Public
0506	1	Private For-Profit
0507	1	Public
0508	1	Private For-Profit
0509	1	Private For-Profit
0510	1	Private For-Profit
0511	1	Public
0512	1	Private For-Profit
0513	1	Public
0514	1	Public
0515	1	Public
0516	1	Private For-Profit
0517	1	Public
0518	1	Private For-Profit
0519	1	Private For-Profit
0520	1	Private For-Profit
0521	1	Private Non-Profit
0522	1	Public
0523	1	Private For-Profit
0524	1	Public
0525	1	Private Non-Profit
0526	1	Public
0527	1	Private For-Profit
0528	1	Public
0529	1	Public
0530	1	Private Non-Profit
0531	1	Public
0532	1	Public
0533	1	Private Non-Profit
0534	1	Public
0535	1	Private Non-Profit
0536	1	Public
0537	1	Public
0538	1	Public
0539	1	Private Non-Profit
0540	1	Private Non-Profit
0541	1	Private Non-Profit
0542	1	Private Non-Profit
0543	1	Private Non-Profit
0544	1	Private Non-Profit
0545	1	Private Non-Profit
0546	1	Public
0547	1	Public
0548	1	Private For-Profit
0549	1	Public
0550	1	Private For-Profit
0551	1	Private For-Profit
0552	1	Public
0553	1	Private For-Profit
0554	1	Private For-Profit
0555	1	Private For-Profit
0556	1	Private Non-Profit
0557	1	Private Non-Profit
0558	1	Public
0559	1	Private Non-Profit
0560	1	Private For-Profit
0561	1	Public
0562	1	Private Non-Profit
0563	1	Public
0564	1	Private For-Profit
0565	1	Private For-Profit
0566	1	Private For-Profit
0567	1	Private For-Profit
0568	1	Private For-Profit
0569	1	Private For-Profit
0570	1	Private For-Profit
0571	1	Private For-Profit
0572	1	Private Non-Profit
0573	1	Private Non-Profit
0574	1	Public
0575	1	Public
0576	1	Public
0577	1	Public
0578	1	Public
0579	1	Private Non-Profit
0580	1	Private For-Profit
0581	1	Private For-Profit
0582	1	Private For-Profit
0583	1	Public
0584	1	Private For-Profit
0585	1	Private For-Profit
0586	1	Private For-Profit
0587	1	Private For-Profit
0588	1	Private For-Profit
0589	1	Private For-Profit
0590	1	Private Non-Profit
0591	1	Private For-Profit
0592	1	Private Non-Profit
0593	1	Public
0594	1	Public
0595	1	Public
0596	1	Public
0597	1	Public
0598	1	Public
0599	1	Private Non-Profit
0600	1	Private Non-Profit
0601	1	Private For-Profit
0602	1	Private For-Profit
0603	1	Private Non-Profit
0604	1	Private For-Profit
0605	1	Private Non-Profit
0606	1	Private For-Profit
0607	1	Private Non-Profit
0608	1	Private For-Profit
0609	1	Private Non-Profit
0610	1	Private Non-Profit
0611	1	Private For-Profit
0612	1	Private For-Profit
0613	1	Private Non-Profit
0614	1	Private For-Profit
0615	1	Public
0616	1	Private Non-Profit
0617	1	Public
0618	1	Public
0619	1	Public
0620	1	Private For-Profit
0621	1	Private For-Profit
0622	1	Public
0623	1	Private Non-Profit
0624	1	Public
0625	1	Public
0626	1	Private Non-Profit
0627	1	Public
0628	1	Public
0629	1	Public
0630	1	Public
0631	1	Public
0632	1	Public
0633	1	Public
0634	1	Private For-Profit
