university	collegeprowler	website
2000	2000	2000	1794
0000	1	americanbarberinstitute.com
0001	1	www.acu.edu
0002	1	www.abac.edu
0003	1	www.serrant.com
0004	1	www.academydicapelli.com
0005	1	wvact.net
0006	1	www.acchs.edu
0007	1	academyofcosmetology.net
0008	1	www.aoccharleston.com
0009	1	FLORIDACOSMETOLOGYSCHOOLS.COM
0010	1	www.acr.edu
0011	1	www.acr.edu
0012	1	www.theacademyofhairdesign.com
0013	1	www.academyofhair.com
0014	1	www.academyofhair.com
0015	1	www.hairchamps.com
0016	1	www.ahcp.edu
0017	1	www.natural-therapy.com
0018	1	www.aoma.edu
0019	1	www.avaopera.org
0020	1	WWW.AMCOLLEGE.edu
0021	1	adelantecareerinstitute.com
0022	1	WWW.ADELPHI.EDU
0023	1	www.alfredadler.edu
0024	1	www.mid-east.k12.oh.us
0025	1	www.advancedcollege.edu
0026	1	www.advancedtechnicalcenters.com
0027	1	www.auto.edu
0028	1	www.affinityhealth.org
0029	1	www.atc.edu
0030	1	www.afit.edu
0031	1	www.ascc.edu
0032	1	www.avtec.edu
0033	1	www.bocescareertech.org
0034	1	www.acp.edu
0035	1	www.albanytech.edu
0036	1	www.albright.edu
0037	1	www.alcorn.edu
0038	1	www.ab.edu
0039	1	www.alc.edu
0040	1	www.allstatecareer.com
0041	1	www.allstatecareer.com
0042	1	awc.edu
0043	1	www.allenschool.edu
0044	1	www.allenschool.edu
0045	1	www.anthem.edu
0046	1	WWW.ALTOONABEAUTYSCHOOL.COM
0047	1	www.alvareita.com
0048	1	www.funeraleducation.org
0049	1	www.aaaom.edu
0050	1	www.americanbeautyacademy.org
0051	1	www.americanbeautyschool.com
0052	1	radioschool.com
0053	1	www.radioschool.com
0054	1	www.Americancareer.com
0055	1	www.acchd.com
0056	1	www.americancareer.com
0057	1	www.theamericancollege.edu
0058	1	acc-careers.com
0059	1	acc-careers.com
0060	1	www.acc-careers.com
0061	1	WWW.ACC-CAREERS.COM
0062	1	www.AFI.com
0063	1	WWW.AIOIC.ORG
0064	1	www.americaninstitute.com
0065	1	www.schoolofhealth.edu
0066	1	www.aiam.edu
0067	1	www.aibschool.com
