university	collegetoolkit	name
2000	2000	2000	1935
0000	1	Alabama A & M University
0001	1	Athens State University
0002	1	Auburn University at Montgomery
0003	1	Columbia Southern University
0004	1	Concordia College-Selma
0005	1	ITT Technical Institute-Mobile
0006	1	Judson College
0007	1	Miles College
0008	1	Oakwood University
0009	1	Remington College-Mobile Campus
0010	1	Selma University
0011	1	Spring Hill College
0012	1	Talladega College
0013	1	Troy University
0014	1	United States Sports Academy
0015	1	University of Alabama in Huntsville
0016	1	Virginia College-Huntsville
0017	1	Alabama Southern Community College
0018	1	Central Alabama Community College
0019	1	Gadsden State Community College
0020	1	H Councill Trenholm State Technical College
0021	1	James H Faulkner State Community College
0022	1	Lurleen B Wallace Community College
0023	1	Marion Military Institute
0024	1	Northeast Alabama Community College
0025	1	Northwest Shoals Community College-Muscle Shoals
0026	1	Shelton State Community College
0027	1	Southern Union State Community College
0028	1	Virginia College-Mobile
0029	1	Alaska Pacific University
0030	1	Charter College
0031	1	Abraham Baldwin Agricultural College
0032	1	Argosy University-Atlanta
0033	1	Armstrong Atlantic State University
0034	1	Atlanta's John Marshall Law School
0035	1	Beulah Heights University
0036	1	Brenau University
0037	1	Clark Atlanta University
0038	1	Clayton State University
0039	1	Dalton State College
0040	1	DeVry University-Georgia
0041	1	Emmanuel College
0042	1	Gainesville State College
0043	1	Georgia Gwinnett College
0044	1	Gordon College
0045	1	Herzing University
0046	1	ITT Technical Institute-Kennesaw
0047	1	Kennesaw State University
0048	1	LaGrange College
0049	1	Life University
0050	1	Luther Rice University
0051	1	Medical College of Georgia
0052	1	Morehouse College
0053	1	Oglethorpe University
0054	1	Paine College
0055	1	Savannah College of Art and Design
0056	1	Savannah State University
0057	1	Shorter College
0058	1	Toccoa Falls College
0059	1	University of Phoenix-Columbus Georgia Campus
0060	1	University of Phoenix-Savannah Campus
0061	1	Wesleyan College
0062	1	Westwood College-Atlanta Midtown
0063	1	Young Harris College
0064	1	Albany Technical College
0065	1	Altamaha Technical College
0066	1	Andrew College
0067	1	Athens Technical College
0068	1	Augusta Technical College
0069	1	Chattahoochee Technical College
0070	1	Columbus Technical College
0071	1	Darton College
0072	1	East Central Technical College
0073	1	Georgia Military College-Augusta Campus
0074	1	Georgia Military College-Columbus Campus
0075	1	Georgia Military College-Milledgeville Campus
0076	1	Georgia Military College-Valdosta Campus
0077	1	Georgia Perimeter College
0078	1	Griffin Technical College
0079	1	High-Tech Institute-Atlanta
0080	1	Lincoln College of Technology
0081	1	Middle Georgia Technical College
0082	1	Moultrie Technical College
0083	1	Okefenokee Technical College
0084	1	Sandersville Technical College
0085	1	Sanford-Brown College
0086	1	South Georgia College
0087	1	South Georgia Technical College
0088	1	Southwest Georgia Technical College
0089	1	West Georgia Technical College
0090	1	Argosy University-Hawaii
0091	1	Hawaii Pacific University
0092	1	Institute of Clinical Acupuncture & Oriental Med
0093	1	Remington College-Honolulu Campus
0094	1	University of Hawaii at Manoa
0095	1	World Medicine Institute
0096	1	Kapiolani Community College
0097	1	Kauai Community College
0098	1	Leeward Community College
0099	1	Windward Community College
0100	1	Lewis-Clark State College
0101	1	Apollo College
0102	1	Eastern Idaho Technical College
0103	1	North Idaho College
0104	1	Adler School of Professional Psychology
0105	1	American InterContinental University-Online
0106	1	Argosy University-Chicago
0107	1	Argosy University-Schaumburg
0108	1	Augustana College
0109	1	Blessing Rieman College of Nursing
0110	1	Chamberlain College of Nursing-Addison Campus
0111	1	Chicago Theological Seminary
0112	1	Christian Life College
0113	1	Columbia College Chicago
0114	1	Concordia University
0115	1	Dominican University
0116	1	East-West University
0117	1	Elmhurst College
0118	1	Erikson Institute
0119	1	Eureka College
0120	1	Garrett-Evangelical Theological Seminary
0121	1	Greenville College
0122	1	Harrington College of Design
0123	1	Hebrew Theological College
0124	1	Illinois College
0125	1	International Academy of Design and Technology
0126	1	ITT Technical Institute-Mount Prospect
0127	1	ITT Technnical Institute-Orland Park
0128	1	Kendall College
0129	1	Knox College
0130	1	Lake Forest College
0131	1	Lexington College
0132	1	Loyola University Chicago
0133	1	Lutheran School of Theology at Chicago
0134	1	McCormick Theological Seminary
0135	1	McKendree University
0136	1	Methodist College of Nursing
0137	1	Midstate College
0138	1	Midwestern University
0139	1	Monmouth College
0140	1	National University of Health Sciences
0141	1	Northern Illinois University
0142	1	Olivet Nazarene University
0143	1	Pacific College of Oriental Medicine
0144	1	Robert Morris University Illinois
0145	1	Rockford College
0146	1	Roosevelt University
0147	1	Saint Anthony College of Nursing
0148	1	Seabury-Western Theological Seminary
0149	1	Southern Illinois University Carbondale
0150	1	St Johns College
0151	1	The Illinois Institute of Art-Chicago
0152	1	The John Marshall Law School
0153	1	Trinity Christian College
0154	1	Trinity International University
0155	1	University of Illinois at Chicago
0156	1	University of Phoenix-Chicago Campus
0157	1	University of St Francis
0158	1	West Suburban College of Nursing
0159	1	Western Illinois University
0160	1	Westwood College-O'Hare Airport
0161	1	Westwood College-River Oaks
0162	1	Brown Mackie College-Moline
