university	collegetoolkit	type
2000	2000	2000	3
0000	1	Public
0001	1	Public
0002	1	Public
0003	1	Private for-profit
0004	1	Private not-for-profit
0005	1	Private for-profit
0006	1	Private not-for-profit
0007	1	Private not-for-profit
0008	1	Private not-for-profit
0009	1	Private for-profit
0010	1	Private not-for-profit
0011	1	Private not-for-profit
0012	1	Private not-for-profit
0013	1	Public
0014	1	Private not-for-profit
0015	1	Public
0016	1	Private for-profit
0017	1	Public
0018	1	Public
0019	1	Public
0020	1	Public
0021	1	Public
0022	1	Public
0023	1	Public
0024	1	Public
0025	1	Public
0026	1	Public
0027	1	Public
0028	1	Private for-profit
0029	1	Private not-for-profit
0030	1	Private for-profit
0031	1	Public
0032	1	Private for-profit
0033	1	Public
0034	1	Private for-profit
0035	1	Private not-for-profit
0036	1	Private not-for-profit
0037	1	Private not-for-profit
0038	1	Public
0039	1	Public
0040	1	Private for-profit
0041	1	Private not-for-profit
0042	1	Public
0043	1	Public
0044	1	Public
0045	1	Private for-profit
0046	1	Private for-profit
0047	1	Public
0048	1	Private not-for-profit
0049	1	Private not-for-profit
0050	1	Private not-for-profit
0051	1	Public
0052	1	Private not-for-profit
0053	1	Private not-for-profit
0054	1	Private not-for-profit
0055	1	Private not-for-profit
0056	1	Public
0057	1	Private not-for-profit
0058	1	Private not-for-profit
0059	1	Private for-profit
0060	1	Private for-profit
0061	1	Private not-for-profit
0062	1	Private for-profit
0063	1	Private not-for-profit
0064	1	Public
0065	1	Public
0066	1	Private not-for-profit
0067	1	Public
0068	1	Public
0069	1	Public
0070	1	Public
0071	1	Public
0072	1	Public
0073	1	Public
0074	1	Public
0075	1	Public
0076	1	Public
0077	1	Public
0078	1	Public
0079	1	Private for-profit
0080	1	Private for-profit
0081	1	Public
0082	1	Public
0083	1	Public
0084	1	Public
0085	1	Private for-profit
0086	1	Public
0087	1	Public
0088	1	Public
0089	1	Public
0090	1	Private for-profit
0091	1	Private not-for-profit
0092	1	Private for-profit
0093	1	Private for-profit
0094	1	Public
0095	1	Private not-for-profit
0096	1	Public
0097	1	Public
0098	1	Public
0099	1	Public
0100	1	Public
0101	1	Private for-profit
0102	1	Public
0103	1	Public
0104	1	Private not-for-profit
0105	1	Private for-profit
0106	1	Private for-profit
0107	1	Private for-profit
0108	1	Private not-for-profit
0109	1	Private not-for-profit
0110	1	Private for-profit
0111	1	Private not-for-profit
0112	1	Private not-for-profit
0113	1	Private not-for-profit
0114	1	Private not-for-profit
0115	1	Private not-for-profit
0116	1	Private not-for-profit
0117	1	Private not-for-profit
0118	1	Private not-for-profit
0119	1	Private not-for-profit
0120	1	Private not-for-profit
0121	1	Private not-for-profit
0122	1	Private for-profit
0123	1	Private not-for-profit
0124	1	Private not-for-profit
0125	1	Private for-profit
0126	1	Private for-profit
0127	1	Private for-profit
0128	1	Private for-profit
0129	1	Private not-for-profit
0130	1	Private not-for-profit
0131	1	Private not-for-profit
0132	1	Private not-for-profit
0133	1	Private not-for-profit
0134	1	Private not-for-profit
0135	1	Private not-for-profit
0136	1	Private not-for-profit
0137	1	Private for-profit
0138	1	Private not-for-profit
0139	1	Private not-for-profit
0140	1	Private not-for-profit
0141	1	Public
0142	1	Private not-for-profit
0143	1	Private for-profit
0144	1	Private not-for-profit
0145	1	Private not-for-profit
0146	1	Private not-for-profit
0147	1	Private not-for-profit
0148	1	Private not-for-profit
0149	1	Public
0150	1	Private not-for-profit
0151	1	Private for-profit
0152	1	Private not-for-profit
0153	1	Private not-for-profit
0154	1	Private not-for-profit
0155	1	Public
0156	1	Private for-profit
0157	1	Private not-for-profit
0158	1	Private not-for-profit
0159	1	Public
0160	1	Private for-profit
0161	1	Private for-profit
0162	1	Private for-profit
0163	1	Public
0164	1	Public
0165	1	Public
0166	1	Public
0167	1	Private for-profit
0168	1	Public
0169	1	Private for-profit
0170	1	Public
0171	1	Public
0172	1	Public
0173	1	Public
0174	1	Public
0175	1	Public
0176	1	Public
0177	1	Public
0178	1	Public
0179	1	Public
0180	1	Private for-profit
0181	1	Private not-for-profit
0182	1	Public
0183	1	Public
0184	1	Private not-for-profit
0185	1	Public
0186	1	Public
0187	1	Public
0188	1	Private for-profit
0189	1	Public
0190	1	Public
0191	1	Private for-profit
0192	1	Private for-profit
0193	1	Private for-profit
0194	1	Public
0195	1	Private not-for-profit
0196	1	Private not-for-profit
0197	1	Private for-profit
0198	1	Private for-profit
0199	1	Private not-for-profit
0200	1	Private not-for-profit
0201	1	Private for-profit
0202	1	Private not-for-profit
0203	1	Private for-profit
0204	1	Private for-profit
0205	1	Private not-for-profit
0206	1	Private not-for-profit
0207	1	Private for-profit
0208	1	Private for-profit
0209	1	Private for-profit
0210	1	Private not-for-profit
0211	1	Private not-for-profit
0212	1	Public
0213	1	Private not-for-profit
0214	1	Private not-for-profit
0215	1	Private not-for-profit
0216	1	Private not-for-profit
0217	1	Private not-for-profit
0218	1	Private not-for-profit
0219	1	Private not-for-profit
0220	1	Private not-for-profit
0221	1	Private for-profit
0222	1	Private for-profit
0223	1	Private for-profit
0224	1	Private for-profit
0225	1	Private for-profit
0226	1	Public
0227	1	Public
0228	1	Public
0229	1	Public
0230	1	Public
0231	1	Public
0232	1	Public
0233	1	Public
0234	1	Public
0235	1	Public
0236	1	Private for-profit
0237	1	Private not-for-profit
0238	1	Private not-for-profit
0239	1	Private not-for-profit
0240	1	Private not-for-profit
0241	1	Private not-for-profit
0242	1	Private not-for-profit
0243	1	Private not-for-profit
0244	1	Private not-for-profit
0245	1	Private not-for-profit
0246	1	Private not-for-profit
0247	1	Private for-profit
0248	1	Private for-profit
0249	1	Private for-profit
0250	1	Private for-profit
0251	1	Private for-profit
0252	1	Private not-for-profit
0253	1	Private not-for-profit
0254	1	Private not-for-profit
0255	1	Private not-for-profit
0256	1	Private not-for-profit
0257	1	Private not-for-profit
0258	1	Public
0259	1	Public
0260	1	Public
0261	1	Public
0262	1	Public
0263	1	Public
0264	1	Public
0265	1	Public
0266	1	Public
0267	1	Public
0268	1	Private not-for-profit
0269	1	Private not-for-profit
0270	1	Private not-for-profit
0271	1	Private not-for-profit
0272	1	Private not-for-profit
0273	1	Private not-for-profit
0274	1	Public
0275	1	Private not-for-profit
0276	1	Private not-for-profit
0277	1	Private not-for-profit
0278	1	Private for-profit
0279	1	Private not-for-profit
0280	1	Private not-for-profit
0281	1	Private not-for-profit
0282	1	Private not-for-profit
0283	1	Private for-profit
0284	1	Private not-for-profit
0285	1	Public
0286	1	Public
0287	1	Private for-profit
0288	1	Private for-profit
0289	1	Public
0290	1	Public
0291	1	Public
0292	1	Public
0293	1	Public
0294	1	Private for-profit
0295	1	Public
0296	1	Private for-profit
0297	1	Public
