university	collegetoolkit	website
2000	2000	2000	1765
0000	1	www.aamu.edu/
0001	1	www.athens.edu
0002	1	www.aum.edu
0003	1	www.columbiasouthern.edu
0004	1	www.concordiaselma.edu
0005	1	www.itt-tech.edu
0006	1	www.judson.edu
0007	1	www.miles.edu
0008	1	www.oakwood.edu
0009	1	www.remingtoncollege.edu
0010	1	selmauniversity.org
0011	1	www.shc.edu
0012	1	www.talladega.edu
0013	1	www.troy.edu
0014	1	www.ussa.edu
0015	1	www.uah.edu
0016	1	www.vc.edu
0017	1	www.ascc.edu
0018	1	www.cacc.edu
0019	1	www.gadsdenstate.edu
0020	1	www.trenholmstate.edu
0021	1	www.faulknerstate.edu
0022	1	www.lbwcc.edu
0023	1	www.marionmilitary.edu
0024	1	www.nacc.edu
0025	1	www.nwscc.edu
0026	1	www.sheltonstate.edu
0027	1	www.suscc.edu
0028	1	www.vc.edu
0029	1	www.alaskapacific.edu
0030	1	www.chartercollege.edu
0031	1	www.abac.edu
0032	1	www.argosy.edu/atlanta
0033	1	www.armstrong.edu
0034	1	www.johnmarshall.edu
0035	1	www.beulah.org
0036	1	www.brenau.edu
0037	1	www.cau.edu
0038	1	www.clayton.edu
0039	1	www.daltonstate.edu
0040	1	www.devry.edu
0041	1	www.ec.edu
0042	1	www.gsc.edu
0043	1	www.ggc.usg.edu
0044	1	www.gdn.edu
0045	1	www.herzing.edu
0046	1	www.itt-tech.edu
0047	1	www.kennesaw.edu
0048	1	www.lagrange.edu
0049	1	www.life.edu
0050	1	www.lru.edu
0051	1	www.mcg.edu
0052	1	www.morehouse.edu
0053	1	www.oglethorpe.edu
0054	1	www.paine.edu
0055	1	www.scad.edu
0056	1	www.savannahstate.edu/
0057	1	www.shorter.edu
0058	1	www.tfc.edu
0059	1	www.phoenix.edu
0060	1	www.phoenix.edu
0061	1	www.wesleyancollege.edu
0062	1	www.westwood.edu
0063	1	www.yhc.edu
0064	1	www.albanytech.edu
0065	1	www.altamahatech.edu
0066	1	www.andrewcollege.edu
0067	1	www.athenstech.edu
0068	1	www.augustatech.edu
0069	1	www.chattahoocheetech.edu
0070	1	www.columbustech.edu
0071	1	www.darton.edu
0072	1	www.eastcentraltech.edu
0073	1	www.gmc.cc.ga.us/augusta
0074	1	www.gmc.cc.ga.us/columbus
0075	1	www.gmc.cc.ga.us
0076	1	www.gmc.cc.ga.us/valdosta
0077	1	www.gpc.edu
0078	1	www.griffintech.edu
0079	1	www.hightechinstitute.edu
0080	1	www.lincolnedu.com
0081	1	www.middlegatech.edu
0082	1	www.moultrietech.edu
0083	1	www.okefenokeetech.edu
0084	1	www.sandersvilletech.edu
0085	1	www.sb-atlanta.com
0086	1	www.sgc.edu
0087	1	www.southgatech.edu
0088	1	www.southwestgatech.edu
0089	1	www.westgatech.edu
0090	1	www.argosy.edu/hawaii/
0091	1	www.hpu.edu
0092	1	www.orientalmedicine.edu
0093	1	www.remingtoncollege.edu
0094	1	manoa.hawaii.edu
0095	1	www.worldmedicineinstitute.com
0096	1	kapiolani.hawaii.edu
0097	1	kauai.hawaii.edu
0098	1	www.leeward.hawaii.edu
0099	1	windward.hawaii.edu
0100	1	www.lcsc.edu
0101	1	www.apollocollege.edu
0102	1	www.eitc.edu
0103	1	www.nic.edu
0104	1	www.adler.edu
0105	1	www.aiuonline.edu
0106	1	www.argosy.edu/chicago
0107	1	www.argosy.edu/schaumburg
0108	1	www.augustana.edu
0109	1	www.brcn.edu
0110	1	www.chamberlain.edu
0111	1	www.ctschicago.edu
0112	1	www.christianlifecollege.edu
0113	1	www.colum.edu
0114	1	www.cuchicago.edu
0115	1	www.dom.edu/
0116	1	www.eastwest.edu
