university	ecampustours	name
1063	1063	1063	1046
0000	1	Alabama State University
0001	1	Athens State University
0002	1	Auburn University Main Campus
0003	1	Auburn University at Montgomery
0004	1	Birmingham Southern College
0005	1	Faulkner University
0006	1	Heritage Christian University
0007	1	Huntingdon College
0008	1	Jacksonville State University
0009	1	Lurleen B Wallace Community College
0010	1	Oakwood University
0011	1	Samford University
0012	1	Shelton State Community College
0013	1	Spring Hill College
0014	1	Troy University
0015	1	Tuskegee University
0016	1	The University of Alabama
0017	1	University of Alabama at Birmingham
0018	1	University of Alabama in Huntsville
0019	1	University of Mobile
0020	1	University of Montevallo
0021	1	University of North Alabama
0022	1	University of South Alabama
0023	1	University of West Alabama
0024	1	Alaska Pacific University
0025	1	University of Alaska Anchorage
0026	1	University of Alaska Fairbanks
0027	1	Agnes Scott College
0028	1	Albany State University
0029	1	Armstrong Atlantic State University
0030	1	Atlanta Christian College
0031	1	Atlanta Metropolitan College
0032	1	Augusta State University
0033	1	Berry College
0034	1	Brenau University
0035	1	Brewton-Parker College
0036	1	Central Georgia Technical College
0037	1	Clark Atlanta University
0038	1	Clayton State University
0039	1	Columbus State University
0040	1	Covenant College
0041	1	Dalton State College
0042	1	DeVry University-Georgia
0043	1	East Georgia College
0044	1	Emmanuel College
0045	1	Emory University
0046	1	Emory University
0047	1	Fort Valley State University
0048	1	Gainesville State College
0049	1	Georgia College & State University
0050	1	Georgia Perimeter College
0051	1	Georgia Southern University
0052	1	Georgia State University
0053	1	Heart of Georgia Technical College
0054	1	Kennesaw State University
0055	1	LaGrange College
0056	1	Life University
0057	1	Macon State College
0058	1	Medical College of Georgia
0059	1	Mercer University
0060	1	Middle Georgia College
0061	1	Morehouse College
0062	1	Oglethorpe University
0063	1	Paine College
0064	1	Piedmont College
0065	1	Reinhardt College
0066	1	Savannah College of Art and Design
0067	1	Savannah State University
0068	1	Shorter College
0069	1	South University-Savannah
0070	1	Spelman College
0071	1	Thomas University
0072	1	Toccoa Falls College
0073	1	Truett-McConnell College
0074	1	University of Georgia
0075	1	University of West Georgia
0076	1	Valdosta State University
0077	1	Young Harris College
0078	1	Brigham Young University-Hawaii
0079	1	Chaminade University of Honolulu
0080	1	Hawaii Pacific University
0081	1	Honolulu Community College
0082	1	Leeward Community College
0083	1	University of Hawaii at Hilo
0084	1	University of Hawaii at Manoa
0085	1	Boise Bible College
0086	1	Boise State University
0087	1	Brigham Young University-Idaho
0088	1	Idaho State University
0089	1	Lewis-Clark State College
0090	1	Northwest Nazarene University
0091	1	The College of Idaho
0092	1	Augustana College
0093	1	Aurora University
0094	1	Benedictine University
0095	1	Blackburn College
0096	1	Bradley University
0097	1	Chicago State University
0098	1	Concordia University
0099	1	DePaul University
0100	1	DeVry University-Illinois
0101	1	Dominican University
0102	1	Elmhurst College
0103	1	Eureka College
0104	1	Harper College
0105	1	Illinois College
0106	1	Illinois Institute of Technology
0107	1	Illinois State University
0108	1	Illinois Wesleyan University
0109	1	Judson University
0110	1	Lake Forest College
0111	1	Lewis University
0112	1	Lincoln Christian University
0113	1	Loyola University Chicago
0114	1	MacMurray College
0115	1	McKendree University
0116	1	Midstate College
0117	1	Millikin University
0118	1	Monmouth College
0119	1	Moraine Valley Community College
0120	1	National-Louis University
0121	1	North Central College
0122	1	Northeastern Illinois University
