university	ecampustours	phone
1063	1063	1063	1058
0000	1	Phone: 334-229-4400
0001	1	Phone: 256-233-8100
0002	1	Phone: 334-844-4000
0003	1	Phone: 334-244-3000
0004	1	Phone: 205-226-4600
0005	1	Phone: 334-272-5820
0006	1	Phone: 256-766-6610
0007	1	Phone: 334-833-4222
0008	1	Phone: 256-782-5781
0009	1	Phone: 334-222-6591
0010	1	Phone: 256-726-7000
0011	1	Phone: 205-726-2011
0012	1	Phone: 205-391-2347
0013	1	Phone: 251-380-4000
0014	1	Phone: 334-670-3100
0015	1	Phone: 334-727-8011
0016	1	Phone: 205-348-6010
0017	1	Phone: 205-934-4011
0018	1	Phone: 256-824-6120
0019	1	Phone: 251-675-5990
0020	1	Phone: 205-665-6155
0021	1	Phone: 256-765-4100
0022	1	Phone: 251-460-6101
0023	1	Phone: 205-652-3400
0024	1	Phone: 907-561-1266
0025	1	Phone: 907-786-1800
0026	1	Phone: 907-474-7211
0027	1	Phone: 404-471-6000
0028	1	Phone: 229-430-4600
0029	1	Phone: 912-344-2806
0030	1	Phone: 404-761-8861
0031	1	Phone: 404-756-4000
0032	1	Phone: 706-737-1400
0033	1	Phone: 706-232-5374
0034	1	Phone: 770-534-6299
0035	1	Phone: 912-583-2241
0036	1	Phone: 478-757-3400
0037	1	Phone: 404-880-8000
0038	1	Phone: 678-466-4000
0039	1	Phone: 706-507-8800
0040	1	Phone: 706-820-1560
0041	1	Phone: 706-272-4436
0042	1	Phone: 404-270-2700
0043	1	Phone: 478-289-2000
0044	1	Phone: 706-245-7226
0045	1	Phone: 404-727-6123
0046	1	Phone: 404-727-6123
0047	1	Phone: 478-825-6211
0048	1	Phone: 678-717-3639
0049	1	Phone: 478-445-2770
0050	1	Phone: 678-891-2300
0051	1	Phone: 912-478-5391
0052	1	Phone: 404-413-2000
0053	1	Phone: 478-275-6589
0054	1	Phone: 770-423-6000
0055	1	Phone: 706-880-8000
0056	1	Phone: 800-543-3202
0057	1	Phone: 478-471-2700
0058	1	Phone: 706-721-0211
0059	1	Phone: 478-301-2700
0060	1	Phone: 478-934-6221
0061	1	Phone: 404-681-2800
0062	1	Phone: 404-261-1441
0063	1	Phone: 706-821-8200
0064	1	Phone: 706-778-3000
0065	1	Phone: 770-720-5600
0066	1	Phone: 912-525-5000
0067	1	Phone: 912-356-2181
0068	1	Phone: 706-291-2121
0069	1	Phone: 912-201-8000
0070	1	Phone: 404-681-3643
0071	1	Phone: 229-226-1621
0072	1	Phone: 706-886-6831
0073	1	Phone: 706-865-2134
0074	1	Phone: 706-542-3000
0075	1	Phone: 678-839-5000
0076	1	Phone: 229-333-5800
0077	1	Phone: 706-379-3111
0078	1	Phone: 808-675-3211
0079	1	Phone: 808-735-4711
0080	1	Phone: 808-544-0200
0081	1	Phone: 808-845-9211
0082	1	Phone: 808-455-0011
0083	1	Phone: 800-897-4456
0084	1	Phone: 808-956-7651
0085	1	Phone: 208-376-7731
0086	1	Phone: 208-426-1011
0087	1	Phone: 208-496-2411
0088	1	Phone: 208-282-3620
0089	1	Phone: 208-792-5272
0090	1	Phone: 208-467-8011
0091	1	Phone: 208-459-5011
0092	1	Phone: 309-794-7000
0093	1	Phone: 630-892-6431
0094	1	Phone: 630-829-6000
0095	1	Phone: 217-854-3231
0096	1	Phone: 309-676-7611
0097	1	Phone: 773-995-2000
0098	1	Phone: 708-771-8300
0099	1	Phone: 312-362-8000
0100	1	Phone: 773-929-8500
0101	1	Phone: 708-366-2490
0102	1	Phone: 630-617-3500
0103	1	Phone: 309-467-3721
0104	1	Phone: 847-925-6000
0105	1	Phone: 217-245-3000
0106	1	Phone: 312-567-3000
0107	1	Phone: 309-438-2111
0108	1	Phone: 309-556-1000
0109	1	Phone: 847-628-2500
0110	1	Phone: 847-234-3100
0111	1	Phone: 815-838-0500
0112	1	Phone: 217-732-3168
0113	1	Phone: 312-915-6000
0114	1	Phone: 217-479-7000
0115	1	Phone: 618-537-4481
0116	1	Phone: 309-692-4092
0117	1	Phone: 217-424-6211
0118	1	Phone: 309-457-2311
0119	1	Phone: 708-974-4300
0120	1	Phone: 800-443-5522
0121	1	Phone: 630-637-5100
0122	1	Phone: 773-583-4050
0123	1	Phone: 800-892-3050
0124	1	Phone: 217-222-8020
0125	1	Phone: 217-875-7200
0126	1	Phone: 312-935-6800
0127	1	Phone: 815-226-4050
0128	1	Phone: 312-341-3500
0129	1	Phone: 312-942-7100
0130	1	Phone: 773-298-3000
0131	1	Phone: 708-597-3000
0132	1	Phone: 847-945-8800
0133	1	Phone: 312-996-7000
0134	1	Phone: 815-740-3360
0135	1	Phone: 309-295-1414
0136	1	Phone: 574-936-8898
0137	1	Phone: 765-649-9071
0138	1	Phone: 765-289-1241
0139	1	Phone: 574-259-8511
0140	1	Phone: 219-473-7770
0141	1	Phone: 765-658-4800
0142	1	Phone: 317-738-8000
0143	1	Phone: 574-535-7000
0144	1	Phone: 812-866-7000
0145	1	Phone: 574-239-8400
0146	1	Phone: 260-356-6000
0147	1	Phone: 800-937-2448
0148	1	Phone: 812-237-6311
0149	1	Phone: 812-855-4848
0150	1	Phone: 765-674-6901
0151	1	Phone: 260-982-5000
0152	1	Phone: 317-543-3235
0153	1	Phone: 219-866-6000
0154	1	Phone: 574-284-4000
0155	1	Phone: 812-535-5151
0156	1	Phone: 765-998-2751
0157	1	Phone: 260-665-4100
0158	1	Phone: 812-488-2000
0159	1	Phone: 317-788-3368
0160	1	Phone: 812-464-8600
0161	1	Phone: 765-361-6100
0162	1	Phone: 712-749-2400
0163	1	Phone: 563-588-6300
0164	1	Phone: 319-399-8000
0165	1	Phone: 319-895-4000
0166	1	Phone: 563-876-3353
0167	1	Phone: 712-722-6000
0168	1	Phone: 515-271-2011
0169	1	Phone: 563-588-8000
0170	1	Phone: 641-784-5000
0171	1	Phone: 515-263-2800
0172	1	Phone: 641-269-4000
0173	1	Phone: 515-294-5836
0174	1	Phone: 319-385-8021
0175	1	Phone: 712-274-5000
0176	1	Phone: 319-363-8213
0177	1	Phone: 712-707-7000
0178	1	Phone: 515-961-6251
0179	1	Phone: 563-333-6000
0180	1	Phone: 319-335-3500
0181	1	Phone: 641-585-2450
0182	1	Phone: 620-862-5252
0183	1	Phone: 620-792-2701
0184	1	Phone: 913-367-5340
0185	1	Phone: 316-283-2500
0186	1	Phone: 620-241-0723
0187	1	Phone: 620-442-0430
0188	1	Phone: 620-225-1321
0189	1	Phone: 620-341-1200
0190	1	Phone: 785-628-4000
0191	1	Phone: 316-295-5000
0192	1	Phone: 620-327-4221
0193	1	Phone: 620-665-3500
0194	1	Phone: 913-469-8500
0195	1	Phone: 785-532-6250
0196	1	Phone: 785-539-3571
0197	1	Phone: 620-242-0400
0198	1	Phone: 913-782-3750
0199	1	Phone: 316-942-4291
0200	1	Phone: 620-231-7000
0201	1	Phone: 620-229-6000
0202	1	Phone: 620-278-2173
0203	1	Phone: 620-947-3121
0204	1	Phone: 785-864-2700
0205	1	Phone: 913-682-5151
0206	1	Phone: 785-670-1010
0207	1	Phone: 316-978-3456
0208	1	Phone: 859-858-3511
0209	1	Phone: 502-452-8000
0210	1	Phone: 270-685-3131
0211	1	Phone: 859-238-5200
0212	1	Phone: 606-337-3196
0213	1	Phone: 859-622-1000
0214	1	Phone: 502-863-8000
0215	1	Phone: 270-707-3700
0216	1	Phone: 606-474-3000
0217	1	Phone: 502-597-6000
0218	1	Phone: 270-926-3111
0219	1	Phone: 270-384-2126
0220	1	Phone: 859-846-4421
0221	1	Phone: 606-783-2221
0222	1	Phone: 270-809-3011
0223	1	Phone: 859-572-5100
0224	1	Phone: 502-585-9911
0225	1	Phone: 859-341-5800
0226	1	Phone: 859-233-8300
0227	1	Phone: 606-546-4151
0228	1	Phone: 859-257-9000
0229	1	Phone: 502-852-5555
0230	1	Phone: 606-549-2200
0231	1	Phone: 270-745-0111
0232	1	Phone: 318-869-5011
0233	1	Phone: 504-816-4640
0234	1	Phone: 318-247-3811
0235	1	Phone: 318-487-7011
0236	1	Phone: 337-457-7311
0237	1	Phone: 318-257-2000
0238	1	Phone: 504-865-2011
0239	1	Phone: 337-475-5000
0240	1	Phone: 877-642-4655
0241	1	Phone: 504-394-7744
0242	1	Phone: 225-768-1700
0243	1	Phone: 985-549-2000
0244	1	Phone: 504-286-5000
0245	1	Phone: 504-865-5000
0246	1	Phone: 318-342-1000
0247	1	Phone: 504-280-6000
0248	1	Phone: 504-486-7411
0249	1	Phone: 207-725-3000
0250	1	Phone: 207-288-5015
0251	1	Phone: 207-941-7000
0252	1	Phone: 207-326-2206
0253	1	Phone: 207-892-6766
0254	1	Phone: 207-948-3131
0255	1	Phone: 207-581-1110
0256	1	Phone: 207-778-7000
0257	1	Phone: 207-834-7500
0258	1	Phone: 207-255-1200
0259	1	Phone: 207-768-9400
0260	1	Phone: 207-283-0171
0261	1	Phone: 207-780-4141
0262	1	Phone: 928-317-6000
0263	1	Phone: 602-870-9222
0264	1	Phone: 800-800-9776
0265	1	Phone: 928-523-9011
0266	1	Phone: 520-621-2211
0267	1	Phone: 301-784-5000
0268	1	Phone: 301-860-4000
0269	1	Phone: 301-369-2800
0270	1	Phone: 410-287-6060
0271	1	Phone: 410-951-3000
0272	1	Phone: 301-687-4000
