university	ecampustours	type
1063	1063	1063	6
0000	1	Public- 4-year or above
0001	1	Public- 4-year or above
0002	1	Public- 4-year or above
0003	1	Public- 4-year or above
0004	1	Private not-for-profit- 4-year or above
0005	1	Private not-for-profit- 4-year or above
0006	1	Private not-for-profit- 4-year or above
0007	1	Private not-for-profit- 4-year or above
0008	1	Public- 4-year or above
0009	1	Public- 2-year
0010	1	Private not-for-profit- 4-year or above
0011	1	Private not-for-profit- 4-year or above
0012	1	Public- 2-year
0013	1	Private not-for-profit- 4-year or above
0014	1	Public- 4-year or above
0015	1	Private not-for-profit- 4-year or above
0016	1	Public- 4-year or above
0017	1	Public- 4-year or above
0018	1	Public- 4-year or above
0019	1	Private not-for-profit- 4-year or above
0020	1	Public- 4-year or above
0021	1	Public- 4-year or above
0022	1	Public- 4-year or above
0023	1	Public- 4-year or above
0024	1	Private not-for-profit- 4-year or above
0025	1	Public- 4-year or above
0026	1	Public- 4-year or above
0027	1	Private not-for-profit- 4-year or above
0028	1	Public- 4-year or above
0029	1	Public- 4-year or above
0030	1	Private not-for-profit- 4-year or above
0031	1	Public- 2-year
0032	1	Public- 4-year or above
0033	1	Private not-for-profit- 4-year or above
0034	1	Private not-for-profit- 4-year or above
0035	1	Private not-for-profit- 4-year or above
0036	1	Public- 2-year
0037	1	Private not-for-profit- 4-year or above
0038	1	Public- 4-year or above
0039	1	Public- 4-year or above
0040	1	Private not-for-profit- 4-year or above
0041	1	Public- 4-year or above
0042	1	Private for-profit- 4-year or above
0043	1	Public- 2-year
0044	1	Private not-for-profit- 4-year or above
0045	1	Private not-for-profit- 4-year or above
0046	1	Private not-for-profit- 4-year or above
0047	1	Public- 4-year or above
0048	1	Public- 4-year or above
0049	1	Public- 4-year or above
0050	1	Public- 2-year
0051	1	Public- 4-year or above
0052	1	Public- 4-year or above
0053	1	Public- 2-year
0054	1	Public- 4-year or above
0055	1	Private not-for-profit- 4-year or above
0056	1	Private not-for-profit- 4-year or above
0057	1	Public- 4-year or above
0058	1	Public- 4-year or above
0059	1	Private not-for-profit- 4-year or above
0060	1	Public- 4-year or above
0061	1	Private not-for-profit- 4-year or above
0062	1	Private not-for-profit- 4-year or above
0063	1	Private not-for-profit- 4-year or above
0064	1	Private not-for-profit- 4-year or above
0065	1	Private not-for-profit- 4-year or above
0066	1	Private not-for-profit- 4-year or above
0067	1	Public- 4-year or above
0068	1	Private not-for-profit- 4-year or above
0069	1	Private for-profit- 4-year or above
0070	1	Private not-for-profit- 4-year or above
0071	1	Private not-for-profit- 4-year or above
0072	1	Private not-for-profit- 4-year or above
0073	1	Private not-for-profit- 4-year or above
0074	1	Public- 4-year or above
0075	1	Public- 4-year or above
0076	1	Public- 4-year or above
0077	1	Private not-for-profit- 4-year or above
0078	1	Private not-for-profit- 4-year or above
0079	1	Private not-for-profit- 4-year or above
0080	1	Private not-for-profit- 4-year or above
0081	1	Public- 2-year
0082	1	Public- 2-year
0083	1	Public- 4-year or above
0084	1	Public- 4-year or above
0085	1	Private not-for-profit- 4-year or above
0086	1	Public- 4-year or above
0087	1	Private not-for-profit- 4-year or above
0088	1	Public- 4-year or above
0089	1	Public- 4-year or above
0090	1	Private not-for-profit- 4-year or above
0091	1	Private not-for-profit- 4-year or above
0092	1	Private not-for-profit- 4-year or above
0093	1	Private not-for-profit- 4-year or above
0094	1	Private not-for-profit- 4-year or above
0095	1	Private not-for-profit- 4-year or above
0096	1	Private not-for-profit- 4-year or above
0097	1	Public- 4-year or above
0098	1	Private not-for-profit- 4-year or above
0099	1	Private not-for-profit- 4-year or above
0100	1	Private for-profit- 4-year or above
0101	1	Private not-for-profit- 4-year or above
0102	1	Private not-for-profit- 4-year or above
0103	1	Private not-for-profit- 4-year or above
0104	1	Public- 2-year
0105	1	Private not-for-profit- 4-year or above
0106	1	Private not-for-profit- 4-year or above
0107	1	Public- 4-year or above
0108	1	Private not-for-profit- 4-year or above
0109	1	Private not-for-profit- 4-year or above
0110	1	Private not-for-profit- 4-year or above
0111	1	Private not-for-profit- 4-year or above
0112	1	Private not-for-profit- 4-year or above
0113	1	Private not-for-profit- 4-year or above
0114	1	Private not-for-profit- 4-year or above
0115	1	Private not-for-profit- 4-year or above
0116	1	Private for-profit- 4-year or above
0117	1	Private not-for-profit- 4-year or above
0118	1	Private not-for-profit- 4-year or above
0119	1	Public- 2-year
0120	1	Private not-for-profit- 4-year or above
0121	1	Private not-for-profit- 4-year or above
0122	1	Public- 4-year or above
0123	1	Public- 4-year or above
0124	1	Private not-for-profit- 4-year or above
0125	1	Public- 2-year
0126	1	Private not-for-profit- 4-year or above
0127	1	Private not-for-profit- 4-year or above
0128	1	Private not-for-profit- 4-year or above
0129	1	Private not-for-profit- 4-year or above
0130	1	Private not-for-profit- 4-year or above
0131	1	Private not-for-profit- 4-year or above
0132	1	Private not-for-profit- 4-year or above
0133	1	Public- 4-year or above
0134	1	Private not-for-profit- 4-year or above
0135	1	Public- 4-year or above
0136	1	Private not-for-profit- 2-year
0137	1	Private not-for-profit- 4-year or above
0138	1	Public- 4-year or above
0139	1	Private not-for-profit- 4-year or above
0140	1	Private not-for-profit- 4-year or above
0141	1	Private not-for-profit- 4-year or above
0142	1	Private not-for-profit- 4-year or above
0143	1	Private not-for-profit- 4-year or above
0144	1	Private not-for-profit- 4-year or above
0145	1	Private not-for-profit- 4-year or above
0146	1	Private not-for-profit- 4-year or above
0147	1	Private not-for-profit- 4-year or above
0148	1	Public- 4-year or above
0149	1	Public- 4-year or above
0150	1	Private not-for-profit- 4-year or above
0151	1	Private not-for-profit- 4-year or above
0152	1	Private not-for-profit- 4-year or above
0153	1	Private not-for-profit- 4-year or above
0154	1	Private not-for-profit- 4-year or above
0155	1	Private not-for-profit- 4-year or above
0156	1	Private not-for-profit- 4-year or above
0157	1	Private not-for-profit- 4-year or above
0158	1	Private not-for-profit- 4-year or above
0159	1	Private not-for-profit- 4-year or above
0160	1	Public- 4-year or above
0161	1	Private not-for-profit- 4-year or above
0162	1	Private not-for-profit- 4-year or above
0163	1	Private not-for-profit- 4-year or above
0164	1	Private not-for-profit- 4-year or above
0165	1	Private not-for-profit- 4-year or above
0166	1	Private not-for-profit- 4-year or above
0167	1	Private not-for-profit- 4-year or above
0168	1	Private not-for-profit- 4-year or above
0169	1	Private not-for-profit- 4-year or above
0170	1	Private not-for-profit- 4-year or above
0171	1	Private not-for-profit- 4-year or above
0172	1	Private not-for-profit- 4-year or above
0173	1	Public- 4-year or above
0174	1	Private not-for-profit- 4-year or above
0175	1	Private not-for-profit- 4-year or above
0176	1	Private not-for-profit- 4-year or above
0177	1	Private not-for-profit- 4-year or above
0178	1	Private not-for-profit- 4-year or above
0179	1	Private not-for-profit- 4-year or above
0180	1	Public- 4-year or above
0181	1	Private not-for-profit- 4-year or above
0182	1	Private not-for-profit- 4-year or above
0183	1	Public- 2-year
0184	1	Private not-for-profit- 4-year or above
0185	1	Private not-for-profit- 4-year or above
0186	1	Private not-for-profit- 4-year or above
0187	1	Public- 2-year
0188	1	Public- 2-year
0189	1	Public- 4-year or above
0190	1	Public- 4-year or above
0191	1	Private not-for-profit- 4-year or above
0192	1	Private not-for-profit- 2-year
0193	1	Public- 2-year
0194	1	Public- 2-year
0195	1	Public- 4-year or above
0196	1	Private not-for-profit- 4-year or above
0197	1	Private not-for-profit- 4-year or above
0198	1	Private not-for-profit- 4-year or above
0199	1	Private not-for-profit- 4-year or above
0200	1	Public- 4-year or above
0201	1	Private not-for-profit- 4-year or above
0202	1	Private not-for-profit- 4-year or above
0203	1	Private not-for-profit- 4-year or above
0204	1	Public- 4-year or above
0205	1	Private not-for-profit- 4-year or above
0206	1	Public- 4-year or above
0207	1	Public- 4-year or above
0208	1	Private not-for-profit- 4-year or above
0209	1	Private not-for-profit- 4-year or above
0210	1	Private not-for-profit- 4-year or above
0211	1	Private not-for-profit- 4-year or above
0212	1	Private not-for-profit- 4-year or above
0213	1	Public- 4-year or above
0214	1	Private not-for-profit- 4-year or above
0215	1	Public- 2-year
0216	1	Private not-for-profit- 4-year or above
0217	1	Public- 4-year or above
0218	1	Private not-for-profit- 4-year or above
0219	1	Private not-for-profit- 4-year or above
0220	1	Private not-for-profit- 4-year or above
0221	1	Public- 4-year or above
0222	1	Public- 4-year or above
0223	1	Public- 4-year or above
0224	1	Private not-for-profit- 4-year or above
0225	1	Private not-for-profit- 4-year or above
0226	1	Private not-for-profit- 4-year or above
0227	1	Private not-for-profit- 4-year or above
0228	1	Public- 4-year or above
0229	1	Public- 4-year or above
0230	1	Private not-for-profit- 4-year or above
0231	1	Public- 4-year or above
0232	1	Private not-for-profit- 4-year or above
0233	1	Private not-for-profit- 4-year or above
0234	1	Public- 4-year or above
0235	1	Private not-for-profit- 4-year or above
0236	1	Public- 2-year
0237	1	Public- 4-year or above
0238	1	Private not-for-profit- 4-year or above
0239	1	Public- 4-year or above
0240	1	Public- 4-year or above
0241	1	Private not-for-profit- 4-year or above
0242	1	Private not-for-profit- 4-year or above
0243	1	Public- 4-year or above
0244	1	Public- 4-year or above
0245	1	Private not-for-profit- 4-year or above
0246	1	Public- 4-year or above
0247	1	Public- 4-year or above
0248	1	Private not-for-profit- 4-year or above
0249	1	Private not-for-profit- 4-year or above
0250	1	Private not-for-profit- 4-year or above
0251	1	Private not-for-profit- 4-year or above
0252	1	Public- 4-year or above
0253	1	Private not-for-profit- 4-year or above
0254	1	Private not-for-profit- 4-year or above
0255	1	Public- 4-year or above
0256	1	Public- 4-year or above
0257	1	Public- 4-year or above
0258	1	Public- 4-year or above
0259	1	Public- 4-year or above
0260	1	Private not-for-profit- 4-year or above
0261	1	Public- 4-year or above
0262	1	Public- 2-year
0263	1	Private for-profit- 4-year or above
0264	1	Private for-profit- 4-year or above
0265	1	Public- 4-year or above
0266	1	Public- 4-year or above
0267	1	Public- 2-year
0268	1	Public- 4-year or above
0269	1	Private not-for-profit- 4-year or above
0270	1	Public- 2-year
0271	1	Public- 4-year or above
0272	1	Public- 4-year or above
0273	1	Public- 2-year
0274	1	Private not-for-profit- 4-year or above
0275	1	Private not-for-profit- 4-year or above
0276	1	Private not-for-profit- 4-year or above
0277	1	Private not-for-profit- 4-year or above
0278	1	Public- 2-year
0279	1	Private not-for-profit- 4-year or above
0280	1	Private not-for-profit- 4-year or above
0281	1	Private not-for-profit- 4-year or above
0282	1	Private not-for-profit- 4-year or above
0283	1	Private not-for-profit- 4-year or above
0284	1	Private not-for-profit- 4-year or above
0285	1	Private not-for-profit- 4-year or above
0286	1	Private not-for-profit- 4-year or above
0287	1	Private not-for-profit- 4-year or above
0288	1	Private not-for-profit- 4-year or above
0289	1	Private not-for-profit- 4-year or above
0290	1	Private not-for-profit- 4-year or above
0291	1	Private not-for-profit- 4-year or above
0292	1	Private not-for-profit- 4-year or above
0293	1	Private not-for-profit- 4-year or above
0294	1	Private not-for-profit- 4-year or above
0295	1	Private not-for-profit- 4-year or above
0296	1	Public- 4-year or above
0297	1	Public- 4-year or above
0298	1	Private not-for-profit- 4-year or above
0299	1	Private not-for-profit- 4-year or above
0300	1	Private not-for-profit- 4-year or above
0301	1	Private not-for-profit- 4-year or above
0302	1	Public- 4-year or above
0303	1	Private not-for-profit- 4-year or above
0304	1	Private not-for-profit- 4-year or above
0305	1	Private not-for-profit- 4-year or above
0306	1	Private not-for-profit- 4-year or above
0307	1	Private not-for-profit- 4-year or above
0308	1	Private not-for-profit- 4-year or above
0309	1	Private not-for-profit- 4-year or above
0310	1	Private not-for-profit- 4-year or above
0311	1	Public- 4-year or above
0312	1	Public- 4-year or above
0313	1	Private not-for-profit- 4-year or above
0314	1	Private not-for-profit- 4-year or above
0315	1	Public- 4-year or above
0316	1	Private not-for-profit- 4-year or above
0317	1	Private not-for-profit- 4-year or above
0318	1	Private not-for-profit- 4-year or above
0319	1	Private not-for-profit- 4-year or above
0320	1	Public- 4-year or above
0321	1	Private not-for-profit- 4-year or above
0322	1	Private not-for-profit- 4-year or above
0323	1	Private not-for-profit- 4-year or above
0324	1	Private not-for-profit- 4-year or above
0325	1	Private not-for-profit- 4-year or above
0326	1	Private not-for-profit- 4-year or above
0327	1	Public- 4-year or above
0328	1	Public- 4-year or above
0329	1	Private not-for-profit- 4-year or above
0330	1	Private not-for-profit- 4-year or above
0331	1	Public- 4-year or above
0332	1	Private not-for-profit- 4-year or above
0333	1	Private not-for-profit- 4-year or above
0334	1	Private not-for-profit- 4-year or above
0335	1	Private not-for-profit- 4-year or above
0336	1	Private not-for-profit- 4-year or above
0337	1	Public- 4-year or above
0338	1	Private not-for-profit- 4-year or above
0339	1	Private not-for-profit- 4-year or above
0340	1	Public- 4-year or above
0341	1	Public- 4-year or above
0342	1	Public- 4-year or above
0343	1	Private not-for-profit- 4-year or above
0344	1	Public- 4-year or above
0345	1	Private not-for-profit- 4-year or above
0346	1	Private not-for-profit- 4-year or above
0347	1	Public- 4-year or above
0348	1	Public- 2-year
0349	1	Private not-for-profit- 4-year or above
0350	1	Private not-for-profit- 4-year or above
0351	1	Private not-for-profit- 4-year or above
0352	1	Public- 4-year or above
0353	1	Public- 4-year or above
0354	1	Public- 4-year or above
0355	1	Private not-for-profit- 4-year or above
0356	1	Private not-for-profit- 4-year or above
0357	1	Private not-for-profit- 4-year or above
0358	1	Private not-for-profit- 4-year or above
0359	1	Private not-for-profit- 4-year or above
0360	1	Private not-for-profit- 4-year or above
0361	1	Private not-for-profit- 4-year or above
0362	1	Private not-for-profit- 4-year or above
0363	1	Private not-for-profit- 4-year or above
0364	1	Private not-for-profit- 4-year or above
0365	1	Private not-for-profit- 4-year or above
0366	1	Public- 2-year
0367	1	Public- 4-year or above
0368	1	Private not-for-profit- 4-year or above
0369	1	Private not-for-profit- 4-year or above
0370	1	Public- 2-year
0371	1	Public- 4-year or above
0372	1	Public- 4-year or above
0373	1	Public- 4-year or above
0374	1	Public- 4-year or above
0375	1	Private not-for-profit- 4-year or above
0376	1	Public- 4-year or above
0377	1	Private not-for-profit- 4-year or above
0378	1	Private not-for-profit- 4-year or above
0379	1	Public- 4-year or above
0380	1	Public- 2-year
0381	1	Public- 4-year or above
0382	1	Private not-for-profit- 4-year or above
0383	1	Private not-for-profit- 4-year or above
0384	1	Public- 4-year or above
0385	1	Public- 4-year or above
0386	1	Private not-for-profit- 4-year or above
0387	1	Public- 4-year or above
0388	1	Private not-for-profit- 4-year or above
0389	1	Private not-for-profit- 4-year or above
0390	1	Private not-for-profit- 4-year or above
0391	1	Private not-for-profit- 2-year
0392	1	Private not-for-profit- 4-year or above
0393	1	Private not-for-profit- 4-year or above
0394	1	Private not-for-profit- 4-year or above
0395	1	Public- 4-year or above
0396	1	Private not-for-profit- 4-year or above
0397	1	Public- 4-year or above
0398	1	Public- 4-year or above
0399	1	Private not-for-profit- 4-year or above
0400	1	Private not-for-profit- 4-year or above
0401	1	Private not-for-profit- 4-year or above
0402	1	Public- 4-year or above
0403	1	Private not-for-profit- 4-year or above
0404	1	Private not-for-profit- 4-year or above
0405	1	Public- 4-year or above
0406	1	Public- 4-year or above
0407	1	Public- 4-year or above
0408	1	Private not-for-profit- 4-year or above
0409	1	Private not-for-profit- 4-year or above
0410	1	Private not-for-profit- 4-year or above
0411	1	Public- 4-year or above
0412	1	Public- 4-year or above
0413	1	Private not-for-profit- 4-year or above
0414	1	Public- 4-year or above
0415	1	Private not-for-profit- 4-year or above
0416	1	Public- 4-year or above
0417	1	Private not-for-profit- 4-year or above
0418	1	Private not-for-profit- 4-year or above
0419	1	Private not-for-profit- 4-year or above
0420	1	Private not-for-profit- 4-year or above
0421	1	Private not-for-profit- 4-year or above
0422	1	Private not-for-profit- 4-year or above
0423	1	Private not-for-profit- 4-year or above
0424	1	Private not-for-profit- 4-year or above
0425	1	Private not-for-profit- 4-year or above
0426	1	Private not-for-profit- 4-year or above
0427	1	Private not-for-profit- 4-year or above
0428	1	Public- 4-year or above
0429	1	Private not-for-profit- 4-year or above
0430	1	Public- 4-year or above
0431	1	Public- 4-year or above
0432	1	Public- 4-year or above
0433	1	Public- 4-year or above
0434	1	Public- 2-year
0435	1	Public- 4-year or above
0436	1	Private not-for-profit- 4-year or above
0437	1	Public- 4-year or above
0438	1	Private not-for-profit- 4-year or above
0439	1	Private not-for-profit- 4-year or above
0440	1	Public- 4-year or above
0441	1	Private not-for-profit- 4-year or above
0442	1	Private not-for-profit- 4-year or above
0443	1	Private not-for-profit- 4-year or above
0444	1	Public- 2-year
0445	1	Private not-for-profit- 4-year or above
0446	1	Private not-for-profit- 4-year or above
0447	1	Public- 2-year
0448	1	Public- 2-year
0449	1	Public- 4-year or above
0450	1	Public- 4-year or above
0451	1	Public- 4-year or above
0452	1	Private not-for-profit- 4-year or above
0453	1	Private not-for-profit- 4-year or above
0454	1	Private not-for-profit- 4-year or above
0455	1	Private not-for-profit- 4-year or above
0456	1	Public- 4-year or above
0457	1	Private not-for-profit- 4-year or above
0458	1	Public- 4-year or above
0459	1	Public- 4-year or above
0460	1	Public- 4-year or above
0461	1	Private not-for-profit- 4-year or above
0462	1	Private not-for-profit- 4-year or above
0463	1	Public- 4-year or above
0464	1	Private for-profit- 4-year or above
0465	1	Public- 4-year or above
0466	1	Private not-for-profit- 4-year or above
0467	1	Private not-for-profit- 4-year or above
0468	1	Private not-for-profit- 4-year or above
0469	1	Private not-for-profit- 4-year or above
0470	1	Private not-for-profit- 4-year or above
0471	1	Private not-for-profit- 4-year or above
0472	1	Public- 4-year or above
0473	1	Private not-for-profit- 4-year or above
0474	1	Private not-for-profit- 4-year or above
0475	1	Public- 2-year
0476	1	Private not-for-profit- 4-year or above
0477	1	Private not-for-profit- 4-year or above
0478	1	Private not-for-profit- 4-year or above
0479	1	Private not-for-profit- 4-year or above
0480	1	Private not-for-profit- 4-year or above
0481	1	Public- 4-year or above
0482	1	Private for-profit- 4-year or above
0483	1	Private not-for-profit- 4-year or above
0484	1	Private not-for-profit- 4-year or above
0485	1	Private not-for-profit- 4-year or above
0486	1	Private not-for-profit- 4-year or above
0487	1	Private not-for-profit- 4-year or above
0488	1	Private not-for-profit- 4-year or above
0489	1	Private not-for-profit- 4-year or above
0490	1	Private not-for-profit- 4-year or above
0491	1	Private not-for-profit- 4-year or above
0492	1	Private not-for-profit- 4-year or above
0493	1	Private not-for-profit- 4-year or above
0494	1	Private not-for-profit- 4-year or above
0495	1	Private not-for-profit- 4-year or above
0496	1	Private not-for-profit- 4-year or above
0497	1	Private not-for-profit- 4-year or above
0498	1	Private not-for-profit- 4-year or above
0499	1	Private not-for-profit- 4-year or above
0500	1	Private not-for-profit- 4-year or above
0501	1	Private not-for-profit- 4-year or above
0502	1	Public- 4-year or above
0503	1	Private not-for-profit- 4-year or above
0504	1	Private not-for-profit- 4-year or above
0505	1	Public- 2-year
0506	1	Private not-for-profit- 4-year or above
0507	1	Private not-for-profit- 4-year or above
0508	1	Private not-for-profit- 4-year or above
0509	1	Private for-profit- 4-year or above
0510	1	Private not-for-profit- 4-year or above
0511	1	Private not-for-profit- 4-year or above
0512	1	Private not-for-profit- 4-year or above
0513	1	Private not-for-profit- 4-year or above
0514	1	Private not-for-profit- 4-year or above
0515	1	Public- 4-year or above
0516	1	Public- 4-year or above
0517	1	Public- 4-year or above
0518	1	Public- 4-year or above
0519	1	Public- 4-year or above
0520	1	Public- 4-year or above
0521	1	Public- 4-year or above
0522	1	Public- 4-year or above
0523	1	Public- 4-year or above
0524	1	Public- 4-year or above
0525	1	Public- 4-year or above
0526	1	Public- 4-year or above
0527	1	Private not-for-profit- 4-year or above
0528	1	Private not-for-profit- 4-year or above
0529	1	Private not-for-profit- 4-year or above
0530	1	Private not-for-profit- 4-year or above
0531	1	Private not-for-profit- 4-year or above
